 INPUT STRING:	ولما
        INDEX:	P15W4
      OFFSETS:	14-20
       TOKENS:	P15W4-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(yiso>alhum)
          POS:	IV3MS+IV+IVSUFF_DO:3P
          VOC:	yi+so>al+hum
        GLOSS:	he/it+ask/inquire/request/be asked+them

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P15W5
      OFFSETS:	21-24
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P15W6
      OFFSETS:	25-27
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	سبب
     IS_TRANS:	sbb
        INDEX:	P15W7
      OFFSETS:	28-31
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(sabab)
          POS:	NOUN
          VOC:	sabab
        GLOSS:	reason/cause/because of/due to

 INPUT STRING:	تواجدهم
     IS_TRANS:	twAjdhm
        INDEX:	P15W8
      OFFSETS:	32-39
       TOKENS:	P15W9-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tawAjud_1]
   UNSPLITVOC:	(tawAjudhim)
          POS:	NOUN+POSS_PRON_3P
          VOC:	tawAjud+him
        GLOSS:	presence+their

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P15W9
      OFFSETS:	40-42
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مظاهره
     IS_TRANS:	mZAhrh
        INDEX:	P15W10
      OFFSETS:	43-49
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muZAhorap_1]
   UNSPLITVOC:	(muZAhorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muZAhor+ap
        GLOSS:	demonstration+[fem.sg.]

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P15W11
      OFFSETS:	50-53
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanod)
          POS:	NOUN
          VOC:	Eanod
        GLOSS:	with/at

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P15W12
      OFFSETS:	54-58
       TOKENS:	P15W14-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P15W13
      OFFSETS:	59-64
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P15W14
      OFFSETS:	65-68
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P15W15
      OFFSETS:	69-73
       TOKENS:	P15W17-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	يسيبها
     IS_TRANS:	ysybhA
        INDEX:	P15W16
      OFFSETS:	74-80
       TOKENS:	P15W18-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(yisiybhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+siyb+hA
        GLOSS:	he/it+leave/let+it/them/her

 INPUT STRING:	سداح
     IS_TRANS:	sdAH
        INDEX:	P15W17
      OFFSETS:	81-85
       TOKENS:	P15W20-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sadAH_1]
   UNSPLITVOC:	(sadAH)
          POS:	NOUN
          VOC:	sadAH
        GLOSS:	mess

 INPUT STRING:	مداح
     IS_TRANS:	mdAH
        INDEX:	P15W18
      OFFSETS:	86-90
       TOKENS:	P15W21-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madAH_1]
   UNSPLITVOC:	(madAH)
          POS:	NOUN
          VOC:	madAH
        GLOSS:	mess

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P15W19
      OFFSETS:	91-93
       TOKENS:	P15W22-P15W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/as

 INPUT STRING:	ماهي
     IS_TRANS:	mAhy
        INDEX:	P15W20
      OFFSETS:	94-98
       TOKENS:	P15W23-P15W23
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAhy)
          POS:	NO_FUNC
          VOC:	mAhy
        GLOSS:	nogloss

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P15W21
      OFFSETS:	99-102
       TOKENS:	P15W24-P15W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this way

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P15W22
      OFFSETS:	103-108
       TOKENS:	P15W25-P15W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P15W23
      OFFSETS:	109-115
       TOKENS:	P15W27-P15W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	مستمره
     IS_TRANS:	mstmrh
        INDEX:	P15W24
      OFFSETS:	116-122
       TOKENS:	P15W28-P15W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotamir~_1]
   UNSPLITVOC:	(musotamir~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	musotamir~+ap
        GLOSS:	continuing/continuous/incessant+[fem.sg.]

 INPUT STRING:	ودي
     IS_TRANS:	wdy
        INDEX:	P15W25
      OFFSETS:	123-126
       TOKENS:	P15W29-P15W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(widiy)
          POS:	CONJ+DEM_PRON_FS
          VOC:	wi+diy
        GLOSS:	and+this

 INPUT STRING:	مطالب
     IS_TRANS:	mTAlb
        INDEX:	P15W26
      OFFSETS:	127-132
       TOKENS:	P15W31-P15W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maTolab_1]
   UNSPLITVOC:	(maTAlib)
          POS:	NOUN
          VOC:	maTAlib
        GLOSS:	demands/desiderata

 INPUT STRING:	مشروعه
     IS_TRANS:	m$rwEh
        INDEX:	P15W27
      OFFSETS:	133-139
       TOKENS:	P15W32-P15W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$oruwE_1]
   UNSPLITVOC:	(ma$oruwEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	ma$oruwE+ap
        GLOSS:	lawful/legal+[fem.sg.]

 INPUT STRING:	وحريه
     IS_TRANS:	wHryh
        INDEX:	P15W28
      OFFSETS:	140-145
       TOKENS:	P15W33-P15W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~iy~ap_1]
   UNSPLITVOC:	(wiHur~iy~ap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+Hur~iy~+ap
        GLOSS:	and+freedom+[fem.sg.]

 INPUT STRING:	المواطن
     IS_TRANS:	AlmwATn
        INDEX:	P15W29
      OFFSETS:	146-153
       TOKENS:	P15W35-P15W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwATin_1]
   UNSPLITVOC:	(AlmuwATin)
          POS:	DET+NOUN
          VOC:	Al+muwATin
        GLOSS:	the+citizen

 INPUT STRING:	والاعتصام
     IS_TRANS:	wAlAEtSAm
        INDEX:	P15W30
      OFFSETS:	154-163
       TOKENS:	P15W36-P15W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotiSAm_1]
   UNSPLITVOC:	(wiAlAiEotiSAm)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+AiEotiSAm
        GLOSS:	and+the+sit-in strike/occupation

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P15W31
      OFFSETS:	164-166
       TOKENS:	P15W38-P15W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	right, prerogative, truth

 INPUT STRING:	مكفول
     IS_TRANS:	mkfwl
        INDEX:	P15W32
      OFFSETS:	167-172
       TOKENS:	P15W39-P15W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makofuwl_1]
   UNSPLITVOC:	(makofuwl)
          POS:	ADJ
          VOC:	makofuwl
        GLOSS:	guaranteed/backed/covered

 INPUT STRING:	للجميع
     IS_TRANS:	lljmyE
        INDEX:	P15W33
      OFFSETS:	173-179
       TOKENS:	P15W40-P15W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(liljamiyE)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+jamiyE
        GLOSS:	for/to+the+all, entire, every, whole

 INPUT STRING:	ومحدش
     IS_TRANS:	wmHd$
        INDEX:	P15W34
      OFFSETS:	180-185
       TOKENS:	P15W42-P15W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(wimA_Had~i$)
          POS:	CONJ+NEG_PART+NOUN+NEG_PART
          VOC:	wi+mA+Had~+$
        GLOSS:	and+not+one/ndividual/person+not

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P15W35
      OFFSETS:	186-188
       TOKENS:	P15W46-P15W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/for+it/him

 INPUT STRING:	دعوه
     IS_TRANS:	dEwh
        INDEX:	P15W36
      OFFSETS:	189-193
       TOKENS:	P15W48-P15W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEowap_1]
   UNSPLITVOC:	(daEowap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	daEow+ap
        GLOSS:	call/invitation/supplication/calls/invitations/supplications+[fem.sg.]

 INPUT STRING:	بحد
     IS_TRANS:	bHd
        INDEX:	P15W37
      OFFSETS:	194-197
       TOKENS:	P15W49-P15W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(biHad~)
          POS:	PREP+NOUN
          VOC:	bi+Had~
        GLOSS:	with/by+one/individual/peson

 INPUT STRING:	ويحيا
     IS_TRANS:	wyHyA
        INDEX:	P15W38
      OFFSETS:	198-203
       TOKENS:	P15W51-P15W52
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hay~-a_1]
   UNSPLITVOC:	(wayaHoyA)
          POS:	CONJ+IV3MS+IV+IVSUFF_MOOD:I
          VOC:	wa+ya+HoyA+(null)
        GLOSS:	and+he/it+live/experience/witness+[ind.]

 INPUT STRING:	الاعلام
     IS_TRANS:	AlAElAm
        INDEX:	P15W39
      OFFSETS:	204-211
       TOKENS:	P15W53-P15W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEolAm_1]
   UNSPLITVOC:	(Al<iEolAm)
          POS:	DET+NOUN
          VOC:	Al+<iEolAm
        GLOSS:	the+information/media

 INPUT STRING:	الحر
     IS_TRANS:	AlHr
        INDEX:	P15W40
      OFFSETS:	212-216
       TOKENS:	P15W54-P15W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~_1]
   UNSPLITVOC:	(AlHur~)
          POS:	DET+ADJ
          VOC:	Al+Hur~
        GLOSS:	the+free/independent

 INPUT STRING:	الجميل
     IS_TRANS:	Aljmyl
        INDEX:	P15W41
      OFFSETS:	217-223
       TOKENS:	P15W55-P15W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(Aljamiyl)
          POS:	DET+ADJ
          VOC:	Al+jamiyl
        GLOSS:	the+beautiful/nice/fine

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P15W42
      OFFSETS:	224-228
       TOKENS:	P15W56-P15W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	that

 INPUT STRING:	خرب
     IS_TRANS:	xrb
        INDEX:	P15W43
      OFFSETS:	229-232
       TOKENS:	P15W57-P15W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xarab_1]
   UNSPLITVOC:	(xarab)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	xarab+(null)
        GLOSS:	destroy+he/it

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P15W44
      OFFSETS:	233-238
       TOKENS:	P15W58-P15W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	وقعد
     IS_TRANS:	wqEd
        INDEX:	P15W45
      OFFSETS:	239-243
       TOKENS:	P15W59-P15W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(wiqaEad)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+qaEad+(null)
        GLOSS:	and+sit down/be seated/remain+he/it

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P15W46
      OFFSETS:	244-247
       TOKENS:	P15W61-P15W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	تلها
     IS_TRANS:	tlhA
        INDEX:	P15W47
      OFFSETS:	248-252
       TOKENS:	P15W62-P15W63
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tal~_2]
   UNSPLITVOC:	(tal~hA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	tal~+hA
        GLOSS:	hill/elevation+its/their/her

