 INPUT STRING:	الانترنت
        GLOSS:	view/look/seeing/eye-sight/glances/looking+your

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P15W4
      OFFSETS:	15-16
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	بسم
     IS_TRANS:	bsm
        INDEX:	P16W1
      OFFSETS:	1-4
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bisomi_1]
   UNSPLITVOC:	(bisomi)
          POS:	PREP+NOUN+CASE_DEF_GEN
          VOC:	bi+{isom+i
        GLOSS:	in/by+(the) Name of+[def.gen.]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P16W2
      OFFSETS:	5-9
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(All~`h)
          POS:	NOUN_PROP
          VOC:	All~`h
        GLOSS:	Allah/God

 INPUT STRING:	الرحمن
     IS_TRANS:	AlrHmn
        INDEX:	P16W3
      OFFSETS:	10-16
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raHom`n_2]
   UNSPLITVOC:	(AlraHom`n)
          POS:	DET+ADJ
          VOC:	Al+raHom`n
        GLOSS:	the+merciful

 INPUT STRING:	الرحيم
     IS_TRANS:	AlrHym
        INDEX:	P16W4
      OFFSETS:	17-23
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[raHiym_2]
   UNSPLITVOC:	(AlraHiym)
          POS:	DET+ADJ
          VOC:	Al+raHiym
        GLOSS:	the+compassionate

 INPUT STRING:	اسرائيل
     IS_TRANS:	AsrA}yl
        INDEX:	P17W1
      OFFSETS:	1-8
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisorA}iyl_1]
   UNSPLITVOC:	(AisorA}iyl)
          POS:	NOUN_PROP
          VOC:	AisorA}iyl
        GLOSS:	Israel

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P17W2
      OFFSETS:	9-11
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	محتاجة
     IS_TRANS:	mHtAjp
        INDEX:	P17W3
      OFFSETS:	12-18
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miHotAj_1]
   UNSPLITVOC:	(miHotAjap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	miHotAj+ap
        GLOSS:	in need/wanting/requiring+[fem.sg.]

 INPUT STRING:	تتجسس
     IS_TRANS:	ttjss
        INDEX:	P17W4
      OFFSETS:	19-24
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitojas~is_1]
   UNSPLITVOC:	(titojas~is)
          POS:	IV3FS+IV
          VOC:	ti+tojas~is
        GLOSS:	it/they/she+spy/reconnoiter

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P17W5
      OFFSETS:	25-29
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	ADV
          VOC:	xalAS
        GLOSS:	once and for all/enough/anymore

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P17W6
      OFFSETS:	30-33
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P17W7
      OFFSETS:	34-36
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	واخد
     IS_TRANS:	wAxd
        INDEX:	P17W8
      OFFSETS:	37-41
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAxid_1]
   UNSPLITVOC:	(wAxid)
          POS:	ADJ.VN
          VOC:	wAxid
        GLOSS:	taking

 INPUT STRING:	بالك
     IS_TRANS:	bAlk
        INDEX:	P17W9
      OFFSETS:	42-46
       TOKENS:	P17W9-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(bAlak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	bAl+ak
        GLOSS:	mind/attention+your

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P17W10
      OFFSETS:	47-49
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P17W11
      OFFSETS:	50-53
       TOKENS:	P17W12-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it

 INPUT STRING:	احتلال
     IS_TRANS:	AHtlAl
        INDEX:	P17W12
      OFFSETS:	54-60
       TOKENS:	P17W14-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotilAl_1]
   UNSPLITVOC:	(AiHotilAl)
          POS:	NOUN
          VOC:	AiHotilAl
        GLOSS:	occupation

 INPUT STRING:	فكرى
     IS_TRANS:	fkrY
        INDEX:	P17W13
      OFFSETS:	61-65
       TOKENS:	P17W15-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fikriy_1]
   UNSPLITVOC:	(fikriy)
          POS:	ADJ
          VOC:	fikriy
        GLOSS:	intellectual/mental

 INPUT STRING:	وبطل
     IS_TRANS:	wbTl
        INDEX:	P17W14
      OFFSETS:	66-70
       TOKENS:	P17W16-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baT~al_1]
   UNSPLITVOC:	(wibaT~al)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+baT~al+(null)
        GLOSS:	and+thwart/abolish/be thwarted/be abolished+you

 INPUT STRING:	تتفرج
     IS_TRANS:	ttfrj
        INDEX:	P17W15
      OFFSETS:	71-76
       TOKENS:	P17W18-P17W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitofar~aj_1]
   UNSPLITVOC:	(titofar~aj)
          POS:	IV3FS+IV
          VOC:	ti+tofar~aj
        GLOSS:	it/they/she+observe/watch

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P17W16
      OFFSETS:	77-80
       TOKENS:	P17W19-P17W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	جمعة
     IS_TRANS:	jmEp
        INDEX:	P17W17
      OFFSETS:	81-85
       TOKENS:	P17W20-P17W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumoEap_1]
   UNSPLITVOC:	(jumoEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jumoE+ap
        GLOSS:	Friday+[fem.sg.]

 INPUT STRING:	الشوال
     IS_TRANS:	Al$wAl
        INDEX:	P17W18
      OFFSETS:	86-92
       TOKENS:	P17W21-P17W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aw~Al_1]
   UNSPLITVOC:	(Al$~aw~Al)
          POS:	DET+NOUN_PROP
          VOC:	Al+$aw~Al
        GLOSS:	the+Shawwal (month)

 INPUT STRING:	ههههههههههههه
     IS_TRANS:	hhhhhhhhhhhhh
        INDEX:	P17W19
      OFFSETS:	93-106
       TOKENS:	P17W22-P17W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(hahahahahahahahahahahahah)
          POS:	INTERJ
          VOC:	hahahahahahahahahahahahah
        GLOSS:	laughter

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P18W1
      OFFSETS:	1-6
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	جميل
     IS_TRANS:	jmyl
        INDEX:	P18W2
      OFFSETS:	7-11
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiyl)
          POS:	ADJ
          VOC:	jamiyl
        GLOSS:	beautiful/nice/fine

 INPUT STRING:	احترم
     IS_TRANS:	AHtrm
        INDEX:	P18W3
      OFFSETS:	12-17
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotaram_1]
   UNSPLITVOC:	(AaHotarim)
          POS:	IV1S+IV
          VOC:	Aa+Hotarim
        GLOSS:	I+respect/revere

 INPUT STRING:	رايك
     IS_TRANS:	rAyk
        INDEX:	P18W4
      OFFSETS:	18-22
       TOKENS:	P18W4-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oyik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	ra>oy+ik
        GLOSS:	opinion/view/idea+your

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P19W1
      OFFSETS:	1-5
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakin)
          POS:	CONJ+CONJ
          VOC:	wi+lakin
        GLOSS:	and+but/however/yet/still/nevertheless/on the other hand

 INPUT STRING:	ديه
     IS_TRANS:	dyh
        INDEX:	P19W2
      OFFSETS:	6-9
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	وسيلة
     IS_TRANS:	wsylp
        INDEX:	P19W3
      OFFSETS:	10-15
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wasiylap_1]
   UNSPLITVOC:	(wasiylap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wasiyl+ap
        GLOSS:	means/device/instrument+[fem.sg.]

 INPUT STRING:	للتفريج
     IS_TRANS:	lltfryj
        INDEX:	P19W4
      OFFSETS:	16-23
       TOKENS:	P19W5-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taforiyj_1]
   UNSPLITVOC:	(lilt~aforiyj)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+taforiyj
        GLOSS:	for/to+the+alleviating/ameliorating/consoling/distracting

 INPUT STRING:	وزى
     IS_TRANS:	wzY
        INDEX:	P19W5
      OFFSETS:	24-27
       TOKENS:	P19W7-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wzay~]
   UNSPLITVOC:	(wzay~)
          POS:	PREP+NOUN
          VOC:	w+zay~
        GLOSS:	with+like/such as

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P19W6
      OFFSETS:	28-30
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P19W7
      OFFSETS:	31-35
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	بنتكلم
     IS_TRANS:	bntklm
        INDEX:	P19W8
      OFFSETS:	36-42
       TOKENS:	P19W11-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(binitokal~im)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+tokal~im
        GLOSS:	[present-tense]+we+speak/talk

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P19W9
      OFFSETS:	43-45
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P19W10
      OFFSETS:	46-50
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	NOUN
          VOC:	>akiyd
        GLOSS:	certain/definite

 INPUT STRING:	بيتكلموا
     IS_TRANS:	bytklmwA
        INDEX:	P19W11
      OFFSETS:	51-59
       TOKENS:	P19W15-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(biyitokal~imuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+tokal~im+uwA
        GLOSS:	[present-tense]+they+speak/talk+they

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P20W1
      OFFSETS:	1-4
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(wilaw)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+law
        GLOSS:	and+if

 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P20W2
      OFFSETS:	5-11
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	wanting/willing+we

 INPUT STRING:	نجنهم
     IS_TRANS:	njnhm
        INDEX:	P20W3
      OFFSETS:	12-17
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(njnhm)
          POS:	TYPO
          VOC:	njnhm
        GLOSS:	nogloss

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P20W4
      OFFSETS:	18-22
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	actually/in effect+[acc.indef.]

 INPUT STRING:	ونسبب
     IS_TRANS:	wnsbb
        INDEX:	P20W5
      OFFSETS:	23-28
       TOKENS:	P20W6-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sab~ib_1]
   UNSPLITVOC:	(winisab~ib)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+sab~ib
        GLOSS:	and+we+cause/produce/provoke

 INPUT STRING:	لهم
     IS_TRANS:	lhm
        INDEX:	P20W6
      OFFSETS:	29-32
       TOKENS:	P20W8-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	to/for+them

 INPUT STRING:	قلق
     IS_TRANS:	qlq
        INDEX:	P20W7
      OFFSETS:	33-36
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalaq_1]
   UNSPLITVOC:	(qalaq)
          POS:	NOUN
          VOC:	qalaq
        GLOSS:	unrest/concern/apprehension

 INPUT STRING:	نهتم
     IS_TRANS:	nhtm
        INDEX:	P20W8
      OFFSETS:	37-41
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aihotam~_1]
   UNSPLITVOC:	(nihotam~)
          POS:	IV1P+IV
          VOC:	ni+hotam~
        GLOSS:	we+be concerned/be interested

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P20W9
      OFFSETS:	42-45
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	النت
     IS_TRANS:	Alnt
        INDEX:	P20W10
      OFFSETS:	46-50
       TOKENS:	P20W13-P20W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nit]
   UNSPLITVOC:	(Alnit)
          POS:	DET+NOUN_PROP
          VOC:	Al+nit
        GLOSS:	the+Net

 INPUT STRING:	ببرامج
     IS_TRANS:	bbrAmj
        INDEX:	P20W11
      OFFSETS:	51-57
       TOKENS:	P20W14-P20W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bironAmij_1]
   UNSPLITVOC:	(bibarAmij)
          POS:	PREP+NOUN
          VOC:	bi+barAmij
        GLOSS:	with/by+programs

 INPUT STRING:	اصلاح
     IS_TRANS:	ASlAH
        INDEX:	P20W12
      OFFSETS:	58-63
       TOKENS:	P20W16-P20W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<iSolAH_1]
   UNSPLITVOC:	(AiSolAH)
          POS:	NOUN
          VOC:	AiSolAH
        GLOSS:	reform/restoration

 INPUT STRING:	المجتمع
     IS_TRANS:	AlmjtmE
        INDEX:	P20W13
      OFFSETS:	64-71
       TOKENS:	P20W17-P20W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(AlmijotimiE)
          POS:	DET+NOUN
          VOC:	Al+mijotimiE
        GLOSS:	the+society

 INPUT STRING:	المصرى
     IS_TRANS:	AlmSrY
        INDEX:	P20W14
      OFFSETS:	72-78
       TOKENS:	P20W18-P20W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	وعشان
     IS_TRANS:	wE$An
        INDEX:	P20W15
      OFFSETS:	79-84
       TOKENS:	P20W19-P20W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(wEa$An)
          POS:	CONJ+NOUN
          VOC:	w+Ea$An
        GLOSS:	and+for/for the sake of/so that

 INPUT STRING:	نفرسهم
     IS_TRANS:	nfrshm
        INDEX:	P20W16
      OFFSETS:	85-91
       TOKENS:	P20W21-P20W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[firis_1]
   UNSPLITVOC:	(niforishum)
          POS:	IV1P+IV+IVSUFF_DO:3P
          VOC:	ni+foris+hum
        GLOSS:	we+infuriate/enrage+them

 INPUT STRING:	نقوى
     IS_TRANS:	nqwY
        INDEX:	P20W17
      OFFSETS:	92-96
       TOKENS:	P20W23-P20W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaw~aY_1]
   UNSPLITVOC:	(niqaw~iy)
          POS:	IV1P+IV
          VOC:	ni+qaw~iy
        GLOSS:	we+strengthen/be strengthened

 INPUT STRING:	ايمانا
     IS_TRANS:	AymAnA
        INDEX:	P20W18
      OFFSETS:	97-103
       TOKENS:	P20W24-P20W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iymAn_1]
   UNSPLITVOC:	(<iymAn~A)
          POS:	NOUN.VN+POSS_PRON_1P
          VOC:	AymAn+nA
        GLOSS:	faith+our

 INPUT STRING:	بدينا
     IS_TRANS:	bdynA
        INDEX:	P20W19
      OFFSETS:	104-109
       TOKENS:	P20W26-P20W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(bdiyn~A)
          POS:	PREP+NOUN+POSS_PRON_1P
          VOC:	bi+diyn+nA
        GLOSS:	with+religion+our

 INPUT STRING:	وندافع
     IS_TRANS:	wndAfE
        INDEX:	P20W20
      OFFSETS:	110-116
       TOKENS:	P20W29-P20W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAfiE_1]
   UNSPLITVOC:	(winidAfiE)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+dAfiE
        GLOSS:	and+we+defend

 INPUT STRING:	عنه
     IS_TRANS:	Enh
        INDEX:	P20W21
      OFFSETS:	117-120
       TOKENS:	P20W31-P20W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~uh)
          POS:	PREP+PRON_3MS
          VOC:	Ean~+uh
        GLOSS:	(away) from, off, about, on, over+him/it

 INPUT STRING:	تقبل
     IS_TRANS:	tqbl
        INDEX:	P21W1
      OFFSETS:	1-5
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qibil_1]
   UNSPLITVOC:	(tiqobal)
          POS:	IV2MS+IV
          VOC:	ti+qobal
        GLOSS:	you+accept

 INPUT STRING:	مرورى
     IS_TRANS:	mrwrY
        INDEX:	P21W2
      OFFSETS:	6-11
       TOKENS:	P21W2-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muruwr_1]
   UNSPLITVOC:	(muruwriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	muruwr+iy
        GLOSS:	going (through)/passing (by)+my

 INPUT STRING:	جزاك
     IS_TRANS:	jzAk
        INDEX:	P22W1
      OFFSETS:	1-5
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jazaY-i_1]
   UNSPLITVOC:	(jazAka)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:2MS
          VOC:	jazA+(null)+ka
        GLOSS:	reward/repay/requite+he/it [verb]+you [masc.sg.]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P22W2
      OFFSETS:	6-10
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(All~`hu)
          POS:	NOUN_PROP+CASE_DEF_NOM
          VOC:	All~`h+u
