 INPUT STRING:	اتفرجوا
     IS_TRANS:	Ay
        INDEX:	P64W12
      OFFSETS:	51-53
       TOKENS:	P64W17-P64W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	بلد
     IS_TRANS:	bld
        INDEX:	P64W13
      OFFSETS:	54-57
       TOKENS:	P64W18-P64W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(balad)
          POS:	NOUN
          VOC:	balad
        GLOSS:	country/country/countries

 INPUT STRING:	بتاخد
     IS_TRANS:	btAxd
        INDEX:	P64W14
      OFFSETS:	58-63
       TOKENS:	P64W19-P64W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(bitAxud)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+t+Axud
        GLOSS:	[present-tense]+it/they/she+take

 INPUT STRING:	منحنى
     IS_TRANS:	mnHnY
        INDEX:	P64W15
      OFFSETS:	64-69
       TOKENS:	P64W21-P64W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munoHanay_1]
   UNSPLITVOC:	(munoHanaY)
          POS:	NOUN
          VOC:	munoHanaY
        GLOSS:	curvature/bend/slope

 INPUT STRING:	معين
     IS_TRANS:	mEyn
        INDEX:	P64W16
      OFFSETS:	70-74
       TOKENS:	P64W22-P64W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEay~an_1]
   UNSPLITVOC:	(muEay~an)
          POS:	ADJ
          VOC:	muEay~an
        GLOSS:	fixed/determined/prescribed

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P65W1
      OFFSETS:	0-2
       TOKENS:	P65W1-P65W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بتقوم
     IS_TRANS:	btqwm
        INDEX:	P65W2
      OFFSETS:	3-8
       TOKENS:	P65W2-P65W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(bitiquwm)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+quwm
        GLOSS:	[present-tense]+it/they/she+be based (on)

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P65W3
      OFFSETS:	9-15
       TOKENS:	P65W4-P65W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P65W4
      OFFSETS:	16-18
       TOKENS:	P65W5-P65W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P65W5
      OFFSETS:	19-22
       TOKENS:	P65W6-P65W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here

 INPUT STRING:	والحياه
     IS_TRANS:	wAlHyAh
        INDEX:	P65W6
      OFFSETS:	23-30
       TOKENS:	P65W7-P65W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(wiAlHayAp)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+HayAp
        GLOSS:	and+the+lifetime

 INPUT STRING:	بتبئى
     IS_TRANS:	btb}Y
        INDEX:	P65W7
      OFFSETS:	31-36
       TOKENS:	P65W9-P65W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(bitiba}aY)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+ba}aY
        GLOSS:	[present-tense]+it/they/she+become

 INPUT STRING:	عنب
     IS_TRANS:	Enb
        INDEX:	P65W8
      OFFSETS:	37-40
       TOKENS:	P65W11-P65W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einabap_1]
   UNSPLITVOC:	(Einab)
          POS:	NOUN
          VOC:	Einab
        GLOSS:	grapes

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P65W9
      OFFSETS:	41-43
       TOKENS:	P65W12-P65W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P65W10
      OFFSETS:	44-47
       TOKENS:	P65W13-P65W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P66W1
      OFFSETS:	0-4
       TOKENS:	P66W1-P66W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	دلوقت
     IS_TRANS:	dlwqt
        INDEX:	P66W2
      OFFSETS:	5-10
       TOKENS:	P66W2-P66W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqot_1]
   UNSPLITVOC:	(dilowaqot)
          POS:	ADV
          VOC:	dilowaqot
        GLOSS:	now/at present

 INPUT STRING:	عاملين
     IS_TRANS:	EAmlyn
        INDEX:	P66W3
      OFFSETS:	11-17
       TOKENS:	P66W3-P66W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmoliyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	EAmol+iyn
        GLOSS:	active/operating/working+[masc.pl.]

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P66W4
      OFFSETS:	18-20
       TOKENS:	P66W4-P66W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	as/like

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P66W5
      OFFSETS:	21-25
       TOKENS:	P66W5-P66W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	بيتعالج
     IS_TRANS:	bytEAlj
        INDEX:	P66W6
      OFFSETS:	26-33
       TOKENS:	P66W6-P66W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlij_1]
   UNSPLITVOC:	(biyitoEAlij)
          POS:	PROG_PART+IV3MS+IV_PASS
          VOC:	bi+yi+toEAlij
        GLOSS:	[present-tense]+he/it+be treated/be cured

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P66W7
      OFFSETS:	34-36
       TOKENS:	P66W8-P66W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مرض
     IS_TRANS:	mrD
        INDEX:	P66W8
      OFFSETS:	37-40
       TOKENS:	P66W9-P66W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maraD_1]
   UNSPLITVOC:	(maraD)
          POS:	NOUN
          VOC:	maraD
        GLOSS:	disease/illness

 INPUT STRING:	خبيث
     IS_TRANS:	xbyv
        INDEX:	P66W9
      OFFSETS:	41-45
       TOKENS:	P66W10-P66W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabiyv_1]
   UNSPLITVOC:	(xabiyv)
          POS:	ADJ
          VOC:	xabiyv
        GLOSS:	malicious/malignant

 INPUT STRING:	هيتعب
     IS_TRANS:	hytEb
        INDEX:	P66W10
      OFFSETS:	46-51
       TOKENS:	P66W11-P66W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tiEib_1]
   UNSPLITVOC:	(HayitoEab)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+toEab
        GLOSS:	will+he/it+get tired

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P66W11
      OFFSETS:	52-55
       TOKENS:	P66W13-P66W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	strong

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P66W12
      OFFSETS:	56-58
       TOKENS:	P66W14-P66W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	فترة
     IS_TRANS:	ftrp
        INDEX:	P66W13
      OFFSETS:	59-63
       TOKENS:	P66W15-P66W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatorap_1]
   UNSPLITVOC:	(fatorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fator+ap
        GLOSS:	phase/time period/interval/phases/time periods/intervals+[fem.sg.]

 INPUT STRING:	العلاج
     IS_TRANS:	AlElAj
        INDEX:	P66W14
      OFFSETS:	64-70
       TOKENS:	P66W16-P66W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EilAj_1]
   UNSPLITVOC:	(AlEilAj)
          POS:	DET+NOUN
          VOC:	Al+EilAj
        GLOSS:	the+treatment/therapy/processing

 INPUT STRING:	وممكن
     IS_TRANS:	wmmkn
        INDEX:	P66W15
      OFFSETS:	71-76
       TOKENS:	P66W17-P66W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(wimumokin)
          POS:	CONJ+ADJ
          VOC:	wi+mumokin
        GLOSS:	and+possible

 INPUT STRING:	تطول
     IS_TRANS:	tTwl
        INDEX:	P66W16
      OFFSETS:	77-81
       TOKENS:	P66W19-P66W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taw~il_1]
   UNSPLITVOC:	(tiTaw~il)
          POS:	IV3FS+IV
          VOC:	ti+Taw~il
        GLOSS:	it/they/she+not be lengthy/lengthen/be long

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P66W17
      OFFSETS:	82-84
       TOKENS:	P66W20-P66W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P66W18
      OFFSETS:	85-86
       TOKENS:	P66W21-P66W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الاخر
     IS_TRANS:	AlAxr
        INDEX:	P66W19
      OFFSETS:	87-92
       TOKENS:	P66W22-P66W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xir_1]
   UNSPLITVOC:	(Al|xir)
          POS:	DET+ADJ_COMP
          VOC:	Al+|xir
        GLOSS:	the+last/end

 INPUT STRING:	هيرتاح
     IS_TRANS:	hyrtAH
        INDEX:	P66W20
      OFFSETS:	93-99
       TOKENS:	P66W23-P66W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AirotAH_1]
   UNSPLITVOC:	(HayirotAH)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+rotAH
        GLOSS:	will+he/it+be comfortable

 INPUT STRING:	عمره
     IS_TRANS:	Emrh
        INDEX:	P66W21
      OFFSETS:	100-104
       TOKENS:	P66W25-P66W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumoruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Eumor+uh
        GLOSS:	age/life/ages/age groups+his/its

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P66W22
      OFFSETS:	105-108
       TOKENS:	P66W27-P66W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/every/entire+his/its

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P67W1
      OFFSETS:	0-1
       TOKENS:	P67W1-P67W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P67W2
      OFFSETS:	2-7
       TOKENS:	P67W2-P67W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	العظيم
     IS_TRANS:	AlEZym
        INDEX:	P67W3
      OFFSETS:	8-14
       TOKENS:	P67W4-P67W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaZiym_1]
   UNSPLITVOC:	(AlEaZiym)
          POS:	DET+ADJ
          VOC:	Al+EaZiym
        GLOSS:	the+powerful/great

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P67W4
      OFFSETS:	15-18
       TOKENS:	P67W5-P67W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مقدره
     IS_TRANS:	mqdrh
        INDEX:	P67W5
      OFFSETS:	19-24
       TOKENS:	P67W6-P67W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miqad~ar_1]
   UNSPLITVOC:	(miqad~arap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	miqad~ar+ap
        GLOSS:	appreciating+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P67W6
      OFFSETS:	25-27
       TOKENS:	P67W7-P67W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P67W7
      OFFSETS:	28-30
       TOKENS:	P67W8-P67W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	there is+him/it

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P67W8
      OFFSETS:	31-34
       TOKENS:	P67W10-P67W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	اتسحلت
     IS_TRANS:	AtsHlt
        INDEX:	P67W9
      OFFSETS:	35-41
       TOKENS:	P67W11-P67W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitsaHal_1]
   UNSPLITVOC:	(AitsaHalit)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	AitsaHal+it
        GLOSS:	be scraped off+it/they/she

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P67W10
      OFFSETS:	42-45
       TOKENS:	P67W12-P67W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P67W11
      OFFSETS:	46-52
       TOKENS:	P67W13-P67W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	وبتعاني
     IS_TRANS:	wbtEAny
        INDEX:	P67W12
      OFFSETS:	53-60
       TOKENS:	P67W14-P67W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAnaY_1]
   UNSPLITVOC:	(wibitiEAniy)
          POS:	CONJ+PROG_PART+IV3FS+IV
          VOC:	wi+bi+ti+EAniy
        GLOSS:	and+[present-tense]+it/they/she+suffer/be suffered

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P67W13
      OFFSETS:	61-63
       TOKENS:	P67W17-P67W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ارجع
     IS_TRANS:	ArjE
        INDEX:	P67W14
      OFFSETS:	64-68
       TOKENS:	P67W18-P67W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(AarojaE)
          POS:	IV1S+IV
          VOC:	Aa+rojaE
        GLOSS:	I+go back/return back

 INPUT STRING:	اقول
     IS_TRANS:	Aqwl
        INDEX:	P67W15
      OFFSETS:	69-73
       TOKENS:	P67W19-P67W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwl)
          POS:	IV1S+IV
          VOC:	Aa+quwl
        GLOSS:	I+said/say/be said/say/(for example)

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P67W16
      OFFSETS:	74-76
       TOKENS:	P67W20-P67W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P67W17
      OFFSETS:	77-81
       TOKENS:	P67W21-P67W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	NOUN
          VOC:	>akiyd
        GLOSS:	certain/definite

 INPUT STRING:	مكنش
     IS_TRANS:	mkn$
        INDEX:	P67W18
      OFFSETS:	82-86
       TOKENS:	P67W22-P67W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kan~_1]
   UNSPLITVOC:	(mA_kan~i$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+kan~+(null)+$
        GLOSS:	not+be+he/it+not

 INPUT STRING:	احسن
     IS_TRANS:	AHsn
        INDEX:	P67W19
      OFFSETS:	87-91
       TOKENS:	P67W25-P67W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(>aHosan)
          POS:	ADJ_COMP
          VOC:	>aHosan
        GLOSS:	better/best

 INPUT STRING:	نفضل
     IS_TRANS:	nfDl
        INDEX:	P67W20
      OFFSETS:	92-96
       TOKENS:	P67W26-P67W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiDil_1]
   UNSPLITVOC:	(nifoDal)
          POS:	IV1P+IV
          VOC:	ni+foDal
        GLOSS:	we+remain/continue

 INPUT STRING:	نتسرق
     IS_TRANS:	ntsrq
        INDEX:	P67W21
      OFFSETS:	97-102
       TOKENS:	P67W27-P67W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saraq_1]
   UNSPLITVOC:	(nitosiriq)
          POS:	IV1P+IV_PASS
          VOC:	ni+tosiriq
        GLOSS:	we+be stolen

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P67W22
      OFFSETS:	103-105
       TOKENS:	P67W28-P67W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	جوا
     IS_TRANS:	jwA
        INDEX:	P67W23
      OFFSETS:	106-109
       TOKENS:	P67W29-P67W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juw~ap_1]
   UNSPLITVOC:	(juw~aA)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	juw~+ap
        GLOSS:	in side/inside/interior+[fem.sg.]

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P67W24
      OFFSETS:	110-113
       TOKENS:	P67W30-P67W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wimin)
          POS:	CONJ+PREP
          VOC:	wi+min
        GLOSS:	and+from

 INPUT STRING:	برا
     IS_TRANS:	brA
        INDEX:	P67W25
      OFFSETS:	114-117
       TOKENS:	P67W32-P67W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bar~ap_1]
   UNSPLITVOC:	(bar~aA)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bar~+ap
        GLOSS:	outside/abroad/outer part+[fem.sg.]

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P67W26
      OFFSETS:	118-122
       TOKENS:	P67W33-P67W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also/too

 INPUT STRING:	حال
     IS_TRANS:	HAl
        INDEX:	P67W27
      OFFSETS:	123-126
       TOKENS:	P67W34-P67W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAl)
          POS:	NOUN
          VOC:	HAl
        GLOSS:	situation/condition/case/situations/conditions/cases

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P67W28
      OFFSETS:	127-132
       TOKENS:	P67W35-P67W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/countries

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P67W29
      OFFSETS:	133-135
       TOKENS:	P67W36-P67W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
