 INPUT STRING:	ببساطة
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بيرد
     IS_TRANS:	byrd
        INDEX:	P19W9
      OFFSETS:	40-44
       TOKENS:	P19W12-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(biyirud~)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+rud~
        GLOSS:	[present-tense]+he/it+answer

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P19W10
      OFFSETS:	45-49
       TOKENS:	P19W14-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+he/it

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P19W11
      OFFSETS:	50-53
       TOKENS:	P19W16-P19W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	بيبص
     IS_TRANS:	bybS
        INDEX:	P19W12
      OFFSETS:	54-58
       TOKENS:	P19W18-P19W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(biyibuS~)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+buS~
        GLOSS:	[present-tense]+he/it+look

 INPUT STRING:	ناحيته
     IS_TRANS:	nAHyth
        INDEX:	P19W13
      OFFSETS:	59-65
       TOKENS:	P19W20-P19W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAHoyap_1]
   UNSPLITVOC:	(nAHoyituh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	nAHoy+ap+uh
        GLOSS:	side+[fem.sg.]+his/its

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P20W1
      OFFSETS:	0-3
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PREP
          VOC:	Hat~aY
        GLOSS:	until/up to

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P20W2
      OFFSETS:	3-4
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	راح
     IS_TRANS:	rAH
        INDEX:	P20W3
      OFFSETS:	5-8
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(rAH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	rAH+(null)
        GLOSS:	go+he/it

 INPUT STRING:	مدير
     IS_TRANS:	mdyr
        INDEX:	P20W4
      OFFSETS:	9-13
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mudiyr_1]
   UNSPLITVOC:	(mudiyr)
          POS:	NOUN
          VOC:	mudiyr
        GLOSS:	director/manager/chief/directors/managers

 INPUT STRING:	الأمن
     IS_TRANS:	Al>mn
        INDEX:	P20W5
      OFFSETS:	14-19
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	نده
     IS_TRANS:	ndh
        INDEX:	P20W6
      OFFSETS:	20-23
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nadah_1]
   UNSPLITVOC:	(nadah)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	nadah+(null)
        GLOSS:	urge on/drive away+he/it

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P20W7
      OFFSETS:	24-27
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الظابط
     IS_TRANS:	AlZAbT
        INDEX:	P20W8
      OFFSETS:	28-34
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZAbiT_1]
   UNSPLITVOC:	(AlZ~AbiT)
          POS:	DET+NOUN
          VOC:	Al+ZAbiT
        GLOSS:	the+officer

 INPUT STRING:	الصغير
     IS_TRANS:	AlSgyr
        INDEX:	P20W9
      OFFSETS:	35-41
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sugay~ar_1]
   UNSPLITVOC:	(AlS~ugay~ar)
          POS:	DET+ADJ
          VOC:	Al+Sugay~ar
        GLOSS:	the+little

 INPUT STRING:	المسئول
     IS_TRANS:	Alms}wl
        INDEX:	P20W10
      OFFSETS:	42-49
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso}uwl_1]
   UNSPLITVOC:	(Almaso}uwl)
          POS:	DET+NOUN
          VOC:	Al+maso}uwl
        GLOSS:	the+responsible

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P20W11
      OFFSETS:	50-52
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	العسكري
     IS_TRANS:	AlEskry
        INDEX:	P20W12
      OFFSETS:	53-60
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P20W13
      OFFSETS:	60-61
       TOKENS:	P20W13-P20W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	قاله
     IS_TRANS:	qAlh
        INDEX:	P21W1
      OFFSETS:	0-4
       TOKENS:	P21W1-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlluh)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_3MS
          VOC:	qAl+(null)+l+uh
        GLOSS:	say+he/it+to+he/it

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P21W2
      OFFSETS:	5-8
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyh_1]
   UNSPLITVOC:	(>iyh)
          POS:	INTERROG_PRON
          VOC:	>iyh
        GLOSS:	what

 INPUT STRING:	الحكاية
     IS_TRANS:	AlHkAyp
        INDEX:	P21W3
      OFFSETS:	9-16
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HikAyap_1]
   UNSPLITVOC:	(AlHikAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HikAy+ap
        GLOSS:	the+story/account+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P21W4
      OFFSETS:	16-17
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P21W5
      OFFSETS:	17-18
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	قاله
     IS_TRANS:	qAlh
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlluh)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_3MS
          VOC:	qAl+(null)+lu+h
        GLOSS:	say+he/it+to+he/it

 INPUT STRING:	أصلهم
     IS_TRANS:	>Slhm
        INDEX:	P22W2
      OFFSETS:	5-10
       TOKENS:	P22W4-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSoluhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	>aSol+hum
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily/funds/capital+their

 INPUT STRING:	متدربين
     IS_TRANS:	mtdrbyn
        INDEX:	P22W3
      OFFSETS:	11-18
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitodar~ab_1]
   UNSPLITVOC:	(mitodar~abiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	mitodar~ab+iyn
        GLOSS:	trained+[masc.pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P22W4
      OFFSETS:	19-22
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	إطاعة
     IS_TRANS:	<TAEp
        INDEX:	P22W5
      OFFSETS:	23-28
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iTAEap_1]
   UNSPLITVOC:	(<iTAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<iTAE+ap
        GLOSS:	obedience+[fem.sg.]

 INPUT STRING:	أوامري
     IS_TRANS:	>wAmry
        INDEX:	P22W6
      OFFSETS:	29-35
       TOKENS:	P22W9-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amr_1]
   UNSPLITVOC:	(>awAmriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>awAmr+iy
        GLOSS:	orders+my

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P22W7
      OFFSETS:	36-39
       TOKENS:	P22W11-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P22W8
      OFFSETS:	40-42
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P22W9
      OFFSETS:	43-45
       TOKENS:	P22W13-P22W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	أفندم
     IS_TRANS:	>fndm
        INDEX:	P22W10
      OFFSETS:	46-51
       TOKENS:	P22W14-P22W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afanodim_1]
   UNSPLITVOC:	(>afanodim)
          POS:	NOUN_PROP
          VOC:	>afanodim
        GLOSS:	Sir/Madam

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P22W11
      OFFSETS:	51-52
       TOKENS:	P22W15-P22W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	قاله
     IS_TRANS:	qAlh
        INDEX:	P23W1
      OFFSETS:	0-4
       TOKENS:	P23W1-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlluh)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_3MS
          VOC:	qAl+(null)+lu+h
        GLOSS:	say+he/it+to+he/it

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P23W2
      OFFSETS:	5-8
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	انده
     IS_TRANS:	Andh
        INDEX:	P23W3
      OFFSETS:	9-13
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nadah_1]
   UNSPLITVOC:	(Ainodah)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Ainodah+(null)
        GLOSS:	urge on/drive away+you

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P23W4
      OFFSETS:	14-16
       TOKENS:	P23W6-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to+he/it

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P23W5
      OFFSETS:	16-17
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	راح
     IS_TRANS:	rAH
        INDEX:	P24W1
      OFFSETS:	0-3
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(rAH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	rAH+(null)
        GLOSS:	go+he/it

 INPUT STRING:	ناده
     IS_TRANS:	nAdh
        INDEX:	P24W2
      OFFSETS:	4-8
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdih_1]
   UNSPLITVOC:	(nAdih)
          POS:	ADJ
          VOC:	nAdih
        GLOSS:	calling

 INPUT STRING:	للعسكري
     IS_TRANS:	llEskry
        INDEX:	P24W3
      OFFSETS:	9-16
       TOKENS:	P24W3-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(lilEasokariy)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Easokariy
        GLOSS:	to/for+the+soldier/private

 INPUT STRING:	قام
     IS_TRANS:	qAm
        INDEX:	P24W4
      OFFSETS:	17-20
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(qAm)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAm+(null)
        GLOSS:	be based (on)+he/it

 INPUT STRING:	جه
     IS_TRANS:	jh
        INDEX:	P24W5
      OFFSETS:	21-23
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(jA)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	jA+(null)
        GLOSS:	come+he/it

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P24W6
      OFFSETS:	23-24
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	مدير
     IS_TRANS:	mdyr
        INDEX:	P25W1
      OFFSETS:	0-4
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mudiyr_1]
   UNSPLITVOC:	(mudiyr)
          POS:	NOUN
          VOC:	mudiyr
        GLOSS:	director/manager/chief/directors/managers

 INPUT STRING:	الأمن
     IS_TRANS:	Al>mn
        INDEX:	P25W2
      OFFSETS:	5-10
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	قاله
     IS_TRANS:	qAlh
        INDEX:	P25W3
      OFFSETS:	11-15
       TOKENS:	P25W3-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlluh)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_3MS
          VOC:	qAl+(null)+lu+h
        GLOSS:	say+he/it+to+he/it

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P25W4
      OFFSETS:	16-18
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	أمرته
     IS_TRANS:	>mrth
        INDEX:	P25W5
      OFFSETS:	19-24
       TOKENS:	P25W7-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amar_1]
   UNSPLITVOC:	(>amartuh)
          POS:	PV+PVSUFF_SUBJ:2MS+PVSUFF_DO:3MS
          VOC:	>amar+t+uh
        GLOSS:	order+you+it/him

 INPUT STRING:	بأي
     IS_TRANS:	b>y
        INDEX:	P25W6
      OFFSETS:	25-28
       TOKENS:	P25W9-P25W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(bi>ay~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+>ay~
        GLOSS:	with/by+any

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P25W7
      OFFSETS:	29-33
       TOKENS:	P25W11-P25W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	يعملها
     IS_TRANS:	yEmlhA
        INDEX:	P25W8
      OFFSETS:	34-40
       TOKENS:	P25W12-P25W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomilhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+Eomil+hA
        GLOSS:	he/it+do+it/them/her

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P25W9
      OFFSETS:	40-41
       TOKENS:	P25W14-P25W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	قاله
     IS_TRANS:	qAlh
        INDEX:	P26W1
      OFFSETS:	0-4
       TOKENS:	P26W1-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlluh)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_3MS
          VOC:	qAl+(null)+lu+h
        GLOSS:	say+he/it+to+he/it

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P26W2
      OFFSETS:	5-9
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P26W3
      OFFSETS:	9-10
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	قاله
     IS_TRANS:	qAlh
        INDEX:	P27W1
      OFFSETS:	0-4
       TOKENS:	P27W1-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlluh)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_3MS
          VOC:	qAl+(null)+lu+h
        GLOSS:	say+he/it+to+he/it

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P27W2
      OFFSETS:	5-8
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	اؤمره
     IS_TRANS:	A&mrh
        INDEX:	P27W3
      OFFSETS:	9-14
       TOKENS:	P27W5-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amar_1]
   UNSPLITVOC:	(Au&omuruh)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3MS
          VOC:	Au&omur+(null)+uh
        GLOSS:	command/order/prescribe+you+it/him

 INPUT STRING:	ينط
     IS_TRANS:	ynT
        INDEX:	P27W4
      OFFSETS:	15-18
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naT_1]
   UNSPLITVOC:	(yinuT)
          POS:	IV3MS+IV
          VOC:	yi+nuT
        GLOSS:	he/it+jump

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P27W5
      OFFSETS:	19-21
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المية
     IS_TRANS:	Almyp
        INDEX:	P27W6
      OFFSETS:	22-27
       TOKENS:	P27W9-P27W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[may~ap_1]
   UNSPLITVOC:	(Almay~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+may~+ap
        GLOSS:	the+water+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P27W7
      OFFSETS:	27-28
       TOKENS:	P27W10-P27W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	راح
     IS_TRANS:	rAH
        INDEX:	P28W1
      OFFSETS:	0-3
       TOKENS:	P28W1-P28W1
