 INPUT STRING:	مين
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AlEamal)
          POS:	DET+NOUN
          VOC:	Al+Eamal
        GLOSS:	the+work/action

 INPUT STRING:	ليست
     IS_TRANS:	lyst
        INDEX:	P53W6
      OFFSETS:	26-30
       TOKENS:	P53W7-P53W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lays_1]
   UNSPLITVOC:	(laysit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	lays+it
        GLOSS:	not be+it/they/she [verb]

 INPUT STRING:	حجه
     IS_TRANS:	Hjh
        INDEX:	P53W7
      OFFSETS:	31-34
       TOKENS:	P53W8-P53W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hij~ap_1]
   UNSPLITVOC:	(Hij~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hij~+ap
        GLOSS:	reason+[fem.sg.]

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P53W8
      OFFSETS:	35-38
       TOKENS:	P53W9-P53W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for/to+that

 INPUT STRING:	تسوق
     IS_TRANS:	tswq
        INDEX:	P53W9
      OFFSETS:	39-43
       TOKENS:	P53W11-P53W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAq_1]
   UNSPLITVOC:	(tisuwq)
          POS:	IV3FS+IV
          VOC:	ti+suwq
        GLOSS:	it/she/they+drive/lead/direct

 INPUT STRING:	السياره
     IS_TRANS:	AlsyArh
        INDEX:	P53W10
      OFFSETS:	44-51
       TOKENS:	P53W12-P53W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~Arap_1]
   UNSPLITVOC:	(Als~ay~Arap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+say~Ar+ap
        GLOSS:	the+car/automobile/vehicle/cars/automobiles/vehicles+[fem.sg.]

 INPUT STRING:	ولابد
     IS_TRANS:	wlAbd
        INDEX:	P53W11
      OFFSETS:	52-57
       TOKENS:	P53W13-P53W13
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wlAbd)
          POS:	NO_FUNC
          VOC:	wlAbd
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P53W12
      OFFSETS:	58-60
       TOKENS:	P53W14-P53W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	وجود
     IS_TRANS:	wjwd
        INDEX:	P53W13
      OFFSETS:	61-65
       TOKENS:	P53W15-P53W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwd)
          POS:	NOUN
          VOC:	wujuwd
        GLOSS:	presence/existence

 INPUT STRING:	اخ
     IS_TRANS:	Ax
        INDEX:	P54W1
      OFFSETS:	0-2
       TOKENS:	P54W1-P54W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax_1]
   UNSPLITVOC:	(>ax)
          POS:	NOUN
          VOC:	>ax
        GLOSS:	brother

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P54W2
      OFFSETS:	3-5
       TOKENS:	P54W2-P54W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	اب
     IS_TRANS:	Ab
        INDEX:	P54W3
      OFFSETS:	6-8
       TOKENS:	P54W3-P54W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ab~_1]
   UNSPLITVOC:	(>ab~)
          POS:	NOUN
          VOC:	>ab~
        GLOSS:	father

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P54W4
      OFFSETS:	9-11
       TOKENS:	P54W4-P54W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	زوج
     IS_TRANS:	zwj
        INDEX:	P54W5
      OFFSETS:	12-15
       TOKENS:	P54W5-P54W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zawj_1]
   UNSPLITVOC:	(zawj)
          POS:	NOUN
          VOC:	zawj
        GLOSS:	spouse/husband

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P54W6
      OFFSETS:	16-18
       TOKENS:	P54W6-P54W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P54W7
      OFFSETS:	19-22
       TOKENS:	P54W7-P54W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	عم
     IS_TRANS:	Em
        INDEX:	P54W8
      OFFSETS:	23-25
       TOKENS:	P54W8-P54W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(Eam~)
          POS:	NOUN
          VOC:	Eam~
        GLOSS:	paternal uncle/paternal uncles

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P54W9
      OFFSETS:	26-29
       TOKENS:	P54W9-P54W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	to/for+it/them/her (it/she has, they have)

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P54W10
      OFFSETS:	30-32
       TOKENS:	P54W11-P54W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	خال
     IS_TRANS:	xAl
        INDEX:	P54W11
      OFFSETS:	33-36
       TOKENS:	P54W12-P54W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAl_1]
   UNSPLITVOC:	(xAl)
          POS:	NOUN
          VOC:	xAl
        GLOSS:	maternal uncle/maternal uncles

 INPUT STRING:	يستطيع
     IS_TRANS:	ystTyE
        INDEX:	P54W12
      OFFSETS:	37-43
       TOKENS:	P54W13-P54W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<istaTAE_1]
   UNSPLITVOC:	(yastaTiyE)
          POS:	IV3MS+IV
          VOC:	ya+staTiyE
        GLOSS:	he/it+be able/be capable

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P54W13
      OFFSETS:	44-46
       TOKENS:	P54W14-P54W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يتكفل
     IS_TRANS:	ytkfl
        INDEX:	P54W14
      OFFSETS:	47-52
       TOKENS:	P54W15-P54W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[takaf~al_1]
   UNSPLITVOC:	(yatakaf~al)
          POS:	IV3MS+IV
          VOC:	ya+takaf~al
        GLOSS:	he/it+become liable/be responsible

 INPUT STRING:	بها
     IS_TRANS:	bhA
        INDEX:	P54W15
      OFFSETS:	53-56
       TOKENS:	P54W16-P54W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+it/them/her

 INPUT STRING:	يوديها
     IS_TRANS:	ywdyhA
        INDEX:	P54W16
      OFFSETS:	57-63
       TOKENS:	P54W18-P54W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wad~aY_1]
   UNSPLITVOC:	(yiwad~iyhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+wad~iy+hA
        GLOSS:	he/it+lead them+it/them/her

 INPUT STRING:	للدوام
     IS_TRANS:	lldwAm
        INDEX:	P54W17
      OFFSETS:	64-70
       TOKENS:	P54W20-P54W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawAm_1]
   UNSPLITVOC:	(lild~awAm)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+dawAm
        GLOSS:	for/to+the+duration/permanence/ office hours/permanently

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P55W1
      OFFSETS:	0-2
       TOKENS:	P55W1-P55W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	لشراء
     IS_TRANS:	l$rA'
        INDEX:	P55W2
      OFFSETS:	3-8
       TOKENS:	P55W2-P55W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$irA'_1]
   UNSPLITVOC:	(li$irA')
          POS:	PREP+NOUN
          VOC:	li+$irA'
        GLOSS:	for/to+purchase

 INPUT STRING:	حاجياتها
     IS_TRANS:	HAjyAthA
        INDEX:	P55W3
      OFFSETS:	9-17
       TOKENS:	P55W4-P55W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAjiy~_1]
   UNSPLITVOC:	(HAjiy~AthA)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3FS
          VOC:	HAjiy~+At+hA
        GLOSS:	basic necessities+[fem.pl.]+its/their/her

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P55W4
      OFFSETS:	18-20
       TOKENS:	P55W6-P55W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P55W5
      OFFSETS:	21-23
       TOKENS:	P55W7-P55W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	مكان
     IS_TRANS:	mkAn
        INDEX:	P55W6
      OFFSETS:	24-28
       TOKENS:	P55W8-P55W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAn)
          POS:	NOUN
          VOC:	makAn
        GLOSS:	place/location/position

 INPUT STRING:	تريد
     IS_TRANS:	tryd
        INDEX:	P55W7
      OFFSETS:	29-33
       TOKENS:	P55W9-P55W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>arAd_1]
   UNSPLITVOC:	(turiyd)
          POS:	IV3FS+IV
          VOC:	tu+riyd
        GLOSS:	it/they/she+want/ desire/ intend

 INPUT STRING:	الذهاب
     IS_TRANS:	Al*hAb
        INDEX:	P55W8
      OFFSETS:	34-40
       TOKENS:	P55W10-P55W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ihAb_1]
   UNSPLITVOC:	(Al*~ihAb)
          POS:	DET+NOUN
          VOC:	Al+*ihAb
        GLOSS:	the+going/departure

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P55W9
      OFFSETS:	41-44
       TOKENS:	P55W11-P55W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyoh_1]
   UNSPLITVOC:	(<iyoh)
          POS:	INTERROG_PRON
          VOC:	<iyoh
        GLOSS:	what

 INPUT STRING:	0
     IS_TRANS:	0
        INDEX:	P55W10
      OFFSETS:	44-45
       TOKENS:	P55W12-P55W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[0_1]
   UNSPLITVOC:	(0)
          POS:	NOUN_NUM
          VOC:	0
        GLOSS:	0

 INPUT STRING:	لانه
     IS_TRANS:	lAnh
        INDEX:	P56W1
      OFFSETS:	0-4
       TOKENS:	P56W1-P56W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~uh)
          POS:	PREP+SUB_CONJ+PRON_3MS
          VOC:	li+<in~+uh
        GLOSS:	for+that+it/he

 INPUT STRING:	نحن
     IS_TRANS:	nHn
        INDEX:	P56W2
      OFFSETS:	5-8
       TOKENS:	P56W4-P56W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naHnu_1]
   UNSPLITVOC:	(naHonu)
          POS:	PRON_1P
          VOC:	naHonu
        GLOSS:	we

 INPUT STRING:	محافظين
     IS_TRANS:	mHAfZyn
        INDEX:	P56W3
      OFFSETS:	9-16
       TOKENS:	P56W5-P56W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAfiZ_1]
   UNSPLITVOC:	(muHAfiZiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	muHAfiZ+iyn
        GLOSS:	conservative+[masc.pl.]

 INPUT STRING:	ولكم
     IS_TRANS:	wlkm
        INDEX:	P56W4
      OFFSETS:	17-21
       TOKENS:	P56W6-P56W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(walakum)
          POS:	CONJ+PREP+PRON_2P
          VOC:	wa+la+kum
        GLOSS:	and+to/for+you [masc.pl.] (you have)

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P56W5
      OFFSETS:	22-24
       TOKENS:	P56W9-P56W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	الشكر
     IS_TRANS:	Al$kr
        INDEX:	P56W6
      OFFSETS:	25-30
       TOKENS:	P56W10-P56W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	(Al$~ukor)
          POS:	DET+NOUN
          VOC:	Al+$ukor
        GLOSS:	the+thank you/thanks

 INPUT STRING:	وارجو
     IS_TRANS:	wArjw
        INDEX:	P57W1
      OFFSETS:	0-5
       TOKENS:	P57W1-P57W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rajA_1]
   UNSPLITVOC:	(wiAarojuw)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+rojuw
        GLOSS:	and+i+request/hope for/plead to

 INPUT STRING:	منكم
     IS_TRANS:	mnkm
        INDEX:	P57W2
      OFFSETS:	6-10
       TOKENS:	P57W3-P57W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minkum)
          POS:	PREP+PRON_2P
          VOC:	min+kum
        GLOSS:	from+you [masc.pl.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P57W3
      OFFSETS:	11-13
       TOKENS:	P57W5-P57W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	اخوان
     IS_TRANS:	AxwAn
        INDEX:	P57W4
      OFFSETS:	14-19
       TOKENS:	P57W6-P57W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(<ixowAn)
          POS:	NOUN
          VOC:	<ixowAn
        GLOSS:	brothers

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P57W5
      OFFSETS:	20-22
       TOKENS:	P57W7-P57W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تفهموا
     IS_TRANS:	tfhmwA
        INDEX:	P57W6
      OFFSETS:	23-29
       TOKENS:	P57W8-P57W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(tifohamuwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+foham+uwA
        GLOSS:	you[masc.pl.]+understand+we[masc.pl.]

 INPUT STRING:	رايي
     IS_TRANS:	rAyy
        INDEX:	P57W7
      OFFSETS:	30-34
       TOKENS:	P57W9-P57W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oyiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	ra>oy+iy
        GLOSS:	opinion/view/idea+my

 INPUT STRING:	بصراحه
     IS_TRANS:	bSrAHh
        INDEX:	P57W8
      OFFSETS:	35-41
       TOKENS:	P57W11-P57W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(biSarAHap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+SarAH+ap
        GLOSS:	with/by+sincerity/candor/frankness+[fem.sg.]

 INPUT STRING:	واعتذر
     IS_TRANS:	wAEt*r
        INDEX:	P58W1
      OFFSETS:	0-6
       TOKENS:	P58W1-P58W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEota*ar_1]
   UNSPLITVOC:	(wiAaEota*ir)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+Eato*ir
        GLOSS:	and+i+apologize

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P58W2
      OFFSETS:	7-9
       TOKENS:	P58W3-P58W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الاخت
     IS_TRANS:	AlAxt
        INDEX:	P58W3
      OFFSETS:	10-15
       TOKENS:	P58W4-P58W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxot_1]
   UNSPLITVOC:	(Al>uxot)
          POS:	DET+NOUN
          VOC:	Al+>uxot
        GLOSS:	the+sister/counterpart/sisters

 INPUT STRING:	حنين
     IS_TRANS:	Hnyn
        INDEX:	P58W4
      OFFSETS:	16-20
       TOKENS:	P58W5-P58W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hinayn_1]
   UNSPLITVOC:	(Hinayn)
          POS:	NOUN_PROP
          VOC:	Hinayn
        GLOSS:	hanen

 INPUT STRING:	لانه
     IS_TRANS:	lAnh
        INDEX:	P58W5
      OFFSETS:	21-25
       TOKENS:	P58W6-P58W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~uh)
          POS:	PREP+SUB_CONJ+PRON_3MS
          VOC:	li+<in~+uh
        GLOSS:	for+that+it/he

 INPUT STRING:	رايي
     IS_TRANS:	rAyy
        INDEX:	P58W6
      OFFSETS:	26-30
       TOKENS:	P58W9-P58W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oyiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	ra>oy+iy
        GLOSS:	opinion/view/idea+my

 INPUT STRING:	يشكل
     IS_TRANS:	y$kl
        INDEX:	P58W7
      OFFSETS:	31-35
       TOKENS:	P58W11-P58W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ak~al_1]
   UNSPLITVOC:	(yi$ak~il)
          POS:	IV3MS+IV
          VOC:	yi+$ak~il
        GLOSS:	he/it+represents/appear

 INPUT STRING:	خيبه
     IS_TRANS:	xybh
        INDEX:	P58W8
      OFFSETS:	36-40
       TOKENS:	P58W12-P58W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaybap_1]
   UNSPLITVOC:	(xaybap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	xayb+ap
        GLOSS:	disappointment/failure+[fem.sg.]

 INPUT STRING:	امل
     IS_TRANS:	Aml
        INDEX:	P58W9
      OFFSETS:	41-44
       TOKENS:	P58W13-P58W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amal_1]
   UNSPLITVOC:	(>amal)
          POS:	NOUN
          VOC:	>amal
        GLOSS:	hope/wish

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P58W10
      OFFSETS:	45-48
       TOKENS:	P58W14-P58W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	to/for+it/them/her (it/she has, they have)

 INPUT STRING:	ولكنها
     IS_TRANS:	wlknhA
        INDEX:	P58W11
      OFFSETS:	49-55
       TOKENS:	P58W16-P58W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[l`kin~a_1]
   UNSPLITVOC:	(wal`kin~ahA)
          POS:	CONJ+PSEUDO_VERB+PRON_3FS
          VOC:	wa+l`kin~a+hA
        GLOSS:	and+But, however, yet, still, nevertheless, on the other hand+it/they/she

 INPUT STRING:	الحقيقه
     IS_TRANS:	AlHqyqh
        INDEX:	P58W12
      OFFSETS:	56-63
       TOKENS:	P58W19-P58W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqap_1]
   UNSPLITVOC:	(AlHaqiyqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Haqiyq+ap
        GLOSS:	the+truth/reality/truth/facts+[fem.sg.]

 INPUT STRING:	وارجو
     IS_TRANS:	wArjw
        INDEX:	P59W1
      OFFSETS:	0-5
       TOKENS:	P59W1-P59W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rajA_1]
   UNSPLITVOC:	(wiAarojuw)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+rojuw
        GLOSS:	and+i+request/hope for/plead to

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P59W2
      OFFSETS:	6-8
       TOKENS:	P59W3-P59W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تقبلو
     IS_TRANS:	tqblw
        INDEX:	P59W3
      OFFSETS:	9-14
       TOKENS:	P59W4-P59W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabal_1]
   UNSPLITVOC:	(tiqobaluwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+qobal+uwA
        GLOSS:	you+accept+[pl.]

 INPUT STRING:	تحيات
     IS_TRANS:	tHyAt
