 INPUT STRING:	بالبلدى
      COMMENT:	[]
        LEMMA:	[xab~aY_1]
   UNSPLITVOC:	(yixab~uwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+xab~+uwA
        GLOSS:	they+hide/conceal+[pl.]

 INPUT STRING:	أفضل
     IS_TRANS:	>fDl
        INDEX:	P152W15
      OFFSETS:	88-92
       TOKENS:	P152W23-P152W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afoDal_1]
   UNSPLITVOC:	(>afoDal)
          POS:	ADJ_COMP
          VOC:	>afoDal
        GLOSS:	better/best

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P152W16
      OFFSETS:	92-93
       TOKENS:	P152W24-P152W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P152W17
      OFFSETS:	93-94
       TOKENS:	P152W25-P152W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P152W18
      OFFSETS:	94-95
       TOKENS:	P152W26-P152W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وفيه
     IS_TRANS:	wfyh
        INDEX:	P153W1
      OFFSETS:	0-4
       TOKENS:	P153W1-P153W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiyh)
          POS:	CONJ+PREP+PRON_3MS
          VOC:	wi+fiy+uh
        GLOSS:	and+in+him/it

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P153W2
      OFFSETS:	5-8
       TOKENS:	P153W4-P153W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	أسلمت
     IS_TRANS:	>slmt
        INDEX:	P153W3
      OFFSETS:	9-14
       TOKENS:	P153W5-P153W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(>slmt)
          POS:	NO_FUNC
          VOC:	>slmt
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P153W4
      OFFSETS:	15-17
       TOKENS:	P153W6-P153W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	سنييين
     IS_TRANS:	snyyyn
        INDEX:	P153W5
      OFFSETS:	18-24
       TOKENS:	P153W7-P153W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(siniyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	sin+iyn
        GLOSS:	years+[pl.]

 INPUT STRING:	ولحد
     IS_TRANS:	wlHd
        INDEX:	P154W1
      OFFSETS:	0-4
       TOKENS:	P154W1-P154W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(wiliHad~)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+li+Had~
        GLOSS:	and+for/to+extent/limit/level

 INPUT STRING:	دلؤتى
     IS_TRANS:	dl&tY
        INDEX:	P154W2
      OFFSETS:	5-10
       TOKENS:	P154W4-P154W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dilwaqtiy_1]
   UNSPLITVOC:	(dilwaqtiy)
          POS:	ADV
          VOC:	dilwaqtiy
        GLOSS:	now

 INPUT STRING:	محدش
     IS_TRANS:	mHd$
        INDEX:	P154W3
      OFFSETS:	11-15
       TOKENS:	P154W5-P154W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mHd$)
          POS:	NO_FUNC
          VOC:	mHd$
        GLOSS:	nogloss

 INPUT STRING:	عرف
     IS_TRANS:	Erf
        INDEX:	P154W4
      OFFSETS:	16-19
       TOKENS:	P154W6-P154W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(Eirif)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Eirif+(null)
        GLOSS:	know+he/it [verb]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P154W5
      OFFSETS:	20-22
       TOKENS:	P154W7-P154W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اهله
     IS_TRANS:	Ahlh
        INDEX:	P154W6
      OFFSETS:	23-27
       TOKENS:	P154W8-P154W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>aholuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>ahol+uh
        GLOSS:	family/people+his/its

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P154W7
      OFFSETS:	28-32
       TOKENS:	P154W10-P154W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	اسلموا
     IS_TRANS:	AslmwA
        INDEX:	P154W8
      OFFSETS:	33-39
       TOKENS:	P154W12-P154W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aslam_3]
   UNSPLITVOC:	(>aslamuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	>aslam+uwA
        GLOSS:	become muslim+they [verb]

 INPUT STRING:	والمسلمين
     IS_TRANS:	wAlmslmyn
        INDEX:	P155W1
      OFFSETS:	0-9
       TOKENS:	P155W1-P155W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(wiAlmusolimiyn)
          POS:	CONJ+DET+NOUN+NSUFF_MASC_PL
          VOC:	wi+Al+musolim+iyn
        GLOSS:	and+the+muslim+[masc.pl.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P155W2
      OFFSETS:	10-12
       TOKENS:	P155W3-P155W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P155W3
      OFFSETS:	13-17
       TOKENS:	P155W4-P155W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P155W4
      OFFSETS:	18-24
       TOKENS:	P155W5-P155W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+[masc.pl.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P156W1
      OFFSETS:	0-2
       TOKENS:	P156W1-P156W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P156W2
      OFFSETS:	3-6
       TOKENS:	P156W2-P156W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it [verb]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P156W3
      OFFSETS:	7-11
       TOKENS:	P156W3-P156W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	كلام
     IS_TRANS:	klAm
        INDEX:	P156W4
      OFFSETS:	12-16
       TOKENS:	P156W4-P156W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAm)
          POS:	NOUN
          VOC:	kalAm
        GLOSS:	speech/statement/remark/talk/saying

 INPUT STRING:	رائع
     IS_TRANS:	rA}E
        INDEX:	P156W5
      OFFSETS:	17-21
       TOKENS:	P156W5-P156W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rA}iE_1]
   UNSPLITVOC:	(rA}iE)
          POS:	ADJ
          VOC:	rA}iE
        GLOSS:	splendid/marvelous/magnificent

 INPUT STRING:	وفيه
     IS_TRANS:	wfyh
        INDEX:	P156W6
      OFFSETS:	22-26
       TOKENS:	P156W6-P156W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiyh)
          POS:	CONJ+PREP+PRON_3MS
          VOC:	wi+fiy+uh
        GLOSS:	and+in+him/it

 INPUT STRING:	اجابات
     IS_TRANS:	AjAbAt
        INDEX:	P156W7
      OFFSETS:	27-33
       TOKENS:	P156W9-P156W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ijAbap_1]
   UNSPLITVOC:	(<ijAbAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	<ijAb+At
        GLOSS:	answer/response/consent+[fem.pl.]

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P156W8
      OFFSETS:	34-37
       TOKENS:	P156W10-P156W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+kul~
        GLOSS:	for/to+all, entire, every, whole

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P156W9
      OFFSETS:	38-40
       TOKENS:	P156W12-P156W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	لديه
     IS_TRANS:	ldyh
        INDEX:	P156W10
      OFFSETS:	41-45
       TOKENS:	P156W13-P156W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ladaY_1]
   UNSPLITVOC:	(ladiyh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	ladaY+h
        GLOSS:	with/by+its/his

 INPUT STRING:	سؤال
     IS_TRANS:	s&Al
        INDEX:	P156W11
      OFFSETS:	46-50
       TOKENS:	P156W15-P156W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(su&Al)
          POS:	NOUN
          VOC:	su&Al
        GLOSS:	question/inquiry

 INPUT STRING:	وبصراحه
     IS_TRANS:	wbSrAHh
        INDEX:	P157W1
      OFFSETS:	0-7
       TOKENS:	P157W1-P157W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(wibiSarAHap)
          POS:	CONJ+PREP+NOUN+NSUFF_FEM_SG
          VOC:	wi+bi+SarAH+ap
        GLOSS:	and+with/by+sincerity/candor/frankness+[fem.sg.]

 INPUT STRING:	بالنسبه
     IS_TRANS:	bAlnsbh
        INDEX:	P157W2
      OFFSETS:	8-15
       TOKENS:	P157W4-P157W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(biAln~isobap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+nisob+ap
        GLOSS:	with/by+the+link/relation (concerning/regarding)+[fem.sg.]

 INPUT STRING:	للنساء
     IS_TRANS:	llnsA'
        INDEX:	P157W3
      OFFSETS:	16-22
       TOKENS:	P157W6-P157W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(liln~isA')
          POS:	PREP+DET+NOUN
          VOC:	li+Al+nisA'
        GLOSS:	to/for+the+women

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P157W4
      OFFSETS:	23-26
       TOKENS:	P157W8-P157W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	المسلمات
     IS_TRANS:	AlmslmAt
        INDEX:	P157W5
      OFFSETS:	27-35
       TOKENS:	P157W9-P157W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Almusolim_1]
   UNSPLITVOC:	(AlmusolimAt)
          POS:	DET+ADJ+NSUFF_FEM_PL
          VOC:	Al+musolim+At
        GLOSS:	the+Muslim+[fem.pl.]

 INPUT STRING:	هتلاقي
     IS_TRANS:	htlAqy
        INDEX:	P157W6
      OFFSETS:	36-42
       TOKENS:	P157W10-P157W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(HatilAqiy)
          POS:	FUT_PART+IV2MS+IV
          VOC:	Ha+ti+lAqiy
        GLOSS:	will+you [masc.sg.]+meet/encounter

 INPUT STRING:	اكبر
     IS_TRANS:	Akbr
        INDEX:	P157W7
      OFFSETS:	43-47
       TOKENS:	P157W12-P157W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(>akobar)
          POS:	ADJ_COMP
          VOC:	>akobar
        GLOSS:	larger/largest/greater/greatest

 INPUT STRING:	نسبه
     IS_TRANS:	nsbh
        INDEX:	P157W8
      OFFSETS:	48-52
       TOKENS:	P157W13-P157W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(nisobap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	nisob+ap
        GLOSS:	rates/ratios/percentage figures+[fem.sg.]

 INPUT STRING:	مشاهده
     IS_TRANS:	m$Ahdh
        INDEX:	P157W9
      OFFSETS:	53-59
       TOKENS:	P157W14-P157W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu$Ahdap_1]
   UNSPLITVOC:	(mu$Ahdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mu$Ahd+ap
        GLOSS:	observation/viewing/inspection+[fem.sg.]

 INPUT STRING:	للبرامج
     IS_TRANS:	llbrAmj
        INDEX:	P157W10
      OFFSETS:	60-67
       TOKENS:	P157W15-P157W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bironAmij_1]
   UNSPLITVOC:	(lilbarAmij)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+barAmij
        GLOSS:	to/for+the+programs

 INPUT STRING:	الدينيه
     IS_TRANS:	Aldynyh
        INDEX:	P157W11
      OFFSETS:	68-75
       TOKENS:	P157W17-P157W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyniy_1]
   UNSPLITVOC:	(Ald~iyniy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+diyniy~+ap
        GLOSS:	the+religious+[fem.sg.]

 INPUT STRING:	نساء
     IS_TRANS:	nsA'
        INDEX:	P157W12
      OFFSETS:	76-80
       TOKENS:	P157W18-P157W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(nisA')
          POS:	NOUN
          VOC:	nisA'
        GLOSS:	women

 INPUT STRING:	ولما
     IS_TRANS:	wlmA
        INDEX:	P158W1
      OFFSETS:	0-4
       TOKENS:	P158W1-P158W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(wilam~A)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+lam~A
        GLOSS:	and+as, when

 INPUT STRING:	بيكون
     IS_TRANS:	bykwn
        INDEX:	P158W2
      OFFSETS:	5-10
       TOKENS:	P158W3-P158W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(biyikuwn)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+kuwn
        GLOSS:	[present-tense]+he/it+be

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P158W3
      OFFSETS:	11-14
       TOKENS:	P158W5-P158W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	دروس
     IS_TRANS:	drws
        INDEX:	P158W4
      OFFSETS:	15-19
       TOKENS:	P158W7-P158W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daros_1]
   UNSPLITVOC:	(duruws)
          POS:	NOUN
          VOC:	duruws
        GLOSS:	lessons/classes

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P158W5
      OFFSETS:	20-22
       TOKENS:	P158W8-P158W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	صلاه
     IS_TRANS:	SlAh
        INDEX:	P158W6
      OFFSETS:	23-27
       TOKENS:	P158W9-P158W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SalAp_1]
   UNSPLITVOC:	(SalAp)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SalA+ap
        GLOSS:	prayer/salat+[fem.sg.]

 INPUT STRING:	التراويح
     IS_TRANS:	AltrAwyH
        INDEX:	P158W7
      OFFSETS:	28-36
       TOKENS:	P158W10-P158W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarowiyHap_1]
   UNSPLITVOC:	(Alt~arAwiyH)
          POS:	DET+NOUN
          VOC:	Al+tarAwiyH
        GLOSS:	the+evening prayers (during Ramadan)

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P158W8
      OFFSETS:	37-39
       TOKENS:	P158W11-P158W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P158W9
      OFFSETS:	40-42
       TOKENS:	P158W12-P158W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P158W10
      OFFSETS:	43-45
       TOKENS:	P158W13-P158W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P158W11
      OFFSETS:	46-48
       TOKENS:	P158W14-P158W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	بتلاقي
     IS_TRANS:	btlAqy
        INDEX:	P158W12
      OFFSETS:	49-55
       TOKENS:	P158W15-P158W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(bitilAqiy)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+lAqiy
        GLOSS:	[present-tense]+you [masc.sg.]+meet/encounter

 INPUT STRING:	نسبه
     IS_TRANS:	nsbh
        INDEX:	P158W13
      OFFSETS:	56-60
       TOKENS:	P158W17-P158W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(nisobap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	nisob+ap
        GLOSS:	rates/ratios/percentage figures+[fem.sg.]

 INPUT STRING:	النساء
     IS_TRANS:	AlnsA'
        INDEX:	P158W14
      OFFSETS:	61-67
       TOKENS:	P158W18-P158W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(Aln~isA')
          POS:	DET+NOUN
          VOC:	Al+nisA'
        GLOSS:	the+women

 INPUT STRING:	اكبر
     IS_TRANS:	Akbr
        INDEX:	P158W15
      OFFSETS:	68-72
       TOKENS:	P158W19-P158W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(>akobar)
          POS:	ADJ_COMP
          VOC:	>akobar
        GLOSS:	larger/largest/greater/greatest

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P158W16
      OFFSETS:	73-75
       TOKENS:	P158W20-P158W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الرجال
     IS_TRANS:	AlrjAl
        INDEX:	P158W17
      OFFSETS:	76-82
       TOKENS:	P158W21-P158W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rajul_1]
   UNSPLITVOC:	(Alr~ijAl)
          POS:	DET+NOUN
          VOC:	Al+rijAl
        GLOSS:	the+men/people

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P158W18
      OFFSETS:	83-87
       TOKENS:	P158W22-P158W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يهدينا
     IS_TRANS:	yhdynA
        INDEX:	P158W19
      OFFSETS:	88-94
       TOKENS:	P158W24-P158W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaY_1]
   UNSPLITVOC:	(yihodiynA)
          POS:	IV3MS+IV+IVSUFF_DO:1P
          VOC:	yi+hodiy+nA
        GLOSS:	he/it+guide/direct/lead+us

 INPUT STRING:	جميعا
     IS_TRANS:	jmyEA
        INDEX:	P158W20
      OFFSETS:	95-100
       TOKENS:	P158W26-P158W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(jamiyEAF)
          POS:	NOUN_QUANT+CASE_INDEF_ACC
          VOC:	jamiyE+AF
        GLOSS:	all, entire, every, whole+[acc.indef.]

 INPUT STRING:	والتقييم
