 INPUT STRING:	الموضوع
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(Alwaqot)
          POS:	DET+NOUN
          VOC:	Al+waqot
        GLOSS:	the+time/moment/period of time

 INPUT STRING:	لحاجتين
     IS_TRANS:	lHAjtyn
        INDEX:	P46W5
      OFFSETS:	25-32
       TOKENS:	P46W5-P46W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(liHAjtayn)
          POS:	PREP+NOUN+NSUFF_FEM_DU
          VOC:	li+HAj+tayn
        GLOSS:	for/to+thing/belongings+two

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P46W6
      OFFSETS:	33-36
       TOKENS:	P46W7-P46W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P46W7
      OFFSETS:	37-43
       TOKENS:	P46W8-P46W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P46W8
      OFFSETS:	44-48
       TOKENS:	P46W9-P46W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEod)
          POS:	CONJ+NOUN
          VOC:	wi+baEod
        GLOSS:	and+after

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P46W9
      OFFSETS:	49-55
       TOKENS:	P46W11-P46W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	انما
     IS_TRANS:	AnmA
        INDEX:	P46W10
      OFFSETS:	56-60
       TOKENS:	P46W12-P46W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~amA_1]
   UNSPLITVOC:	(<in~amA)
          POS:	RESTRIC_PART
          VOC:	<in~amA
        GLOSS:	but rather/indeed

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P46W11
      OFFSETS:	61-64
       TOKENS:	P46W13-P46W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مقسماها
     IS_TRANS:	mqsmAhA
        INDEX:	P46W12
      OFFSETS:	65-72
       TOKENS:	P46W14-P46W14
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mqsmAhA)
          POS:	NO_FUNC
          VOC:	mqsmAhA
        GLOSS:	nogloss

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P46W13
      OFFSETS:	73-76
       TOKENS:	P46W15-P46W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	واثناء
     IS_TRANS:	wAvnA'
        INDEX:	P46W14
      OFFSETS:	77-83
       TOKENS:	P46W16-P46W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AvonA'_1]
   UNSPLITVOC:	(wiAvonA')
          POS:	CONJ+NOUN
          VOC:	wi+AvonA'
        GLOSS:	and+during

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P46W15
      OFFSETS:	84-88
       TOKENS:	P46W18-P46W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEod)
          POS:	CONJ+NOUN
          VOC:	wi+baEod
        GLOSS:	and+after

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P47W1
      OFFSETS:	0-3
       TOKENS:	P47W1-P47W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P47W2
      OFFSETS:	4-8
       TOKENS:	P47W2-P47W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEod)
          POS:	CONJ+NOUN
          VOC:	wi+baEod
        GLOSS:	and+after

 INPUT STRING:	حال
     IS_TRANS:	HAl
        INDEX:	P47W3
      OFFSETS:	9-12
       TOKENS:	P47W4-P47W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAl)
          POS:	NOUN
          VOC:	HAl
        GLOSS:	situation/condition/case/situations/conditions/cases

 INPUT STRING:	مايسعدش
     IS_TRANS:	mAysEd$
        INDEX:	P47W4
      OFFSETS:	13-20
       TOKENS:	P47W5-P47W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>asEad_1]
   UNSPLITVOC:	(mAyisEidi$)
          POS:	NEG_PART+IV3MS+IV+NEG_PART
          VOC:	mA+yi+sEid+i$
        GLOSS:	not+he/it+make happy+not

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P47W5
      OFFSETS:	21-23
       TOKENS:	P47W8-P47W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P47W6
      OFFSETS:	24-26
       TOKENS:	P47W9-P47W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	extent/limit/level/one/person

 INPUT STRING:	انما
     IS_TRANS:	AnmA
        INDEX:	P47W7
      OFFSETS:	27-31
       TOKENS:	P47W10-P47W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~amA_1]
   UNSPLITVOC:	(<in~amA)
          POS:	RESTRIC_PART
          VOC:	<in~amA
        GLOSS:	but rather/indeed

 INPUT STRING:	اثناء
     IS_TRANS:	AvnA'
        INDEX:	P47W8
      OFFSETS:	32-37
       TOKENS:	P47W11-P47W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AvonA'_1]
   UNSPLITVOC:	(AvonA')
          POS:	NOUN
          VOC:	AvonA'
        GLOSS:	during/meantime

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P47W9
      OFFSETS:	38-44
       TOKENS:	P47W12-P47W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	وحدة
     IS_TRANS:	wHdp
        INDEX:	P47W10
      OFFSETS:	45-49
       TOKENS:	P47W13-P47W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiHodap_1]
   UNSPLITVOC:	(wiHodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wiHod+ap
        GLOSS:	unity+[fem.sg.]

 INPUT STRING:	وكفاح
     IS_TRANS:	wkfAH
        INDEX:	P47W11
      OFFSETS:	50-55
       TOKENS:	P47W14-P47W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kifAH_1]
   UNSPLITVOC:	(wikifAH)
          POS:	CONJ+NOUN
          VOC:	wi+kifAH
        GLOSS:	and+struggle/battle

 INPUT STRING:	ومطالبة
     IS_TRANS:	wmTAlbp
        INDEX:	P47W12
      OFFSETS:	56-63
       TOKENS:	P47W16-P47W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miTAlobap_1]
   UNSPLITVOC:	(wimiTAlobap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+miTAlob+ap
        GLOSS:	and+requirement/demand+[fem.sg.]

 INPUT STRING:	بالحرية
     IS_TRANS:	bAlHryp
        INDEX:	P47W13
      OFFSETS:	64-71
       TOKENS:	P47W18-P47W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~iy~ap_1]
   UNSPLITVOC:	(biAlHur~iy~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+Hur~iy~+ap
        GLOSS:	with/by+the+freedom+[fem.sg.]

 INPUT STRING:	شعور
     IS_TRANS:	$Ewr
        INDEX:	P47W14
      OFFSETS:	72-76
       TOKENS:	P47W20-P47W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uEuwr_1]
   UNSPLITVOC:	($uEuwr)
          POS:	NOUN
          VOC:	$uEuwr
        GLOSS:	feeling/sentiment/awareness

 INPUT STRING:	ب
     IS_TRANS:	b
        INDEX:	P47W15
      OFFSETS:	77-78
       TOKENS:	P47W21-P47W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(b)
          POS:	TYPO
          VOC:	b
        GLOSS:	nogloss

 INPUT STRING:	الامان
     IS_TRANS:	AlAmAn
        INDEX:	P47W16
      OFFSETS:	79-85
       TOKENS:	P47W22-P47W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAn_1]
   UNSPLITVOC:	(Al>amAn)
          POS:	DET+NOUN
          VOC:	Al+>amAn
        GLOSS:	the+safety/protection

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P48W1
      OFFSETS:	0-2
       TOKENS:	P48W1-P48W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	شعور
     IS_TRANS:	$Ewr
        INDEX:	P48W2
      OFFSETS:	3-7
       TOKENS:	P48W2-P48W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uEuwr_1]
   UNSPLITVOC:	($uEuwr)
          POS:	NOUN
          VOC:	$uEuwr
        GLOSS:	feeling/sentiment/awareness

 INPUT STRING:	بالغربة
     IS_TRANS:	bAlgrbp
        INDEX:	P48W3
      OFFSETS:	8-15
       TOKENS:	P48W3-P48W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gurobap_1]
   UNSPLITVOC:	(biAlgurobap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+gurob+ap
        GLOSS:	with/by+the+exile+[fem.sg.]

 INPUT STRING:	جو
     IS_TRANS:	jw
        INDEX:	P48W4
      OFFSETS:	16-18
       TOKENS:	P48W5-P48W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[juw~ap_1]
   UNSPLITVOC:	(juw~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	juw~+ap
        GLOSS:	inside+[fem.sg.]

 INPUT STRING:	بلدك
     IS_TRANS:	bldk
        INDEX:	P48W5
      OFFSETS:	19-23
       TOKENS:	P48W6-P48W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(baladak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	balad+ak
        GLOSS:	country/country/countries+your

 INPUT STRING:	وانك
     IS_TRANS:	wAnk
        INDEX:	P48W6
      OFFSETS:	24-28
       TOKENS:	P48W8-P48W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wi<in~ak)
          POS:	CONJ+SUB_CONJ+PRON_2MS
          VOC:	wi+<in~+ak
        GLOSS:	and+that+you

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P48W7
      OFFSETS:	29-31
       TOKENS:	P48W11-P48W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P48W8
      OFFSETS:	32-36
       TOKENS:	P48W12-P48W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/again

 INPUT STRING:	هيتداس
     IS_TRANS:	hytdAs
        INDEX:	P48W9
      OFFSETS:	37-43
       TOKENS:	P48W13-P48W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<itodAs_1]
   UNSPLITVOC:	(HayitodAs)
          POS:	FUT_PART+IV3MS+IV_PASS
          VOC:	Ha+yi+todAs
        GLOSS:	will+he/it+be stepped on

 INPUT STRING:	عليك
     IS_TRANS:	Elyk
        INDEX:	P48W10
      OFFSETS:	44-48
       TOKENS:	P48W15-P48W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayk)
          POS:	PREP+PRON_2MS
          VOC:	EalaY+ak
        GLOSS:	on/above+you

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P48W11
      OFFSETS:	49-52
       TOKENS:	P48W17-P48W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	هاتعرف
     IS_TRANS:	hAtErf
        INDEX:	P48W12
      OFFSETS:	53-59
       TOKENS:	P48W19-P48W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(HatiEoraf)
          POS:	FUT_PART+IV2MS+IV
          VOC:	Ha+ti+Eoraf
        GLOSS:	will+you+know/be known

 INPUT STRING:	تقول
     IS_TRANS:	tqwl
        INDEX:	P48W13
      OFFSETS:	60-64
       TOKENS:	P48W21-P48W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tuquwl)
          POS:	IV2MS+IV
          VOC:	tu+quwl
        GLOSS:	you+said/say/be said/say/(for example)

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P48W14
      OFFSETS:	65-67
       TOKENS:	P48W22-P48W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P49W1
      OFFSETS:	0-1
       TOKENS:	P49W1-P49W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fa_1]
   UNSPLITVOC:	(fa)
          POS:	CONJ
          VOC:	fa
        GLOSS:	and/so

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P49W2
      OFFSETS:	2-6
       TOKENS:	P49W2-P49W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	معانا
     IS_TRANS:	mEAnA
        INDEX:	P49W3
      OFFSETS:	7-12
       TOKENS:	P49W4-P49W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	maEa+nA
        GLOSS:	something with+our

 INPUT STRING:	افضل
     IS_TRANS:	AfDl
        INDEX:	P50W1
      OFFSETS:	0-4
       TOKENS:	P50W1-P50W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afoDal_1]
   UNSPLITVOC:	(>afoDal)
          POS:	ADJ_COMP
          VOC:	>afoDal
        GLOSS:	better, best

 INPUT STRING:	وصف
     IS_TRANS:	wSf
        INDEX:	P50W2
      OFFSETS:	5-8
       TOKENS:	P50W2-P50W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waSof_1]
   UNSPLITVOC:	(waSof)
          POS:	NOUN
          VOC:	waSof
        GLOSS:	description/portrayal/characterization

 INPUT STRING:	احسنت
     IS_TRANS:	AHsnt
        INDEX:	P50W3
      OFFSETS:	9-14
       TOKENS:	P50W3-P50W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AaHosan_1]
   UNSPLITVOC:	(AaHosant)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	AaHosan+t
        GLOSS:	master/do well/be proficient+you [verb] [masc.sg.]

 INPUT STRING:	وابدعت
     IS_TRANS:	wAbdEt
        INDEX:	P50W4
      OFFSETS:	15-21
       TOKENS:	P50W4-P50W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AabdaE_1]
   UNSPLITVOC:	(wiAabdaEt)
          POS:	CONJ+PV+PVSUFF_SUBJ:2MS
          VOC:	wi+AabdaE+t
        GLOSS:	and+innovate/create+you [verb] [fem.sg.]

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P50W5
      OFFSETS:	22-27
       TOKENS:	P50W6-P50W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	تايه
     IS_TRANS:	tAyh
        INDEX:	P50W6
      OFFSETS:	28-32
       TOKENS:	P50W7-P50W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAy~_1]
   UNSPLITVOC:	(tAy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tAy~+ap
        GLOSS:	be lost+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P50W7
      OFFSETS:	32-33
       TOKENS:	P50W8-P50W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P50W8
      OFFSETS:	33-34
       TOKENS:	P50W9-P50W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P50W9
      OFFSETS:	34-37
       TOKENS:	P50W10-P50W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	لاقيه
     IS_TRANS:	lAqyh
        INDEX:	P50W10
      OFFSETS:	38-43
       TOKENS:	P50W12-P50W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqiy_1]
   UNSPLITVOC:	(lAqoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	lAqoy+ap
        GLOSS:	finding+[fem.sg.]

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P50W11
      OFFSETS:	44-46
       TOKENS:	P50W13-P50W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	extent/limit/level/one/person

 INPUT STRING:	يلمها
     IS_TRANS:	ylmhA
        INDEX:	P50W12
      OFFSETS:	47-52
       TOKENS:	P50W14-P50W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~_1]
   UNSPLITVOC:	(yilim~ahA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+lim~+hA
        GLOSS:	he/it+collect/put in order+it/them/her

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P51W1
      OFFSETS:	0-4
       TOKENS:	P51W1-P51W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	مفيش
     IS_TRANS:	mfy$
        INDEX:	P51W2
      OFFSETS:	5-9
       TOKENS:	P51W2-P51W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mfy$)
          POS:	NO_FUNC
          VOC:	mfy$
        GLOSS:	nogloss

 INPUT STRING:	هدف
     IS_TRANS:	hdf
        INDEX:	P51W3
      OFFSETS:	10-13
       TOKENS:	P51W3-P51W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaf_1]
   UNSPLITVOC:	(hadaf)
          POS:	NOUN
          VOC:	hadaf
        GLOSS:	goal/objective/intention/goals/objectives/intentions

 INPUT STRING:	مفيش
     IS_TRANS:	mfy$
        INDEX:	P52W1
      OFFSETS:	0-4
       TOKENS:	P52W1-P52W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mfy$)
          POS:	NO_FUNC
          VOC:	mfy$
        GLOSS:	nogloss

 INPUT STRING:	معالم
     IS_TRANS:	mEAlm
        INDEX:	P52W2
      OFFSETS:	5-10
       TOKENS:	P52W2-P52W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEAlim_1]
   UNSPLITVOC:	(maEAlim)
          POS:	NOUN
          VOC:	maEAlim
        GLOSS:	features/sights

 INPUT STRING:	العاقلين
     IS_TRANS:	AlEAqlyn
        INDEX:	P53W1
      OFFSETS:	0-8
       TOKENS:	P53W1-P53W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAqil_1]
   UNSPLITVOC:	(AlEAqoliyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+EAqol+iyn
        GLOSS:	the+rational/reasonable+[pl.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P53W2
      OFFSETS:	9-11
       TOKENS:	P53W2-P53W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P53W3
      OFFSETS:	12-15
       TOKENS:	P53W3-P53W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P53W4
