 INPUT STRING:	بسم
       TOKENS:	P26W11-P26W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waq~aE_1]
   UNSPLITVOC:	(yawaq~aE)
          POS:	IV3MS+IV
          VOC:	ya+waq~aE
        GLOSS:	he/it+riot

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P26W9
      OFFSETS:	50-53
       TOKENS:	P26W12-P26W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayn_1]
   UNSPLITVOC:	(bayn)
          POS:	NOUN
          VOC:	bayn
        GLOSS:	between

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P26W10
      OFFSETS:	54-59
       TOKENS:	P26W13-P26W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	والشعب
     IS_TRANS:	wAl$Eb
        INDEX:	P26W11
      OFFSETS:	60-66
       TOKENS:	P26W14-P26W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(wiAl$aEob)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+$aEob
        GLOSS:	and+the+people/nation/peoples/nations

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P26W12
      OFFSETS:	67-68
       TOKENS:	P26W16-P26W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	بلطجية
     IS_TRANS:	blTjyp
        INDEX:	P26W13
      OFFSETS:	68-74
       TOKENS:	P26W17-P26W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(baloTajiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	baloTajiy~+ap
        GLOSS:	gangster/ruffian+[fem.sg.]

 INPUT STRING:	مأجورين
     IS_TRANS:	m>jwryn
        INDEX:	P26W14
      OFFSETS:	75-82
       TOKENS:	P26W18-P26W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma>ojuwr_1]
   UNSPLITVOC:	(ma>ojuwriyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	ma>ojuwr+iyn
        GLOSS:	salaried+[masc.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W15
      OFFSETS:	82-83
       TOKENS:	P26W19-P26W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P27W1
      OFFSETS:	0-5
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P27W2
      OFFSETS:	6-8
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	ضهر
     IS_TRANS:	Dhr
        INDEX:	P27W3
      OFFSETS:	9-12
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Dahor_1]
   UNSPLITVOC:	(Dahor)
          POS:	NOUN
          VOC:	Dahor
        GLOSS:	back/spine/midst

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P27W4
      OFFSETS:	13-16
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	وكلها
     IS_TRANS:	wklhA
        INDEX:	P27W5
      OFFSETS:	17-22
       TOKENS:	P27W5-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~ahA)
          POS:	CONJ+NOUN_QUANT+POSS_PRON_3FS
          VOC:	wi+kul~+hA
        GLOSS:	and+all/every+its/their/her

 INPUT STRING:	4
     IS_TRANS:	4
        INDEX:	P27W6
      OFFSETS:	23-24
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[4_1]
   UNSPLITVOC:	(4)
          POS:	NOUN_NUM
          VOC:	4
        GLOSS:	4

 INPUT STRING:	شهور
     IS_TRANS:	$hwr
        INDEX:	P27W7
      OFFSETS:	25-29
       TOKENS:	P27W9-P27W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	($uhuwr)
          POS:	NOUN
          VOC:	$uhuwr
        GLOSS:	month/months

 INPUT STRING:	ويرجع
     IS_TRANS:	wyrjE
        INDEX:	P27W8
      OFFSETS:	30-35
       TOKENS:	P27W10-P27W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragaE_1]
   UNSPLITVOC:	(wiyirojaE)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+rojaE
        GLOSS:	and+he/it+return

 INPUT STRING:	سكناتة
     IS_TRANS:	sknAtp
        INDEX:	P27W9
      OFFSETS:	36-42
       TOKENS:	P27W12-P27W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sakinap_1]
   UNSPLITVOC:	(sakinatuh)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3MS
          VOC:	sakin+ap+uh
        GLOSS:	residence+[fem.pl.]+its/his

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P27W10
      OFFSETS:	43-48
       TOKENS:	P27W14-P27W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(wiAll~ah)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+All~ah
        GLOSS:	and+Allah/God

 INPUT STRING:	المستعان
     IS_TRANS:	AlmstEAn
        INDEX:	P27W11
      OFFSETS:	49-57
       TOKENS:	P27W16-P27W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaEAn_1]
   UNSPLITVOC:	(AlmusotaEAn)
          POS:	DET+ADJ
          VOC:	Al+musotaEAn
        GLOSS:	the+asked for help

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P28W1
      OFFSETS:	0-3
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	حاسة
     IS_TRANS:	HAsp
        INDEX:	P28W2
      OFFSETS:	4-8
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAsis_1]
   UNSPLITVOC:	(HAs~ap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	HAs~+ap
        GLOSS:	feeling+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P28W3
      OFFSETS:	9-11
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	اهم
     IS_TRANS:	Ahm
        INDEX:	P28W4
      OFFSETS:	12-15
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aham~_1]
   UNSPLITVOC:	(>aham~)
          POS:	ADJ_COMP
          VOC:	>aham~
        GLOSS:	more/most important

 INPUT STRING:	خطوة
     IS_TRANS:	xTwp
        INDEX:	P28W5
      OFFSETS:	16-20
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaTowap_1]
   UNSPLITVOC:	(xaTowap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	xaTow+ap
        GLOSS:	step/stride/steps/strides+[fem.sg.]

 INPUT STRING:	عملناها
     IS_TRANS:	EmlnAhA
        INDEX:	P28W6
      OFFSETS:	21-28
       TOKENS:	P28W6-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(EamalnAhA)
          POS:	PV+PVSUFF_SUBJ:1P+PVSUFF_DO:3FS
          VOC:	Eamal+nA+hA
        GLOSS:	do+we+it/them/her

 INPUT STRING:	الحمدلله
     IS_TRANS:	AlHmdllh
        INDEX:	P28W7
      OFFSETS:	29-37
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlHmdllh)
          POS:	NO_FUNC
          VOC:	AlHmdllh
        GLOSS:	nogloss

 INPUT STRING:	وهى
     IS_TRANS:	whY
        INDEX:	P28W8
      OFFSETS:	38-41
       TOKENS:	P28W9-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(wahiy~a)
          POS:	CONJ+PRON_3FS
          VOC:	wa+hiy~a
        GLOSS:	and+she

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P28W9
      OFFSETS:	42-46
       TOKENS:	P28W11-P28W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P28W10
      OFFSETS:	47-52
       TOKENS:	P28W12-P28W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	وان
     IS_TRANS:	wAn
        INDEX:	P28W11
      OFFSETS:	53-56
       TOKENS:	P28W13-P28W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wa<in~)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+<in~
        GLOSS:	and+if

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P28W12
      OFFSETS:	57-60
       TOKENS:	P28W15-P28W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P28W13
      OFFSETS:	61-65
       TOKENS:	P28W16-P28W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	يعملوا
     IS_TRANS:	yEmlwA
        INDEX:	P28W14
      OFFSETS:	66-72
       TOKENS:	P28W17-P28W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomiluwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+Eomil+uwA
        GLOSS:	they+do+[masc.pl.]

 INPUT STRING:	دستور
     IS_TRANS:	dstwr
        INDEX:	P28W15
      OFFSETS:	73-78
       TOKENS:	P28W18-P28W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dusotuwr_1]
   UNSPLITVOC:	(dusotuwr)
          POS:	NOUN
          VOC:	dusotuwr
        GLOSS:	constitution/statute/constitutions/statutes

 INPUT STRING:	وانتخابات
     IS_TRANS:	wAntxAbAt
        INDEX:	P28W16
      OFFSETS:	79-88
       TOKENS:	P28W19-P28W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotixAb_1]
   UNSPLITVOC:	(wi<inotixAbAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+<inotixAb+At
        GLOSS:	and+elections/selections+[fem.pl.]

 INPUT STRING:	رئاسة
     IS_TRANS:	r}Asp
        INDEX:	P28W17
      OFFSETS:	89-94
       TOKENS:	P28W21-P28W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ri}Asap_1]
   UNSPLITVOC:	(ri}Asap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ri}As+ap
        GLOSS:	presidency/leadership/chairmanship/presidencies/leaderships/chairmanships+[fem.sg.]

 INPUT STRING:	كويسة
     IS_TRANS:	kwysp
        INDEX:	P28W18
      OFFSETS:	95-100
       TOKENS:	P28W22-P28W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~isap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kuway~is+ap
        GLOSS:	well+[fem.sg.]

 INPUT STRING:	ونضمن
     IS_TRANS:	wnDmn
        INDEX:	P28W19
      OFFSETS:	101-106
       TOKENS:	P28W23-P28W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Daman_1]
   UNSPLITVOC:	(winiDoman)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+Doman
        GLOSS:	and+we+guarantee/insure

 INPUT STRING:	مفيش
     IS_TRANS:	mfy$
        INDEX:	P28W20
      OFFSETS:	107-111
       TOKENS:	P28W25-P28W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(mAfiyuh$)
          POS:	NEG_PART+PREP+PRON_3MS+NEG_PART
          VOC:	mA+fiy+uh+$
        GLOSS:	not+in+it/him+not

 INPUT STRING:	قانون
     IS_TRANS:	qAnwn
        INDEX:	P28W21
      OFFSETS:	112-117
       TOKENS:	P28W29-P28W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(qAnuwn)
          POS:	NOUN
          VOC:	qAnuwn
        GLOSS:	law/statutes/regulations

 INPUT STRING:	هيتفصل
     IS_TRANS:	hytfSl
        INDEX:	P28W22
      OFFSETS:	118-124
       TOKENS:	P28W30-P28W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faSal_1]
   UNSPLITVOC:	(HayitofiSil)
          POS:	FUT_PART+IV3MS+IV_PASS
          VOC:	Ha+yi+tofiSil
        GLOSS:	will+he/it+classify

 INPUT STRING:	مخصوص
     IS_TRANS:	mxSwS
        INDEX:	P28W23
      OFFSETS:	125-130
       TOKENS:	P28W32-P28W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxoSuwS_1]
   UNSPLITVOC:	(maxoSuwS)
          POS:	ADJ
          VOC:	maxoSuwS
        GLOSS:	special/secret

 INPUT STRING:	ونضمن
     IS_TRANS:	wnDmn
        INDEX:	P29W1
      OFFSETS:	0-5
       TOKENS:	P29W1-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Daman_1]
   UNSPLITVOC:	(winiDoman)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+Doman
        GLOSS:	and+we+guarantee/insure

 INPUT STRING:	محاكمات
     IS_TRANS:	mHAkmAt
        INDEX:	P29W2
      OFFSETS:	6-13
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAkamap_1]
   UNSPLITVOC:	(muHAkamAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muHAkam+At
        GLOSS:	judicial proceeding/legal prosecution+[fem.pl.]

 INPUT STRING:	عادلة
     IS_TRANS:	EAdlp
        INDEX:	P29W3
      OFFSETS:	14-19
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdil_2]
   UNSPLITVOC:	(EAdilap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAdil+ap
        GLOSS:	fair/just/equitable+[fem.sg.]

 INPUT STRING:	وسريعة
     IS_TRANS:	wsryEp
        INDEX:	P29W4
      OFFSETS:	20-26
       TOKENS:	P29W5-P29W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sariyE_1]
   UNSPLITVOC:	(wisariyEap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+sariyE+ap
        GLOSS:	and+quick/prompt/express/quickly/promptly+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P29W5
      OFFSETS:	27-29
       TOKENS:	P29W7-P29W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	if

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P29W6
      OFFSETS:	30-33
       TOKENS:	P29W8-P29W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P29W7
      OFFSETS:	34-38
       TOKENS:	P29W9-P29W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	وخلى
     IS_TRANS:	wxlY
        INDEX:	P30W1
      OFFSETS:	0-4
       TOKENS:	P30W1-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(wixal~iy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+xal~iy+(null)
        GLOSS:	and+release/evacuate/allow/be released/be evacuated/be allowed+you

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P30W2
      OFFSETS:	5-11
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكر
     IS_TRANS:	AlEskr
        INDEX:	P30W3
      OFFSETS:	12-18
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+army/troops

 INPUT STRING:	يرشح
     IS_TRANS:	yr$H
        INDEX:	P30W4
      OFFSETS:	19-23
       TOKENS:	P30W5-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra$~aH_1]
   UNSPLITVOC:	(yira$~aH)
          POS:	IV3MS+IV
          VOC:	yi+ra$~aH
        GLOSS:	he/it+nominate/appoint as candidate

 INPUT STRING:	عشرة
     IS_TRANS:	E$rp
        INDEX:	P30W5
      OFFSETS:	24-28
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$arap_1]
   UNSPLITVOC:	(Ea$arap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	Ea$ar+ap
        GLOSS:	ten+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P30W6
      OFFSETS:	29-31
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اتباع
     IS_TRANS:	AtbAE
        INDEX:	P30W7
      OFFSETS:	32-37
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabaE_1]
   UNSPLITVOC:	(>atobAE)
          POS:	NOUN
          VOC:	>atobAE
        GLOSS:	followers/partisans

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P30W8
      OFFSETS:	38-43
       TOKENS:	P30W9-P30W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P30W9
      OFFSETS:	44-46
       TOKENS:	P30W10-P30W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P30W10
      OFFSETS:	47-51
       TOKENS:	P30W11-P30W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P31W1
      OFFSETS:	0-3
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P31W2
      OFFSETS:	4-7
       TOKENS:	P31W2-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P31W3
      OFFSETS:	8-12
       TOKENS:	P31W3-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	هيختار
     IS_TRANS:	hyxtAr
        INDEX:	P31W4
      OFFSETS:	13-19
       TOKENS:	P31W4-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AixotAr_1]
   UNSPLITVOC:	(HayixotAr)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+xotAr
        GLOSS:	will+he/it+choose/pick/select

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P31W5
      OFFSETS:	20-21
       TOKENS:	P31W6-P31W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P32W1
      OFFSETS:	0-5
