 INPUT STRING:	حكم
      OFFSETS:	0-6
       TOKENS:	P32W1-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(wiAlHamod)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+Hamod
        GLOSS:	and+the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P32W2
      OFFSETS:	7-10
       TOKENS:	P32W3-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	to/for+Allah/God

 INPUT STRING:	أنى
     IS_TRANS:	>nY
        INDEX:	P32W3
      OFFSETS:	11-14
       TOKENS:	P32W5-P32W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I

 INPUT STRING:	حرة
     IS_TRANS:	Hrp
        INDEX:	P32W4
      OFFSETS:	15-18
       TOKENS:	P32W7-P32W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~_1]
   UNSPLITVOC:	(Hur~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hur~+ap
        GLOSS:	free/independent+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P32W5
      OFFSETS:	19-21
       TOKENS:	P32W8-P32W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	أتقيد
     IS_TRANS:	>tqyd
        INDEX:	P32W6
      OFFSETS:	22-27
       TOKENS:	P32W9-P32W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitoqay~id_1]
   UNSPLITVOC:	(>atoqay~id)
          POS:	IV1S+IV
          VOC:	>a+toqay~id
        GLOSS:	I+be bound/be restricted

 INPUT STRING:	برأى
     IS_TRANS:	br>Y
        INDEX:	P32W7
      OFFSETS:	28-32
       TOKENS:	P32W10-P32W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(bira>oy)
          POS:	PREP+NOUN
          VOC:	bi+ra>oy
        GLOSS:	with/by+opinion/view/idea

 INPUT STRING:	مرشد
     IS_TRANS:	mr$d
        INDEX:	P32W8
      OFFSETS:	33-37
       TOKENS:	P32W12-P32W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muro$id_1]
   UNSPLITVOC:	(muro$id)
          POS:	NOUN
          VOC:	muro$id
        GLOSS:	guide/instructor/adviser

 INPUT STRING:	أراه
     IS_TRANS:	>rAh
        INDEX:	P32W9
      OFFSETS:	38-42
       TOKENS:	P32W13-P32W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra>aY_1]
   UNSPLITVOC:	(>arAh)
          POS:	IV1S+IV+IVSUFF_DO:3MS
          VOC:	>a+raY+uh
        GLOSS:	I+see/think/believe+him/it

 INPUT STRING:	يفهم
     IS_TRANS:	yfhm
        INDEX:	P32W10
      OFFSETS:	43-47
       TOKENS:	P32W15-P32W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(yifoham)
          POS:	IV3MS+IV
          VOC:	yi+foham
        GLOSS:	he/it+understand

 INPUT STRING:	أكثر
     IS_TRANS:	>kvr
        INDEX:	P32W11
      OFFSETS:	48-52
       TOKENS:	P32W16-P32W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_1]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more, most, majority

 INPUT STRING:	منى
     IS_TRANS:	mnY
        INDEX:	P32W12
      OFFSETS:	53-56
       TOKENS:	P32W17-P32W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~iy)
          POS:	PREP+PRON_1S
          VOC:	min~+iy
        GLOSS:	from+me

 INPUT STRING:	رغم
     IS_TRANS:	rgm
        INDEX:	P32W13
      OFFSETS:	57-60
       TOKENS:	P32W19-P32W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(ragom)
          POS:	NOUN
          VOC:	ragom
        GLOSS:	in spite of/despite

 INPUT STRING:	أنه
     IS_TRANS:	>nh
        INDEX:	P32W14
      OFFSETS:	61-64
       TOKENS:	P32W20-P32W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+it/he

 INPUT STRING:	عنده
     IS_TRANS:	Endh
        INDEX:	P32W15
      OFFSETS:	65-69
       TOKENS:	P32W22-P32W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanoduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Eanod+uh
        GLOSS:	with / at+his/its

 INPUT STRING:	دماغ
     IS_TRANS:	dmAg
        INDEX:	P32W16
      OFFSETS:	70-74
       TOKENS:	P32W24-P32W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dimAg_1]
   UNSPLITVOC:	(dimAg)
          POS:	NOUN
          VOC:	dimAg
        GLOSS:	brain/brains

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P32W17
      OFFSETS:	75-80
       TOKENS:	P32W25-P32W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P32W18
      OFFSETS:	81-83
       TOKENS:	P32W26-P32W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	مثلى
     IS_TRANS:	mvlY
        INDEX:	P32W19
      OFFSETS:	84-88
       TOKENS:	P32W27-P32W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivol_1]
   UNSPLITVOC:	(mivoliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	mivol+iy
        GLOSS:	like/such as+my

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P33W1
      OFFSETS:	0-2
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	[emphasis]

 INPUT STRING:	اهو
     IS_TRANS:	Ahw
        INDEX:	P33W2
      OFFSETS:	3-6
       TOKENS:	P33W2-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(>ahuw~a)
          POS:	DEM_PRON+PRON_3MS
          VOC:	>a+huw~a
        GLOSS:	this+he/it

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P33W3
      OFFSETS:	7-9
       TOKENS:	P33W4-P33W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P33W4
      OFFSETS:	10-14
       TOKENS:	P33W5-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	دماغه
     IS_TRANS:	dmAgh
        INDEX:	P33W5
      OFFSETS:	15-20
       TOKENS:	P33W6-P33W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dimAg_1]
   UNSPLITVOC:	(dimAguh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	dimAg+uh
        GLOSS:	brain/brains+his/its

 INPUT STRING:	مريحاه
     IS_TRANS:	mryHAh
        INDEX:	P33W6
      OFFSETS:	21-27
       TOKENS:	P33W8-P33W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miray~aHapuh]
   UNSPLITVOC:	(miray~aHAh)
          POS:	ADJ+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	miray~aH+ap+uh
        GLOSS:	comforting+[fem.sg.]+his/its

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P33W7
      OFFSETS:	28-30
       TOKENS:	P33W10-P33W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P33W8
      OFFSETS:	31-33
       TOKENS:	P33W11-P33W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	any person

 INPUT STRING:	بيكون
     IS_TRANS:	bykwn
        INDEX:	P33W9
      OFFSETS:	34-39
       TOKENS:	P33W12-P33W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(biyikuwn)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+kuwn
        GLOSS:	[present-tense]+he/it+be

 INPUT STRING:	بيفكر
     IS_TRANS:	byfkr
        INDEX:	P33W10
      OFFSETS:	40-45
       TOKENS:	P33W14-P33W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(biyifak~ar)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+fak~ar
        GLOSS:	[present-tense]+he/it+think/consider/ponder

 INPUT STRING:	غلط
     IS_TRANS:	glT
        INDEX:	P33W11
      OFFSETS:	46-49
       TOKENS:	P33W16-P33W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galaT_1]
   UNSPLITVOC:	(galaT)
          POS:	ADJ
          VOC:	galaT
        GLOSS:	wrong

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P33W12
      OFFSETS:	50-53
       TOKENS:	P33W17-P33W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	while+it/he

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P33W13
      OFFSETS:	54-58
       TOKENS:	P33W19-P33W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ.VN
          VOC:	EArif
        GLOSS:	knowing/having knowledge of

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P33W14
      OFFSETS:	59-62
       TOKENS:	P33W20-P33W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+it/he

 INPUT STRING:	بيفكر
     IS_TRANS:	byfkr
        INDEX:	P33W15
      OFFSETS:	63-68
       TOKENS:	P33W22-P33W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(biyifak~ar)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+fak~ar
        GLOSS:	[present-tense]+he/it+think/consider/ponder

 INPUT STRING:	غلط
     IS_TRANS:	glT
        INDEX:	P33W16
      OFFSETS:	69-72
       TOKENS:	P33W24-P33W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galaT_1]
   UNSPLITVOC:	(galaT)
          POS:	ADJ
          VOC:	galaT
        GLOSS:	wrong

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P33W17
      OFFSETS:	72-73
       TOKENS:	P33W25-P33W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P33W18
      OFFSETS:	73-74
       TOKENS:	P33W26-P33W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P33W19
      OFFSETS:	74-75
       TOKENS:	P33W27-P33W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	توفيق
     IS_TRANS:	twfyq
        INDEX:	P34W1
      OFFSETS:	0-5
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawfiyq_1]
   UNSPLITVOC:	(tawfiyq)
          POS:	NOUN
          VOC:	tawfiyq
        GLOSS:	success/successful outcome/conformation

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P34W2
      OFFSETS:	6-10
       TOKENS:	P34W2-P34W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	يخيليكي
     IS_TRANS:	yxylyky
        INDEX:	P34W3
      OFFSETS:	11-18
       TOKENS:	P34W3-P34W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(yxylyky)
          POS:	TYPO
          VOC:	yxylyky
        GLOSS:	nogloss

 INPUT STRING:	تشمتي
     IS_TRANS:	t$mty
        INDEX:	P34W4
      OFFSETS:	19-24
       TOKENS:	P34W4-P34W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$amat_1]
   UNSPLITVOC:	(ti$omatiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+$omat+iy
        GLOSS:	you [fem.sg.]+gloat/rejoice maliciously+you [fem.sg.] [verb]

 INPUT STRING:	وتهاجمي
     IS_TRANS:	wthAjmy
        INDEX:	P34W5
      OFFSETS:	25-32
       TOKENS:	P34W5-P34W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hAjim_1]
   UNSPLITVOC:	(witohAjomiy)
          POS:	CONJ+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	wi+ti+hAjom+iy
        GLOSS:	and+you [fem.sg.]+attack/assault+you [fem.sg.] [verb]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P34W6
      OFFSETS:	33-35
       TOKENS:	P34W7-P34W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	دون
     IS_TRANS:	dwn
        INDEX:	P34W7
      OFFSETS:	36-39
       TOKENS:	P34W8-P34W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(duwn)
          POS:	NOUN
          VOC:	duwn
        GLOSS:	without/beneath/underneath/inferior/poor

 INPUT STRING:	ادلة
     IS_TRANS:	Adlp
        INDEX:	P34W8
      OFFSETS:	40-44
       TOKENS:	P34W9-P34W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daliyl_1]
   UNSPLITVOC:	(>adil~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>adil~+ap
        GLOSS:	evidence/proof/indications+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P34W9
      OFFSETS:	44-45
       TOKENS:	P34W10-P34W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P34W10
      OFFSETS:	45-46
       TOKENS:	P34W11-P34W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	توفيق
     IS_TRANS:	twfyq
        INDEX:	P35W1
      OFFSETS:	0-5
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawfiyq_1]
   UNSPLITVOC:	(tawfiyq)
          POS:	NOUN
          VOC:	tawfiyq
        GLOSS:	success/successful outcome/conformation

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P35W2
      OFFSETS:	6-10
       TOKENS:	P35W2-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	يخليكي
     IS_TRANS:	yxlyky
        INDEX:	P35W3
      OFFSETS:	11-17
       TOKENS:	P35W3-P35W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(yixal~iykiy)
          POS:	IV3MS+IV+IVSUFF_DO:2FS
          VOC:	yi+xal~iy+ik
        GLOSS:	he/it+release/evacuate/allow+you [fem.sg.] [verb]

 INPUT STRING:	تهزئي
     IS_TRANS:	thz}y
        INDEX:	P35W4
      OFFSETS:	18-23
       TOKENS:	P35W5-P35W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hoza>_1]
   UNSPLITVOC:	(tihoza}iy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+hoza}+iy
        GLOSS:	you [fem.sg.]+scoff/mock+you [fem.sg.] [verb]

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P35W5
      OFFSETS:	24-27
       TOKENS:	P35W6-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	مقدمتيش
     IS_TRANS:	mqdmty$
        INDEX:	P35W6
      OFFSETS:	28-35
       TOKENS:	P35W7-P35W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~im_1]
   UNSPLITVOC:	(mA_qad~imtiy$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:2FS+NEG_PART
          VOC:	mA+qad~im+tiy+$
        GLOSS:	not+offer/present/introduce+you [fem.sg.] [verb]+not

 INPUT STRING:	للاسلام
     IS_TRANS:	llAslAm
        INDEX:	P35W7
      OFFSETS:	36-43
       TOKENS:	P35W10-P35W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAm_1]
   UNSPLITVOC:	(lil<isolAm)
          POS:	PREP+DET+NOUN_PROP
          VOC:	li+Al+<isolAm
        GLOSS:	to/for+the+Islam

 INPUT STRING:	ربع
     IS_TRANS:	rbE
        INDEX:	P35W8
      OFFSETS:	44-47
       TOKENS:	P35W12-P35W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruboE_1]
   UNSPLITVOC:	(ruboE)
          POS:	NOUN_QUANT
          VOC:	ruboE
        GLOSS:	quarter, (one) fourth

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P35W9
      OFFSETS:	48-52
       TOKENS:	P35W13-P35W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	قدموه
     IS_TRANS:	qdmwh
        INDEX:	P35W10
      OFFSETS:	53-58
       TOKENS:	P35W14-P35W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~im_1]
   UNSPLITVOC:	(qad~imuwh)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:3MS
          VOC:	qad~im+uwA+uh
        GLOSS:	offer/present/introduce+they+it/him

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P35W11
      OFFSETS:	58-59
       TOKENS:	P35W16-P35W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P35W12
      OFFSETS:	59-60
       TOKENS:	P35W17-P35W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	توفيق
     IS_TRANS:	twfyq
        INDEX:	P36W1
      OFFSETS:	0-5
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawfiyq_1]
   UNSPLITVOC:	(tawfiyq)
          POS:	NOUN
          VOC:	tawfiyq
        GLOSS:	success/successful outcome/conformation

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P36W2
      OFFSETS:	6-10
       TOKENS:	P36W2-P36W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	يلخيكي
     IS_TRANS:	ylxyky
        INDEX:	P36W3
      OFFSETS:	11-17
       TOKENS:	P36W3-P36W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(ylxyky)
          POS:	TYPO
          VOC:	ylxyky
        GLOSS:	nogloss

 INPUT STRING:	تشمتي
     IS_TRANS:	t$mty
        INDEX:	P36W4
      OFFSETS:	18-23
       TOKENS:	P36W4-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$amat_1]
   UNSPLITVOC:	(ti$omatiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+$omat+iy
        GLOSS:	you [fem.sg.]+gloat/rejoice maliciously+you [fem.sg.] [verb]

 INPUT STRING:	مشايخ
     IS_TRANS:	m$Ayx
        INDEX:	P36W5
      OFFSETS:	24-29
       TOKENS:	P36W5-P36W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iyx_1]
   UNSPLITVOC:	(ma$Ayix)
          POS:	NOUN
          VOC:	ma$Ayix
