 INPUT STRING:	المستشار
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAsuws_1]
   UNSPLITVOC:	(AljAsuws)
          POS:	DET+NOUN
          VOC:	Al+jAsuws
        GLOSS:	the+spy/spies

 INPUT STRING:	ايلان
     IS_TRANS:	AylAn
        INDEX:	P26W5
      OFFSETS:	22-27
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiylAn_1]
   UNSPLITVOC:	(AiylAn)
          POS:	NOUN_PROP
          VOC:	AiylAn
        GLOSS:	Elan

 INPUT STRING:	امريكا
     IS_TRANS:	AmrykA
        INDEX:	P26W6
      OFFSETS:	28-34
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	عرفت
     IS_TRANS:	Erft
        INDEX:	P26W7
      OFFSETS:	35-39
       TOKENS:	P26W7-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(Eirofit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Eirof+it
        GLOSS:	know+it/they/she

 INPUT STRING:	تشترى
     IS_TRANS:	t$trY
        INDEX:	P26W8
      OFFSETS:	40-45
       TOKENS:	P26W8-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otaraY_1]
   UNSPLITVOC:	(ti$otiriy)
          POS:	IV3FS+IV
          VOC:	ti+$otiriy
        GLOSS:	it/they/she+purchase

 INPUT STRING:	ناسها
     IS_TRANS:	nAshA
        INDEX:	P26W9
      OFFSETS:	46-51
       TOKENS:	P26W9-P26W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAshA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	nAs+hA
        GLOSS:	people+its/their/her

 INPUT STRING:	ازاى
     IS_TRANS:	AzAY
        INDEX:	P26W10
      OFFSETS:	52-56
       TOKENS:	P26W11-P26W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	REL_ADV
          VOC:	Aiz~Ay
        GLOSS:	how

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P26W11
      OFFSETS:	57-59
       TOKENS:	P26W12-P26W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P26W12
      OFFSETS:	60-66
       TOKENS:	P26W13-P26W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكرى
     IS_TRANS:	AlEskrY
        INDEX:	P26W13
      OFFSETS:	67-74
       TOKENS:	P26W14-P26W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	وفى
     IS_TRANS:	wfY
        INDEX:	P27W1
      OFFSETS:	0-3
       TOKENS:	P27W1-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiy)
          POS:	CONJ+PREP
          VOC:	wi+fiy
        GLOSS:	and+in

 INPUT STRING:	الاخر
     IS_TRANS:	AlAxr
        INDEX:	P27W2
      OFFSETS:	4-9
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xir_1]
   UNSPLITVOC:	(Al|xir)
          POS:	DET+ADJ_COMP
          VOC:	Al+|xir
        GLOSS:	the+last/end

 INPUT STRING:	يطلع
     IS_TRANS:	yTlE
        INDEX:	P27W3
      OFFSETS:	10-14
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(yiTolaE)
          POS:	IV3MS+IV
          VOC:	yi+TolaE
        GLOSS:	he/it+appear/rise

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P27W4
      OFFSETS:	15-20
       TOKENS:	P27W5-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	الباشا
     IS_TRANS:	AlbA$A
        INDEX:	P27W5
      OFFSETS:	21-27
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bA$A_1]
   UNSPLITVOC:	(AlbA$A)
          POS:	DET+NOUN
          VOC:	Al+bA$A
        GLOSS:	the+pasha/pashas

 INPUT STRING:	يقولنا
     IS_TRANS:	yqwlnA
        INDEX:	P27W6
      OFFSETS:	28-34
       TOKENS:	P27W8-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwl~inA)
          POS:	IV3MS+IV+PREP+PRON_1P
          VOC:	yi+quwl+li+nA
        GLOSS:	he/it+say+for/to+us

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P27W7
      OFFSETS:	35-37
       TOKENS:	P27W11-P27W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/he

 INPUT STRING:	جزء
     IS_TRANS:	jz'
        INDEX:	P27W8
      OFFSETS:	38-41
       TOKENS:	P27W13-P27W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juz'_1]
   UNSPLITVOC:	(juz')
          POS:	NOUN
          VOC:	juz'
        GLOSS:	section/piece/portion/part/fraction/sections/pieces/portions/parts/fractions

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P27W9
      OFFSETS:	42-44
       TOKENS:	P27W14-P27W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الصفقة
     IS_TRANS:	AlSfqp
        INDEX:	P27W10
      OFFSETS:	45-51
       TOKENS:	P27W15-P27W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Safoqap_1]
   UNSPLITVOC:	(AlS~afoqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Safoq+ap
        GLOSS:	the+deal/transaction/deals/transactions+[fem.sg.]

 INPUT STRING:	معلن
     IS_TRANS:	mEln
        INDEX:	P27W11
      OFFSETS:	52-56
       TOKENS:	P27W16-P27W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEolan_1]
   UNSPLITVOC:	(muEolan)
          POS:	ADJ
          VOC:	muEolan
        GLOSS:	declared/announced/posted

 INPUT STRING:	وجزء
     IS_TRANS:	wjz'
        INDEX:	P27W12
      OFFSETS:	57-61
       TOKENS:	P27W17-P27W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juz'_1]
   UNSPLITVOC:	(wijuz')
          POS:	CONJ+NOUN
          VOC:	wi+juz'
        GLOSS:	and+section/piece/portion/part/fraction/sections/pieces/portions/parts/fractions

 INPUT STRING:	ماينفعش
     IS_TRANS:	mAynfE$
        INDEX:	P27W13
      OFFSETS:	62-69
       TOKENS:	P27W19-P27W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[nafaE_1]
   UNSPLITVOC:	(mAyinofaE$)
          POS:	NEG_PART+IV3MS+IV+NEG_PART
          VOC:	mA+yi+nofaE+$
        GLOSS:	not+he/it+utilize+not

 INPUT STRING:	الاعلان
     IS_TRANS:	AlAElAn
        INDEX:	P27W14
      OFFSETS:	70-77
       TOKENS:	P27W22-P27W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEolAn_1]
   UNSPLITVOC:	(Al<iEolAn)
          POS:	DET+NOUN
          VOC:	Al+<iEolAn
        GLOSS:	the+declaration/statement/announcement

 INPUT STRING:	عنه
     IS_TRANS:	Enh
        INDEX:	P27W15
      OFFSETS:	78-81
       TOKENS:	P27W23-P27W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~uh)
          POS:	PREP+PRON_3MS
          VOC:	Ean~+uh
        GLOSS:	(away) from, off, about, on, over+it/him

 INPUT STRING:	ويا
     IS_TRANS:	wyA
        INDEX:	P28W1
      OFFSETS:	0-3
       TOKENS:	P28W1-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(wiyA)
          POS:	CONJ+VOC_PART
          VOC:	wi+yA
        GLOSS:	and+O, oh

 INPUT STRING:	عينى
     IS_TRANS:	EynY
        INDEX:	P28W2
      OFFSETS:	4-8
       TOKENS:	P28W3-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayn_1]
   UNSPLITVOC:	(Eiyniy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eiyn+iy
        GLOSS:	eye/eyes/water spring/water source/water springs/water sources/notables/VIP's/Aain+my

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P28W3
      OFFSETS:	9-14
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P28W4
      OFFSETS:	15-19
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	حسلن
     IS_TRANS:	Hsln
        INDEX:	P28W5
      OFFSETS:	20-24
       TOKENS:	P28W7-P28W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Hsln)
          POS:	TYPO
          VOC:	Hsln
        GLOSS:	nogloss

 INPUT STRING:	بيقول
     IS_TRANS:	byqwl
        INDEX:	P28W6
      OFFSETS:	25-30
       TOKENS:	P28W8-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwl)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+quwl
        GLOSS:	[present-tense]+he/it+said/say/be said/say/(for example)

 INPUT STRING:	نلم
     IS_TRANS:	nlm
        INDEX:	P28W7
      OFFSETS:	31-34
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~_1]
   UNSPLITVOC:	(nilim~)
          POS:	IV1P+IV
          VOC:	ni+lim~
        GLOSS:	we+collect/put in order

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P28W8
      OFFSETS:	35-37
       TOKENS:	P28W11-P28W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P28W9
      OFFSETS:	38-41
       TOKENS:	P28W12-P28W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P28W10
      OFFSETS:	42-47
       TOKENS:	P28W13-P28W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	نشترى
     IS_TRANS:	n$trY
        INDEX:	P28W11
      OFFSETS:	48-53
       TOKENS:	P28W15-P28W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otaraY_1]
   UNSPLITVOC:	(ni$otiriy)
          POS:	IV1P+IV
          VOC:	ni+$otiriy
        GLOSS:	we+purchase

 INPUT STRING:	كرامتنا
     IS_TRANS:	krAmtnA
        INDEX:	P28W12
      OFFSETS:	54-61
       TOKENS:	P28W16-P28W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[karAmap_1]
   UNSPLITVOC:	(karAmitnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	karAm+at+nA
        GLOSS:	dignity/generosity+[fem.sg.]+our

 INPUT STRING:	والمجلس
     IS_TRANS:	wAlmjls
        INDEX:	P28W13
      OFFSETS:	62-69
       TOKENS:	P28W18-P28W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(wiAlmajolis)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+majolis
        GLOSS:	and+the+council/board/Majlis

 INPUT STRING:	بيبحترها
     IS_TRANS:	bybHtrhA
        INDEX:	P28W14
      OFFSETS:	70-78
       TOKENS:	P28W20-P28W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bybHtrhA)
          POS:	TYPO
          VOC:	bybHtrhA
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P28W15
      OFFSETS:	79-81
       TOKENS:	P28W21-P28W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الناحية
     IS_TRANS:	AlnAHyp
        INDEX:	P28W16
      OFFSETS:	82-89
       TOKENS:	P28W22-P28W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAHoyap_1]
   UNSPLITVOC:	(Aln~AHoyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nAHoy+ap
        GLOSS:	the+side/perspective+[fem.sg.]

 INPUT STRING:	التانية
     IS_TRANS:	AltAnyp
        INDEX:	P28W17
      OFFSETS:	90-97
       TOKENS:	P28W23-P28W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(Alt~Anoyap)
          POS:	DET+ADJ_NUM+NSUFF_FEM_SG
          VOC:	Al+vAnoy+ap
        GLOSS:	the+second/next+[fem.sg.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P29W1
      OFFSETS:	0-4
       TOKENS:	P29W1-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يصلح
     IS_TRANS:	ySlH
        INDEX:	P29W2
      OFFSETS:	5-9
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSolaH_1]
   UNSPLITVOC:	(yiSoliH)
          POS:	IV3MS+IV
          VOC:	yi+SoliH
        GLOSS:	he/it+put in order/repair/be put in order/be repaired

 INPUT STRING:	حالنا
     IS_TRANS:	HAlnA
        INDEX:	P29W3
      OFFSETS:	10-15
       TOKENS:	P29W4-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAlnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	HAl+nA
        GLOSS:	situation/condition/case/situations/conditions/cases+our

 INPUT STRING:	ويولى
     IS_TRANS:	wywlY
        INDEX:	P29W4
      OFFSETS:	16-21
       TOKENS:	P29W6-P29W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~ay_1]
   UNSPLITVOC:	(wiyiwal~iy)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+wal~iy
        GLOSS:	and+he/it+put in charge/entrust/commission

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P29W5
      OFFSETS:	22-27
       TOKENS:	P29W8-P29W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P29W6
      OFFSETS:	28-30
       TOKENS:	P29W10-P29W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	يخافه
     IS_TRANS:	yxAfh
        INDEX:	P29W7
      OFFSETS:	31-36
       TOKENS:	P29W11-P29W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAf_1]
   UNSPLITVOC:	(yaxAfuh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	ya+xAf+uh
        GLOSS:	he/it+fear for/be worried (of)+them

 INPUT STRING:	فينا
     IS_TRANS:	fynA
        INDEX:	P29W8
      OFFSETS:	37-41
       TOKENS:	P29W13-P29W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiynA)
          POS:	PREP+PRON_1P
          VOC:	fiy+nA
        GLOSS:	in+us

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P29W9
      OFFSETS:	42-47
       TOKENS:	P29W15-P29W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`hum~a_1]
   UNSPLITVOC:	(All~`hum~a)
          POS:	NOUN
          VOC:	All~`hum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	امييييييييييين
     IS_TRANS:	Amyyyyyyyyyyyn
        INDEX:	P29W10
      OFFSETS:	48-62
       TOKENS:	P29W16-P29W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Amiyn_1]
   UNSPLITVOC:	(Amiyn)
          POS:	VERB
          VOC:	Amiyn
        GLOSS:	amen

 INPUT STRING:	ههههههههه
     IS_TRANS:	hhhhhhhhh
        INDEX:	P30W1
      OFFSETS:	0-9
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	haha

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P30W2
      OFFSETS:	10-12
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مصدقة
     IS_TRANS:	mSdqp
        INDEX:	P30W3
      OFFSETS:	13-18
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSad~aq_1]
   UNSPLITVOC:	(miSad~aqap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	miSad~aq+ap
        GLOSS:	believing+[fem.sg.]

 INPUT STRING:	انك
     IS_TRANS:	Ank
        INDEX:	P30W4
      OFFSETS:	19-22
       TOKENS:	P30W4-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ik)
          POS:	SUB_CONJ+PRON_2FS
          VOC:	<in~+ik
        GLOSS:	that+you [fem.sg.]

 INPUT STRING:	كتبتى
     IS_TRANS:	ktbtY
        INDEX:	P30W5
      OFFSETS:	23-28
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(katabtiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	katab+tiy
        GLOSS:	write/be written/be fated/be destined+you [fem.sg.]

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P30W6
      OFFSETS:	29-35
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P30W7
      OFFSETS:	36-38
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this [masc.sg.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P30W8
      OFFSETS:	39-41
       TOKENS:	P30W9-P30W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	مجلسنا
     IS_TRANS:	mjlsnA
        INDEX:	P30W9
      OFFSETS:	42-48
       TOKENS:	P30W10-P30W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolisnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	majolis+nA
        GLOSS:	council/board+our

 INPUT STRING:	العسكرى
     IS_TRANS:	AlEskrY
        INDEX:	P30W10
      OFFSETS:	49-56
       TOKENS:	P30W12-P30W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	الموقر
     IS_TRANS:	Almwqr
        INDEX:	P30W11
      OFFSETS:	57-63
       TOKENS:	P30W13-P30W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwaq~ar_1]
   UNSPLITVOC:	(Almuwaq~ar)
          POS:	DET+ADJ
          VOC:	Al+muwaq~ar
        GLOSS:	the+respected/venerable

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P30W12
      OFFSETS:	63-64
       TOKENS:	P30W14-P30W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P30W13
      OFFSETS:	64-65
       TOKENS:	P30W15-P30W15
