 INPUT STRING:	سؤال
      OFFSETS:	5-7
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اول
     IS_TRANS:	Awl
        INDEX:	P21W3
      OFFSETS:	8-11
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(>aw~al)
          POS:	ADJ
          VOC:	>aw~al
        GLOSS:	first/first-place/best/top/early/beginning/ancients/first of all

 INPUT STRING:	السلانسية
     IS_TRANS:	AlslAnsyp
        INDEX:	P21W4
      OFFSETS:	12-21
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AlslAnsyp)
          POS:	FOREIGN
          VOC:	AlslAnsyp
        GLOSS:	nogloss

 INPUT STRING:	لغاية
     IS_TRANS:	lgAyp
        INDEX:	P21W5
      OFFSETS:	22-27
       TOKENS:	P21W5-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAyap_1]
   UNSPLITVOC:	(ligAyap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+gAy+ap
        GLOSS:	for/to+goal/objective/purpose/intention/goals/objectives/utmost/extreme+[fem.sg.]

 INPUT STRING:	عدد
     IS_TRANS:	Edd
        INDEX:	P21W6
      OFFSETS:	28-31
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadad_1]
   UNSPLITVOC:	(Eadad)
          POS:	NOUN
          VOC:	Eadad
        GLOSS:	number/quantity/issue/numbers/issues

 INPUT STRING:	لفات
     IS_TRANS:	lfAt
        INDEX:	P21W7
      OFFSETS:	32-36
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laf~ap_1]
   UNSPLITVOC:	(laf~At)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	laf~+At
        GLOSS:	circuit/turning/coil/reel/package+[fem.pl.]

 INPUT STRING:	4000
     IS_TRANS:	4000
        INDEX:	P21W8
      OFFSETS:	37-41
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(4000)
          POS:	NOUN_NUM
          VOC:	4000
        GLOSS:	4000

 INPUT STRING:	لفة
     IS_TRANS:	lfp
        INDEX:	P21W9
      OFFSETS:	42-45
       TOKENS:	P21W10-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laf~ap_1]
   UNSPLITVOC:	(laf~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	laf~+ap
        GLOSS:	circuit/turning/coil/reel/package+[fem.sg.]

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P21W10
      OFFSETS:	46-47
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	/

 INPUT STRING:	دقيقة
     IS_TRANS:	dqyqp
        INDEX:	P21W11
      OFFSETS:	48-53
       TOKENS:	P21W12-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diqiyqap_1]
   UNSPLITVOC:	(diqiyqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	diqiyq+ap
        GLOSS:	minutes/minute+[fem.sg.]

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P21W12
      OFFSETS:	54-61
       TOKENS:	P21W13-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+ADJ
          VOC:	Al+maforuwD
        GLOSS:	the+should/imposed/prescribed

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P21W13
      OFFSETS:	62-64
       TOKENS:	P21W14-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	despite/even if/in spite of the fact that/verily/That/Although/truly

 INPUT STRING:	الفولت
     IS_TRANS:	Alfwlt
        INDEX:	P21W14
      OFFSETS:	65-71
       TOKENS:	P21W15-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fawlt_1]
   UNSPLITVOC:	(Alfawlt)
          POS:	DET+NOUN
          VOC:	Al+fawlt
        GLOSS:	the+volt

 INPUT STRING:	ثابت
     IS_TRANS:	vAbt
        INDEX:	P21W15
      OFFSETS:	72-76
       TOKENS:	P21W16-P21W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAbit_1]
   UNSPLITVOC:	(vAbit)
          POS:	ADJ
          VOC:	vAbit
        GLOSS:	established/proven/permanent

 INPUT STRING:	14
     IS_TRANS:	14
        INDEX:	P21W16
      OFFSETS:	77-79
       TOKENS:	P21W17-P21W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(14)
          POS:	NOUN_NUM
          VOC:	14
        GLOSS:	14

 INPUT STRING:	وبالتوفيق
     IS_TRANS:	wbAltwfyq
        INDEX:	P21W17
      OFFSETS:	80-89
       TOKENS:	P21W18-P21W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawfiyq_1]
   UNSPLITVOC:	(wibiAltawfiyq)
          POS:	CONJ+PREP+DET+NOUN
          VOC:	wi+bi+Al+tawfiyq
        GLOSS:	and+with/by+the+success/successful outcome/conformation

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P22W2
      OFFSETS:	5-9
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be/was/were

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P22W3
      OFFSETS:	10-12
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	قاعده
     IS_TRANS:	qAEdh
        INDEX:	P22W4
      OFFSETS:	13-18
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAEid_1]
   UNSPLITVOC:	(qAEodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qAEod+ap
        GLOSS:	base/rule/basis+[fem.sg.]

 INPUT STRING:	السيلكونات
     IS_TRANS:	AlsylkwnAt
        INDEX:	P22W5
      OFFSETS:	19-29
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AlsylkwnAt)
          POS:	FOREIGN
          VOC:	AlsylkwnAt
        GLOSS:	nogloss

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P22W6
      OFFSETS:	30-34
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P22W7
      OFFSETS:	35-37
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الدينامو
     IS_TRANS:	AldynAmw
        INDEX:	P22W8
      OFFSETS:	38-46
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diynAmuw_1]
   UNSPLITVOC:	(Ald~iynAmuw)
          POS:	DET+NOUN
          VOC:	Al+diynAmuw
        GLOSS:	the+dynamo/generator/dynamos/generators

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P23W1
      OFFSETS:	0-2
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	بايظه
     IS_TRANS:	bAyZh
        INDEX:	P23W2
      OFFSETS:	3-8
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAyiZ_1]
   UNSPLITVOC:	(bAyoZap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	bAyoZ+ap
        GLOSS:	corrupt/immoral/unfit/unsound/morally corrupted/become spoilt+[fem.sg.]

 INPUT STRING:	يخلي
     IS_TRANS:	yxly
        INDEX:	P23W3
      OFFSETS:	9-13
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(yixal~iy)
          POS:	IV3MS+IV
          VOC:	yi+xal~iy
        GLOSS:	he/it+release/evacuate/allow/be released/be evacuated/be allowed

 INPUT STRING:	اللمبه
     IS_TRANS:	Allmbh
        INDEX:	P23W4
      OFFSETS:	14-20
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lamobap_1]
   UNSPLITVOC:	(All~amobap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+lamob+ap
        GLOSS:	the+lamp+[fem.sg.]

 INPUT STRING:	تنور
     IS_TRANS:	tnwr
        INDEX:	P23W5
      OFFSETS:	21-25
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naw~ar_1]
   UNSPLITVOC:	(tinaw~ar)
          POS:	IV3FS+IV
          VOC:	ti+naw~ar
        GLOSS:	it/they/she+shed light/enlighten

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P23W6
      OFFSETS:	26-28
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	السلانسيه
     IS_TRANS:	AlslAnsyh
        INDEX:	P23W7
      OFFSETS:	29-38
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AlslAnsyh)
          POS:	FOREIGN
          VOC:	AlslAnsyh
        GLOSS:	nogloss

