 INPUT STRING:	اقتل
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAbiE_1]
   UNSPLITVOC:	(AlsAbiEap)
          POS:	DET+ADJ_NUM+NSUFF_FEM_SG
          VOC:	Al+sAbiE+ap
        GLOSS:	the+seventh+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P12W17
      OFFSETS:	78-80
       TOKENS:	P12W18-P12W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	القرن
     IS_TRANS:	Alqrn
        INDEX:	P12W18
      OFFSETS:	81-86
       TOKENS:	P12W19-P12W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaron_1]
   UNSPLITVOC:	(Alqaron)
          POS:	DET+NOUN
          VOC:	Al+qaron
        GLOSS:	the+century/age

 INPUT STRING:	السابع
     IS_TRANS:	AlsAbE
        INDEX:	P12W19
      OFFSETS:	87-93
       TOKENS:	P12W20-P12W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAbiE_1]
   UNSPLITVOC:	(AlsAbiE)
          POS:	DET+ADJ_NUM
          VOC:	Al+sAbiE
        GLOSS:	the+seventh

 INPUT STRING:	الساعة
     IS_TRANS:	AlsAEp
        INDEX:	P12W20
      OFFSETS:	94-100
       TOKENS:	P12W21-P12W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(Als~AEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sAE+ap
        GLOSS:	the+hour/time/hours+[fem.sg.]

 INPUT STRING:	سبعة
     IS_TRANS:	sbEp
        INDEX:	P12W21
      OFFSETS:	101-105
       TOKENS:	P12W22-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saboEap_1]
   UNSPLITVOC:	(saboEap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	saboE+ap
        GLOSS:	seven+[fem.sg.]

 INPUT STRING:	وسبع
     IS_TRANS:	wsbE
        INDEX:	P12W22
      OFFSETS:	106-110
       TOKENS:	P12W23-P12W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabaE_1]
   UNSPLITVOC:	(wisabaE)
          POS:	CONJ+NOUN_NUM
          VOC:	wi+sabaE
        GLOSS:	and+seven

 INPUT STRING:	دقائق
     IS_TRANS:	dqA}q
        INDEX:	P12W23
      OFFSETS:	111-116
       TOKENS:	P12W25-P12W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daqiyqap_1]
   UNSPLITVOC:	(daqA}iq)
          POS:	NOUN
          VOC:	daqA}iq
        GLOSS:	minutes

 INPUT STRING:	وسلمى
     IS_TRANS:	wslmY
        INDEX:	P12W24
      OFFSETS:	117-122
       TOKENS:	P12W26-P12W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sal~im_1]
   UNSPLITVOC:	(wisal~imiy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+sal~im+iy
        GLOSS:	and+hand over/surrender/greet+you

 INPUT STRING:	لى
     IS_TRANS:	lY
        INDEX:	P12W25
      OFFSETS:	123-125
       TOKENS:	P12W28-P12W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~a)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/for+me

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P12W26
      OFFSETS:	126-129
       TOKENS:	P12W30-P12W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ساعة
     IS_TRANS:	sAEp
        INDEX:	P12W27
      OFFSETS:	130-134
       TOKENS:	P12W31-P12W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(sAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	sAE+ap
        GLOSS:	hour/time/hours+[fem.sg.]

 INPUT STRING:	جرينتش
     IS_TRANS:	jrynt$
        INDEX:	P12W28
      OFFSETS:	135-141
       TOKENS:	P12W32-P12W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jriynito$_1]
   UNSPLITVOC:	(jriynito$)
          POS:	NOUN_PROP
          VOC:	jriynito$
        GLOSS:	Greenwich

 INPUT STRING:	ويجعلة
     IS_TRANS:	wyjElp
        INDEX:	P12W29
      OFFSETS:	142-148
       TOKENS:	P12W33-P12W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaEal_1]
   UNSPLITVOC:	(wiyijoEaluh)
          POS:	CONJ+IV3MS+IV+IVSUFF_DO:3MS
          VOC:	wi+yi+joEal+uh
        GLOSS:	and+he/it+make/bring about/appoint+it/him

 INPUT STRING:	عامر
     IS_TRANS:	EAmr
        INDEX:	P12W30
      OFFSETS:	149-153
       TOKENS:	P12W36-P12W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmir_1]
   UNSPLITVOC:	(EAmir)
          POS:	ADJ
          VOC:	EAmir
        GLOSS:	flourishing/filled

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P13W1
      OFFSETS:	1-3
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	فرحة
     IS_TRANS:	frHp
        INDEX:	P13W2
      OFFSETS:	4-8
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroHap_1]
   UNSPLITVOC:	(faroHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	faroH+ap
        GLOSS:	joy/joys+[fem.sg.]

 INPUT STRING:	تلك
     IS_TRANS:	tlk
        INDEX:	P13W3
      OFFSETS:	9-12
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tlk)
          POS:	NO_FUNC
          VOC:	tlk
        GLOSS:	nogloss

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P13W4
      OFFSETS:	13-17
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	انتابت
     IS_TRANS:	AntAbt
        INDEX:	P13W5
      OFFSETS:	18-24
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotAb_1]
   UNSPLITVOC:	(AinotAbat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	{inotAb+at
        GLOSS:	afflict/happen+it/they/she [verb]

 INPUT STRING:	اهالي
     IS_TRANS:	AhAly
        INDEX:	P13W6
      OFFSETS:	25-30
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>ahAliy)
          POS:	NOUN
          VOC:	>ahAliy
        GLOSS:	families/indigenous people

 INPUT STRING:	الضحايا
     IS_TRANS:	AlDHAyA
        INDEX:	P13W7
      OFFSETS:	31-38
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaHiy~ap_1]
   UNSPLITVOC:	(AlD~aHAyA)
          POS:	DET+NOUN
          VOC:	Al+DaHAyA
        GLOSS:	the+victim/victims

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P14W1
      OFFSETS:	1-8
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+ADJ
          VOC:	Al+maforuwD
        GLOSS:	the+imposed/prescribed

 INPUT STRING:	الحكم
     IS_TRANS:	AlHkm
        INDEX:	P14W2
      OFFSETS:	9-14
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(AlHukom)
          POS:	DET+NOUN
          VOC:	Al+Hukom
        GLOSS:	the+judgment/decision/verdict/statutes/laws/judgments/decisions//verdicts

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P14W3
      OFFSETS:	15-19
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	الاعدام
     IS_TRANS:	AlAEdAm
        INDEX:	P14W4
      OFFSETS:	20-27
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEodAm_1]
   UNSPLITVOC:	(Al<iEodAm)
          POS:	DET+NOUN
          VOC:	Al+<iEodAm
        GLOSS:	the+execution/capital punishment

 INPUT STRING:	شنقا
     IS_TRANS:	$nqA
        INDEX:	P14W5
      OFFSETS:	28-32
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$anoq_1]
   UNSPLITVOC:	($anoqAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$anoq+AF
        GLOSS:	hanging (execution)+[acc.indef.]

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P15W1
      OFFSETS:	1-4
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~A_1]
   UNSPLITVOC:	(>am~A)
          POS:	FOCUS_PART
          VOC:	>am~A
        GLOSS:	As to, as for, as far as , but, however, yet, on the other hand

 INPUT STRING:	حكاية
     IS_TRANS:	HkAyp
        INDEX:	P15W2
      OFFSETS:	5-10
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HikAyap_1]
   UNSPLITVOC:	(HikAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HikAy+ap
        GLOSS:	story/account+[fem.sg.]

 INPUT STRING:	السبع
     IS_TRANS:	AlsbE
        INDEX:	P15W3
      OFFSETS:	11-16
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabaE_1]
   UNSPLITVOC:	(Als~abaE)
          POS:	DET+NOUN_NUM
          VOC:	Al+sabaE
        GLOSS:	the+seven

 INPUT STRING:	سنين
     IS_TRANS:	snyn
        INDEX:	P15W4
      OFFSETS:	17-21
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(siniyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	sin+iyn
        GLOSS:	years+[masc.pl.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P15W5
      OFFSETS:	22-24
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	فبجد
     IS_TRANS:	fbjd
        INDEX:	P15W6
      OFFSETS:	25-29
       TOKENS:	P15W6-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(fabijid~)
          POS:	CONNEC_PART+PREP+NOUN
          VOC:	fa+bi+jid~
        GLOSS:	so/then+with/by+seriousness/earnestness

 INPUT STRING:	تعتبر
     IS_TRANS:	tEtbr
        INDEX:	P15W7
      OFFSETS:	30-35
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tEtbr)
          POS:	NO_FUNC
          VOC:	tEtbr
        GLOSS:	nogloss

 INPUT STRING:	نكتة
     IS_TRANS:	nktp
        INDEX:	P15W8
      OFFSETS:	36-40
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nukotap_1]
   UNSPLITVOC:	(nukotap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	nukot+ap
        GLOSS:	joke/wisecrack+[fem.sg.]

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P15W9
      OFFSETS:	41-44
       TOKENS:	P15W11-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for+that

 INPUT STRING:	الكل
     IS_TRANS:	Alkl
        INDEX:	P15W10
      OFFSETS:	45-49
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(Alkul~)
          POS:	DET+NOUN_QUANT
          VOC:	Al+kul~
        GLOSS:	the+all, entire, every, whole

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P15W11
      OFFSETS:	50-54
       TOKENS:	P15W14-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ
          VOC:	EArif
        GLOSS:	knowing/having knowledge of

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P15W12
      OFFSETS:	55-57
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	عمرة
     IS_TRANS:	Emrp
        INDEX:	P15W13
      OFFSETS:	58-62
       TOKENS:	P15W16-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumoruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Eumor+uh
        GLOSS:	age/life/ages/age groups+his/its

 INPUT STRING:	ماهيرجع
     IS_TRANS:	mAhyrjE
        INDEX:	P15W14
      OFFSETS:	63-70
       TOKENS:	P15W18-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[rajaE_1]
   UNSPLITVOC:	(mA_HayirojaE)
          POS:	NEG_PART+FUT_PART+IV3MS+IV
          VOC:	mA+Ha+yi+rojaE
        GLOSS:	not+will+he/it+return

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P15W15
      OFFSETS:	71-75
       TOKENS:	P15W21-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniY_1]
   UNSPLITVOC:	(vAniY)
          POS:	ADJ_NUM
          VOC:	vAniY
        GLOSS:	second

 INPUT STRING:	وطبعا
     IS_TRANS:	wTbEA
        INDEX:	P15W16
      OFFSETS:	76-81
       TOKENS:	P15W22-P15W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(wiTaboEAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+TaboE+AF
        GLOSS:	and+temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	الانتربول
     IS_TRANS:	AlAntrbwl
        INDEX:	P15W17
      OFFSETS:	82-91
       TOKENS:	P15W24-P15W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotirobuwl_1]
   UNSPLITVOC:	(Al<inotirobuwl)
          POS:	DET+NOUN_PROP
          VOC:	Al+<inotirobuwl
        GLOSS:	the+Interpol

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P15W18
      OFFSETS:	92-94
       TOKENS:	P15W25-P15W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هيقدر
     IS_TRANS:	hyqdr
        INDEX:	P15W19
      OFFSETS:	95-100
       TOKENS:	P15W26-P15W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[qadar_0]
   UNSPLITVOC:	(Hayiqodar)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+qodar
        GLOSS:	will+he/it+be able to/be capable of

 INPUT STRING:	يجيبة
     IS_TRANS:	yjybp
        INDEX:	P15W20
      OFFSETS:	101-106
       TOKENS:	P15W28-P15W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(yijiybuh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	yi+jiyb+uh
        GLOSS:	he/it+bring+it/him

 INPUT STRING:	وفعلا
     IS_TRANS:	wfElA
        INDEX:	P16W1
      OFFSETS:	1-6
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(wifiEolAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+fiEol+AF
        GLOSS:	and+doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P16W2
      OFFSETS:	7-11
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P16W3
      OFFSETS:	12-14
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P16W4
      OFFSETS:	15-18
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P17W1
      OFFSETS:	1-4
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~A_1]
   UNSPLITVOC:	(>am~A)
          POS:	FOCUS_PART
          VOC:	>am~A
        GLOSS:	As to, as for, as far as , but, however, yet, on the other hand

 INPUT STRING:	بخصوص
     IS_TRANS:	bxSwS
        INDEX:	P17W2
      OFFSETS:	5-10
       TOKENS:	P17W2-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuSuwS_1]
   UNSPLITVOC:	(bixuSuwS)
          POS:	PREP+NOUN
          VOC:	bi+xuSuwS
        GLOSS:	with/by+matter/issue/regard/respect/especially/in particular

 INPUT STRING:	العنوان
     IS_TRANS:	AlEnwAn
        INDEX:	P17W3
      OFFSETS:	11-18
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EinowAn_1]
   UNSPLITVOC:	(AlEinowAn)
          POS:	DET+NOUN
          VOC:	Al+EinowAn
        GLOSS:	the+title/headline

 INPUT STRING:	اقتل
     IS_TRANS:	Aqtl
        INDEX:	P17W4
      OFFSETS:	19-23
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qatal_1]
   UNSPLITVOC:	(Auqtul)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Auqtul+(null)
        GLOSS:	kill+you

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P17W5
      OFFSETS:	24-28
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	مصري
     IS_TRANS:	mSry
        INDEX:	P17W6
      OFFSETS:	29-33
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy)
          POS:	ADJ
          VOC:	maSoriy
        GLOSS:	Egyptian

 INPUT STRING:	واتسجن
     IS_TRANS:	wAtsjn
        INDEX:	P17W7
      OFFSETS:	34-40
       TOKENS:	P17W8-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sajan_1]
   UNSPLITVOC:	(wiAitosajan)
          POS:	CONJ+PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	wi+Aitosajan+(null)
        GLOSS:	and+be imprisoned+he/it

 INPUT STRING:	يومين
     IS_TRANS:	ywmyn
        INDEX:	P17W8
      OFFSETS:	41-46
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yuwmayn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	yuwm+ayn
        GLOSS:	today/some day/ever/days+two

 INPUT STRING:	فالعرض
     IS_TRANS:	fAlErD
        INDEX:	P17W9
      OFFSETS:	47-53
       TOKENS:	P17W11-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaroD_1]
   UNSPLITVOC:	(faAlEaroD)
          POS:	CONNEC_PART+DET+NOUN
          VOC:	fa+Al+EaroD
        GLOSS:	so/then+the+presentation/display/review/show/offer/presentations/shows/reviews/displays/offers/tenders

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P17W10
      OFFSETS:	54-56
       TOKENS:	P17W13-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	ساري
     IS_TRANS:	sAry
        INDEX:	P17W11
      OFFSETS:	57-61
       TOKENS:	P17W14-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAriy_1]
   UNSPLITVOC:	(sAriy)
          POS:	ADJ
          VOC:	sAriy
        GLOSS:	effective/valid

 INPUT STRING:	للأباطرة
     IS_TRANS:	ll>bATrp
        INDEX:	P17W12
      OFFSETS:	62-70
       TOKENS:	P17W15-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abATirap_1]
   UNSPLITVOC:	(lil>abATirap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+>abATir+ap
        GLOSS:	to/for+the+emperors/stars+[fem.sg.]

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P17W13
      OFFSETS:	71-74
       TOKENS:	P17W17-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
