 INPUT STRING:	لقد
     IS_TRANS:	AlAxwAn
        INDEX:	P14W6
      OFFSETS:	30-37
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AixwAn_1]
   UNSPLITVOC:	(AlAixwAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+AixwAn
        GLOSS:	the+Ikhwan

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P14W7
      OFFSETS:	38-41
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P14W8
      OFFSETS:	42-44
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	شيء
     IS_TRANS:	$y'
        INDEX:	P14W9
      OFFSETS:	45-48
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$iy'_1]
   UNSPLITVOC:	($iy')
          POS:	NOUN
          VOC:	$iy'
        GLOSS:	something/thing/things

 INPUT STRING:	يفعلونه
     IS_TRANS:	yfElwnh
        INDEX:	P14W10
      OFFSETS:	49-56
       TOKENS:	P14W12-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faEal_1]
   UNSPLITVOC:	(yafEaluwnuh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	ya+fEaluwn+uh
        GLOSS:	he/it+work/act/do+it/him

 INPUT STRING:	وحتى
     IS_TRANS:	wHtY
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(wiHat~aY)
          POS:	CONJ+PART
          VOC:	wi+Hat~aY
        GLOSS:	and+even/including

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P15W2
      OFFSETS:	5-7
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P15W3
      OFFSETS:	8-11
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	شيء
     IS_TRANS:	$y'
        INDEX:	P15W4
      OFFSETS:	12-15
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$iy'_1]
   UNSPLITVOC:	($iy')
          POS:	NOUN
          VOC:	$iy'
        GLOSS:	something/thing/things

 INPUT STRING:	حلو
     IS_TRANS:	Hlw
        INDEX:	P15W5
      OFFSETS:	16-19
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilow)
          POS:	ADJ
          VOC:	Hilow
        GLOSS:	good

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P15W6
      OFFSETS:	20-21
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P15W7
      OFFSETS:	21-22
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	فليه
     IS_TRANS:	flyh
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(falayoh)
          POS:	CONJ+INTERROG_ADV
          VOC:	fa+layoh
        GLOSS:	and+why

 INPUT STRING:	الاغلبيه
     IS_TRANS:	AlAglbyh
        INDEX:	P16W2
      OFFSETS:	5-13
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aagolabiy~ap_1]
   UNSPLITVOC:	(AlAgolabiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Agolabiy~+ap
        GLOSS:	the+majority+[fem.sg.]

 INPUT STRING:	ضدهم
     IS_TRANS:	Ddhm
        INDEX:	P16W3
      OFFSETS:	14-18
       TOKENS:	P16W4-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~uhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Did~+hum
        GLOSS:	contrary/against/opposed/anti-/counter-/opposites+their

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P16W4
      OFFSETS:	19-20
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P16W5
      OFFSETS:	20-21
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

