 INPUT STRING:	افتحوا
       TOKENS:	P49W32-P49W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اختلاف
     IS_TRANS:	AxtlAf
        INDEX:	P49W27
      OFFSETS:	128-134
       TOKENS:	P49W33-P49W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AixotilAf_1]
   UNSPLITVOC:	(AixotilAf)
          POS:	NOUN
          VOC:	AixotilAf
        GLOSS:	variance/disagreement/difference

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P49W28
      OFFSETS:	135-137
       TOKENS:	P49W34-P49W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الراى
     IS_TRANS:	AlrAY
        INDEX:	P49W29
      OFFSETS:	138-143
       TOKENS:	P49W35-P49W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(Alr~a>oy)
          POS:	DET+NOUN
          VOC:	Al+ra>oy
        GLOSS:	the+opinion/view/idea/opinions/views/ideas

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P49W30
      OFFSETS:	144-148
       TOKENS:	P49W36-P49W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	نطبق
     IS_TRANS:	nTbq
        INDEX:	P49W31
      OFFSETS:	149-153
       TOKENS:	P49W37-P49W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab~aq_1]
   UNSPLITVOC:	(niTab~aq)
          POS:	IV1P+IV
          VOC:	ni+Tab~aq
        GLOSS:	we+apply/implement/be applied/be implemented

 INPUT STRING:	الحوريه
     IS_TRANS:	AlHwryh
        INDEX:	P49W32
      OFFSETS:	154-161
       TOKENS:	P49W38-P49W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hury~ap_1]
   UNSPLITVOC:	(AlHury~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hury~+ap
        GLOSS:	the+freedom+[fem.sg.]

 INPUT STRING:	والديموقراطيه
     IS_TRANS:	wAldymwqrATyh
        INDEX:	P49W33
      OFFSETS:	162-175
       TOKENS:	P49W39-P49W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diymuqrATiy~ap_1]
   UNSPLITVOC:	(wiAldiymuwqrATiy~ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+diymuwqrATiy~+ap
        GLOSS:	and+the+democracy+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P49W34
      OFFSETS:	176-180
       TOKENS:	P49W41-P49W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	قامت
     IS_TRANS:	qAmt
        INDEX:	P49W35
      OFFSETS:	181-185
       TOKENS:	P49W42-P49W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(qAmit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	qAm+it
        GLOSS:	undertake/carry out/rise/stand/get up/do/be based (on)+it/they/she

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P49W36
      OFFSETS:	186-188
       TOKENS:	P49W43-P49W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اجلها
     IS_TRANS:	AjlhA
        INDEX:	P49W37
      OFFSETS:	189-194
       TOKENS:	P49W44-P49W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajol_1]
   UNSPLITVOC:	(>ajolahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	>ajol+hA
        GLOSS:	for sake of/because of+its/their/her

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P49W38
      OFFSETS:	195-201
       TOKENS:	P49W46-P49W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P50W1
      OFFSETS:	0-2
       TOKENS:	P50W1-P50W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	سلام
     IS_TRANS:	slAm
        INDEX:	P50W2
      OFFSETS:	3-7
       TOKENS:	P50W2-P50W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(salAm)
          POS:	NOUN
          VOC:	salAm
        GLOSS:	peace/greeting/salute/salutation/greetings/salutations/anthem/song

 INPUT STRING:	ياهانم
     IS_TRANS:	yAhAnm
        INDEX:	P50W3
      OFFSETS:	8-14
       TOKENS:	P50W3-P50W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAnim_1]
   UNSPLITVOC:	(yAhAnim)
          POS:	VOC_PART+NOUN
          VOC:	yA+hAnim
        GLOSS:	O/oh+lady/madame/ladies

 INPUT STRING:	ياللى
     IS_TRANS:	yAllY
        INDEX:	P50W4
      OFFSETS:	15-20
       TOKENS:	P50W5-P50W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yAllY)
          POS:	NO_FUNC
          VOC:	yAllY
        GLOSS:	nogloss

 INPUT STRING:	بتقولى
     IS_TRANS:	btqwlY
        INDEX:	P50W5
      OFFSETS:	21-27
       TOKENS:	P50W6-P50W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwliy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+quwl+iy
        GLOSS:	progressive+you+said/say/be said/say/(for example)+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P50W6
      OFFSETS:	28-30
       TOKENS:	P50W8-P50W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P50W7
      OFFSETS:	31-36
       TOKENS:	P50W9-P50W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+troops/army

 INPUT STRING:	والبلطجيه
     IS_TRANS:	wAlblTjyh
        INDEX:	P50W8
      OFFSETS:	37-46
       TOKENS:	P50W10-P50W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[balTajiy~_1]
   UNSPLITVOC:	(wiAlbalTajiy~ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+balTajiy~+ap
        GLOSS:	and+the+ruffian/gangster+[fem.sg.]

 INPUT STRING:	ايد
     IS_TRANS:	Ayd
        INDEX:	P50W9
      OFFSETS:	47-50
       TOKENS:	P50W12-P50W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(<iyd)
          POS:	NOUN
          VOC:	<iyd
        GLOSS:	handes/hands/your hand/hand

 INPUT STRING:	واحده
     IS_TRANS:	wAHdh
        INDEX:	P50W10
      OFFSETS:	51-56
       TOKENS:	P50W13-P50W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	ماشاء
     IS_TRANS:	mA$A'
        INDEX:	P50W11
      OFFSETS:	57-62
       TOKENS:	P50W14-P50W14
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mA$A')
          POS:	NO_FUNC
          VOC:	mA$A'
        GLOSS:	nogloss

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P50W12
      OFFSETS:	63-67
       TOKENS:	P50W15-P50W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	عليكى
     IS_TRANS:	ElykY
        INDEX:	P50W13
      OFFSETS:	68-73
       TOKENS:	P50W16-P50W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykiy)
          POS:	PREP+PRON_2FS
          VOC:	EalaY+ik
        GLOSS:	on/above+you

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P50W14
      OFFSETS:	74-77
       TOKENS:	P50W18-P50W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P50W15
      OFFSETS:	78-80
       TOKENS:	P50W19-P50W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P50W16
      OFFSETS:	81-83
       TOKENS:	P50W20-P50W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	there is+him/it

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P50W17
      OFFSETS:	84-87
       TOKENS:	P50W22-P50W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	بتفكر
     IS_TRANS:	btfkr
        INDEX:	P50W18
      OFFSETS:	88-93
       TOKENS:	P50W23-P50W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(bitifak~ar)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+fak~ar
        GLOSS:	[present-tense]+it/they/she+think/consider/ponder

 INPUT STRING:	ذيك
     IS_TRANS:	*yk
        INDEX:	P50W19
      OFFSETS:	94-97
       TOKENS:	P50W25-P50W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~ik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	zay~+ik
        GLOSS:	like+you

 INPUT STRING:	وفى
     IS_TRANS:	wfY
        INDEX:	P50W20
      OFFSETS:	98-101
       TOKENS:	P50W27-P50W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wafiy)
          POS:	CONJ+PREP
          VOC:	wa+fiy
        GLOSS:	and+in

 INPUT STRING:	الدماراللى
     IS_TRANS:	AldmArAllY
        INDEX:	P50W21
      OFFSETS:	102-112
       TOKENS:	P50W29-P50W29
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AldmArAllY)
          POS:	NO_FUNC
          VOC:	AldmArAllY
        GLOSS:	nogloss

 INPUT STRING:	بيحصل
     IS_TRANS:	byHSl
        INDEX:	P50W22
      OFFSETS:	113-118
       TOKENS:	P50W30-P50W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(biyiHSal)
          POS:	PROG_PART+IV3MS+IV_PASS
          VOC:	bi+yi+HSal
        GLOSS:	[present-tense]+he/it+obtain/acquire/get/be obtained/be acquired/occur/happen/take place

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P50W23
      OFFSETS:	119-121
       TOKENS:	P50W32-P50W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P50W24
      OFFSETS:	122-127
       TOKENS:	P50W33-P50W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/countries

 INPUT STRING:	والخراب
     IS_TRANS:	wAlxrAb
        INDEX:	P50W25
      OFFSETS:	128-135
       TOKENS:	P50W34-P50W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xarAb_1]
   UNSPLITVOC:	(wiAlxarAb)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+xarAb
        GLOSS:	and+the+ruins/destroyed

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P50W26
      OFFSETS:	136-138
       TOKENS:	P50W36-P50W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	these/this

 INPUT STRING:	عمرماالمركب
     IS_TRANS:	EmrmAAlmrkb
        INDEX:	P50W27
      OFFSETS:	139-150
       TOKENS:	P50W37-P50W37
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EmrmAAlmrkb)
          POS:	NO_FUNC
          VOC:	EmrmAAlmrkb
        GLOSS:	nogloss

 INPUT STRING:	هتمشى
     IS_TRANS:	htm$Y
        INDEX:	P50W28
      OFFSETS:	151-156
       TOKENS:	P50W38-P50W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$iy_1]
   UNSPLITVOC:	(Hatimo$iy)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+mo$iy
        GLOSS:	will+it/they/she+go/make a walk

 INPUT STRING:	عاجبك
     IS_TRANS:	EAjbk
        INDEX:	P50W29
      OFFSETS:	157-162
       TOKENS:	P50W40-P50W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAjib_1]
   UNSPLITVOC:	(EAjibik)
          POS:	ADJ+POSS_PRON_2FS
          VOC:	EAjib+ik
        GLOSS:	delight/liking/pleased/delighted/arousing admiration/like/pleasing/admirable+your

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P50W30
      OFFSETS:	163-167
       TOKENS:	P50W42-P50W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	حاصل
     IS_TRANS:	HASl
        INDEX:	P50W31
      OFFSETS:	168-172
       TOKENS:	P50W43-P50W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HASil_1]
   UNSPLITVOC:	(HASil)
          POS:	ADJ
          VOC:	HASil
        GLOSS:	result/income/revenues

 INPUT STRING:	حسبى
     IS_TRANS:	HsbY
        INDEX:	P50W32
      OFFSETS:	173-177
       TOKENS:	P50W44-P50W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasob_1]
   UNSPLITVOC:	(Hasobiya)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Hasob+iy
        GLOSS:	reckoning/calculation/according to+my

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P50W33
      OFFSETS:	178-182
       TOKENS:	P50W46-P50W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ونعم
     IS_TRANS:	wnEm
        INDEX:	P50W34
      OFFSETS:	183-187
       TOKENS:	P50W47-P50W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niEoma_1]
   UNSPLITVOC:	(waniEoma)
          POS:	CONJ+VERB
          VOC:	wa+niEoma
        GLOSS:	and+how good

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P50W35
      OFFSETS:	188-194
       TOKENS:	P50W49-P50W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+representative/agent/representatives/agents

 INPUT STRING:	خللونا
     IS_TRANS:	xllwnA
        INDEX:	P50W36
      OFFSETS:	195-201
       TOKENS:	P50W50-P50W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~uwnA)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:1P
          VOC:	xal~+uwA+nA
        GLOSS:	allow+they+us

 INPUT STRING:	نرجع
     IS_TRANS:	nrjE
        INDEX:	P50W37
      OFFSETS:	202-206
       TOKENS:	P50W52-P50W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(nirojaE)
          POS:	IV1P+IV
          VOC:	ni+rojaE
        GLOSS:	we+go back/return/came back

 INPUT STRING:	ميت
     IS_TRANS:	myt
        INDEX:	P50W38
      OFFSETS:	207-210
       TOKENS:	P50W53-P50W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miyt_1]
   UNSPLITVOC:	(miyt)
          POS:	NOUN_NUM
          VOC:	miyt
        GLOSS:	hundred

 INPUT STRING:	سنه
     IS_TRANS:	snh
        INDEX:	P50W39
      OFFSETS:	211-214
       TOKENS:	P50W54-P50W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year/years+[fem.sg.]

 INPUT STRING:	لورا
     IS_TRANS:	lwrA
        INDEX:	P50W40
      OFFSETS:	215-219
       TOKENS:	P50W55-P50W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA_1]
   UNSPLITVOC:	(liwarA)
          POS:	PREP+NOUN
          VOC:	li+warA
        GLOSS:	for/to+behind

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P50W41
      OFFSETS:	220-224
       TOKENS:	P50W57-P50W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	تحرق
     IS_TRANS:	tHrq
        INDEX:	P50W42
      OFFSETS:	225-229
       TOKENS:	P50W58-P50W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haraq_1]
   UNSPLITVOC:	(tiHoraq)
          POS:	IV3FS+IV
          VOC:	ti+Horaq
        GLOSS:	it/they/she+burn/hurt/rub/grind

 INPUT STRING:	الدم
     IS_TRANS:	Aldm
        INDEX:	P50W43
      OFFSETS:	230-234
       TOKENS:	P50W59-P50W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~_1]
   UNSPLITVOC:	(Ald~am~)
          POS:	DET+NOUN
          VOC:	Al+dam~
        GLOSS:	the+blood

 INPUT STRING:	اصل
     IS_TRANS:	ASl
        INDEX:	P50W44
      OFFSETS:	235-238
       TOKENS:	P50W60-P50W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSol)
          POS:	NOUN
          VOC:	>aSol
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily

 INPUT STRING:	لولا
     IS_TRANS:	lwlA
        INDEX:	P50W45
      OFFSETS:	239-243
       TOKENS:	P50W61-P50W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lawolA_1]
   UNSPLITVOC:	(lawolA)
          POS:	SUB_CONJ
          VOC:	lawolA
        GLOSS:	except for/had it not been for/if not/unless

 INPUT STRING:	الاعتصامات
     IS_TRANS:	AlAEtSAmAt
        INDEX:	P50W46
      OFFSETS:	244-254
       TOKENS:	P50W62-P50W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEotiSAm_2]
   UNSPLITVOC:	(AlAiEotiSAmAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+<iEotiSAm+At
        GLOSS:	the+adhering/occupation/sit-in strike/refuge+[fem.pl.]

 INPUT STRING:	والقرف
     IS_TRANS:	wAlqrf
        INDEX:	P50W47
      OFFSETS:	255-261
       TOKENS:	P50W63-P50W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaraf_1]
   UNSPLITVOC:	(wiAlqaraf)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+qaraf
        GLOSS:	and+the+loathing

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P50W48
      OFFSETS:	262-265
       TOKENS:	P50W65-P50W65
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	هيبقى
     IS_TRANS:	hybqY
        INDEX:	P50W49
      OFFSETS:	266-271
       TOKENS:	P50W66-P50W67
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(HayiboqaY)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+boqaY
        GLOSS:	will+he/it+be/became/become/last/remain

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P50W50
      OFFSETS:	272-274
       TOKENS:	P50W68-P50W68
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	these/this

 INPUT STRING:	حال
     IS_TRANS:	HAl
        INDEX:	P50W51
      OFFSETS:	275-278
       TOKENS:	P50W69-P50W69
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAl)
          POS:	NOUN
