 INPUT STRING:	رايحة

 INPUT STRING:	وجعني
     IS_TRANS:	wjEny
        INDEX:	P421W3
      OFFSETS:	9-14
       TOKENS:	P421W4-P421W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajaE_1]
   UNSPLITVOC:	(wajaEniy)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1S
          VOC:	wajaE+(null)+niy
        GLOSS:	pain/suffer/ache/hurt+he/it+me

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P421W4
      OFFSETS:	15-20
       TOKENS:	P421W6-P421W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EaliyhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+it/she/they

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P422W1
      OFFSETS:	0-4
       TOKENS:	P422W1-P422W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P422W2
      OFFSETS:	5-7
       TOKENS:	P422W3-P422W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بينسى
     IS_TRANS:	bynsY
        INDEX:	P422W3
      OFFSETS:	8-13
       TOKENS:	P422W4-P422W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nasaY_1]
   UNSPLITVOC:	(biyinosaY)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+nosaY
        GLOSS:	[present-tense]+he/it+Gloss:TBA

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P422W4
      OFFSETS:	14-16
       TOKENS:	P422W6-P422W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P422W5
      OFFSETS:	17-22
       TOKENS:	P422W7-P422W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by/with+Allah/God

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P422W6
      OFFSETS:	22-23
       TOKENS:	P422W9-P422W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P422W7
      OFFSETS:	24-26
       TOKENS:	P422W10-P422W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	تلاقي
     IS_TRANS:	tlAqy
        INDEX:	P422W8
      OFFSETS:	27-32
       TOKENS:	P422W11-P422W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(tilAqiy)
          POS:	IV3FS+IV
          VOC:	ti+lAqiy
        GLOSS:	it/they/she+meet/encounter/be met/be encountered

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P422W9
      OFFSETS:	33-36
       TOKENS:	P422W12-P422W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	واقف
     IS_TRANS:	wAqf
        INDEX:	P422W10
      OFFSETS:	37-41
       TOKENS:	P422W14-P422W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqif_1]
   UNSPLITVOC:	(wAqif)
          POS:	ADJ
          VOC:	wAqif
        GLOSS:	standing/stopped

 INPUT STRING:	جنبها
     IS_TRANS:	jnbhA
        INDEX:	P422W11
      OFFSETS:	42-47
       TOKENS:	P422W15-P422W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[janob_1]
   UNSPLITVOC:	(janobahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	janob+hA
        GLOSS:	next to/side/sides+its/their/her

 INPUT STRING:	ووالله
     IS_TRANS:	wwAllh
        INDEX:	P423W1
      OFFSETS:	0-6
       TOKENS:	P423W1-P423W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(wiwaAll~ahi)
          POS:	PART+PREP+NOUN_PROP
          VOC:	wi+wa+All~ah
        GLOSS:	and+by/with+God/Allah

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P423W2
      OFFSETS:	7-11
       TOKENS:	P423W4-P423W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	بيعوض
     IS_TRANS:	byEwD
        INDEX:	P423W3
      OFFSETS:	12-17
       TOKENS:	P423W6-P423W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaw~aD_1]
   UNSPLITVOC:	(biyiEaw~aD)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+Eaw~aD
        GLOSS:	[present-tense]+he/it+replace/compensate

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P424W1
      OFFSETS:	0-2
       TOKENS:	P424W1-P424W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P424W2
      OFFSETS:	3-5
       TOKENS:	P424W2-P424W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	رب
     IS_TRANS:	rb
        INDEX:	P424W3
      OFFSETS:	6-8
       TOKENS:	P424W3-P424W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P424W4
      OFFSETS:	9-11
       TOKENS:	P424W4-P424W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	أهلها
     IS_TRANS:	>hlhA
        INDEX:	P424W5
      OFFSETS:	12-17
       TOKENS:	P424W5-P424W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>aholahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	>ahol+hA
        GLOSS:	family/people/families/folk/indigenous people/qualified/welcome!+its/their/her

 INPUT STRING:	يقفوا
     IS_TRANS:	yqfwA
        INDEX:	P424W6
      OFFSETS:	18-23
       TOKENS:	P424W7-P424W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqaf_1]
   UNSPLITVOC:	(yiqafuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+qaf+uwA
        GLOSS:	they+stop/cease/stand+we

 INPUT STRING:	جنبها
     IS_TRANS:	jnbhA
        INDEX:	P424W7
      OFFSETS:	24-29
       TOKENS:	P424W8-P424W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[janob_1]
   UNSPLITVOC:	(janobahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	janob+hA
        GLOSS:	next to/side/sides+its/their/her

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P425W1
      OFFSETS:	0-2
       TOKENS:	P425W1-P425W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P425W2
      OFFSETS:	3-6
       TOKENS:	P425W2-P425W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P425W3
      OFFSETS:	7-11
       TOKENS:	P425W3-P425W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P426W1
      OFFSETS:	0-4
       TOKENS:	P426W1-P426W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	عملتي
     IS_TRANS:	Emlty
        INDEX:	P426W2
      OFFSETS:	5-10
       TOKENS:	P426W2-P426W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamaltiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	Eamal+tiy
        GLOSS:	function/make/act/do+you

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P426W3
      OFFSETS:	11-14
       TOKENS:	P426W3-P426W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	أدى
     IS_TRANS:	>dY
        INDEX:	P426W4
      OFFSETS:	15-18
       TOKENS:	P426W4-P426W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>dY)
          POS:	FOREIGN
          VOC:	>dY
        GLOSS:	nogloss

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P427W1
      OFFSETS:	0-3
       TOKENS:	P427W1-P427W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+PSEUDO_VERB
          VOC:	wa+lA
        GLOSS:	and+no

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P427W2
      OFFSETS:	4-8
       TOKENS:	P427W3-P427W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	أهلي
     IS_TRANS:	>hly
        INDEX:	P427W3
      OFFSETS:	9-13
       TOKENS:	P427W4-P427W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>aholiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>ahol+iy
        GLOSS:	family/people/families/folk/indigenous people/qualified/welcome!+my

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P427W4
      OFFSETS:	14-17
       TOKENS:	P427W6-P427W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	baqaY+(null)
        GLOSS:	become+he/it

 INPUT STRING:	لهم
     IS_TRANS:	lhm
        INDEX:	P427W5
      OFFSETS:	18-21
       TOKENS:	P427W7-P427W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lihum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+them

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P427W6
      OFFSETS:	22-25
       TOKENS:	P427W9-P427W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here/from now on/somewhere

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P427W7
      OFFSETS:	26-28
       TOKENS:	P427W10-P427W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	3
     IS_TRANS:	3
        INDEX:	P427W8
      OFFSETS:	29-30
       TOKENS:	P427W11-P427W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(3)
          POS:	NOUN_NUM
          VOC:	3
        GLOSS:	3

 INPUT STRING:	وزهقت
     IS_TRANS:	wzhqt
        INDEX:	P427W9
      OFFSETS:	31-36
       TOKENS:	P427W12-P427W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zihiq_1]
   UNSPLITVOC:	(wizihiqt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+zihiq+t
        GLOSS:	and+become bored with/become impatient with/consider tedious/silly/spoil/ruin/make tedious/boring+I

 INPUT STRING:	منهم
     IS_TRANS:	mnhm
        INDEX:	P427W10
      OFFSETS:	37-41
       TOKENS:	P427W14-P427W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhum)
          POS:	PREP+PRON_3P
          VOC:	min+hum
        GLOSS:	from+them

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P427W11
      OFFSETS:	42-46
       TOKENS:	P427W16-P427W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P427W12
      OFFSETS:	47-49
       TOKENS:	P427W17-P427W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	laugh

 INPUT STRING:	رحت
     IS_TRANS:	rHt
        INDEX:	P428W1
      OFFSETS:	0-3
       TOKENS:	P428W1-P428W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(ruHt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	ruH+t
        GLOSS:	begin/go+I

 INPUT STRING:	أوازيس
     IS_TRANS:	>wAzys
        INDEX:	P428W2
      OFFSETS:	4-10
       TOKENS:	P428W2-P428W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwAziys_1]
   UNSPLITVOC:	(>uwAziys)
          POS:	NOUN_PROP
          VOC:	>uwAziys
        GLOSS:	Oasis

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P428W3
      OFFSETS:	11-13
       TOKENS:	P428W3-P428W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	إدوارد
     IS_TRANS:	<dwArd
        INDEX:	P428W4
      OFFSETS:	14-20
       TOKENS:	P428W4-P428W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<idwArd_1]
   UNSPLITVOC:	(<idwArd)
          POS:	NOUN_PROP
          VOC:	<idwArd
        GLOSS:	Edward

 INPUT STRING:	الصبح
     IS_TRANS:	AlSbH
        INDEX:	P428W5
      OFFSETS:	21-26
       TOKENS:	P428W5-P428W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(AlSuboH)
          POS:	DET+NOUN
          VOC:	Al+SuboH
        GLOSS:	the+morning/daybreak/mornings

 INPUT STRING:	لإن
     IS_TRANS:	l<n
        INDEX:	P428W6
      OFFSETS:	27-30
       TOKENS:	P428W6-P428W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(l<n)
          POS:	FOREIGN
          VOC:	l<n
        GLOSS:	nogloss

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P428W7
      OFFSETS:	31-34
       TOKENS:	P428W7-P428W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	5
     IS_TRANS:	5
        INDEX:	P428W8
      OFFSETS:	35-36
       TOKENS:	P428W8-P428W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(5)
          POS:	NOUN_NUM
          VOC:	5
        GLOSS:	5

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P428W9
      OFFSETS:	37-40
       TOKENS:	P428W9-P428W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	جا
     IS_TRANS:	jA
        INDEX:	P428W10
      OFFSETS:	41-43
       TOKENS:	P428W10-P428W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(jA)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	jA+(null)
        GLOSS:	occur/came/come/reach/arrive+he/it

 INPUT STRING:	يوسف
     IS_TRANS:	ywsf
        INDEX:	P428W11
      OFFSETS:	44-48
       TOKENS:	P428W11-P428W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwsif_1]
   UNSPLITVOC:	(yuwsif)
          POS:	NOUN_PROP
          VOC:	yuwsif
        GLOSS:	Yousif/Yusif/Joseph

 INPUT STRING:	وعمرو
     IS_TRANS:	wEmrw
        INDEX:	P428W12
      OFFSETS:	49-54
       TOKENS:	P428W12-P428W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(wiEamorw)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+Eamorw
        GLOSS:	and+Amr

 INPUT STRING:	رحنا
     IS_TRANS:	rHnA
        INDEX:	P428W13
      OFFSETS:	55-59
       TOKENS:	P428W14-P428W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(ruHnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	ruH+nA
        GLOSS:	begin/go+we

 INPUT STRING:	العزا
     IS_TRANS:	AlEzA
        INDEX:	P428W14
      OFFSETS:	60-65
       TOKENS:	P428W15-P428W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EazA_1]
   UNSPLITVOC:	(AlEazA)
          POS:	DET+NOUN
          VOC:	Al+EazA
        GLOSS:	the+consolation/mourning/comfort/solace/salwa/paying of condolences

 INPUT STRING:	لإن
     IS_TRANS:	l<n
        INDEX:	P429W1
      OFFSETS:	0-3
       TOKENS:	P429W1-P429W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(l<n)
          POS:	FOREIGN
          VOC:	l<n
        GLOSS:	nogloss

 INPUT STRING:	رحت
     IS_TRANS:	rHt
        INDEX:	P429W2
      OFFSETS:	4-7
       TOKENS:	P429W2-P429W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(ruHt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	ruH+t
        GLOSS:	begin/go+I

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P429W3
      OFFSETS:	8-10
       TOKENS:	P429W3-P429W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	جولي
     IS_TRANS:	jwly
        INDEX:	P429W4
      OFFSETS:	11-15
       TOKENS:	P429W4-P429W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juwliy_1]
   UNSPLITVOC:	(juwliy)
          POS:	NOUN_PROP
          VOC:	juwliy
        GLOSS:	Julie

 INPUT STRING:	شيراتون
     IS_TRANS:	$yrAtwn
        INDEX:	P429W5
      OFFSETS:	16-23
       TOKENS:	P429W5-P429W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iyrAtuwn_1]
   UNSPLITVOC:	($iyrAtuwn)
          POS:	NOUN_PROP
          VOC:	$iyrAtuwn
        GLOSS:	Shiraton

 INPUT STRING:	ولسه
     IS_TRANS:	wlsh
        INDEX:	P429W6
      OFFSETS:	24-28
       TOKENS:	P429W6-P429W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(wilis~ah)
          POS:	CONJ+ADV
          VOC:	wi+lis~ah
        GLOSS:	and+yet

 INPUT STRING:	مروحة
     IS_TRANS:	mrwHp
        INDEX:	P429W7
      OFFSETS:	29-34
       TOKENS:	P429W8-P429W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miraw~aH_1]
   UNSPLITVOC:	(miraw~aHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	miraw~aH+ap
        GLOSS:	going home+[sg.fem.]

 INPUT STRING:	حتنامي
     IS_TRANS:	HtnAmy
        INDEX:	P430W1
      OFFSETS:	0-6
       TOKENS:	P430W1-P430W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(HatinAmiy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	Ha+ti+nAm+iy
        GLOSS:	will+you+sleep/lie down+you

 INPUT STRING:	مقتولة
     IS_TRANS:	mqtwlp
        INDEX:	P430W2
      OFFSETS:	7-13
       TOKENS:	P430W3-P430W3
