 INPUT STRING:	يارا
 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P101W4
      OFFSETS:	12-15
       TOKENS:	P101W4-P101W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P101W5
      OFFSETS:	16-20
       TOKENS:	P101W5-P101W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	active/operating/working

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P101W6
      OFFSETS:	21-24
       TOKENS:	P101W6-P101W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P102W1
      OFFSETS:	0-3
       TOKENS:	P102W1-P102W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P102W2
      OFFSETS:	4-8
       TOKENS:	P102W2-P102W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	ADJ
          VOC:	tamAm
        GLOSS:	exact/complete/exactly/completely

 INPUT STRING:	elhamdulelah
     IS_TRANS:	elhamdulelah
        INDEX:	P102W3
      OFFSETS:	9-21
       TOKENS:	P102W3-P102W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(elhamdulelah)
          POS:	TRANSLIT_ERR
          VOC:	elhamdulelah
        GLOSS:	elhamdulelah

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P103W1
      OFFSETS:	0-4
       TOKENS:	P103W1-P103W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	عامله
     IS_TRANS:	EAmlh
        INDEX:	P103W2
      OFFSETS:	5-10
       TOKENS:	P103W2-P103W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	active/operating/working+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P103W3
      OFFSETS:	11-14
       TOKENS:	P103W3-P103W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P103W4
      OFFSETS:	15-16
       TOKENS:	P103W4-P103W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	يد
     IS_TRANS:	yd
        INDEX:	P103W5
      OFFSETS:	17-19
       TOKENS:	P103W5-P103W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(yd)
          POS:	TYPO
          VOC:	yd
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P104W1
      OFFSETS:	0-3
       TOKENS:	P104W1-P104W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كويسه
     IS_TRANS:	kwysh
        INDEX:	P104W2
      OFFSETS:	4-9
       TOKENS:	P104W2-P104W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~isap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kuway~is+ap
        GLOSS:	beautiful/nice/fine (arts)/brilliant/pleasant/shining with light/pretty/attractive+[fem.sg.]

 INPUT STRING:	بتعمل
     IS_TRANS:	btEml
        INDEX:	P105W1
      OFFSETS:	0-5
       TOKENS:	P105W1-P105W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(bitiEomil)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+Eomil
        GLOSS:	[present-tense]+you+function/make/act/do

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P105W2
      OFFSETS:	6-9
       TOKENS:	P105W3-P105W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	مروه
     IS_TRANS:	mrwh
        INDEX:	P106W1
      OFFSETS:	0-4
       TOKENS:	P106W1-P106W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[marowap_1]
   UNSPLITVOC:	(marowap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	marow+ap
        GLOSS:	Marwa+[fem.sg.]

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P106W2
      OFFSETS:	5-9
       TOKENS:	P106W2-P106W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P106W3
      OFFSETS:	10-12
       TOKENS:	P106W4-P106W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	زمان
     IS_TRANS:	zmAn
        INDEX:	P106W4
      OFFSETS:	13-17
       TOKENS:	P106W5-P106W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAn_1]
   UNSPLITVOC:	(zamAn)
          POS:	NOUN
          VOC:	zamAn
        GLOSS:	time/duration/times/durations

 INPUT STRING:	فل
     IS_TRANS:	fl
        INDEX:	P106W5
      OFFSETS:	18-20
       TOKENS:	P106W6-P106W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(fl)
          POS:	TYPO
          VOC:	fl
        GLOSS:	nogloss

 INPUT STRING:	شارع
     IS_TRANS:	$ArE
        INDEX:	P106W6
      OFFSETS:	21-25
       TOKENS:	P106W7-P106W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	($AriE)
          POS:	NOUN
          VOC:	$AriE
        GLOSS:	street/streets/legislator

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P107W1
      OFFSETS:	0-4
       TOKENS:	P107W1-P107W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	بتعملي
     IS_TRANS:	btEmly
        INDEX:	P107W2
      OFFSETS:	5-11
       TOKENS:	P107W2-P107W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(bitiEomiliy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+Eomil+iy
        GLOSS:	[present-tense]+you+function/make/act/do+you

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P107W3
      OFFSETS:	12-15
       TOKENS:	P107W4-P107W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	نمت
     IS_TRANS:	nmt
        INDEX:	P108W1
      OFFSETS:	0-3
       TOKENS:	P108W1-P108W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(nimt)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	nim+t
        GLOSS:	sleep/lie down+you

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P108W2
      OFFSETS:	4-7
       TOKENS:	P108W2-P108W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiyn_1]
   UNSPLITVOC:	(fiyn)
          POS:	INTERROG_ADV
          VOC:	fiyn
        GLOSS:	where

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P108W3
      OFFSETS:	8-9
       TOKENS:	P108W3-P108W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P109W1
      OFFSETS:	0-3
       TOKENS:	P109W1-P109W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanod)
          POS:	NOUN
          VOC:	Eanod
        GLOSS:	at/have/possession/with

 INPUT STRING:	خالي
     IS_TRANS:	xAly
        INDEX:	P109W2
      OFFSETS:	4-8
       TOKENS:	P109W2-P109W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAl_1]
   UNSPLITVOC:	(xAliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	xAl+iy
        GLOSS:	maternal uncle/maternal uncles/mole/moles+my

 INPUT STRING:	بتعملي
     IS_TRANS:	btEmly
        INDEX:	P110W1
      OFFSETS:	0-6
       TOKENS:	P110W1-P110W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(bitiEomiliy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+Eomil+iy
        GLOSS:	[present-tense]+you+function/make/act/do+you

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P110W2
      OFFSETS:	7-10
       TOKENS:	P110W3-P110W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P111W1
      OFFSETS:	0-3
       TOKENS:	P111W1-P111W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P111W2
      OFFSETS:	4-5
       TOKENS:	P111W2-P111W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	درس
     IS_TRANS:	drs
        INDEX:	P111W3
      OFFSETS:	6-9
       TOKENS:	P111W3-P111W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daros_1]
   UNSPLITVOC:	(daros)
          POS:	NOUN
          VOC:	daros
        GLOSS:	studying/checking/examining/lesson/study/lessons/classes

 INPUT STRING:	عك
     IS_TRANS:	Ek
        INDEX:	P112W1
      OFFSETS:	0-2
       TOKENS:	P112W1-P112W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eak~_1]
   UNSPLITVOC:	(Eak~)
          POS:	NOUN
          VOC:	Eak~
        GLOSS:	sultriness/mugginess

 INPUT STRING:	خلصي
     IS_TRANS:	xlSy
        INDEX:	P112W2
      OFFSETS:	3-7
       TOKENS:	P112W2-P112W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(xal~aSiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	xal~aS+iy
        GLOSS:	purify/refine/clarify+you

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P112W3
      OFFSETS:	8-9
       TOKENS:	P112W3-P112W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P112W4
      OFFSETS:	10-14
       TOKENS:	P112W4-P112W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	خلصت
     IS_TRANS:	xlSt
        INDEX:	P113W1
      OFFSETS:	0-4
       TOKENS:	P113W1-P113W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(xal~aSt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	xal~aS+t
        GLOSS:	purify/refine/clarify/finish+I

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P114W1
      OFFSETS:	0-4
       TOKENS:	P114W1-P114W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	Eanod+ik
        GLOSS:	at/have/possession/with+your

 INPUT STRING:	ست
     IS_TRANS:	st
        INDEX:	P114W2
      OFFSETS:	5-7
       TOKENS:	P114W3-P114W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(st)
          POS:	FOREIGN
          VOC:	st
        GLOSS:	nogloss

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P114W3
      OFFSETS:	8-10
       TOKENS:	P114W4-P114W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P115W1
      OFFSETS:	0-2
       TOKENS:	P115W1-P115W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P115W2
      OFFSETS:	3-4
       TOKENS:	P115W2-P115W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P115W3
      OFFSETS:	5-6
       TOKENS:	P115W3-P115W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P116W1
      OFFSETS:	0-2
       TOKENS:	P116W1-P116W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هتدخلي
     IS_TRANS:	htdxly
        INDEX:	P116W2
      OFFSETS:	3-9
       TOKENS:	P116W2-P116W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(hatidoxuliy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ha+ti+doxul+iy
        GLOSS:	will+you+enter/be entered+you

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P116W3
      OFFSETS:	10-14
       TOKENS:	P116W4-P116W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly/thani/other/another/the last

 INPUT STRING:	?
     IS_TRANS:	?
        INDEX:	P116W4
      OFFSETS:	15-16
       TOKENS:	P116W5-P116W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P117W1
      OFFSETS:	0-2
       TOKENS:	P117W1-P117W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P117W2
      OFFSETS:	3-7
       TOKENS:	P117W2-P117W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P118W1
      OFFSETS:	0-3
       TOKENS:	P118W1-P118W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	جايبه
     IS_TRANS:	jAybh
        INDEX:	P118W2
      OFFSETS:	4-9
       TOKENS:	P118W2-P118W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAyib_1]
   UNSPLITVOC:	(jAyobap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jAyob+ap
        GLOSS:	bringing+[fem.sg.]

 INPUT STRING:	1540
     IS_TRANS:	1540
        INDEX:	P118W3
      OFFSETS:	10-14
       TOKENS:	P118W3-P118W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1540)
          POS:	NOUN_NUM
          VOC:	1540
        GLOSS:	1540

 INPUT STRING:	شطره
     IS_TRANS:	$Trh
        INDEX:	P119W1
      OFFSETS:	0-4
       TOKENS:	P119W1-P119W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	($Trh)
          POS:	TYPO
          VOC:	$Trh
        GLOSS:	nogloss

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P119W2
      OFFSETS:	5-6
       TOKENS:	P119W2-P119W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	يد
     IS_TRANS:	yd
        INDEX:	P119W3
      OFFSETS:	7-9
       TOKENS:	P119W3-P119W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(yd)
          POS:	TYPO
          VOC:	yd
        GLOSS:	nogloss

 INPUT STRING:	فرهتني
     IS_TRANS:	frhtny
        INDEX:	P119W4
      OFFSETS:	10-16
       TOKENS:	P119W4-P119W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(frhtny)
          POS:	TYPO
          VOC:	frhtny
        GLOSS:	nogloss

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P119W5
      OFFSETS:	17-22
       TOKENS:	P119W5-P119W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	شاطره
     IS_TRANS:	$ATrh
        INDEX:	P120W1
      OFFSETS:	0-5
       TOKENS:	P120W1-P120W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ATir_1]
   UNSPLITVOC:	($ATorap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$ATor+ap
        GLOSS:	clever/smart/cute+[fem.sg.]

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P120W2
      OFFSETS:	6-8
       TOKENS:	P120W2-P120W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P120W3
      OFFSETS:	9-12
       TOKENS:	P120W3-P120W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P120W4
      OFFSETS:	13-16
       TOKENS:	P120W4-P120W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	دساس
     IS_TRANS:	dsAs
        INDEX:	P120W5
      OFFSETS:	17-21
       TOKENS:	P120W5-P120W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dsAs)
          POS:	FOREIGN
          VOC:	dsAs
        GLOSS:	nogloss

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P120W6
      OFFSETS:	22-24
       TOKENS:	P120W6-P120W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	ok/what

 INPUT STRING:	ذ
     IS_TRANS:	*
        INDEX:	P121W1
      OFFSETS:	0-1
       TOKENS:	P121W1-P121W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(*)
          POS:	NO_FUNC
          VOC:	*
        GLOSS:	nogloss

 INPUT STRING:	فاشله
     IS_TRANS:	fA$lh
        INDEX:	P121W2
      OFFSETS:	2-7
       TOKENS:	P121W2-P121W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fA$il_1]
   UNSPLITVOC:	(fA$olap)
          POS:	ADJ+NSUFF_FEM_SG
