 INPUT STRING:	عاوزه
      COMMENT:	[]
        LEMMA:	[rixiyS_1]
   UNSPLITVOC:	(rixiyS)
          POS:	ADJ
          VOC:	rixiyS
        GLOSS:	cheap/low/insignificant/contemptible/scornful/derision/contempt

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P174W1
      OFFSETS:	0-2
       TOKENS:	P174W1-P174W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P174W2
      OFFSETS:	3-5
       TOKENS:	P174W2-P174W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	غالى
     IS_TRANS:	gAlY
        INDEX:	P174W3
      OFFSETS:	6-10
       TOKENS:	P174W3-P174W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAliy_1]
   UNSPLITVOC:	(gAliy)
          POS:	ADJ
          VOC:	gAliy
        GLOSS:	expensive/costly/dear/precious/beloved/dearly

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P174W4
      OFFSETS:	11-13
       TOKENS:	P174W4-P174W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	اليومين
     IS_TRANS:	Alywmyn
        INDEX:	P174W5
      OFFSETS:	14-21
       TOKENS:	P174W5-P174W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyuwmayn)
          POS:	DET+NOUN+NSUFF_MASC_DU
          VOC:	Al+yuwm+ayn
        GLOSS:	the+today/day/some day/ever/days+two

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P174W6
      OFFSETS:	22-25
       TOKENS:	P174W6-P174W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwol_1]
   UNSPLITVOC:	(duwol)
          POS:	DEM_PRON_P
          VOC:	duwol
        GLOSS:	these

 INPUT STRING:	رافع
     IS_TRANS:	rAfE
        INDEX:	P174W7
      OFFSETS:	26-30
       TOKENS:	P174W7-P174W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAfiE_1]
   UNSPLITVOC:	(rAfiE)
          POS:	ADJ
          VOC:	rAfiE
        GLOSS:	lifting/hoisting

 INPUT STRING:	شويه
     IS_TRANS:	$wyh
        INDEX:	P174W8
      OFFSETS:	31-35
       TOKENS:	P174W8-P174W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iway~ap_1]
   UNSPLITVOC:	($iway~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$iway~+ap
        GLOSS:	little/small+[fem.sg.]

 INPUT STRING:	٩
     IS_TRANS:	&#x669;
        INDEX:	P174W9
      OFFSETS:	36-37
       TOKENS:	P174W9-P174W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(9)
          POS:	NOUN_NUM
          VOC:	9
        GLOSS:	9

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P174W10
      OFFSETS:	37-38
       TOKENS:	P174W10-P174W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	٧
     IS_TRANS:	&#x667;
        INDEX:	P174W11
      OFFSETS:	39-40
       TOKENS:	P174W11-P174W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(7)
          POS:	NOUN_NUM
          VOC:	7
        GLOSS:	7

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P174W12
      OFFSETS:	41-43
       TOKENS:	P174W12-P174W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	٧
     IS_TRANS:	&#x667;
        INDEX:	P174W13
      OFFSETS:	44-45
       TOKENS:	P174W13-P174W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(7)
          POS:	NOUN_NUM
          VOC:	7
        GLOSS:	7

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P174W14
      OFFSETS:	45-46
       TOKENS:	P174W14-P174W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	٩
     IS_TRANS:	&#x669;
        INDEX:	P174W15
      OFFSETS:	47-48
       TOKENS:	P174W15-P174W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(9)
          POS:	NOUN_NUM
          VOC:	9
        GLOSS:	9

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P175W1
      OFFSETS:	0-3
       TOKENS:	P175W1-P175W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P175W2
      OFFSETS:	4-7
       TOKENS:	P175W2-P175W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	صاحي
     IS_TRANS:	SAHy
        INDEX:	P175W3
      OFFSETS:	8-12
       TOKENS:	P175W3-P175W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHiy_1]
   UNSPLITVOC:	(SAHiy)
          POS:	ADJ
          VOC:	SAHiy
        GLOSS:	bright/serene/vigilant/wakeful

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P175W4
      OFFSETS:	13-16
       TOKENS:	P175W4-P175W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P175W5
      OFFSETS:	16-17
       TOKENS:	P175W5-P175W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P175W6
      OFFSETS:	17-18
       TOKENS:	P175W6-P175W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P175W7
      OFFSETS:	18-19
       TOKENS:	P175W7-P175W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	هابقى
     IS_TRANS:	hAbqY
        INDEX:	P176W1
      OFFSETS:	0-5
       TOKENS:	P176W1-P176W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(HaAaboqaY)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+boqaY
        GLOSS:	will+I+become/begin/start/be/begin a new day

 INPUT STRING:	صاحى
     IS_TRANS:	SAHY
        INDEX:	P176W2
      OFFSETS:	6-10
       TOKENS:	P176W3-P176W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHiy_1]
   UNSPLITVOC:	(SAHiy)
          POS:	ADJ
          VOC:	SAHiy
        GLOSS:	bright/serene/vigilant/wakeful

 INPUT STRING:	ازاى
     IS_TRANS:	AzAY
        INDEX:	P176W3
      OFFSETS:	11-15
       TOKENS:	P176W4-P176W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	INTERROG_ADV
          VOC:	Aiz~Ay
        GLOSS:	how

 INPUT STRING:	الساعه
     IS_TRANS:	AlsAEh
        INDEX:	P176W4
      OFFSETS:	16-22
       TOKENS:	P176W5-P176W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(AlsAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sAE+ap
        GLOSS:	the+hour/time/hours/clock/watch/timepiece/clocks/watches+[fem.sg.]

 INPUT STRING:	٦
     IS_TRANS:	&#x666;
        INDEX:	P176W5
      OFFSETS:	23-24
       TOKENS:	P176W6-P176W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(6)
          POS:	NOUN_NUM
          VOC:	6
        GLOSS:	6

 INPUT STRING:	الصبح
     IS_TRANS:	AlSbH
        INDEX:	P176W6
      OFFSETS:	25-30
       TOKENS:	P176W7-P176W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(AlSuboH)
          POS:	DET+NOUN
          VOC:	Al+SuboH
        GLOSS:	the+morning/daybreak/mornings

 INPUT STRING:	بعتلك
     IS_TRANS:	bEtlk
        INDEX:	P176W7
      OFFSETS:	31-36
       TOKENS:	P176W8-P176W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baEat_1]
   UNSPLITVOC:	(baEtlik)
          POS:	PV+PVSUFF_SUBJ:1S+PREP+PRON_2FS
          VOC:	baE+t+li+ak
        GLOSS:	sell/send+you+to/for+you

 INPUT STRING:	الساعه
     IS_TRANS:	AlsAEh
        INDEX:	P176W8
      OFFSETS:	37-43
       TOKENS:	P176W11-P176W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(AlsAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sAE+ap
        GLOSS:	the+hour/time/hours/clock/watch/timepiece/clocks/watches+[fem.sg.]

 INPUT STRING:	١٢
     IS_TRANS:	&#x661;&#x662;
        INDEX:	P176W9
      OFFSETS:	44-46
       TOKENS:	P176W12-P176W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(12)
          POS:	NOUN_NUM
          VOC:	12
        GLOSS:	12

 INPUT STRING:	باليل
     IS_TRANS:	bAlyl
        INDEX:	P176W10
      OFFSETS:	47-52
       TOKENS:	P176W13-P176W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyl_1]
   UNSPLITVOC:	(biAlliyl)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+liyl
        GLOSS:	at+the+night

 INPUT STRING:	تصبح
     IS_TRANS:	tSbH
        INDEX:	P177W1
      OFFSETS:	0-4
       TOKENS:	P177W1-P177W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SibiH_1]
   UNSPLITVOC:	(tiSobaH)
          POS:	IV2MS+IV
          VOC:	ti+SobaH
        GLOSS:	you+become/begin/start/be/begin a new day

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P177W2
      OFFSETS:	5-8
       TOKENS:	P177W2-P177W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P177W3
      OFFSETS:	9-12
       TOKENS:	P177W3-P177W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(xayr)
          POS:	NOUN
          VOC:	xayr
        GLOSS:	good

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P178W1
      OFFSETS:	0-3
       TOKENS:	P178W1-P178W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	المسج
     IS_TRANS:	Almsj
        INDEX:	P178W2
      OFFSETS:	4-9
       TOKENS:	P178W2-P178W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[misij_1]
   UNSPLITVOC:	(Almisij)
          POS:	DET+NOUN
          VOC:	Al+misij
        GLOSS:	the+message

 INPUT STRING:	واصله
     IS_TRANS:	wASlh
        INDEX:	P178W3
      OFFSETS:	10-15
       TOKENS:	P178W3-P178W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wASil_1]
   UNSPLITVOC:	(wASolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wASol+ap
        GLOSS:	coming/arriving+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P178W4
      OFFSETS:	16-19
       TOKENS:	P178W4-P178W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P178W5
      OFFSETS:	20-23
       TOKENS:	P178W5-P178W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	مستنى
     IS_TRANS:	mstnY
        INDEX:	P178W6
      OFFSETS:	24-29
       TOKENS:	P178W6-P178W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotan~iy_1]
   UNSPLITVOC:	(misotan~iy)
          POS:	ADJ.VN
          VOC:	misotan~iy
        GLOSS:	waiting/anticipating

 INPUT STRING:	تكلمينى
     IS_TRANS:	tklmynY
        INDEX:	P178W7
      OFFSETS:	30-37
       TOKENS:	P178W7-P178W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(tikal~imiyniy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:1S
          VOC:	ti+kal~im+iy+niy
        GLOSS:	you+talk/speak/talk to+you+me

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P178W8
      OFFSETS:	38-41
       TOKENS:	P178W9-P178W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	تخلصى
     IS_TRANS:	txlSY
        INDEX:	P178W9
      OFFSETS:	42-47
       TOKENS:	P178W10-P178W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(tixal~aSiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+xal~aS+iy
        GLOSS:	you+finish+you

 INPUT STRING:	تصبحى
     IS_TRANS:	tSbHY
        INDEX:	P179W1
      OFFSETS:	0-5
       TOKENS:	P179W1-P179W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SabaH_1]
   UNSPLITVOC:	(tiSobaHiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+SobaH+iy
        GLOSS:	you+have a good night+you

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P179W2
      OFFSETS:	6-9
       TOKENS:	P179W2-P179W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P179W3
      OFFSETS:	10-13
       TOKENS:	P179W3-P179W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(xayr)
          POS:	NOUN
          VOC:	xayr
        GLOSS:	good

 INPUT STRING:	مرحه
     IS_TRANS:	mrHh
        INDEX:	P180W1
      OFFSETS:	0-4
       TOKENS:	P180W1-P180W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mariH_1]
   UNSPLITVOC:	(mariHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mariH+ap
        GLOSS:	cheerful/merry+[fem.sg.]

 INPUT STRING:	عموما
     IS_TRANS:	EmwmA
        INDEX:	P181W1
      OFFSETS:	0-5
       TOKENS:	P181W1-P181W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumuwm_1]
   UNSPLITVOC:	(EumuwmAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eumuwm+AF
        GLOSS:	generality/totality/in general/generally/(House of) Commons+[acc.indef.]

 INPUT STRING:	شكرًا
     IS_TRANS:	$krFA
        INDEX:	P181W2
      OFFSETS:	6-11
       TOKENS:	P181W2-P181W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	($ukorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$ukor+AF
        GLOSS:	thanks+indef. acc.

 INPUT STRING:	انك
     IS_TRANS:	Ank
        INDEX:	P181W3
      OFFSETS:	12-15
       TOKENS:	P181W3-P181W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ik)
          POS:	SUB_CONJ+PRON_2FS
          VOC:	<in~+ik
        GLOSS:	that+you

 INPUT STRING:	فكرتى
     IS_TRANS:	fkrtY
        INDEX:	P181W4
      OFFSETS:	16-21
       TOKENS:	P181W5-P181W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(fak~artiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	fak~ar+tiy
        GLOSS:	think/consider/ponder+you

 INPUT STRING:	تسرى
     IS_TRANS:	tsrY
        INDEX:	P181W5
      OFFSETS:	22-26
       TOKENS:	P181W6-P181W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sar~aY_1]
   UNSPLITVOC:	(tisar~iy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+sar~+iy
        GLOSS:	you+be rid of worries/be distracted+you

 INPUT STRING:	عنى
     IS_TRANS:	EnY
        INDEX:	P181W6
      OFFSETS:	27-30
       TOKENS:	P181W7-P181W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~iy)
          POS:	PREP+PRON_1S
          VOC:	Ean~+iy
        GLOSS:	about+me

 INPUT STRING:	العفو
     IS_TRANS:	AlEfw
        INDEX:	P182W1
      OFFSETS:	0-5
       TOKENS:	P182W1-P182W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eafow_1]
   UNSPLITVOC:	(AlEafow)
          POS:	DET+NOUN
          VOC:	Al+Eafow
        GLOSS:	the+pardon/amnesty/excuse me!

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P182W2
      OFFSETS:	6-9
       TOKENS:	P182W2-P182W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	شكلك
     IS_TRANS:	$klk
        INDEX:	P182W3
      OFFSETS:	10-14
       TOKENS:	P182W3-P182W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	($akolak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	$akol+ak
        GLOSS:	manner/form/configuration/manners/types/forms/configurations+your

 INPUT STRING:	مكتئب
     IS_TRANS:	mkt}b
        INDEX:	P182W4
      OFFSETS:	15-20
       TOKENS:	P182W5-P182W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mukota}ib_1]
   UNSPLITVOC:	(mukota}ib)
          POS:	NOUN
          VOC:	mukota}ib
        GLOSS:	depressed/dejected/frowning/grived/glomy/doleful/melancholic/depressing

 INPUT STRING:	عموما
     IS_TRANS:	EmwmA
        INDEX:	P183W1
      OFFSETS:	0-5
       TOKENS:	P183W1-P183W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumuwm_1]
   UNSPLITVOC:	(EumuwmAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eumuwm+AF
        GLOSS:	generality/totality/in general/generally/(House of) Commons+[acc.indef.]

 INPUT STRING:	كلكو
     IS_TRANS:	klkw
        INDEX:	P183W2
      OFFSETS:	6-10
       TOKENS:	P183W2-P183W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(klkw)
          POS:	NO_FUNC
          VOC:	klkw
        GLOSS:	nogloss

 INPUT STRING:	واحشينى
     IS_TRANS:	wAH$ynY
        INDEX:	P183W3
      OFFSETS:	11-18
       TOKENS:	P183W3-P183W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAH$niy_1]
   UNSPLITVOC:	(wAHo$iyniy)
          POS:	PV+PVSUFF_SUBJ:2P+PVSUFF_DO:1S
          VOC:	wAHo$iy+(null)+niy
        GLOSS:	missing+you+me

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P184W1
      OFFSETS:	0-3
       TOKENS:	P184W1-P184W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P184W2
      OFFSETS:	4-8
       TOKENS:	P184W2-P184W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	الاخ
     IS_TRANS:	AlAx
        INDEX:	P184W3
      OFFSETS:	9-13
       TOKENS:	P184W3-P184W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(Al>ax~)
          POS:	DET+NOUN
          VOC:	Al+>ax~
        GLOSS:	the+brothers/fraternity/brotherhood

 INPUT STRING:	يسامحك
     IS_TRANS:	ysAmHk
        INDEX:	P184W4
      OFFSETS:	14-20
