 INPUT STRING:	ناريمان
     IS_TRANS:	EAwzhA
        INDEX:	P571W2
      OFFSETS:	5-11
       TOKENS:	P571W2-P571W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwizhA)
          POS:	ADJ+POSS_PRON_3FS
          VOC:	EAwiz+hA
        GLOSS:	wanting/needing+its/their/her

 INPUT STRING:	بالعربي
     IS_TRANS:	bAlErby
        INDEX:	P571W3
      OFFSETS:	12-19
       TOKENS:	P571W4-P571W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(biAlEarabiy)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Earabiy
        GLOSS:	with/by+the+Arab/Arabs/bedouins

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P571W4
      OFFSETS:	20-21
       TOKENS:	P571W6-P571W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P571W5
      OFFSETS:	21-22
       TOKENS:	P571W7-P571W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P572W1
      OFFSETS:	0-2
       TOKENS:	P572W1-P572W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P572W2
      OFFSETS:	3-5
       TOKENS:	P572W2-P572W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$~_1]
   UNSPLITVOC:	(mi$~)
          POS:	NOUN
          VOC:	mi$~
        GLOSS:	gloss

 INPUT STRING:	شخرة
     IS_TRANS:	$xrp
        INDEX:	P572W3
      OFFSETS:	6-10
       TOKENS:	P572W3-P572W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axorap_1]
   UNSPLITVOC:	($axorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$axor+ap
        GLOSS:	a snort+[fem.sg.]

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P573W1
      OFFSETS:	0-4
       TOKENS:	P573W1-P573W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P573W2
      OFFSETS:	5-8
       TOKENS:	P573W2-P573W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	بتتفرجي
     IS_TRANS:	bttfrjy
        INDEX:	P573W3
      OFFSETS:	9-16
       TOKENS:	P573W3-P573W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitofar~aj_1]
   UNSPLITVOC:	(bititofar~ajiy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+tofar~aj+iy
        GLOSS:	[present-tense]+you+watch/observe+you

 INPUT STRING:	عالفيلم
     IS_TRANS:	EAlfylm
        INDEX:	P573W4
      OFFSETS:	17-24
       TOKENS:	P573W5-P573W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiylm_1]
   UNSPLITVOC:	(EaAlfiylm)
          POS:	PREP+DET+NOUN
          VOC:	Ea+Al+fiylm
        GLOSS:	on/above+the+film/movie/films/movies

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P573W5
      OFFSETS:	24-25
       TOKENS:	P573W7-P573W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	معلش
     IS_TRANS:	mEl$
        INDEX:	P574W1
      OFFSETS:	0-4
       TOKENS:	P574W1-P574W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoli$_1]
   UNSPLITVOC:	(maEoli$)
          POS:	INTERJ
          VOC:	maEoli$
        GLOSS:	sorry/never mind

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P574W2
      OFFSETS:	5-8
       TOKENS:	P574W2-P574W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	بأكل
     IS_TRANS:	b>kl
        INDEX:	P574W3
      OFFSETS:	9-13
       TOKENS:	P574W3-P574W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akal_1]
   UNSPLITVOC:	(bAakul)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+kul
        GLOSS:	[present-tense]+I+eat/consume/be eaten/be consumed

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P575W1
      OFFSETS:	0-2
       TOKENS:	P575W1-P575W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P576W1
      OFFSETS:	0-5
       TOKENS:	P576W1-P576W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	نفسي
     IS_TRANS:	nfsy
        INDEX:	P577W1
      OFFSETS:	0-4
       TOKENS:	P577W1-P577W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nifos+iy
        GLOSS:	appetite+my

 INPUT STRING:	أحخونك
     IS_TRANS:	>Hxwnk
        INDEX:	P577W2
      OFFSETS:	5-11
       TOKENS:	P577W3-P577W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(>Hxwnk)
          POS:	TYPO
          VOC:	>Hxwnk
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P577W3
      OFFSETS:	11-12
       TOKENS:	P577W4-P577W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P578W1
      OFFSETS:	0-4
       TOKENS:	P578W1-P578W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(hahahaha)
          POS:	INTERJ
          VOC:	hahahaha
        GLOSS:	laughing

 INPUT STRING:	أحضنك
     IS_TRANS:	>HDnk
        INDEX:	P578W2
      OFFSETS:	5-10
       TOKENS:	P578W2-P578W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HaDan_1]
   UNSPLITVOC:	(>aHoDunik)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	>a+HoDun+ik
        GLOSS:	I+embrace/nurture/raise/hug+you

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P578W3
      OFFSETS:	10-11
       TOKENS:	P578W4-P578W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P579W1
      OFFSETS:	0-2
       TOKENS:	P579W1-P579W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P579W2
      OFFSETS:	3-7
       TOKENS:	P579W2-P579W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ياد
     IS_TRANS:	yAd
        INDEX:	P579W3
      OFFSETS:	8-11
       TOKENS:	P579W3-P579W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(yAd)
          POS:	VOC_PART+NOUN
          VOC:	yA+wAd
        GLOSS:	O/oh+boy

 INPUT STRING:	واقول
     IS_TRANS:	wAqwl
        INDEX:	P580W1
      OFFSETS:	0-5
       TOKENS:	P580W1-P580W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiAaquwl)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+quwl
        GLOSS:	and+I+said/say/be said/(for example)

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P580W2
      OFFSETS:	6-8
       TOKENS:	P580W3-P580W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	for/to+you

 INPUT STRING:	قد
     IS_TRANS:	qd
        INDEX:	P580W3
      OFFSETS:	9-11
       TOKENS:	P580W5-P580W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~_1]
   UNSPLITVOC:	(qad~)
          POS:	NOUN
          VOC:	qad~
        GLOSS:	size/physique

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P580W4
      OFFSETS:	12-15
       TOKENS:	P580W6-P580W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_3]
   UNSPLITVOC:	(<iyh)
          POS:	REL_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P580W5
      OFFSETS:	16-20
       TOKENS:	P580W7-P580W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	عبيطة
     IS_TRANS:	EbyTp
        INDEX:	P580W6
      OFFSETS:	21-26
       TOKENS:	P580W8-P580W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EabiyT_1]
   UNSPLITVOC:	(EabiyTap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EabiyT+ap
        GLOSS:	fool/fools/prematurely dead/fresh+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P580W7
      OFFSETS:	27-29
       TOKENS:	P580W9-P580W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	بأكرهك
     IS_TRANS:	b>krhk
        INDEX:	P580W8
      OFFSETS:	30-36
       TOKENS:	P580W10-P580W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[karah_1]
   UNSPLITVOC:	(bAakorahik)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:2FS
          VOC:	bi+Aa+korah+ik
        GLOSS:	[present-tense]+I+hate+you

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P580W9
      OFFSETS:	37-41
       TOKENS:	P580W13-P580W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	مقرفة
     IS_TRANS:	mqrfp
        INDEX:	P580W10
      OFFSETS:	42-47
       TOKENS:	P580W15-P580W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqorif_1]
   UNSPLITVOC:	(muqorifap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muqorif+ap
        GLOSS:	disgusting/loathsome+[fem.sg.]

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P580W11
      OFFSETS:	47-48
       TOKENS:	P580W16-P580W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P580W12
      OFFSETS:	48-49
       TOKENS:	P580W17-P580W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P581W1
      OFFSETS:	0-2
       TOKENS:	P581W1-P581W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	بأحبك
     IS_TRANS:	b>Hbk
        INDEX:	P581W2
      OFFSETS:	3-8
       TOKENS:	P581W2-P581W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(bAaHib~ik)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:2FS
          VOC:	bi+Aa+Hib~+ik
        GLOSS:	[present-tense]+I+love/like/want+you

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P581W3
      OFFSETS:	9-13
       TOKENS:	P581W5-P581W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P581W4
      OFFSETS:	14-15
       TOKENS:	P581W6-P581W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P582W1
      OFFSETS:	0-3
       TOKENS:	P582W1-P582W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P582W2
      OFFSETS:	4-6
       TOKENS:	P582W2-P582W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بتحكي
     IS_TRANS:	btHky
        INDEX:	P582W3
      OFFSETS:	7-12
       TOKENS:	P582W3-P582W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HakaY_1]
   UNSPLITVOC:	(bitiHokiy)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+Hokiy
        GLOSS:	[present-tense]+you+relate/report/tell/be related/be reported/be told

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P582W4
      OFFSETS:	13-16
       TOKENS:	P582W5-P582W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P582W5
      OFFSETS:	17-21
       TOKENS:	P582W6-P582W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P583W1
      OFFSETS:	0-4
       TOKENS:	P583W1-P583W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P583W2
      OFFSETS:	5-8
       TOKENS:	P583W2-P583W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P583W3
      OFFSETS:	8-9
       TOKENS:	P583W3-P583W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	وبرضه
     IS_TRANS:	wbrDh
        INDEX:	P584W1
      OFFSETS:	0-5
       TOKENS:	P584W1-P584W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(wibaroDuh)
          POS:	CONJ+ADV
          VOC:	wi+baroDuh
        GLOSS:	and+also

 INPUT STRING:	بتشتمنى
     IS_TRANS:	bt$tmnY
        INDEX:	P584W2
      OFFSETS:	6-13
       TOKENS:	P584W3-P584W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$atam_1]
   UNSPLITVOC:	(biti$otimniy)
          POS:	PROG_PART+IV2MS+IV+IVSUFF_DO:1S
          VOC:	bi+ti+$otim+niy
        GLOSS:	[present-tense]+you+revile/curse+me

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P585W1
      OFFSETS:	0-1
       TOKENS:	P585W1-P585W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P586W1
      OFFSETS:	0-1
       TOKENS:	P586W1-P586W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P587W1
      OFFSETS:	0-2
       TOKENS:	P587W1-P587W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بأحكي
     IS_TRANS:	b>Hky
        INDEX:	P587W2
      OFFSETS:	3-8
       TOKENS:	P587W2-P587W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HakaY_1]
   UNSPLITVOC:	(bAaHokiy)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+Hokiy
        GLOSS:	[present-tense]+I+relate/report/tell/be related/be reported/be told

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P587W3
      OFFSETS:	9-12
       TOKENS:	P587W4-P587W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P587W4
      OFFSETS:	13-17
       TOKENS:	P587W5-P587W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P587W5
      OFFSETS:	17-18
       TOKENS:	P587W6-P587W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P588W1
      OFFSETS:	0-2
       TOKENS:	P588W1-P588W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P588W2
      OFFSETS:	3-4
       TOKENS:	P588W2-P588W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P589W1
      OFFSETS:	0-4
       TOKENS:	P589W1-P589W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P589W2
      OFFSETS:	5-8
       TOKENS:	P589W2-P589W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P589W3
      OFFSETS:	9-11
       TOKENS:	P589W3-P589W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بأحكي
     IS_TRANS:	b>Hky
        INDEX:	P589W4
      OFFSETS:	12-17
       TOKENS:	P589W4-P589W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HakaY_1]
   UNSPLITVOC:	(bAaHokiy)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+Hokiy
        GLOSS:	[present-tense]+I+relate/report/tell/be related/be reported/be told

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P589W5
      OFFSETS:	18-21
       TOKENS:	P589W6-P589W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
