 INPUT STRING:	بتاع
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be/was/were

 INPUT STRING:	تو
     IS_TRANS:	tw
        INDEX:	P225W5
      OFFSETS:	17-19
       TOKENS:	P225W5-P225W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(tw)
          POS:	FOREIGN
          VOC:	tw
        GLOSS:	nogloss

 INPUT STRING:	ليت
     IS_TRANS:	lyt
        INDEX:	P225W6
      OFFSETS:	20-23
       TOKENS:	P225W6-P225W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lyt)
          POS:	FOREIGN
          VOC:	lyt
        GLOSS:	nogloss

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P225W7
      OFFSETS:	24-26
       TOKENS:	P225W7-P225W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P225W8
      OFFSETS:	27-31
       TOKENS:	P225W8-P225W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P225W9
      OFFSETS:	31-32
       TOKENS:	P225W9-P225W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	حأشوف
     IS_TRANS:	H>$wf
        INDEX:	P226W1
      OFFSETS:	0-5
       TOKENS:	P226W1-P226W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(HaAa$uwf)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+$uwf
        GLOSS:	will+I+look

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P227W1
      OFFSETS:	0-4
       TOKENS:	P227W1-P227W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	ADJ
          VOC:	mA$iy
        GLOSS:	going/walking/on foot

 INPUT STRING:	وقول
     IS_TRANS:	wqwl
        INDEX:	P228W1
      OFFSETS:	0-4
       TOKENS:	P228W1-P228W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiquwl)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+quwl+(null)
        GLOSS:	and+said/say/be said/(for example)+you

 INPUT STRING:	لصاحبك
     IS_TRANS:	lSAHbk
        INDEX:	P228W2
      OFFSETS:	5-11
       TOKENS:	P228W3-P228W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(liSAHobak)
          POS:	PREP+NOUN+POSS_PRON_2MS
          VOC:	li+SAHob+ak
        GLOSS:	for/to+owner/originator/owners/originators/friend/companion/friends/companions+your

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P228W3
      OFFSETS:	12-16
       TOKENS:	P228W6-P228W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	قشدة
     IS_TRANS:	q$dp
        INDEX:	P229W1
      OFFSETS:	0-4
       TOKENS:	P229W1-P229W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qi$odap_1]
   UNSPLITVOC:	(qi$odap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qi$od+ap
        GLOSS:	cream+[fem.sg.]

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P230W1
      OFFSETS:	0-2
       TOKENS:	P230W1-P230W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	امتى
     IS_TRANS:	AmtY
        INDEX:	P230W2
      OFFSETS:	3-7
       TOKENS:	P230W2-P230W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P230W3
      OFFSETS:	7-8
       TOKENS:	P230W3-P230W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P231W1
      OFFSETS:	0-2
       TOKENS:	P231W1-P231W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P231W2
      OFFSETS:	3-7
       TOKENS:	P231W2-P231W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ
          VOC:	EArif
        GLOSS:	knowing/having knowledge of

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P231W3
      OFFSETS:	8-11
       TOKENS:	P231W3-P231W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	تأكسبته
     IS_TRANS:	t>ksbth
        INDEX:	P231W4
      OFFSETS:	12-19
       TOKENS:	P231W4-P231W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(t>ksbth)
          POS:	FOREIGN
          VOC:	t>ksbth
        GLOSS:	nogloss

 INPUT STRING:	حيبعثوا
     IS_TRANS:	HybEvwA
        INDEX:	P231W5
      OFFSETS:	20-27
       TOKENS:	P231W5-P231W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baEav_1]
   UNSPLITVOC:	(HayibaEavuwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+yi+baEav+uwA
        GLOSS:	will+they+send+[pl.]

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P231W6
      OFFSETS:	28-30
       TOKENS:	P231W7-P231W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	for/to+I/me

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P232W1
      OFFSETS:	0-4
       TOKENS:	P232W1-P232W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	ADJ
          VOC:	mA$iy
        GLOSS:	going/walking/on foot

 INPUT STRING:	حنحاول
     IS_TRANS:	HnHAwl
        INDEX:	P233W1
      OFFSETS:	0-6
       TOKENS:	P233W1-P233W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(HaniHAwil)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+HAwil
        GLOSS:	will+we+test/try/attempt/try out/test for ripeness/explore/invent/originate

 INPUT STRING:	نجيب
     IS_TRANS:	njyb
        INDEX:	P233W2
      OFFSETS:	7-11
       TOKENS:	P233W3-P233W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(nijiyb)
          POS:	IV1P+IV
          VOC:	ni+jiyb
        GLOSS:	we+explore/traverse/bring

 INPUT STRING:	جون
     IS_TRANS:	jwn
        INDEX:	P233W3
      OFFSETS:	12-15
       TOKENS:	P233W4-P233W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[juwn_1]
   UNSPLITVOC:	(juwn)
          POS:	NOUN
          VOC:	juwn
        GLOSS:	goal/objective/intention/goals/objectives/intentions/target/targets

 INPUT STRING:	دخلت
     IS_TRANS:	dxlt
        INDEX:	P234W1
      OFFSETS:	0-4
       TOKENS:	P234W1-P234W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(daxalt)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	daxal+t
        GLOSS:	enter/be entered+you

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P234W2
      OFFSETS:	4-5
       TOKENS:	P234W2-P234W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P235W1
      OFFSETS:	0-2
       TOKENS:	P235W1-P235W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P235W2
      OFFSETS:	3-5
       TOKENS:	P235W2-P235W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P235W3
      OFFSETS:	6-8
       TOKENS:	P235W3-P235W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	كتبتش
     IS_TRANS:	ktbt$
        INDEX:	P235W4
      OFFSETS:	9-14
       TOKENS:	P235W4-P235W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(katabti$)
          POS:	PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	katab+t+$
        GLOSS:	write/be written/be fated/be destined+I+not

 INPUT STRING:	اسمي
     IS_TRANS:	Asmy
        INDEX:	P235W5
      OFFSETS:	15-19
       TOKENS:	P235W6-P235W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(Aisomiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Aisom+iy
        GLOSS:	name/names+my

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P235W6
      OFFSETS:	19-20
       TOKENS:	P235W8-P235W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P235W7
      OFFSETS:	21-24
       TOKENS:	P235W9-P235W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	بأتسحر
     IS_TRANS:	b>tsHr
        INDEX:	P235W8
      OFFSETS:	25-31
       TOKENS:	P235W10-P235W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitosaH~ar_1]
   UNSPLITVOC:	(bi>atosaH~ar)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+>a+tosaH~ar
        GLOSS:	[present-tense]+I+have sohor

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P235W9
      OFFSETS:	31-32
       TOKENS:	P235W12-P235W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	حأكتبه
     IS_TRANS:	H>ktbh
        INDEX:	P235W10
      OFFSETS:	33-39
       TOKENS:	P235W13-P235W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(HaAakotibuh)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:3MS
          VOC:	Ha+Aa+kotib+uh
        GLOSS:	will+I+write/be written/be fated/be destined+it/him

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P236W1
      OFFSETS:	0-2
       TOKENS:	P236W1-P236W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	جاب
     IS_TRANS:	jAb
        INDEX:	P236W2
      OFFSETS:	3-6
       TOKENS:	P236W2-P236W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(jAb)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	jAb+(null)
        GLOSS:	explore/traverse/bring+he/it

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P236W3
      OFFSETS:	7-9
       TOKENS:	P236W3-P236W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lak)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	for/to+you

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P236W4
      OFFSETS:	10-13
       TOKENS:	P236W5-P236W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P236W5
      OFFSETS:	14-17
       TOKENS:	P236W6-P236W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	الفيه
     IS_TRANS:	Alfyh
        INDEX:	P237W1
      OFFSETS:	0-5
       TOKENS:	P237W1-P237W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alfyh)
          POS:	FOREIGN
          VOC:	Alfyh
        GLOSS:	nogloss

 INPUT STRING:	ويبست
     IS_TRANS:	wybst
        INDEX:	P237W2
      OFFSETS:	6-11
       TOKENS:	P237W2-P237W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wybst)
          POS:	FOREIGN
          VOC:	wybst
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P237W3
      OFFSETS:	11-12
       TOKENS:	P237W3-P237W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	بأدوس
     IS_TRANS:	b>dws
        INDEX:	P237W4
      OFFSETS:	13-18
       TOKENS:	P237W4-P237W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAs_1]
   UNSPLITVOC:	(bAaduws)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+duws
        GLOSS:	[present-tense]+I+step on/run over

 INPUT STRING:	ليكي
     IS_TRANS:	lyky
        INDEX:	P237W5
      OFFSETS:	19-23
       TOKENS:	P237W6-P237W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lyky)
          POS:	FOREIGN
          VOC:	lyky
        GLOSS:	nogloss

 INPUT STRING:	وبأكتب
     IS_TRANS:	wb>ktb
        INDEX:	P237W6
      OFFSETS:	24-30
       TOKENS:	P237W7-P237W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(wibAakotib)
          POS:	CONJ+PROG_PART+IV1S+IV
          VOC:	wi+bi+Aa+kotib
        GLOSS:	and+[present-tense]+I+write/be written/be fated/be destined

 INPUT STRING:	اسمي
     IS_TRANS:	Asmy
        INDEX:	P237W7
      OFFSETS:	31-35
       TOKENS:	P237W10-P237W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(Aisomiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Aisom+iy
        GLOSS:	name/names+my

 INPUT STRING:	وسني
     IS_TRANS:	wsny
        INDEX:	P237W8
      OFFSETS:	36-40
       TOKENS:	P237W12-P237W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sin~_1]
   UNSPLITVOC:	(wisin~iy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wi+sin~+iy
        GLOSS:	and+tooth/teeth/spearheads/age (of a person)/ages (of persons)+my

 INPUT STRING:	ورقم
     IS_TRANS:	wrqm
        INDEX:	P237W9
      OFFSETS:	41-45
       TOKENS:	P237W15-P237W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqam_1]
   UNSPLITVOC:	(wiraqam)
          POS:	CONJ+NOUN
          VOC:	wi+raqam
        GLOSS:	and+numerals/number/numbers/numeral

 INPUT STRING:	التليفون
     IS_TRANS:	Altlyfwn
        INDEX:	P237W10
      OFFSETS:	46-54
       TOKENS:	P237W17-P237W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tilifuwn_1]
   UNSPLITVOC:	(Altiliyfuwn)
          POS:	DET+NOUN
          VOC:	Al+tiliyfuwn
        GLOSS:	the+telephone

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P238W1
      OFFSETS:	0-2
       TOKENS:	P238W1-P238W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P238W2
      OFFSETS:	3-6
       TOKENS:	P238W2-P238W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	الأكسبت
     IS_TRANS:	Al>ksbt
        INDEX:	P238W3
      OFFSETS:	7-14
       TOKENS:	P238W3-P238W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Al>ksbt)
          POS:	FOREIGN
          VOC:	Al>ksbt
        GLOSS:	nogloss

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P238W4
      OFFSETS:	15-17
       TOKENS:	P238W4-P238W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	القبول
     IS_TRANS:	Alqbwl
        INDEX:	P238W5
      OFFSETS:	18-24
       TOKENS:	P238W5-P238W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qubuwl_1]
   UNSPLITVOC:	(Alqubuwl)
          POS:	DET+NOUN
          VOC:	Al+qubuwl
        GLOSS:	the+acceptance/agreement/approval/acceptence/admission

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P238W6
      OFFSETS:	25-26
       TOKENS:	P238W6-P238W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P239W1
      OFFSETS:	0-2
       TOKENS:	P239W1-P239W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	بأقول
     IS_TRANS:	b>qwl
        INDEX:	P239W2
      OFFSETS:	3-8
       TOKENS:	P239W2-P239W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwl)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+quwl
        GLOSS:	[present-tense]+I+said/say/be said/(for example)

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P239W3
      OFFSETS:	9-11
       TOKENS:	P239W4-P239W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lak)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	for/to+you

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P239W4
      OFFSETS:	12-15
       TOKENS:	P239W6-P239W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_3]
   UNSPLITVOC:	(<iyh)
          POS:	REL_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	باسوتشي
     IS_TRANS:	bAswt$y
        INDEX:	P239W5
      OFFSETS:	16-23
       TOKENS:	P239W7-P239W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bAswt$y)
          POS:	FOREIGN
          VOC:	bAswt$y
        GLOSS:	nogloss

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P239W6
      OFFSETS:	24-26
       TOKENS:	P239W8-P239W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P239W7
      OFFSETS:	27-30
       TOKENS:	P239W9-P239W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiyn_1]
   UNSPLITVOC:	(fiyn)
          POS:	INTERROG_ADV
          VOC:	fiyn
        GLOSS:	where

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P240W1
      OFFSETS:	0-3
       TOKENS:	P240W1-P240W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanod)
          POS:	NOUN
          VOC:	Eanod
        GLOSS:	at/have/possession/with

