 INPUT STRING:	نج
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P47W4
      OFFSETS:	13-16
       TOKENS:	P47W5-P47W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xiyr_1]
   UNSPLITVOC:	(xiyr)
          POS:	NOUN
          VOC:	xiyr
        GLOSS:	good

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P48W1
      OFFSETS:	0-2
       TOKENS:	P48W1-P48W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_2]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	[emphasis]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P48W2
      OFFSETS:	3-6
       TOKENS:	P48W2-P48W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	إستحالة
     IS_TRANS:	<stHAlp
        INDEX:	P48W3
      OFFSETS:	7-14
       TOKENS:	P48W3-P48W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiHAlap_1]
   UNSPLITVOC:	(AisotiHAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AisotiHAl+ap
        GLOSS:	absurdity/impossibility+[fem.sg.]

 INPUT STRING:	أدخل
     IS_TRANS:	>dxl
        INDEX:	P48W4
      OFFSETS:	15-19
       TOKENS:	P48W4-P48W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(Aadoxul)
          POS:	IV1S+IV
          VOC:	Aa+doxul
        GLOSS:	I+enter/be entered

 INPUT STRING:	جوا
     IS_TRANS:	jwA
        INDEX:	P48W5
      OFFSETS:	20-23
       TOKENS:	P48W5-P48W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juw~ap_1]
   UNSPLITVOC:	(juw~aA)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	juw~+ap
        GLOSS:	in side/inside/inside of/interior+[fem.sg.]

 INPUT STRING:	قلوب
     IS_TRANS:	qlwb
        INDEX:	P48W6
      OFFSETS:	24-28
       TOKENS:	P48W6-P48W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(quluwb)
          POS:	NOUN
          VOC:	quluwb
        GLOSS:	overthrowing/toppling/reversal/inversion/heart/center/essence/hearts

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P48W7
      OFFSETS:	29-34
       TOKENS:	P48W7-P48W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(AlnAs)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	أعرف
     IS_TRANS:	>Erf
        INDEX:	P48W8
      OFFSETS:	35-39
       TOKENS:	P48W8-P48W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(AaEoraf)
          POS:	IV1S+IV
          VOC:	Aa+Eoraf
        GLOSS:	I+know

 INPUT STRING:	بيمثل
     IS_TRANS:	bymvl
        INDEX:	P48W9
      OFFSETS:	40-45
       TOKENS:	P48W9-P48W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mav~il_1]
   UNSPLITVOC:	(biyimav~il)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+mav~il
        GLOSS:	[present-tense]+he/it+represent/act/constituent

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P48W10
      OFFSETS:	46-49
       TOKENS:	P48W11-P48W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P48W11
      OFFSETS:	50-54
       TOKENS:	P48W12-P48W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/(actually/in effect)/acts+[acc.indef.]

 INPUT STRING:	إتغير
     IS_TRANS:	<tgyr
        INDEX:	P48W12
      OFFSETS:	55-60
       TOKENS:	P48W13-P48W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(Aitogay~ar)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	Aitogay~ar+(null)
        GLOSS:	change/modify+he/it

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P49W1
      OFFSETS:	0-4
       TOKENS:	P49W1-P49W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P49W2
      OFFSETS:	5-7
       TOKENS:	P49W3-P49W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	يبين
     IS_TRANS:	ybyn
        INDEX:	P49W3
      OFFSETS:	8-12
       TOKENS:	P49W4-P49W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bay~in_1]
   UNSPLITVOC:	(yibay~in)
          POS:	IV3MS+IV
          VOC:	yi+bay~in
        GLOSS:	he/it+demonstrate/declare

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P49W4
      OFFSETS:	13-15
       TOKENS:	P49W5-P49W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~A)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	for/to+I/me

 INPUT STRING:	الحق
     IS_TRANS:	AlHq
        INDEX:	P49W5
      OFFSETS:	16-20
       TOKENS:	P49W7-P49W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(AlHaq~)
          POS:	DET+NOUN
          VOC:	Al+Haq~
        GLOSS:	the+truth/right/against/towards/rights/law

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P50W1
      OFFSETS:	0-5
       TOKENS:	P50W1-P50W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`hum~a_1]
   UNSPLITVOC:	(All~`hum~a)
          POS:	NOUN
          VOC:	All~`hum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	آمين
     IS_TRANS:	|myn
        INDEX:	P50W2
      OFFSETS:	6-10
       TOKENS:	P50W2-P50W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|amiyn_1]
   UNSPLITVOC:	(|amiyn)
          POS:	VERB
          VOC:	|amiyn
        GLOSS:	amen!/respond/answer

 INPUT STRING:	دعيت
     IS_TRANS:	dEyt
        INDEX:	P51W1
      OFFSETS:	0-4
       TOKENS:	P51W1-P51W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEay_1]
   UNSPLITVOC:	(duEiyt)
          POS:	PV_PASS+PVSUFF_SUBJ:1S
          VOC:	duEiy+t
        GLOSS:	pray/pray for/call/be invited/invite+I

 INPUT STRING:	lk
     IS_TRANS:	lk
        INDEX:	P51W2
      OFFSETS:	5-7
       TOKENS:	P51W2-P51W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	for/to+you

 INPUT STRING:	fy
     IS_TRANS:	fy
        INDEX:	P51W3
      OFFSETS:	8-10
       TOKENS:	P51W4-P51W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	رمضان
     IS_TRANS:	rmDAn
        INDEX:	P51W4
      OFFSETS:	11-16
       TOKENS:	P51W5-P51W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ramaDAn_1]
   UNSPLITVOC:	(ramaDAn)
          POS:	NOUN
          VOC:	ramaDAn
        GLOSS:	Ramadan

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P52W1
      OFFSETS:	0-4
       TOKENS:	P52W1-P52W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يرزقك
     IS_TRANS:	yrzqk
        INDEX:	P52W2
      OFFSETS:	5-10
       TOKENS:	P52W3-P52W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[razaq_1]
   UNSPLITVOC:	(yirozuqik)
          POS:	IV3MS+IV+IVSUFF_DO:2FS
          VOC:	yi+rozuq+ik
        GLOSS:	he/it+bestow/endow/be bestown/be blessed+you

 INPUT STRING:	باحسن
     IS_TRANS:	bAHsn
        INDEX:	P52W3
      OFFSETS:	11-16
       TOKENS:	P52W5-P52W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(bi>aHosan)
          POS:	PREP+ADJ_COMP
          VOC:	bi+>aHosan
        GLOSS:	with/by+better/best

 INPUT STRING:	HAjp
     IS_TRANS:	HAjp
        INDEX:	P52W4
      OFFSETS:	17-21
       TOKENS:	P52W7-P52W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P53W1
      OFFSETS:	0-3
       TOKENS:	P53W1-P53W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	قايمة
     IS_TRANS:	qAymp
        INDEX:	P53W2
      OFFSETS:	4-9
       TOKENS:	P53W2-P53W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAyim_1]
   UNSPLITVOC:	(qAyomap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	qAyom+ap
        GLOSS:	excited/inflamed+[fem.sg.]

 INPUT STRING:	دلوتي
     IS_TRANS:	dlwty
        INDEX:	P53W3
      OFFSETS:	10-15
       TOKENS:	P53W3-P53W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(dlwty)
          POS:	TYPO
          VOC:	dlwty
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P53W4
      OFFSETS:	16-18
       TOKENS:	P53W4-P53W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	جميلة
     IS_TRANS:	jmylp
        INDEX:	P53W5
      OFFSETS:	19-24
       TOKENS:	P53W5-P53W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiylap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jamiyl+ap
        GLOSS:	beautiful/nice/fine (arts)+[fem.sg.]

 INPUT STRING:	w
     IS_TRANS:	w
        INDEX:	P54W1
      OFFSETS:	0-1
       TOKENS:	P54W1-P54W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	ادعي
     IS_TRANS:	AdEy
        INDEX:	P54W2
      OFFSETS:	2-6
       TOKENS:	P54W2-P54W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(AidoEiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AidoE+iy
        GLOSS:	call/invite/be called/be invited+you

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P54W3
      OFFSETS:	7-9
       TOKENS:	P54W3-P54W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~A)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	for/to+I/me

 INPUT STRING:	محتاجة
     IS_TRANS:	mHtAjp
        INDEX:	P55W1
      OFFSETS:	0-6
       TOKENS:	P55W1-P55W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miHotAj_1]
   UNSPLITVOC:	(miHotAjap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	miHotAj+ap
        GLOSS:	in need/wanting/requiring/needing/needy/poor/destitute/por+[fem.sg.]

 INPUT STRING:	الدعاء
     IS_TRANS:	AldEA'
        INDEX:	P55W2
      OFFSETS:	7-13
       TOKENS:	P55W2-P55W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duEA'_1]
   UNSPLITVOC:	(AlduEA')
          POS:	DET+NOUN
          VOC:	Al+duEA'
        GLOSS:	the+call/request/invocation

 INPUT STRING:	حاضر
     IS_TRANS:	HADr
        INDEX:	P56W1
      OFFSETS:	0-4
       TOKENS:	P56W1-P56W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HADir_1]
   UNSPLITVOC:	(HADir)
          POS:	ADJ
          VOC:	HADir
        GLOSS:	present/attending

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P56W2
      OFFSETS:	5-7
       TOKENS:	P56W2-P56W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	روحي
     IS_TRANS:	rwHy
        INDEX:	P56W3
      OFFSETS:	8-12
       TOKENS:	P56W3-P56W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rawH_1]
   UNSPLITVOC:	(ruwHiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	ruwH+iy
        GLOSS:	repose/refreshment+my

 INPUT STRING:	حأدعي
     IS_TRANS:	H>dEy
        INDEX:	P57W1
      OFFSETS:	0-5
       TOKENS:	P57W1-P57W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(HaAadoEiy)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+doEiy
        GLOSS:	will+I+call/invite/be called/be invited

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P57W2
      OFFSETS:	6-8
       TOKENS:	P57W3-P57W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	for/to+you

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P57W3
      OFFSETS:	9-14
       TOKENS:	P57W5-P57W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P58W1
      OFFSETS:	0-4
       TOKENS:	P58W1-P58W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يكرمك
     IS_TRANS:	ykrmk
        INDEX:	P58W2
      OFFSETS:	5-10
       TOKENS:	P58W3-P58W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akoram_1]
   UNSPLITVOC:	(yikorimik)
          POS:	IV3MS+IV+IVSUFF_DO:2FS
          VOC:	yi+korim+ik
        GLOSS:	he/it+honor/bestow honor upon/confer/be honored/be conferred+you

