 INPUT STRING:	جايز

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P189W2
      OFFSETS:	8-10
       TOKENS:	P189W2-P189W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	سته
     IS_TRANS:	sth
        INDEX:	P189W3
      OFFSETS:	11-14
       TOKENS:	P189W3-P189W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sth)
          POS:	FOREIGN
          VOC:	sth
        GLOSS:	nogloss

 INPUT STRING:	أفريقيا
     IS_TRANS:	>fryqyA
        INDEX:	P189W4
      OFFSETS:	15-22
       TOKENS:	P189W4-P189W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aforiyqoyA_1]
   UNSPLITVOC:	(>aforiyqoyA)
          POS:	NOUN_PROP
          VOC:	>aforiyqoyA
        GLOSS:	Africa/African

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P190W1
      OFFSETS:	0-2
       TOKENS:	P190W1-P190W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	رحلة
     IS_TRANS:	rHlp
        INDEX:	P190W2
      OFFSETS:	3-7
       TOKENS:	P190W3-P190W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riHolap_1]
   UNSPLITVOC:	(riHolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	riHol+ap
        GLOSS:	career/journey/careers/journeys/trip/voyage/trips/voyages+[fem.sg.]

 INPUT STRING:	إمتى
     IS_TRANS:	<mtY
        INDEX:	P191W1
      OFFSETS:	0-4
       TOKENS:	P191W1-P191W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	وتبع
     IS_TRANS:	wtbE
        INDEX:	P192W1
      OFFSETS:	0-4
       TOKENS:	P192W1-P192W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabaE_1]
   UNSPLITVOC:	(witabaE)
          POS:	CONJ+NOUN
          VOC:	wi+tabaE
        GLOSS:	and+follower/subordinate/followers/partisans/according (to)/pursuant (to)

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P192W2
      OFFSETS:	5-8
       TOKENS:	P192W3-P192W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P192W3
      OFFSETS:	8-9
       TOKENS:	P192W4-P192W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P193W1
      OFFSETS:	0-2
       TOKENS:	P193W1-P193W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P193W2
      OFFSETS:	3-8
       TOKENS:	P193W2-P193W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P193W3
      OFFSETS:	9-11
       TOKENS:	P193W3-P193W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ay)
          POS:	FOREIGN
          VOC:	Ay
        GLOSS:	nogloss

 INPUT STRING:	قوس
     IS_TRANS:	qws
        INDEX:	P193W4
      OFFSETS:	12-15
       TOKENS:	P193W4-P193W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(qws)
          POS:	FOREIGN
          VOC:	qws
        GLOSS:	nogloss

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P193W5
      OFFSETS:	16-18
       TOKENS:	P193W5-P193W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aay~_2]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P193W6
      OFFSETS:	19-22
       TOKENS:	P193W6-P193W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time/moments/times

 INPUT STRING:	تبع
     IS_TRANS:	tbE
        INDEX:	P194W1
      OFFSETS:	0-3
       TOKENS:	P194W1-P194W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabaE_1]
   UNSPLITVOC:	(tabaE)
          POS:	NOUN
          VOC:	tabaE
        GLOSS:	follower/subordinate/followers/partisans/according (to)/pursuant (to)

 INPUT STRING:	شركة
     IS_TRANS:	$rkp
        INDEX:	P194W2
      OFFSETS:	4-8
       TOKENS:	P194W2-P194W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$irokap_1]
   UNSPLITVOC:	($irokap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$irok+ap
        GLOSS:	association/society/associations/societies/club/government-owned fod store/union/consumer shops+[fem.sg.]

 INPUT STRING:	إسمها
     IS_TRANS:	<smhA
        INDEX:	P194W3
      OFFSETS:	9-14
       TOKENS:	P194W3-P194W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(AisomahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Aisom+hA
        GLOSS:	name/names+its/their/her

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P195W1
      OFFSETS:	0-2
       TOKENS:	P195W1-P195W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	عارفها
     IS_TRANS:	EArfhA
        INDEX:	P195W2
      OFFSETS:	3-9
       TOKENS:	P195W2-P195W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArifhA)
          POS:	ADJ+PRON_3FS
          VOC:	EArif+hA
        GLOSS:	knowing/having knowledge of+it/them/her

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P196W1
      OFFSETS:	0-3
       TOKENS:	P196W1-P196W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	ريم
     IS_TRANS:	rym
        INDEX:	P196W2
      OFFSETS:	4-7
       TOKENS:	P196W2-P196W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riym_1]
   UNSPLITVOC:	(riym)
          POS:	NOUN_PROP
          VOC:	riym
        GLOSS:	Reem/Rim

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P196W3
      OFFSETS:	8-12
       TOKENS:	P196W3-P196W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P196W4
      OFFSETS:	13-15
       TOKENS:	P196W4-P196W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	نبقاش
     IS_TRANS:	nbqA$
        INDEX:	P196W5
      OFFSETS:	16-21
       TOKENS:	P196W5-P196W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(niboqAi$)
          POS:	IV1P+IV+NEG_PART
          VOC:	ni+boqA+$
        GLOSS:	we+become/begin/start/be/begin a new day+not

 INPUT STRING:	بق
     IS_TRANS:	bq
        INDEX:	P196W6
      OFFSETS:	22-24
       TOKENS:	P196W7-P196W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buq~_1]
   UNSPLITVOC:	(buq~)
          POS:	NOUN
          VOC:	buq~
        GLOSS:	mouth

 INPUT STRING:	فلز
     IS_TRANS:	flz
        INDEX:	P196W7
      OFFSETS:	25-28
       TOKENS:	P196W8-P196W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(flz)
          POS:	FOREIGN
          VOC:	flz
        GLOSS:	nogloss

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P197W1
      OFFSETS:	0-2
       TOKENS:	P197W1-P197W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ay)
          POS:	FOREIGN
          VOC:	Ay
        GLOSS:	nogloss

 INPUT STRING:	عور
     IS_TRANS:	Ewr
        INDEX:	P197W2
      OFFSETS:	3-6
       TOKENS:	P197W2-P197W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ewr)
          POS:	FOREIGN
          VOC:	Ewr
        GLOSS:	nogloss

 INPUT STRING:	حاضر
     IS_TRANS:	HADr
        INDEX:	P197W3
      OFFSETS:	7-11
       TOKENS:	P197W3-P197W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HADir_1]
   UNSPLITVOC:	(HADir)
          POS:	ADJ
          VOC:	HADir
        GLOSS:	present/attending

 INPUT STRING:	وعفت
     IS_TRANS:	wEft
        INDEX:	P198W1
      OFFSETS:	0-4
       TOKENS:	P198W1-P198W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wEft)
          POS:	FOREIGN
          VOC:	wEft
        GLOSS:	nogloss

 INPUT STRING:	نكست
     IS_TRANS:	nkst
        INDEX:	P198W2
      OFFSETS:	5-9
       TOKENS:	P198W2-P198W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(nkst)
          POS:	FOREIGN
          VOC:	nkst
        GLOSS:	nogloss

 INPUT STRING:	اسم
     IS_TRANS:	Asm
        INDEX:	P198W3
      OFFSETS:	10-13
       TOKENS:	P198W3-P198W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Asm)
          POS:	FOREIGN
          VOC:	Asm
        GLOSS:	nogloss

 INPUT STRING:	نشوف
     IS_TRANS:	n$wf
        INDEX:	P198W4
      OFFSETS:	14-18
       TOKENS:	P198W4-P198W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(ni$uwf)
          POS:	IV1P+IV
          VOC:	ni+$uwf
        GLOSS:	we+look

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P198W5
      OFFSETS:	19-22
       TOKENS:	P198W5-P198W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_3]
   UNSPLITVOC:	(<iyh)
          POS:	REL_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	نظام
     IS_TRANS:	nZAm
        INDEX:	P198W6
      OFFSETS:	23-27
       TOKENS:	P198W6-P198W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(niZAm)
          POS:	NOUN
          VOC:	niZAm
        GLOSS:	regime/government/regimes/governments/systems/methodology/system/order

 INPUT STRING:	التراب
     IS_TRANS:	AltrAb
        INDEX:	P198W7
      OFFSETS:	28-34
       TOKENS:	P198W7-P198W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[turAb_1]
   UNSPLITVOC:	(AlturAb)
          POS:	DET+NOUN
          VOC:	Al+turAb
        GLOSS:	the+dirt/soil

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P198W8
      OFFSETS:	35-37
       TOKENS:	P198W8-P198W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	حاضر
     IS_TRANS:	HADr
        INDEX:	P199W1
      OFFSETS:	0-4
       TOKENS:	P199W1-P199W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HADir_1]
   UNSPLITVOC:	(HADir)
          POS:	ADJ
          VOC:	HADir
        GLOSS:	present/attending

 INPUT STRING:	سيرة
     IS_TRANS:	syrp
        INDEX:	P200W1
      OFFSETS:	0-4
       TOKENS:	P200W1-P200W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(syrp)
          POS:	FOREIGN
          VOC:	syrp
        GLOSS:	nogloss

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P200W2
      OFFSETS:	5-8
       TOKENS:	P200W2-P200W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P200W3
      OFFSETS:	9-12
       TOKENS:	P200W3-P200W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	NOUN
          VOC:	hinA
        GLOSS:	here

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P201W1
      OFFSETS:	0-3
       TOKENS:	P201W1-P201W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	لحقتها
     IS_TRANS:	lHqthA
        INDEX:	P201W2
      OFFSETS:	4-10
       TOKENS:	P201W2-P201W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liHiq_1]
   UNSPLITVOC:	(liHiqtahA)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS
          VOC:	liHiq+t+hA
        GLOSS:	follow/be attached/[help!]/reach+I+it/them/her

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P201W3
      OFFSETS:	11-14
       TOKENS:	P201W4-P201W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فاس
     IS_TRANS:	fAs
        INDEX:	P201W4
      OFFSETS:	15-18
       TOKENS:	P201W5-P201W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fAs)
          POS:	FOREIGN
          VOC:	fAs
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P202W1
      OFFSETS:	0-2
       TOKENS:	P202W1-P202W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P202W2
      OFFSETS:	3-8
       TOKENS:	P202W2-P202W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P203W1
      OFFSETS:	0-3
       TOKENS:	P203W1-P203W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	نشوف
     IS_TRANS:	n$wf
        INDEX:	P203W2
      OFFSETS:	4-8
       TOKENS:	P203W2-P203W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(ni$uwf)
          POS:	IV1P+IV
          VOC:	ni+$uwf
        GLOSS:	we+look

 INPUT STRING:	أتعس
     IS_TRANS:	>tEs
        INDEX:	P203W3
      OFFSETS:	9-13
       TOKENS:	P203W3-P203W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>tEs)
          POS:	FOREIGN
          VOC:	>tEs
        GLOSS:	nogloss

 INPUT STRING:	نو
     IS_TRANS:	nw
        INDEX:	P203W4
      OFFSETS:	14-16
       TOKENS:	P203W4-P203W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(nw)
          POS:	FOREIGN
          VOC:	nw
        GLOSS:	nogloss

 INPUT STRING:	ونكلمها
     IS_TRANS:	wnklmhA
        INDEX:	P204W1
      OFFSETS:	0-7
       TOKENS:	P204W1-P204W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(winikal~imhA)
          POS:	CONJ+IV1P+IV+IVSUFF_DO:3FS
          VOC:	wi+ni+kal~im+hA
        GLOSS:	and+we+talk/speak/talk to+it/them/her

 INPUT STRING:	ونعرف
     IS_TRANS:	wnErf
        INDEX:	P205W1
      OFFSETS:	0-5
       TOKENS:	P205W1-P205W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(winiEoraf)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+Eoraf
        GLOSS:	and+we+know

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P205W2
      OFFSETS:	6-8
       TOKENS:	P205W3-P205W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P205W3
      OFFSETS:	9-12
       TOKENS:	P205W4-P205W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	افرز
     IS_TRANS:	Afrz
        INDEX:	P205W4
      OFFSETS:	13-17
       TOKENS:	P205W6-P205W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Afrz)
          POS:	FOREIGN
          VOC:	Afrz
        GLOSS:	nogloss

 INPUT STRING:	ثانية
     IS_TRANS:	vAnyp
        INDEX:	P205W5
      OFFSETS:	18-23
       TOKENS:	P205W7-P205W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(vAnoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	vAnoy+ap
        GLOSS:	second/next+[fem.sg.]

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P206W1
      OFFSETS:	0-3
       TOKENS:	P206W1-P206W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness

 INPUT STRING:	نشوف
     IS_TRANS:	n$wf
        INDEX:	P207W1
      OFFSETS:	0-4
       TOKENS:	P207W1-P207W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(ni$uwf)
          POS:	IV1P+IV
          VOC:	ni+$uwf
        GLOSS:	we+look

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P207W2
      OFFSETS:	5-9
       TOKENS:	P207W2-P207W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	الأول
     IS_TRANS:	Al>wl
        INDEX:	P207W3
      OFFSETS:	10-15
       TOKENS:	P207W3-P207W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaw~il_1]
   UNSPLITVOC:	(AlAw~il)
          POS:	DET+ADJ
          VOC:	Al+Aw~il
        GLOSS:	the+first/explain/interpret/be explained/be interpreted/first-place/best/top

 INPUT STRING:	لإن
     IS_TRANS:	l<n
        INDEX:	P207W4
      OFFSETS:	16-19
       TOKENS:	P207W4-P207W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(l<n)
          POS:	FOREIGN
          VOC:	l<n
        GLOSS:	nogloss

 INPUT STRING:	نشوف
     IS_TRANS:	n$wf
        INDEX:	P207W5
      OFFSETS:	20-24
       TOKENS:	P207W5-P207W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(ni$uwf)
          POS:	IV1P+IV
          VOC:	ni+$uwf
        GLOSS:	we+look

 INPUT STRING:	الباقى
     IS_TRANS:	AlbAqY
        INDEX:	P207W6
      OFFSETS:	25-31
       TOKENS:	P207W6-P207W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAqiy_1]
   UNSPLITVOC:	(AlbAqiy)
          POS:	DET+NOUN
          VOC:	Al+bAqiy
        GLOSS:	the+remaining/remainder

 INPUT STRING:	اوكي
     IS_TRANS:	Awky
        INDEX:	P208W1
      OFFSETS:	0-4
       TOKENS:	P208W1-P208W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwk~iyh_1]
   UNSPLITVOC:	(>uwk~iy)
          POS:	INTERJ
          VOC:	>uwk~iy
        GLOSS:	ok

 INPUT STRING:	حاضر
     IS_TRANS:	HADr
        INDEX:	P209W1
      OFFSETS:	0-4
       TOKENS:	P209W1-P209W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HADir_1]
   UNSPLITVOC:	(HADir)
