 INPUT STRING:	ههه
      OFFSETS:	16-19
       TOKENS:	P347W5-P347W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P347W5
      OFFSETS:	20-24
       TOKENS:	P347W6-P347W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P347W6
      OFFSETS:	25-27
       TOKENS:	P347W7-P347W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	هه
     IS_TRANS:	hh
        INDEX:	P348W1
      OFFSETS:	0-2
       TOKENS:	P348W1-P348W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ha_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	laughing

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P349W1
      OFFSETS:	0-4
       TOKENS:	P349W1-P349W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	ADJ
          VOC:	mA$iy
        GLOSS:	going/walking/on foot

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P349W2
      OFFSETS:	5-7
       TOKENS:	P349W2-P349W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P349W3
      OFFSETS:	8-11
       TOKENS:	P349W3-P349W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حساب
     IS_TRANS:	HsAb
        INDEX:	P349W4
      OFFSETS:	12-16
       TOKENS:	P349W4-P349W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HisAb_1]
   UNSPLITVOC:	(HisAb)
          POS:	NOUN
          VOC:	HisAb
        GLOSS:	calculation/appraisal/invoice/expense/account

 INPUT STRING:	ريم
     IS_TRANS:	rym
        INDEX:	P349W5
      OFFSETS:	17-20
       TOKENS:	P349W5-P349W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riym_1]
   UNSPLITVOC:	(riym)
          POS:	NOUN_PROP
          VOC:	riym
        GLOSS:	Reem/Rim

 INPUT STRING:	عمرو
     IS_TRANS:	Emrw
        INDEX:	P349W6
      OFFSETS:	21-25
       TOKENS:	P349W6-P349W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(Eamorw)
          POS:	NOUN_PROP
          VOC:	Eamorw
        GLOSS:	Amr

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P349W7
      OFFSETS:	26-30
       TOKENS:	P349W7-P349W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	حر
     IS_TRANS:	Hr
        INDEX:	P349W8
      OFFSETS:	31-33
       TOKENS:	P349W9-P349W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Hr)
          POS:	FOREIGN
          VOC:	Hr
        GLOSS:	nogloss

 INPUT STRING:	بيرثدأي
     IS_TRANS:	byrvd>y
        INDEX:	P349W9
      OFFSETS:	34-41
       TOKENS:	P349W10-P349W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(byrvd>y)
          POS:	FOREIGN
          VOC:	byrvd>y
        GLOSS:	nogloss

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P350W1
      OFFSETS:	0-2
       TOKENS:	P350W1-P350W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P350W2
      OFFSETS:	3-5
       TOKENS:	P350W2-P350W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	حأبقى
     IS_TRANS:	H>bqY
        INDEX:	P351W1
      OFFSETS:	0-5
       TOKENS:	P351W1-P351W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqay_1]
   UNSPLITVOC:	(HaAaboqaY)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+boqaY
        GLOSS:	will+I+be/became/become/remain

 INPUT STRING:	معاكي
     IS_TRANS:	mEAky
        INDEX:	P351W2
      OFFSETS:	6-11
       TOKENS:	P351W3-P351W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkiy)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	maEa+ik
        GLOSS:	with+your

 INPUT STRING:	الصبح
     IS_TRANS:	AlSbH
        INDEX:	P351W3
      OFFSETS:	12-17
       TOKENS:	P351W5-P351W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(AlSuboH)
          POS:	DET+NOUN
          VOC:	Al+SuboH
        GLOSS:	the+morning/daybreak/mornings

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P351W4
      OFFSETS:	18-20
       TOKENS:	P351W6-P351W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P351W5
      OFFSETS:	21-24
       TOKENS:	P351W7-P351W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P351W6
      OFFSETS:	25-29
       TOKENS:	P351W8-P351W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P351W7
      OFFSETS:	30-33
       TOKENS:	P351W9-P351W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Twl)
          POS:	FOREIGN
          VOC:	Twl
        GLOSS:	nogloss

 INPUT STRING:	4
     IS_TRANS:	4
        INDEX:	P351W8
      OFFSETS:	34-35
       TOKENS:	P351W10-P351W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(4)
          POS:	NOUN_NUM
          VOC:	4
        GLOSS:	4

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P351W9
      OFFSETS:	36-38
       TOKENS:	P351W11-P351W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P351W10
      OFFSETS:	39-42
       TOKENS:	P351W12-P351W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P351W11
      OFFSETS:	43-47
       TOKENS:	P351W13-P351W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	وبالليل
     IS_TRANS:	wbAllyl
        INDEX:	P352W1
      OFFSETS:	0-7
       TOKENS:	P352W1-P352W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[liyl_1]
   UNSPLITVOC:	(wibiAlliyl)
          POS:	CONJ+PREP+DET+NOUN
          VOC:	wi+bi+Al+layl
        GLOSS:	and+with/by+the+night/nighttime/at night/by night

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P352W2
      OFFSETS:	8-11
       TOKENS:	P352W4-P352W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	نمشي
     IS_TRANS:	nm$y
        INDEX:	P352W3
      OFFSETS:	12-16
       TOKENS:	P352W5-P352W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$iy_1]
   UNSPLITVOC:	(nimo$iy)
          POS:	IV1P+IV
          VOC:	ni+mo$iy
        GLOSS:	we+go/walk

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P352W4
      OFFSETS:	17-19
       TOKENS:	P352W6-P352W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	معها
     IS_TRANS:	mEhA
        INDEX:	P352W5
      OFFSETS:	20-24
       TOKENS:	P352W7-P352W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	maEa+hA
        GLOSS:	with+its/their/her

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P353W1
      OFFSETS:	0-2
       TOKENS:	P353W1-P353W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	خليكي
     IS_TRANS:	xlyky
        INDEX:	P353W2
      OFFSETS:	3-8
       TOKENS:	P353W2-P353W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiliy_1]
   UNSPLITVOC:	(xiliykiy)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:2FS
          VOC:	xiliy+(null)+ik
        GLOSS:	let+he/it+you

 INPUT STRING:	معاها
     IS_TRANS:	mEAhA
        INDEX:	P353W3
      OFFSETS:	9-14
       TOKENS:	P353W4-P353W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	maEa+hA
        GLOSS:	with+its/their/her

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P353W4
      OFFSETS:	15-19
       TOKENS:	P353W6-P353W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	حرام
     IS_TRANS:	HrAm
        INDEX:	P353W5
      OFFSETS:	20-24
       TOKENS:	P353W7-P353W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	أتي
     IS_TRANS:	>ty
        INDEX:	P353W6
      OFFSETS:	25-28
       TOKENS:	P353W8-P353W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>ty)
          POS:	FOREIGN
          VOC:	>ty
        GLOSS:	nogloss

 INPUT STRING:	هر
     IS_TRANS:	hr
        INDEX:	P353W7
      OFFSETS:	29-31
       TOKENS:	P353W9-P353W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(hr)
          POS:	FOREIGN
          VOC:	hr
        GLOSS:	nogloss

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P353W8
      OFFSETS:	32-34
       TOKENS:	P353W10-P353W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dy)
          POS:	FOREIGN
          VOC:	dy
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P354W1
      OFFSETS:	0-2
       TOKENS:	P354W1-P354W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	زفته
     IS_TRANS:	zfth
        INDEX:	P354W2
      OFFSETS:	3-7
       TOKENS:	P354W2-P354W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zift_1]
   UNSPLITVOC:	(ziftap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	zift+ap
        GLOSS:	crappy/cruddy/crummy+[fem.sg]

 INPUT STRING:	سمعتي
     IS_TRANS:	smEty
        INDEX:	P354W3
      OFFSETS:	8-13
       TOKENS:	P354W3-P354W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(simiEtiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	simiE+tiy
        GLOSS:	listen/hear+you

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P354W4
      OFFSETS:	14-17
       TOKENS:	P354W4-P354W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P354W5
      OFFSETS:	18-21
       TOKENS:	P354W5-P354W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qul+t
        GLOSS:	said/say/be said/(for example)+I

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P354W6
      OFFSETS:	22-25
       TOKENS:	P354W6-P354W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P355W1
      OFFSETS:	0-2
       TOKENS:	P355W1-P355W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P355W2
      OFFSETS:	3-6
       TOKENS:	P355W2-P355W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	بأقولك
     IS_TRANS:	b>qwlk
        INDEX:	P355W3
      OFFSETS:	7-13
       TOKENS:	P355W3-P355W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwl~ik)
          POS:	PROG_PART+IV1S+IV+PREP+PRON_2FS
          VOC:	bi+Aa+quwl+li+ik
        GLOSS:	[present-tense]+I+said/say/be said/(for example)+to/for+you

 INPUT STRING:	ماتجيش
     IS_TRANS:	mAtjy$
        INDEX:	P355W4
      OFFSETS:	14-20
       TOKENS:	P355W7-P355W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(mA_tijiy$)
          POS:	NEG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS+NEG_PART
          VOC:	mA+ti+j+iy+$
        GLOSS:	not+you+occur/came/come/reach/arrive+you+not

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P355W5
      OFFSETS:	21-24
       TOKENS:	P355W10-P355W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	وقتك
     IS_TRANS:	wqtk
        INDEX:	P355W6
      OFFSETS:	25-29
       TOKENS:	P355W11-P355W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqotik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	waqot+ik
        GLOSS:	time/moment/period of time/moments/times+your

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P355W7
      OFFSETS:	30-34
       TOKENS:	P355W13-P355W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	معها
     IS_TRANS:	mEhA
        INDEX:	P355W8
      OFFSETS:	35-39
       TOKENS:	P355W14-P355W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	maEa+hA
        GLOSS:	with+its/their/her

 INPUT STRING:	عشاني
     IS_TRANS:	E$Any
        INDEX:	P355W9
      OFFSETS:	40-45
       TOKENS:	P355W16-P355W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$Aniy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	Ea+$An+iy
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of+my

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P356W1
      OFFSETS:	0-2
       TOKENS:	P356W1-P356W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	حول
     IS_TRANS:	Hwl
        INDEX:	P356W2
      OFFSETS:	3-6
       TOKENS:	P356W2-P356W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hawl_1]
   UNSPLITVOC:	(Hawl)
          POS:	NOUN
          VOC:	Hawl
        GLOSS:	about/around/concerning/power

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P356W3
      OFFSETS:	7-10
       TOKENS:	P356W3-P356W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P356W4
      OFFSETS:	11-13
       TOKENS:	P356W5-P356W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	رب
     IS_TRANS:	rb
        INDEX:	P356W5
      OFFSETS:	14-16
       TOKENS:	P356W6-P356W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P356W6
      OFFSETS:	17-19
       TOKENS:	P356W7-P356W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	بنت
     IS_TRANS:	bnt
        INDEX:	P356W7
      OFFSETS:	20-23
       TOKENS:	P356W8-P356W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binot)
          POS:	NOUN
          VOC:	binot
        GLOSS:	daughter/girl/daughters/girls

 INPUT STRING:	إتضبتي
     IS_TRANS:	<tDbty
        INDEX:	P356W8
      OFFSETS:	24-30
       TOKENS:	P356W9-P356W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(<tDbty)
          POS:	TYPO
          VOC:	<tDbty
        GLOSS:	nogloss

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P357W1
      OFFSETS:	0-4
       TOKENS:	P357W1-P357W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha_1]
   UNSPLITVOC:	(hhhh)
          POS:	INTERJ
          VOC:	hhhh
        GLOSS:	laughing

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P358W1
      OFFSETS:	0-3
       TOKENS:	P358W1-P358W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	INTERJ
          VOC:	Tay~ib
        GLOSS:	ok

 INPUT STRING:	حاضر
     IS_TRANS:	HADr
        INDEX:	P358W2
      OFFSETS:	4-8
       TOKENS:	P358W2-P358W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HADir_1]
   UNSPLITVOC:	(HADir)
          POS:	NOUN
          VOC:	HADir
        GLOSS:	present time

 INPUT STRING:	حأشوفك
     IS_TRANS:	H>$wfk
        INDEX:	P358W3
      OFFSETS:	9-15
       TOKENS:	P358W3-P358W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(HaAa$uwfik)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:2FS
          VOC:	Ha+Aa+$uwf+ik
        GLOSS:	will+I+look+you

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P358W4
      OFFSETS:	16-20
