 INPUT STRING:	كلت
      OFFSETS:	0-4
       TOKENS:	P88W1-P88W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(wiAnA)
          POS:	CONJ+PRON_1S
          VOC:	wi+AnA
        GLOSS:	and+I/me

 INPUT STRING:	احتمال
     IS_TRANS:	AHtmAl
        INDEX:	P88W2
      OFFSETS:	5-11
       TOKENS:	P88W3-P88W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotimAl_1]
   UNSPLITVOC:	(AiHotimAl)
          POS:	NOUN
          VOC:	AiHotimAl
        GLOSS:	probabilities/possibilities

 INPUT STRING:	سفري
     IS_TRANS:	sfry
        INDEX:	P88W3
      OFFSETS:	12-16
       TOKENS:	P88W4-P88W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safar_1]
   UNSPLITVOC:	(safariy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	safar+iy
        GLOSS:	travel/trip/journeys+my

 INPUT STRING:	يتأخر
     IS_TRANS:	yt>xr
        INDEX:	P88W4
      OFFSETS:	17-22
       TOKENS:	P88W6-P88W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Ait>ax~ar_1]
   UNSPLITVOC:	(yito>ax~ar)
          POS:	IV3MS+IV_PASS
          VOC:	yi+to>ax~ar
        GLOSS:	he/it+delay

 INPUT STRING:	
     IS_TRANS:	&#xe403;
        INDEX:	P88W5
      OFFSETS:	23-24
       TOKENS:	P88W7-P88W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(&#xe403;)
          POS:	NO_FUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	يتاكد
     IS_TRANS:	ytAkd
        INDEX:	P89W1
      OFFSETS:	0-5
       TOKENS:	P89W1-P89W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aito>ak~id_1]
   UNSPLITVOC:	(yito>ak~id)
          POS:	IV3MS+IV
          VOC:	yi+to>ak~id
        GLOSS:	he/it+be verified/be certain

 INPUT STRING:	الورق
     IS_TRANS:	Alwrq
        INDEX:	P89W2
      OFFSETS:	6-11
       TOKENS:	P89W2-P89W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waraqap_1]
   UNSPLITVOC:	(Alwaraq)
          POS:	DET+NOUN
          VOC:	Al+waraq
        GLOSS:	the+sheet/leaf/documents papers sheets/paper

 INPUT STRING:	هيجى
     IS_TRANS:	hyjY
        INDEX:	P89W3
      OFFSETS:	12-16
       TOKENS:	P89W3-P89W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(hayijiy)
          POS:	FUT_PART+IV3MS+IV
          VOC:	ha+yi+jiy
        GLOSS:	will+he/it+came/come

 INPUT STRING:	الاسبوع
     IS_TRANS:	AlAsbwE
        INDEX:	P89W4
      OFFSETS:	17-24
       TOKENS:	P89W5-P89W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usobuwE_1]
   UNSPLITVOC:	(Al>usobuwE)
          POS:	DET+NOUN
          VOC:	Al+>usobuwE
        GLOSS:	the+week/weeks

 INPUT STRING:	الجاى
     IS_TRANS:	AljAY
        INDEX:	P89W5
      OFFSETS:	25-30
       TOKENS:	P89W6-P89W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy~_1]
   UNSPLITVOC:	(AljAy~)
          POS:	DET+ADJ
          VOC:	Al+jAy~
        GLOSS:	the+arriving/coming/proceeding/next/following/future/revenue/profit

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P89W6
      OFFSETS:	31-34
       TOKENS:	P89W7-P89W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P89W7
      OFFSETS:	35-37
       TOKENS:	P89W8-P89W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P90W1
      OFFSETS:	0-4
       TOKENS:	P90W1-P90W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	كنتى
     IS_TRANS:	kntY
        INDEX:	P90W2
      OFFSETS:	5-9
       TOKENS:	P90W2-P90W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kuntiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	kun+tiy
        GLOSS:	be/was/were+you

 INPUT STRING:	حجزه
     IS_TRANS:	Hjzh
        INDEX:	P90W3
      OFFSETS:	10-14
       TOKENS:	P90W3-P90W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAjiz_1]
   UNSPLITVOC:	(Hajozap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hajoz+ap
        GLOSS:	reserving+[fem.sg.]

 INPUT STRING:	امته
     IS_TRANS:	Amth
        INDEX:	P90W4
      OFFSETS:	15-19
       TOKENS:	P90W4-P90W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<imtaY_2]
   UNSPLITVOC:	(<imtah)
          POS:	REL_ADV
          VOC:	<imtaY
        GLOSS:	when

 INPUT STRING:	22-6
     IS_TRANS:	22-6
        INDEX:	P91W1
      OFFSETS:	0-4
       TOKENS:	P91W1-P91W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(22-6)
          POS:	TRANSLIT_ERR
          VOC:	22-6
        GLOSS:	22-6

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P92W1
      OFFSETS:	0-2
       TOKENS:	P92W1-P92W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	برضف
     IS_TRANS:	brDf
        INDEX:	P92W2
      OFFSETS:	3-7
       TOKENS:	P92W2-P92W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(brDf)
          POS:	TYPO
          VOC:	brDf
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P92W3
      OFFSETS:	8-10
       TOKENS:	P92W3-P92W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	مشكله
     IS_TRANS:	m$klh
        INDEX:	P92W4
      OFFSETS:	11-16
       TOKENS:	P92W5-P92W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(mu$okilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mu$okil+ap
        GLOSS:	problem/issue/problems/issues/inconveniences+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P92W5
      OFFSETS:	17-19
       TOKENS:	P92W6-P92W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الاقامة
     IS_TRANS:	AlAqAmp
        INDEX:	P92W6
      OFFSETS:	20-27
       TOKENS:	P92W7-P92W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiqAmap_1]
   UNSPLITVOC:	(AlAiqAmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+AiqAm+ap
        GLOSS:	the+setting up/residency+[fem.sg.]

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P92W7
      OFFSETS:	28-35
       TOKENS:	P92W8-P92W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+ADJ
          VOC:	Al+maforuwD
        GLOSS:	the+imposed/prescribed

 INPUT STRING:	تخلص
     IS_TRANS:	txlS
        INDEX:	P92W8
      OFFSETS:	36-40
       TOKENS:	P92W9-P92W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiliS_1]
   UNSPLITVOC:	(tixolaS)
          POS:	IV3FS+IV
          VOC:	ti+xolaS
        GLOSS:	it/they/she+be depleted/dwindle/sell out/purify/refine/clarify/become passable/consume utterly

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P92W9
      OFFSETS:	41-44
       TOKENS:	P92W10-P92W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(yuwm)
          POS:	NOUN
          VOC:	yuwm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	5
     IS_TRANS:	5
        INDEX:	P92W10
      OFFSETS:	45-46
       TOKENS:	P92W11-P92W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(5)
          POS:	NOUN_NUM
          VOC:	5
        GLOSS:	5

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P92W11
      OFFSETS:	46-47
       TOKENS:	P92W12-P92W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	7
     IS_TRANS:	7
        INDEX:	P92W12
      OFFSETS:	47-48
       TOKENS:	P92W13-P92W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(7)
          POS:	NOUN_NUM
          VOC:	7
        GLOSS:	7

 INPUT STRING:	ومحمد
     IS_TRANS:	wmHmd
        INDEX:	P93W1
      OFFSETS:	0-5
       TOKENS:	P93W1-P93W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miHam~ad_1]
   UNSPLITVOC:	(wimiHam~ad)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+miHam~ad
        GLOSS:	and+Mohamed/Mohammed/Muhammad

 INPUT STRING:	راح
     IS_TRANS:	rAH
        INDEX:	P93W2
      OFFSETS:	6-9
       TOKENS:	P93W3-P93W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(rAH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	rAH+(null)
        GLOSS:	begin/go+he/it

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P93W3
      OFFSETS:	10-15
       TOKENS:	P93W4-P93W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Eala$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	يجددها
     IS_TRANS:	yjddhA
        INDEX:	P93W4
      OFFSETS:	16-22
       TOKENS:	P93W6-P93W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~id_1]
   UNSPLITVOC:	(yijad~idhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+jad~id+hA
        GLOSS:	he/it+repeat/renew+it/them/her

 INPUT STRING:	قالوا
     IS_TRANS:	qAlwA
        INDEX:	P93W5
      OFFSETS:	23-28
       TOKENS:	P93W8-P93W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qAl+uwA
        GLOSS:	said/say/be said/(for example)+they

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P93W6
      OFFSETS:	29-31
       TOKENS:	P93W9-P93W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+it/him

 INPUT STRING:	قبلها
     IS_TRANS:	qblhA
        INDEX:	P93W7
      OFFSETS:	32-37
       TOKENS:	P93W11-P93W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabolahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	qabol+hA
        GLOSS:	before/previously/formerly+its/their/her

 INPUT STRING:	ب
     IS_TRANS:	b
        INDEX:	P93W8
      OFFSETS:	38-39
       TOKENS:	P93W13-P93W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bi)
          POS:	PREP
          VOC:	bi
        GLOSS:	with/by

 INPUT STRING:	3
     IS_TRANS:	3
        INDEX:	P93W9
      OFFSETS:	40-41
       TOKENS:	P93W14-P93W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(3)
          POS:	NOUN_NUM
          VOC:	3
        GLOSS:	3

 INPUT STRING:	ايام
     IS_TRANS:	AyAm
        INDEX:	P93W10
      OFFSETS:	41-45
       TOKENS:	P93W15-P93W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(>ay~Am)
          POS:	NOUN
          VOC:	>ay~Am
        GLOSS:	ever/period/day/today/some days/some day/days

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P93W11
      OFFSETS:	46-50
       TOKENS:	P93W16-P93W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	حستنى
     IS_TRANS:	HstnY
        INDEX:	P93W12
      OFFSETS:	51-56
       TOKENS:	P93W17-P93W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotan~aY_1]
   UNSPLITVOC:	(Hasotan~aY)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+sotan~aY
        GLOSS:	will+I+expect/wait for/be expected/be waited for/keep waiting for a long time/wait

 INPUT STRING:	لغايه
     IS_TRANS:	lgAyh
        INDEX:	P93W13
      OFFSETS:	57-62
       TOKENS:	P93W19-P93W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAyap_1]
   UNSPLITVOC:	(ligAyap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+gAy+ap
        GLOSS:	for/to+goal/objective/purpose/intention/goals/objectives/utmost/extreme+[fem.sg.]

 INPUT STRING:	5
     IS_TRANS:	5
        INDEX:	P93W14
      OFFSETS:	63-64
       TOKENS:	P93W21-P93W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(5)
          POS:	NOUN_NUM
          VOC:	5
        GLOSS:	5

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P93W15
      OFFSETS:	64-65
       TOKENS:	P93W22-P93W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	7
     IS_TRANS:	7
        INDEX:	P93W16
      OFFSETS:	65-66
       TOKENS:	P93W23-P93W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(7)
          POS:	NOUN_NUM
          VOC:	7
        GLOSS:	7

 INPUT STRING:	وبعدها
     IS_TRANS:	wbEdhA
        INDEX:	P93W17
      OFFSETS:	67-73
       TOKENS:	P93W24-P93W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEodahA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+baEod+hA
        GLOSS:	and+after/if/unless/whether/as long as/as soon as/which+its/their/her

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P93W18
      OFFSETS:	74-78
       TOKENS:	P93W27-P93W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	لغاية
     IS_TRANS:	lgAyp
        INDEX:	P93W19
      OFFSETS:	79-84
       TOKENS:	P93W28-P93W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAyap_1]
   UNSPLITVOC:	(ligAyap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+gAy+ap
        GLOSS:	for/to+goal/objective/purpose/intention/goals/objectives/utmost/extreme+[fem.sg.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P93W20
      OFFSETS:	85-87
       TOKENS:	P93W30-P93W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	تجدد
     IS_TRANS:	tjdd
        INDEX:	P93W21
      OFFSETS:	88-92
       TOKENS:	P93W31-P93W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~id_1]
   UNSPLITVOC:	(tijad~id)
          POS:	IV3FS+IV
          VOC:	ti+jad~id
        GLOSS:	it/they/she+repeat/renew

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P94W1
      OFFSETS:	0-2
       TOKENS:	P94W1-P94W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	طايقاهم
     IS_TRANS:	TAyqAhm
        INDEX:	P94W2
      OFFSETS:	3-10
       TOKENS:	P94W2-P94W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TAyiq_1]
   UNSPLITVOC:	(TAyoqAhum)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	TAyoq+ap+hum
        GLOSS:	tolerating/enduring+[fem.sg.]+their

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P94W3
      OFFSETS:	11-14
       TOKENS:	P94W4-P94W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	طايقه
     IS_TRANS:	TAyqh
        INDEX:	P94W4
      OFFSETS:	15-20
       TOKENS:	P94W6-P94W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAyiq_1]
   UNSPLITVOC:	(TAyoqap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	TAyoq+ap
        GLOSS:	afford/needing/standing/endure/wanting+[fem.sg.]

 INPUT STRING:	نفسي
     IS_TRANS:	nfsy
        INDEX:	P94W5
      OFFSETS:	21-25
       TOKENS:	P94W7-P94W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nafos+iy
        GLOSS:	same/self/selves/soul/souls+my

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P95W1
      OFFSETS:	0-4
       TOKENS:	P95W1-P95W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	تخنق
     IS_TRANS:	txnq
        INDEX:	P95W2
      OFFSETS:	5-9
       TOKENS:	P95W2-P95W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xanaq_1]
   UNSPLITVOC:	(tuxonuq)
          POS:	IV3FS+IV
          VOC:	tu+xonuq
        GLOSS:	she/it/they+choke/suppress/throttle down

 INPUT STRING:	معلش
     IS_TRANS:	mEl$
        INDEX:	P95W3
      OFFSETS:	10-14
       TOKENS:	P95W3-P95W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoli$~_1]
   UNSPLITVOC:	(maEoli$~)
          POS:	INTERJ
          VOC:	maEoli$~
        GLOSS:	sorry/never mind

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P95W4
      OFFSETS:	15-17
       TOKENS:	P95W4-P95W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yA_3]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	بنتى
     IS_TRANS:	bntY
        INDEX:	P95W5
      OFFSETS:	18-22
       TOKENS:	P95W5-P95W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binotiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	binot+iy
        GLOSS:	daughter/girl/daughters/girls+my

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P96W1
      OFFSETS:	0-3
       TOKENS:	P96W1-P96W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P96W2
      OFFSETS:	4-7
       TOKENS:	P96W2-P96W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness/very/much

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P97W1
      OFFSETS:	0-4
       TOKENS:	P97W1-P97W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~inA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~+nA
        GLOSS:	all/entire/every/whole+our

 INPUT STRING:	فالهوا
     IS_TRANS:	fAlhwA
        INDEX:	P97W2
      OFFSETS:	5-11
       TOKENS:	P97W3-P97W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hawaY_1]
   UNSPLITVOC:	(fiAlhawA)
          POS:	PREP+DET+NOUN
          VOC:	fi+Al+hawA
        GLOSS:	in+the+affection/inclination/preference/desires/wishes/inclinations

