 INPUT STRING:	ماما
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	knY
     IS_TRANS:	knY
        INDEX:	P43W3
      OFFSETS:	9-12
       TOKENS:	P43W4-P43W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(knY)
          POS:	TYPO
          VOC:	knY
        GLOSS:	nogloss

 INPUT STRING:	الزمن
     IS_TRANS:	Alzmn
        INDEX:	P43W4
      OFFSETS:	13-18
       TOKENS:	P43W5-P43W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaman_1]
   UNSPLITVOC:	(Alzaman)
          POS:	DET+NOUN
          VOC:	Al+zaman
        GLOSS:	the+time/period/duration/for some time/for a while/periods

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P43W5
      OFFSETS:	19-22
       TOKENS:	P43W6-P43W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	baqaY+(null)
        GLOSS:	become/begin/start/be/begin a new day+he/it

 INPUT STRING:	زفت
     IS_TRANS:	zft
        INDEX:	P43W6
      OFFSETS:	23-26
       TOKENS:	P43W7-P43W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zifot_1]
   UNSPLITVOC:	(zifot)
          POS:	NOUN
          VOC:	zifot
        GLOSS:	asphalt/pitch

 INPUT STRING:	وآديكي
     IS_TRANS:	w|dyky
        INDEX:	P43W7
      OFFSETS:	27-33
       TOKENS:	P43W8-P43W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>adiy_1]
   UNSPLITVOC:	(wa>adiyik)
          POS:	CONJ+DEM_PRON+PRON_2FS
          VOC:	wa+>adiy+ik
        GLOSS:	and+this+you

 INPUT STRING:	شايفة
     IS_TRANS:	$Ayfp
        INDEX:	P43W8
      OFFSETS:	34-39
       TOKENS:	P43W11-P43W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($Ayofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$Ayof+ap
        GLOSS:	viewer/observer/onlooker+[fem.sg.]

 INPUT STRING:	العنف
     IS_TRANS:	AlEnf
        INDEX:	P43W9
      OFFSETS:	40-45
       TOKENS:	P43W12-P43W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eunof_1]
   UNSPLITVOC:	(AlEunof)
          POS:	DET+NOUN
          VOC:	Al+Eunof
        GLOSS:	the+violence/force

 INPUT STRING:	f
     IS_TRANS:	f
        INDEX:	P43W10
      OFFSETS:	46-47
       TOKENS:	P43W13-P43W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	kl
     IS_TRANS:	kl
        INDEX:	P43W11
      OFFSETS:	48-50
       TOKENS:	P43W14-P43W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	مكان
     IS_TRANS:	mkAn
        INDEX:	P43W12
      OFFSETS:	51-55
       TOKENS:	P43W15-P43W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAn)
          POS:	NOUN
          VOC:	makAn
        GLOSS:	place/location/position/places/locations/positions

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P44W1
      OFFSETS:	0-3
       TOKENS:	P44W1-P44W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	باقول
     IS_TRANS:	bAqwl
        INDEX:	P44W2
      OFFSETS:	4-9
       TOKENS:	P44W2-P44W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwl)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+quwl
        GLOSS:	[present-tense]+I+said/say/be said/(for example)

 INPUT STRING:	لمامي
     IS_TRANS:	lmAmy
        INDEX:	P44W3
      OFFSETS:	10-15
       TOKENS:	P44W4-P44W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(limAmiy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	li+mAm+iy
        GLOSS:	for/to+mama+my

 INPUT STRING:	ymkn
     IS_TRANS:	ymkn
        INDEX:	P44W4
      OFFSETS:	16-20
       TOKENS:	P44W7-P44W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amokan_1]
   UNSPLITVOC:	(yimokin)
          POS:	IV3MS+IV
          VOC:	yi+mokin
        GLOSS:	he/it+be possible/make possible for

 INPUT STRING:	Hd
     IS_TRANS:	Hd
        INDEX:	P44W5
      OFFSETS:	21-23
       TOKENS:	P44W8-P44W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	متطرف
     IS_TRANS:	mtTrf
        INDEX:	P44W6
      OFFSETS:	24-29
       TOKENS:	P44W9-P44W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutaTar~if_1]
   UNSPLITVOC:	(mutaTar~if)
          POS:	ADJ
          VOC:	mutaTar~if
        GLOSS:	extremist/radical

 INPUT STRING:	عشأن
     IS_TRANS:	E$>n
        INDEX:	P44W7
      OFFSETS:	30-34
       TOKENS:	P44W10-P44W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs

 INPUT STRING:	hy
     IS_TRANS:	hy
        INDEX:	P44W8
      OFFSETS:	35-37
       TOKENS:	P44W12-P44W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	ارمنية
     IS_TRANS:	Armnyp
        INDEX:	P44W9
      OFFSETS:	38-44
       TOKENS:	P44W13-P44W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aromaniy~_2]
   UNSPLITVOC:	(>aromaniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	>aromaniy~+ap
        GLOSS:	Armenian+[fem.sg.]

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P45W1
      OFFSETS:	0-3
       TOKENS:	P45W1-P45W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	lw
     IS_TRANS:	lw
        INDEX:	P45W2
      OFFSETS:	4-6
       TOKENS:	P45W2-P45W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	عندها
     IS_TRANS:	EndhA
        INDEX:	P45W3
      OFFSETS:	7-12
       TOKENS:	P45W3-P45W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(EanodahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Eanod+hA
        GLOSS:	at/have/possession/with+its/their/her

 INPUT STRING:	ولاد
     IS_TRANS:	wlAd
        INDEX:	P45W4
      OFFSETS:	13-17
       TOKENS:	P45W5-P45W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(wilAd)
          POS:	NOUN
          VOC:	wilAd
        GLOSS:	child/son/children

 INPUT STRING:	حاولوا
     IS_TRANS:	HAwlwA
        INDEX:	P45W5
      OFFSETS:	18-24
       TOKENS:	P45W6-P45W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(HAwoluwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	HAwol+uwA
        GLOSS:	test/try/attempt/try out/test for ripeness/explore/invent/originate+you

 INPUT STRING:	تكلموهم
     IS_TRANS:	tklmwhm
        INDEX:	P45W6
      OFFSETS:	25-32
       TOKENS:	P45W7-P45W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(tikal~imuwhum)
          POS:	IV2P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3P
          VOC:	ti+kal~im+uwA+hum
        GLOSS:	you+talk/speak/talk to+we+them

 INPUT STRING:	عندها
     IS_TRANS:	EndhA
        INDEX:	P46W1
      OFFSETS:	0-5
       TOKENS:	P46W1-P46W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(EanodhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Eanod+hA
        GLOSS:	at/have/possession/with+its/their/her

 INPUT STRING:	ماهي
     IS_TRANS:	mAhy
        INDEX:	P47W1
      OFFSETS:	0-4
       TOKENS:	P47W1-P47W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hiy~A_1]
   UNSPLITVOC:	(mAhiy~A)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	mA+hiy~A
        GLOSS:	that+it/they/she

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P47W2
      OFFSETS:	5-7
       TOKENS:	P47W3-P47W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P47W3
      OFFSETS:	8-13
       TOKENS:	P47W4-P47W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	توصلهم
     IS_TRANS:	twSlhm
        INDEX:	P47W4
      OFFSETS:	14-20
       TOKENS:	P47W5-P47W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wisil_1]
   UNSPLITVOC:	(tiwoSal~ihum)
          POS:	IV3FS+IV+PREP+PRON_3P
          VOC:	ti+woSal+li+hum
        GLOSS:	it/they/she+arrive at/reach/connect+for/to+them

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P48W1
      OFFSETS:	0-3
       TOKENS:	P48W1-P48W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P48W2
      OFFSETS:	4-8
       TOKENS:	P48W2-P48W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	باقول
     IS_TRANS:	bAqwl
        INDEX:	P48W3
      OFFSETS:	9-14
       TOKENS:	P48W3-P48W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwl)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+quwl
        GLOSS:	[present-tense]+I+said/say/be said/(for example)

 INPUT STRING:	mmkn
     IS_TRANS:	mmkn
        INDEX:	P48W4
      OFFSETS:	15-19
       TOKENS:	P48W5-P48W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	ماتكونش
     IS_TRANS:	mAtkwn$
        INDEX:	P48W5
      OFFSETS:	20-27
       TOKENS:	P48W6-P48W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(mA_tikuwn$)
          POS:	NEG_PART+IV3FS+IV+NEG_PART
          VOC:	mA+ti+kuwn+$
        GLOSS:	not+it/they/she+be/was/were+not

 INPUT STRING:	سرقة
     IS_TRANS:	srqp
        INDEX:	P48W6
      OFFSETS:	28-32
       TOKENS:	P48W9-P48W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siroqap_1]
   UNSPLITVOC:	(siroqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siroq+ap
        GLOSS:	stealthily+[fem.sg.]

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P48W7
      OFFSETS:	33-37
       TOKENS:	P48W10-P48W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become/begin/start/be/begin a new day

 INPUT STRING:	حاولى
     IS_TRANS:	HAwlY
        INDEX:	P48W8
      OFFSETS:	38-43
       TOKENS:	P48W11-P48W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(HAwoliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	HAwol+iy
        GLOSS:	test/try/attempt/try out/test for ripeness/explore/invent/originate+you

 INPUT STRING:	تاخذي
     IS_TRANS:	tAx*y
        INDEX:	P48W9
      OFFSETS:	44-49
       TOKENS:	P48W12-P48W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>axa*_1]
   UNSPLITVOC:	(ta>oxudiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ta+>oxu*+iy
        GLOSS:	you [fem.sg.]+take/begin+[fem.sg.]

 INPUT STRING:	Hd
     IS_TRANS:	Hd
        INDEX:	P48W10
      OFFSETS:	50-52
       TOKENS:	P48W13-P48W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	وروحوا
     IS_TRANS:	wrwHwA
        INDEX:	P48W11
      OFFSETS:	53-59
       TOKENS:	P48W14-P48W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(wiruwHuwA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2P
          VOC:	wi+ruwH+uwA
        GLOSS:	and+begin/go+you

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P48W12
      OFFSETS:	60-62
       TOKENS:	P48W16-P48W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P48W13
      OFFSETS:	63-65
       TOKENS:	P48W17-P48W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they [masc.pl]/they

 INPUT STRING:	يروحوا
     IS_TRANS:	yrwHwA
        INDEX:	P48W14
      OFFSETS:	66-72
       TOKENS:	P48W18-P48W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(yiruwHuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+ruwH+uwA
        GLOSS:	they+begin/go+they

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P49W1
      OFFSETS:	0-3
       TOKENS:	P49W1-P49W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	HAsp
     IS_TRANS:	HAsp
        INDEX:	P49W2
      OFFSETS:	4-8
       TOKENS:	P49W2-P49W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAsis_1]
   UNSPLITVOC:	(HAs~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	HAs~+ap
        GLOSS:	feeling+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P49W3
      OFFSETS:	9-12
       TOKENS:	P49W3-P49W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	bs
     IS_TRANS:	bs
        INDEX:	P50W1
      OFFSETS:	0-2
       TOKENS:	P50W1-P50W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	مامي
     IS_TRANS:	mAmy
        INDEX:	P50W2
      OFFSETS:	3-7
       TOKENS:	P50W2-P50W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	mAm+iy
        GLOSS:	mama+my

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P50W3
      OFFSETS:	8-13
       TOKENS:	P50W4-P50W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwl)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+quwl
        GLOSS:	[present-tense]+it/they/she+said/say/be said/(for example)

 INPUT STRING:	منزل
     IS_TRANS:	mnzl
        INDEX:	P50W4
      OFFSETS:	14-18
       TOKENS:	P50W6-P50W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[minaz~il_1]
   UNSPLITVOC:	(minaz~il)
          POS:	ADJ
          VOC:	minaz~il
        GLOSS:	unloading/lowering

 INPUT STRING:	kl
     IS_TRANS:	kl
        INDEX:	P50W5
      OFFSETS:	19-21
       TOKENS:	P50W7-P50W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P50W6
      OFFSETS:	22-26
       TOKENS:	P50W8-P50W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(Aill~iy)
          POS:	REL_PRON
          VOC:	Aill~iy
        GLOSS:	who/which/that

 INPUT STRING:	fy
     IS_TRANS:	fy
        INDEX:	P50W7
      OFFSETS:	27-29
       TOKENS:	P50W9-P50W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	الدولاب
     IS_TRANS:	AldwlAb
        INDEX:	P50W8
      OFFSETS:	30-37
       TOKENS:	P50W11-P50W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwlAb_1]
   UNSPLITVOC:	(AlduwlAb)
          POS:	DET+NOUN
          VOC:	Al+duwlAb
        GLOSS:	the+wheel/tire/gear/wheels/tires/gears

 INPUT STRING:	E
     IS_TRANS:	E
        INDEX:	P50W9
      OFFSETS:	38-39
       TOKENS:	P50W12-P50W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الأرض
     IS_TRANS:	Al>rD
        INDEX:	P50W10
      OFFSETS:	40-45
       TOKENS:	P50W13-P50W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aroD_1]
   UNSPLITVOC:	(Al>aroD)
          POS:	DET+NOUN
          VOC:	Al+>aroD
        GLOSS:	the+earth/territory/land/territories/lands

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P51W1
      OFFSETS:	0-3
       TOKENS:	P51W1-P51W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	اسمها
     IS_TRANS:	AsmhA
        INDEX:	P51W2
      OFFSETS:	4-9
       TOKENS:	P51W2-P51W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(AisomahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Aisom+hA
        GLOSS:	name/names+its/their/her

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P51W3
      OFFSETS:	10-13
       TOKENS:	P51W4-P51W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	الست
     IS_TRANS:	Alst
        INDEX:	P51W4
      OFFSETS:	14-18
       TOKENS:	P51W5-P51W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sit~_1]
   UNSPLITVOC:	(Alsit~)
          POS:	DET+NOUN
          VOC:	Al+sit~
        GLOSS:	the+lady/miss/ladies/misses

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P51W5
      OFFSETS:	19-21
       TOKENS:	P51W6-P51W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P51W6
      OFFSETS:	21-22
       TOKENS:	P51W7-P51W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P51W7
      OFFSETS:	22-23
       TOKENS:	P51W8-P51W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
