 INPUT STRING:	سيقي
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	أحسره
     IS_TRANS:	>Hsrh
        INDEX:	P39W19
      OFFSETS:	84-89
       TOKENS:	P39W22-P39W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(>Hsrh)
          POS:	TYPO
          VOC:	>Hsrh
        GLOSS:	nogloss

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P39W20
      OFFSETS:	90-93
       TOKENS:	P39W23-P39W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not/non-

 INPUT STRING:	أوجع
     IS_TRANS:	>wjE
        INDEX:	P39W21
      OFFSETS:	94-98
       TOKENS:	P39W25-P39W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajaE_1]
   UNSPLITVOC:	(AawojaE)
          POS:	IV1S+IV
          VOC:	Aa+wojaE
        GLOSS:	I+pain/suffer/ache/hurt

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P39W22
      OFFSETS:	99-101
       TOKENS:	P39W26-P39W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+him/it

 INPUT STRING:	قلبه
     IS_TRANS:	qlbh
        INDEX:	P39W23
      OFFSETS:	102-106
       TOKENS:	P39W28-P39W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(qalobuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	qalob+uh
        GLOSS:	overthrowing/toppling/reversal/inversion/heart/center/essence/hearts+his/its

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P40W1
      OFFSETS:	0-2
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>w)
          POS:	FOREIGN
          VOC:	>w
        GLOSS:	nogloss

 INPUT STRING:	أعمل
     IS_TRANS:	>Eml
        INDEX:	P40W2
      OFFSETS:	3-7
       TOKENS:	P40W2-P40W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AaEomil)
          POS:	IV1S+IV
          VOC:	Aa+Eomil
        GLOSS:	I+function/make/act/do

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P40W3
      OFFSETS:	8-11
       TOKENS:	P40W3-P40W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P41W1
      OFFSETS:	0-2
       TOKENS:	P41W1-P41W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lA)
          POS:	FOREIGN
          VOC:	lA
        GLOSS:	nogloss

 INPUT STRING:	ريال
     IS_TRANS:	ryAl
        INDEX:	P41W2
      OFFSETS:	3-7
       TOKENS:	P41W2-P41W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(ryAl)
          POS:	FOREIGN
          VOC:	ryAl
        GLOSS:	nogloss

 INPUT STRING:	حر
     IS_TRANS:	Hr
        INDEX:	P41W3
      OFFSETS:	8-10
       TOKENS:	P41W3-P41W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Hr)
          POS:	FOREIGN
          VOC:	Hr
        GLOSS:	nogloss

 INPUT STRING:	كومي
     IS_TRANS:	kwmy
        INDEX:	P41W4
      OFFSETS:	11-15
       TOKENS:	P41W4-P41W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwmy)
          POS:	FOREIGN
          VOC:	kwmy
        GLOSS:	nogloss

 INPUT STRING:	فروم
     IS_TRANS:	frwm
        INDEX:	P41W5
      OFFSETS:	16-20
       TOKENS:	P41W5-P41W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(frwm)
          POS:	FOREIGN
          VOC:	frwm
        GLOSS:	nogloss

 INPUT STRING:	هوبين
     IS_TRANS:	hwbyn
        INDEX:	P41W6
      OFFSETS:	21-26
       TOKENS:	P41W6-P41W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(hwbyn)
          POS:	FOREIGN
          VOC:	hwbyn
        GLOSS:	nogloss

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P41W7
      OFFSETS:	27-30
       TOKENS:	P41W7-P41W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(End)
          POS:	FOREIGN
          VOC:	End
        GLOSS:	nogloss

 INPUT STRING:	حنجينغ
     IS_TRANS:	Hnjyng
        INDEX:	P41W8
      OFFSETS:	31-37
       TOKENS:	P41W8-P41W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Hnjyng)
          POS:	FOREIGN
          VOC:	Hnjyng
        GLOSS:	nogloss

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P41W9
      OFFSETS:	38-39
       TOKENS:	P41W9-P41W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fa_1]
   UNSPLITVOC:	(fa)
          POS:	CONJ
          VOC:	fa
        GLOSS:	and/so

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P41W10
      OFFSETS:	40-42
       TOKENS:	P41W10-P41W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lA)
          POS:	FOREIGN
          VOC:	lA
        GLOSS:	nogloss

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P41W11
      OFFSETS:	43-45
       TOKENS:	P41W11-P41W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>n)
          POS:	FOREIGN
          VOC:	>n
        GLOSS:	nogloss

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P41W12
      OFFSETS:	46-48
       TOKENS:	P41W12-P41W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(ly)
          POS:	FOREIGN
          VOC:	ly
        GLOSS:	nogloss

 INPUT STRING:	ريال
     IS_TRANS:	ryAl
        INDEX:	P41W13
      OFFSETS:	49-53
       TOKENS:	P41W13-P41W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(ryAl)
          POS:	FOREIGN
          VOC:	ryAl
        GLOSS:	nogloss

 INPUT STRING:	سولوتيون
     IS_TRANS:	swlwtywn
        INDEX:	P41W14
      OFFSETS:	54-62
       TOKENS:	P41W14-P41W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(swlwtywn)
          POS:	FOREIGN
          VOC:	swlwtywn
        GLOSS:	nogloss

 INPUT STRING:	أس
     IS_TRANS:	>s
        INDEX:	P41W15
      OFFSETS:	63-65
       TOKENS:	P41W15-P41W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>s)
          POS:	FOREIGN
          VOC:	>s
        GLOSS:	nogloss

 INPUT STRING:	كوهسنغ
     IS_TRANS:	kwhsng
        INDEX:	P41W16
      OFFSETS:	66-72
       TOKENS:	P41W16-P41W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwhsng)
          POS:	FOREIGN
          VOC:	kwhsng
        GLOSS:	nogloss

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P41W17
      OFFSETS:	73-76
       TOKENS:	P41W17-P41W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(End)
          POS:	FOREIGN
          VOC:	End
        GLOSS:	nogloss

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P41W18
      OFFSETS:	77-80
       TOKENS:	P41W18-P41W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(byn)
          POS:	FOREIGN
          VOC:	byn
        GLOSS:	nogloss

 INPUT STRING:	حنست
     IS_TRANS:	Hnst
        INDEX:	P41W19
      OFFSETS:	81-85
       TOKENS:	P41W19-P41W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Hnst)
          POS:	FOREIGN
          VOC:	Hnst
        GLOSS:	nogloss

 INPUT STRING:	فيت
     IS_TRANS:	fyt
        INDEX:	P41W20
      OFFSETS:	86-89
       TOKENS:	P41W20-P41W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fyt)
          POS:	FOREIGN
          VOC:	fyt
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P41W21
      OFFSETS:	90-92
       TOKENS:	P41W21-P41W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lA)
          POS:	FOREIGN
          VOC:	lA
        GLOSS:	nogloss

 INPUT STRING:	سوموني
     IS_TRANS:	swmwny
        INDEX:	P41W22
      OFFSETS:	93-99
       TOKENS:	P41W22-P41W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(swmwny)
          POS:	FOREIGN
          VOC:	swmwny
        GLOSS:	nogloss

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P41W23
      OFFSETS:	100-103
       TOKENS:	P41W23-P41W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(whw)
          POS:	FOREIGN
          VOC:	whw
        GLOSS:	nogloss

 INPUT STRING:	وونعت
     IS_TRANS:	wwnEt
        INDEX:	P41W24
      OFFSETS:	104-109
       TOKENS:	P41W24-P41W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wwnEt)
          POS:	FOREIGN
          VOC:	wwnEt
        GLOSS:	nogloss

 INPUT STRING:	كوس
     IS_TRANS:	kws
        INDEX:	P41W25
      OFFSETS:	110-113
       TOKENS:	P41W25-P41W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kws)
          POS:	FOREIGN
          VOC:	kws
        GLOSS:	nogloss

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P42W1
      OFFSETS:	0-2
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P42W2
      OFFSETS:	3-6
       TOKENS:	P42W2-P42W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	هأقول
     IS_TRANS:	h>qwl
        INDEX:	P42W3
      OFFSETS:	7-12
       TOKENS:	P42W3-P42W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(ha>aquwl)
          POS:	FUT_PART+IV1S+IV
          VOC:	ha+>a+quwl
        GLOSS:	will+I+say

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P42W4
      OFFSETS:	13-15
       TOKENS:	P42W5-P42W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+him/it

 INPUT STRING:	إزاي
     IS_TRANS:	<zAy
        INDEX:	P42W5
      OFFSETS:	16-20
       TOKENS:	P42W7-P42W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_2]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	REL_ADV
          VOC:	Aiz~Ay
        GLOSS:	how

 INPUT STRING:	إذا
     IS_TRANS:	<*A
        INDEX:	P42W6
      OFFSETS:	21-24
       TOKENS:	P42W8-P42W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	whether/If/whenever/when

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P42W7
      OFFSETS:	25-28
       TOKENS:	P42W9-P42W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	متكلمش
     IS_TRANS:	mtklm$
        INDEX:	P42W8
      OFFSETS:	29-35
       TOKENS:	P42W10-P42W10
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mtklm$)
          POS:	NO_FUNC
          VOC:	mtklm$
        GLOSS:	nogloss

 INPUT STRING:	فاهم
     IS_TRANS:	fAhm
        INDEX:	P42W9
      OFFSETS:	36-40
       TOKENS:	P42W11-P42W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAhim_1]
   UNSPLITVOC:	(fAhim)
          POS:	ADJ
          VOC:	fAhim
        GLOSS:	understanding

 INPUT STRING:	يأس
     IS_TRANS:	y>s
        INDEX:	P43W1
      OFFSETS:	0-3
       TOKENS:	P43W1-P43W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(y>s)
          POS:	FOREIGN
          VOC:	y>s
        GLOSS:	nogloss

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P44W1
      OFFSETS:	0-4
       TOKENS:	P44W1-P44W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P44W2
      OFFSETS:	5-7
       TOKENS:	P44W2-P44W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	متكلمش
     IS_TRANS:	mtklm$
        INDEX:	P44W3
      OFFSETS:	8-14
       TOKENS:	P44W3-P44W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mtklm$)
          POS:	NO_FUNC
          VOC:	mtklm$
        GLOSS:	nogloss

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P44W4
      OFFSETS:	15-19
       TOKENS:	P44W4-P44W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become/begin/start/be/begin a new day

 INPUT STRING:	راحت
     IS_TRANS:	rAHt
        INDEX:	P44W5
      OFFSETS:	20-24
       TOKENS:	P44W5-P44W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(rAHit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	rAH+it
        GLOSS:	begin/go+it/they/she

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P44W6
      OFFSETS:	25-29
       TOKENS:	P44W6-P44W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealiyh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+him/it

 INPUT STRING:	يأس
     IS_TRANS:	y>s
        INDEX:	P45W1
      OFFSETS:	0-3
       TOKENS:	P45W1-P45W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(y>s)
          POS:	FOREIGN
          VOC:	y>s
        GLOSS:	nogloss

 INPUT STRING:	مهو
     IS_TRANS:	mhw
        INDEX:	P46W1
      OFFSETS:	0-3
       TOKENS:	P46W1-P46W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(mahuw)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	mA+huw~a
        GLOSS:	that+he/it

 INPUT STRING:	أصله
     IS_TRANS:	>Slh
        INDEX:	P46W2
      OFFSETS:	4-8
       TOKENS:	P46W3-P46W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSoluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>aSol+uh
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+his/its

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P46W3
      OFFSETS:	9-11
       TOKENS:	P46W5-P46W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	قدامه
     IS_TRANS:	qdAmh
        INDEX:	P46W4
      OFFSETS:	12-17
       TOKENS:	P46W6-P46W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qud~Am_1]
   UNSPLITVOC:	(qud~Amuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	qud~Am+uh
        GLOSS:	front/in front of+his/its

 INPUT STRING:	ليكي
     IS_TRANS:	lyky
        INDEX:	P46W5
      OFFSETS:	18-22
       TOKENS:	P46W8-P46W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lyky)
          POS:	FOREIGN
          VOC:	lyky
        GLOSS:	nogloss

 INPUT STRING:	4
     IS_TRANS:	4
        INDEX:	P46W6
      OFFSETS:	23-24
       TOKENS:	P46W9-P46W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(4)
          POS:	NOUN_NUM
          VOC:	4
        GLOSS:	4

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P46W7
      OFFSETS:	25-27
       TOKENS:	P46W10-P46W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(yA)
          POS:	FOREIGN
          VOC:	yA
        GLOSS:	nogloss

 INPUT STRING:	رز
     IS_TRANS:	rz
        INDEX:	P46W8
      OFFSETS:	28-30
       TOKENS:	P46W11-P46W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(rz)
          POS:	FOREIGN
          VOC:	rz
        GLOSS:	nogloss

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P46W9
      OFFSETS:	31-34
       TOKENS:	P46W12-P46W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	حياها
     IS_TRANS:	HyAhA
        INDEX:	P46W10
      OFFSETS:	35-40
       TOKENS:	P46W13-P46W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(HyAhA)
          POS:	TYPO
          VOC:	HyAhA
        GLOSS:	nogloss

 INPUT STRING:	تروي
     IS_TRANS:	trwy
        INDEX:	P47W1
      OFFSETS:	0-4
       TOKENS:	P47W1-P47W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(trwy)
          POS:	FOREIGN
          VOC:	trwy
        GLOSS:	nogloss

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P47W2
      OFFSETS:	5-8
       TOKENS:	P47W2-P47W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P47W3
      OFFSETS:	9-12
       TOKENS:	P47W3-P47W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(End)
          POS:	FOREIGN
          VOC:	End
        GLOSS:	nogloss

 INPUT STRING:	للأسف
     IS_TRANS:	ll>sf
        INDEX:	P47W4
      OFFSETS:	13-18
       TOKENS:	P47W4-P47W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(lil>asaf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>asaf
        GLOSS:	for/to+the+regret/sorry

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P47W5
      OFFSETS:	19-21
       TOKENS:	P47W6-P47W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ay)
          POS:	FOREIGN
          VOC:	Ay
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P47W6
      OFFSETS:	22-24
       TOKENS:	P47W7-P47W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fy)
          POS:	FOREIGN
          VOC:	fy
        GLOSS:	nogloss

 INPUT STRING:	ليرن
     IS_TRANS:	lyrn
        INDEX:	P47W7
      OFFSETS:	25-29
       TOKENS:	P47W8-P47W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lyrn)
          POS:	FOREIGN
          VOC:	lyrn
        GLOSS:	nogloss

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P47W8
      OFFSETS:	30-33
       TOKENS:	P47W9-P47W9
