 INPUT STRING:	واقف
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiyh)
          POS:	CONJ+PREP+PRON_3MS
          VOC:	wi+fiy+uh
        GLOSS:	and+in+him/it

 INPUT STRING:	رنا
     IS_TRANS:	rnA
        INDEX:	P40W12
      OFFSETS:	52-55
       TOKENS:	P40W17-P40W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ranA_1]
   UNSPLITVOC:	(ranA)
          POS:	NOUN_PROP
          VOC:	ranA
        GLOSS:	Rana

 INPUT STRING:	وليلى
     IS_TRANS:	wlylY
        INDEX:	P40W13
      OFFSETS:	56-61
       TOKENS:	P40W18-P40W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laylaY_1]
   UNSPLITVOC:	(wilaylaY)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+laylaY
        GLOSS:	and+Leila/Laila/Layla

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P40W14
      OFFSETS:	62-65
       TOKENS:	P40W20-P40W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwl_1]
   UNSPLITVOC:	(duwl)
          POS:	DEM_PRON_P
          VOC:	duwl
        GLOSS:	these/those

 INPUT STRING:	السيريوس
     IS_TRANS:	Alsyryws
        INDEX:	P40W15
      OFFSETS:	66-74
       TOKENS:	P40W21-P40W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alsyryws)
          POS:	FOREIGN
          VOC:	Alsyryws
        GLOSS:	nogloss

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P41W1
      OFFSETS:	0-2
       TOKENS:	P41W1-P41W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P41W2
      OFFSETS:	3-6
       TOKENS:	P41W2-P41W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P41W3
      OFFSETS:	7-10
       TOKENS:	P41W3-P41W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	فلاير
     IS_TRANS:	flAyr
        INDEX:	P41W4
      OFFSETS:	11-16
       TOKENS:	P41W4-P41W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(flAyr)
          POS:	FOREIGN
          VOC:	flAyr
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P41W5
      OFFSETS:	16-17
       TOKENS:	P41W5-P41W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P41W6
      OFFSETS:	18-20
       TOKENS:	P41W6-P41W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	تبت
     IS_TRANS:	tbt
        INDEX:	P41W7
      OFFSETS:	21-24
       TOKENS:	P41W7-P41W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAb_1]
   UNSPLITVOC:	(tubt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	tub+t
        GLOSS:	repent+I

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P41W8
      OFFSETS:	25-26
       TOKENS:	P41W8-P41W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P42W1
      OFFSETS:	0-2
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P42W2
      OFFSETS:	3-5
       TOKENS:	P42W2-P42W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بأقول
     IS_TRANS:	b>qwl
        INDEX:	P42W3
      OFFSETS:	6-11
       TOKENS:	P42W3-P42W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwl)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+quwl
        GLOSS:	[present-tense]+I+said/say/be said/(for example)

 INPUT STRING:	لوناس
     IS_TRANS:	lwnAs
        INDEX:	P42W4
      OFFSETS:	12-17
       TOKENS:	P42W5-P42W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(lwnAs)
          POS:	TYPO
          VOC:	lwnAs
        GLOSS:	nogloss

 INPUT STRING:	كثير
     IS_TRANS:	kvyr
        INDEX:	P42W5
      OFFSETS:	18-22
       TOKENS:	P42W6-P42W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiviyr_1]
   UNSPLITVOC:	(kiviyr)
          POS:	ADJ
          VOC:	kiviyr
        GLOSS:	very/much/numerous/so much/a lot/more/alot/many

 INPUT STRING:	عشأن
     IS_TRANS:	E$>n
        INDEX:	P42W6
      OFFSETS:	23-27
       TOKENS:	P42W7-P42W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(E$>n)
          POS:	TYPO
          VOC:	E$>n
        GLOSS:	nogloss

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P42W7
      OFFSETS:	28-33
       TOKENS:	P42W8-P42W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(AlnAs)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	بيت-
     IS_TRANS:	byt-
        INDEX:	P42W8
      OFFSETS:	34-38
       TOKENS:	P42W9-P42W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(byt-)
          POS:	TYPO
          VOC:	byt-
        GLOSS:	nogloss

 INPUT STRING:	يوجي
     IS_TRANS:	ywjy
        INDEX:	P42W9
      OFFSETS:	39-43
       TOKENS:	P42W10-P42W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(ywjy)
          POS:	FOREIGN
          VOC:	ywjy
        GLOSS:	nogloss

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P43W1
      OFFSETS:	0-4
       TOKENS:	P43W1-P43W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	الصراحة
     IS_TRANS:	AlSrAHp
        INDEX:	P44W1
      OFFSETS:	0-7
       TOKENS:	P44W1-P44W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(AlSarAHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+SarAH+ap
        GLOSS:	the+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	حلوة
     IS_TRANS:	Hlwp
        INDEX:	P44W2
      OFFSETS:	8-12
       TOKENS:	P44W2-P44W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hilow+ap
        GLOSS:	sweet/pleasant+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P45W1
      OFFSETS:	0-2
       TOKENS:	P45W1-P45W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	قرفت
     IS_TRANS:	qrft
        INDEX:	P45W2
      OFFSETS:	3-7
       TOKENS:	P45W2-P45W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qirif_1]
   UNSPLITVOC:	(qirift)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qirif+t
        GLOSS:	be disgusted+I

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P45W3
      OFFSETS:	8-10
       TOKENS:	P45W3-P45W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	نفسي
     IS_TRANS:	nfsy
        INDEX:	P45W4
      OFFSETS:	11-15
       TOKENS:	P45W4-P45W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nafos+iy
        GLOSS:	same/self/selves/soul/souls+my

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P46W1
      OFFSETS:	0-2
       TOKENS:	P46W1-P46W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	إكيد
     IS_TRANS:	<kyd
        INDEX:	P46W2
      OFFSETS:	3-7
       TOKENS:	P46W2-P46W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite/certainly/surely/definitely

 INPUT STRING:	أحسن
     IS_TRANS:	>Hsn
        INDEX:	P46W3
      OFFSETS:	8-12
       TOKENS:	P46W3-P46W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(>aHosan)
          POS:	ADJ_COMP
          VOC:	>aHosan
        GLOSS:	better/best

 INPUT STRING:	وحش
     IS_TRANS:	wH$
        INDEX:	P46W4
      OFFSETS:	13-16
       TOKENS:	P46W4-P46W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiHi$_1]
   UNSPLITVOC:	(wiHi$)
          POS:	ADJ
          VOC:	wiHi$
        GLOSS:	wicked/evil/bad guy (film)/bad

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P46W5
      OFFSETS:	17-20
       TOKENS:	P46W5-P46W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P47W1
      OFFSETS:	0-4
       TOKENS:	P47W1-P47W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	بتحبي
     IS_TRANS:	btHby
        INDEX:	P47W2
      OFFSETS:	5-10
       TOKENS:	P47W2-P47W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(bitiHib~iy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+Hib~+iy
        GLOSS:	[present-tense]+you+love/like/want+you

 INPUT STRING:	تمسكي
     IS_TRANS:	tmsky
        INDEX:	P47W3
      OFFSETS:	11-16
       TOKENS:	P47W4-P47W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misik_1]
   UNSPLITVOC:	(timosikiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+mosik+iy
        GLOSS:	you+refrain from/ceize/hold/seize+you

 INPUT STRING:	إيد
     IS_TRANS:	<yd
        INDEX:	P47W4
      OFFSETS:	17-20
       TOKENS:	P47W5-P47W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(<iyd)
          POS:	NOUN
          VOC:	<iyd
        GLOSS:	hands/hand

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P47W5
      OFFSETS:	21-25
       TOKENS:	P47W6-P47W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	بتحبيه
     IS_TRANS:	btHbyh
        INDEX:	P47W6
      OFFSETS:	26-32
       TOKENS:	P47W7-P47W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(bitiHib~iyh)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:3MS
          VOC:	bi+ti+Hib~+iy+uh
        GLOSS:	[present-tense]+you+love/like/want+you+it/him

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P47W7
      OFFSETS:	33-36
       TOKENS:	P47W10-P47W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P47W8
      OFFSETS:	37-39
       TOKENS:	P47W11-P47W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بتحبي
     IS_TRANS:	btHby
        INDEX:	P47W9
      OFFSETS:	40-45
       TOKENS:	P47W12-P47W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(bitiHib~iy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+Hib~+iy
        GLOSS:	[present-tense]+you+love/like/want+you

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P47W10
      OFFSETS:	46-49
       TOKENS:	P47W14-P47W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P48W1
      OFFSETS:	0-2
       TOKENS:	P48W1-P48W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P48W2
      OFFSETS:	3-5
       TOKENS:	P48W2-P48W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بأحب
     IS_TRANS:	b>Hb
        INDEX:	P48W3
      OFFSETS:	6-10
       TOKENS:	P48W3-P48W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(bAaHib~)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+Hib~
        GLOSS:	[present-tense]+I+love/like/want

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P48W4
      OFFSETS:	11-15
       TOKENS:	P48W5-P48W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	pure/clear/sincere

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P48W5
      OFFSETS:	16-18
       TOKENS:	P48W6-P48W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	أعرفش
     IS_TRANS:	>Erf$
        INDEX:	P48W6
      OFFSETS:	19-24
       TOKENS:	P48W7-P48W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(AaEoraf$)
          POS:	IV1S+IV+NEG_PART
          VOC:	Aa+Eoraf+$
        GLOSS:	I+know+not

 INPUT STRING:	حتقول
     IS_TRANS:	Htqwl
        INDEX:	P48W7
      OFFSETS:	25-30
       TOKENS:	P48W9-P48W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Hatiquwl)
          POS:	FUT_PART+IV2MS+IV
          VOC:	Ha+ti+quwl
        GLOSS:	will+you+said/say/be said/(for example)

 INPUT STRING:	عليا
     IS_TRANS:	ElyA
        INDEX:	P48W8
      OFFSETS:	31-35
       TOKENS:	P48W11-P48W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealay~A)
          POS:	PREP+PRON_1S
          VOC:	EalaY+iy
        GLOSS:	on/above+me

 INPUT STRING:	معقدة
     IS_TRANS:	mEqdp
        INDEX:	P48W9
      OFFSETS:	36-41
       TOKENS:	P48W13-P48W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEaq~ad_1]
   UNSPLITVOC:	(muEaq~adap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muEaq~ad+ap
        GLOSS:	complicated/intricate+[fem.sg.]

 INPUT STRING:	وش
     IS_TRANS:	w$
        INDEX:	P48W10
      OFFSETS:	42-44
       TOKENS:	P48W14-P48W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi$~_1]
   UNSPLITVOC:	(wi$~)
          POS:	NOUN
          VOC:	wi$~
        GLOSS:	faces

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P48W11
      OFFSETS:	45-47
       TOKENS:	P48W15-P48W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P48W12
      OFFSETS:	48-50
       TOKENS:	P48W16-P48W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ay)
          POS:	FOREIGN
          VOC:	Ay
        GLOSS:	nogloss

 INPUT STRING:	فرفر
     IS_TRANS:	frfr
        INDEX:	P48W13
      OFFSETS:	51-55
       TOKENS:	P48W17-P48W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(frfr)
          POS:	FOREIGN
          VOC:	frfr
        GLOSS:	nogloss

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P48W14
      OFFSETS:	56-59
       TOKENS:	P48W18-P48W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	يحصل
     IS_TRANS:	yHSl
        INDEX:	P48W15
      OFFSETS:	60-64
       TOKENS:	P48W19-P48W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(yiHoSal)
          POS:	IV3MS+IV
          VOC:	yi+HoSal
        GLOSS:	he/it+obtain/acquire/get/be obtained/be acquired/occur/happen/take place

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P48W16
      OFFSETS:	65-69
       TOKENS:	P48W20-P48W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	رسمي
     IS_TRANS:	rsmy
        INDEX:	P48W17
      OFFSETS:	70-74
       TOKENS:	P48W21-P48W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasomiy_1]
   UNSPLITVOC:	(rasomiy)
          POS:	ADJ
          VOC:	rasomiy
        GLOSS:	official/formal

 INPUT STRING:	أحسن
     IS_TRANS:	>Hsn
        INDEX:	P48W18
      OFFSETS:	75-79
       TOKENS:	P48W22-P48W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(>aHosan)
          POS:	ADJ_COMP
          VOC:	>aHosan
        GLOSS:	better/best

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P49W1
      OFFSETS:	0-2
       TOKENS:	P49W1-P49W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P49W2
      OFFSETS:	2-3
       TOKENS:	P49W2-P49W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P49W3
      OFFSETS:	4-6
       TOKENS:	P49W3-P49W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	باحب
     IS_TRANS:	bAHb
        INDEX:	P49W4
      OFFSETS:	7-11
       TOKENS:	P49W4-P49W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(bAaHib~)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+Hib~
        GLOSS:	[present-tense]+I+love/like/want

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P49W5
