 INPUT STRING:	معلش
 INPUT STRING:	تقعد
     IS_TRANS:	tqEd
        INDEX:	P15W10
      OFFSETS:	42-46
       TOKENS:	P15W17-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(tiqoEud)
          POS:	IV2MS+IV
          VOC:	ti+qoEud
        GLOSS:	you+sit down/be seated/remain

 INPUT STRING:	سنتين
     IS_TRANS:	sntyn
        INDEX:	P15W11
      OFFSETS:	47-52
       TOKENS:	P15W18-P15W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanatiyn)
          POS:	NOUN+NSUFF_FEM_DU
          VOC:	san+atiyn
        GLOSS:	year/years+two

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P15W12
      OFFSETS:	53-55
       TOKENS:	P15W19-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ألكس
     IS_TRANS:	>lks
        INDEX:	P15W13
      OFFSETS:	56-60
       TOKENS:	P15W20-P15W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>lks)
          POS:	FOREIGN
          VOC:	>lks
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P15W14
      OFFSETS:	61-62
       TOKENS:	P15W21-P15W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P15W15
      OFFSETS:	62-63
       TOKENS:	P15W22-P15W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P15W16
      OFFSETS:	63-64
       TOKENS:	P15W23-P15W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P15W17
      OFFSETS:	64-65
       TOKENS:	P15W24-P15W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وانت
     IS_TRANS:	wAnt
        INDEX:	P15W18
      OFFSETS:	66-70
       TOKENS:	P15W25-P15W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(wiAinota)
          POS:	CONJ+PRON_2MS
          VOC:	wi+Ainota
        GLOSS:	and+you [masc.sg.]/you/masculine

 INPUT STRING:	راجل
     IS_TRANS:	rAjl
        INDEX:	P15W19
      OFFSETS:	71-75
       TOKENS:	P15W27-P15W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(rAjil)
          POS:	NOUN
          VOC:	rAjil
        GLOSS:	man/men/pedestrian/pedestrians

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P15W20
      OFFSETS:	76-77
       TOKENS:	P15W28-P15W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P15W21
      OFFSETS:	77-78
       TOKENS:	P15W29-P15W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P16W1
      OFFSETS:	0-1
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P16W2
      OFFSETS:	1-2
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P16W3
      OFFSETS:	2-3
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P16W4
      OFFSETS:	3-4
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	أمال
     IS_TRANS:	>mAl
        INDEX:	P16W5
      OFFSETS:	5-9
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~Al_1]
   UNSPLITVOC:	(>um~Al)
          POS:	ADV
          VOC:	>um~Al
        GLOSS:	then

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P16W6
      OFFSETS:	10-13
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	البنت
     IS_TRANS:	Albnt
        INDEX:	P16W7
      OFFSETS:	14-19
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(Albinot)
          POS:	DET+NOUN
          VOC:	Al+binot
        GLOSS:	the+daughter/girl/daughters/girls

 INPUT STRING:	هأعمل
     IS_TRANS:	h>Eml
        INDEX:	P16W8
      OFFSETS:	20-25
       TOKENS:	P16W8-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(ha>aEmil)
          POS:	FUT_PART+IV1S+IV
          VOC:	ha+>a+Emil
        GLOSS:	will+I+do/act

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P16W9
      OFFSETS:	26-29
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P16W10
      OFFSETS:	30-31
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P16W11
      OFFSETS:	31-32
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P16W12
      OFFSETS:	32-33
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	حسيب
     IS_TRANS:	Hsyb
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(HaAasiyb)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+siyb
        GLOSS:	will+I+flow/neglect

 INPUT STRING:	أهلي
     IS_TRANS:	>hly
        INDEX:	P17W2
      OFFSETS:	5-9
       TOKENS:	P17W3-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>aholiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>ahol+iy
        GLOSS:	family/people/families/folk/indigenous people/qualified/welcome!+my

 INPUT STRING:	وصحابي
     IS_TRANS:	wSHAby
        INDEX:	P17W3
      OFFSETS:	10-16
       TOKENS:	P17W5-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(wiSuHAbiy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wi+SuHAb+iy
        GLOSS:	and+owner/originator/owners/originators/friend/companion/friends/companions+my

 INPUT STRING:	وبلدي
     IS_TRANS:	wbldy
        INDEX:	P17W4
      OFFSETS:	17-22
       TOKENS:	P17W8-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(wibaladiy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wi+balad+iy
        GLOSS:	and+country/countries+my

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P17W5
      OFFSETS:	23-27
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	بأحبها
     IS_TRANS:	b>HbhA
        INDEX:	P17W6
      OFFSETS:	28-34
       TOKENS:	P17W12-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(bAaHib~ahA)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3FS
          VOC:	bi+Aa+Hib~+hA
        GLOSS:	[present-tense]+I+love/like/want+it/them/her

 INPUT STRING:	وهأنقل
     IS_TRANS:	wh>nql
        INDEX:	P17W7
      OFFSETS:	35-41
       TOKENS:	P17W15-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naqal_1]
   UNSPLITVOC:	(wiha>anqil)
          POS:	CONJ+FUT_PART+IV1S+IV
          VOC:	wi+ha+>a+nqil
        GLOSS:	and+will+I+transfer

 INPUT STRING:	شغلي
     IS_TRANS:	$gly
        INDEX:	P17W8
      OFFSETS:	42-46
       TOKENS:	P17W18-P17W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	($ugoliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	$ugol+iy
        GLOSS:	work/activity/occupation/labor/business+my

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P17W9
      OFFSETS:	47-51
       TOKENS:	P17W20-P17W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P17W10
      OFFSETS:	52-53
       TOKENS:	P17W21-P17W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P17W11
      OFFSETS:	53-54
       TOKENS:	P17W22-P17W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P17W12
      OFFSETS:	54-55
       TOKENS:	P17W23-P17W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P18W1
      OFFSETS:	0-3
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/(for example)+he/it

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P18W2
      OFFSETS:	4-6
       TOKENS:	P18W2-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+me/I

 INPUT STRING:	أسس
     IS_TRANS:	>ss
        INDEX:	P18W3
      OFFSETS:	7-10
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>ss)
          POS:	FOREIGN
          VOC:	>ss
        GLOSS:	nogloss

 INPUT STRING:	ملهاش
     IS_TRANS:	mlhA$
        INDEX:	P18W4
      OFFSETS:	11-16
       TOKENS:	P18W5-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(malhA$)
          POS:	VERB+PREP+PRON_3FS+NEG_PART
          VOC:	ma+li+hA+$
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+for/to+she/it/they+not

 INPUT STRING:	مستقبل
     IS_TRANS:	mstqbl
        INDEX:	P18W5
      OFFSETS:	17-23
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaqobal_1]
   UNSPLITVOC:	(musotaqobal)
          POS:	NOUN
          VOC:	musotaqobal
        GLOSS:	future/in the future

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P18W6
      OFFSETS:	24-27
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P18W7
      OFFSETS:	28-30
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشغل
     IS_TRANS:	Al$gl
        INDEX:	P18W8
      OFFSETS:	31-36
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	(Al$ugol)
          POS:	DET+NOUN
          VOC:	Al+$ugol
        GLOSS:	the+work/activity/occupation/labor/business

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P19W1
      OFFSETS:	0-1
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P19W2
      OFFSETS:	1-2
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P19W3
      OFFSETS:	2-3
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P19W4
      OFFSETS:	3-4
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	ومهما
     IS_TRANS:	wmhmA
        INDEX:	P19W5
      OFFSETS:	5-10
       TOKENS:	P19W5-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mahomA_1]
   UNSPLITVOC:	(wimahomA)
          POS:	CONJ+REL_PRON
          VOC:	wi+mahomA
        GLOSS:	and+whatever

 INPUT STRING:	قعدت
     IS_TRANS:	qEdt
        INDEX:	P19W6
      OFFSETS:	11-15
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(qaEadt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qaEad+t
        GLOSS:	sit down/be seated/remain+I

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P19W7
      OFFSETS:	16-19
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here/from now on/somewhere

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P19W8
      OFFSETS:	20-22
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P19W9
      OFFSETS:	23-25
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كايرو
     IS_TRANS:	kAyrw
        INDEX:	P19W10
      OFFSETS:	26-31
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kAyrw)
          POS:	FOREIGN
          VOC:	kAyrw
        GLOSS:	nogloss

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P19W11
      OFFSETS:	32-36
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	NOUN
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	هأرجع
     IS_TRANS:	h>rjE
        INDEX:	P19W12
      OFFSETS:	37-42
       TOKENS:	P19W13-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(ha>arjaE)
          POS:	FUT_PART+IV1S+IV
          VOC:	ha+>a+rjaE
        GLOSS:	will+I+go back

 INPUT STRING:	المنوفية
     IS_TRANS:	Almnwfyp
        INDEX:	P19W13
      OFFSETS:	43-51
       TOKENS:	P19W15-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[munuwfiyap_1]
   UNSPLITVOC:	(Almunuwfiyap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+munuwfiy+ap
        GLOSS:	the+Monoufiya+[sg.fem.]

 INPUT STRING:	بلدي
     IS_TRANS:	bldy
        INDEX:	P19W14
      OFFSETS:	52-56
       TOKENS:	P19W16-P19W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(baladiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	balad+iy
        GLOSS:	country/countries+my

 INPUT STRING:	قلت
     IS_TRANS:	qlt
        INDEX:	P20W1
      OFFSETS:	0-3
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qult)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qul+t
        GLOSS:	said/say/be said/(for example)+I

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P20W2
      OFFSETS:	4-6
       TOKENS:	P20W2-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+it/him

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P20W3
      OFFSETS:	7-11
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P20W4
      OFFSETS:	12-13
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P21W1
      OFFSETS:	0-3
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	أديك
     IS_TRANS:	>dyk
        INDEX:	P21W2
      OFFSETS:	4-8
       TOKENS:	P21W2-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>adiy_1]
   UNSPLITVOC:	(>adiyk)
          POS:	DEM_PRON+PRON_2MS
          VOC:	>adiy+ak
        GLOSS:	that+you

 INPUT STRING:	قلتها
     IS_TRANS:	qlthA
        INDEX:	P21W3
      OFFSETS:	9-14
       TOKENS:	P21W4-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qultahA)
          POS:	PV+PVSUFF_SUBJ:2MS+PVSUFF_DO:3FS
          VOC:	qul+t+hA
        GLOSS:	said/say/be said/(for example)+you+it/them/her

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P21W4
      OFFSETS:	15-16
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P21W5
      OFFSETS:	16-17
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P21W6
      OFFSETS:	17-18
       TOKENS:	P21W8-P21W8
