 INPUT STRING:	اوزيك
     IS_TRANS:	Ayh
        INDEX:	P39W2
      OFFSETS:	6-9
       TOKENS:	P39W3-P39W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	بقي
     IS_TRANS:	bqy
        INDEX:	P39W3
      OFFSETS:	10-13
       TOKENS:	P39W4-P39W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	امين
     IS_TRANS:	Amyn
        INDEX:	P40W1
      OFFSETS:	0-4
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|amiyn_1]
   UNSPLITVOC:	(|amiyn)
          POS:	VERB
          VOC:	|amiyn
        GLOSS:	amen!/respond/answer

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P40W2
      OFFSETS:	5-9
       TOKENS:	P40W2-P40W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yA_rab)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab
        GLOSS:	O/oh+lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	يلا
     IS_TRANS:	ylA
        INDEX:	P41W1
      OFFSETS:	0-3
       TOKENS:	P41W1-P41W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yal~A_1]
   UNSPLITVOC:	(yal~A)
          POS:	INTERJ
          VOC:	yal~A
        GLOSS:	let's /ok

 INPUT STRING:	اسيبك
     IS_TRANS:	Asybk
        INDEX:	P41W2
      OFFSETS:	4-9
       TOKENS:	P41W2-P41W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(Aasiybik)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	Aa+siyb+ik
        GLOSS:	I+flow/neglect+you

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P41W3
      OFFSETS:	10-14
       TOKENS:	P41W4-P41W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	اروح
     IS_TRANS:	ArwH
        INDEX:	P41W4
      OFFSETS:	15-19
       TOKENS:	P41W6-P41W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(AaruwH)
          POS:	IV1S+IV
          VOC:	Aa+ruwH
        GLOSS:	I+begin/go

 INPUT STRING:	الشغل
     IS_TRANS:	Al$gl
        INDEX:	P41W5
      OFFSETS:	20-25
       TOKENS:	P41W7-P41W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	(Al$ugol)
          POS:	DET+NOUN
          VOC:	Al+$ugol
        GLOSS:	the+work/activity/occupation/labor/business

 INPUT STRING:	سلامي
     IS_TRANS:	slAmy
        INDEX:	P42W1
      OFFSETS:	0-5
       TOKENS:	P42W1-P42W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(salAmiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	salAm+iy
        GLOSS:	peace/greeting/salute/salutation/greetings/salutations/anthem/song+my

 INPUT STRING:	للجميع
     IS_TRANS:	lljmyE
        INDEX:	P42W2
      OFFSETS:	6-12
       TOKENS:	P42W3-P42W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(liljamiyE)
          POS:	PREP+DET+NOUN_QUANT
          VOC:	li+Al+jamiyE
        GLOSS:	to/for+the+all, entire, every, whole

 INPUT STRING:	وصوري
     IS_TRANS:	wSwry
        INDEX:	P43W1
      OFFSETS:	0-5
       TOKENS:	P43W1-P43W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saw~ar_1]
   UNSPLITVOC:	(wiSaw~ariy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+Saw~ar+iy
        GLOSS:	and+draw/portray/film/photograph/be filmed/be photographed+you

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P43W2
      OFFSETS:	6-8
       TOKENS:	P43W3-P43W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/for+I

 INPUT STRING:	القطط
     IS_TRANS:	AlqTT
        INDEX:	P43W3
      OFFSETS:	9-14
       TOKENS:	P43W5-P43W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quT~ap_1]
   UNSPLITVOC:	(AlquTaT)
          POS:	DET+NOUN
          VOC:	Al+quTaT
        GLOSS:	the+cats

 INPUT STRING:	تمنياتي
     IS_TRANS:	tmnyAty
        INDEX:	P44W1
      OFFSETS:	0-7
       TOKENS:	P44W1-P44W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taman~iy~_1]
   UNSPLITVOC:	(taman~iy~Atiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	taman~iy~+At+iy
        GLOSS:	wish/hope/desire/wishes/hopes/desires+[fem.pl.]+my

 INPUT STRING:	لكي
     IS_TRANS:	lky
        INDEX:	P44W2
      OFFSETS:	8-11
       TOKENS:	P44W3-P44W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(likiy)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	for+you

 INPUT STRING:	بيوم
     IS_TRANS:	bywm
        INDEX:	P44W3
      OFFSETS:	12-16
       TOKENS:	P44W5-P44W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(biyuwm)
          POS:	PREP+NOUN
          VOC:	bi+yuwm
        GLOSS:	with/by+today/day/some day/ever/days

 INPUT STRING:	هادي
     IS_TRANS:	hAdy
        INDEX:	P44W4
      OFFSETS:	17-21
       TOKENS:	P44W7-P44W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAdiy_1]
   UNSPLITVOC:	(hAdiy)
          POS:	ADJ
          VOC:	hAdiy
        GLOSS:	calm/quiet

 INPUT STRING:	وسلامي
     IS_TRANS:	wslAmy
        INDEX:	P44W5
      OFFSETS:	22-28
       TOKENS:	P44W8-P44W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(wisalAmiy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wi+salAm+iy
        GLOSS:	and+peace/greeting/salute/salutation/greetings/salutations/anthem/song+my

 INPUT STRING:	لطنط
     IS_TRANS:	lTnT
        INDEX:	P44W6
      OFFSETS:	29-33
       TOKENS:	P44W11-P44W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TanoT_1]
   UNSPLITVOC:	(liTanoT)
          POS:	PREP+NOUN
          VOC:	li+TanoT
        GLOSS:	for/to+paternal aunt/auntie/aunt

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P44W7
      OFFSETS:	34-38
       TOKENS:	P44W13-P44W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[kiviyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	numerous/many/several/much/a lot/very

 INPUT STRING:	اوعي
     IS_TRANS:	AwEy
        INDEX:	P44W8
      OFFSETS:	39-43
       TOKENS:	P44W14-P44W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waEaY_1]
   UNSPLITVOC:	(>uwEiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	>uwE+iy
        GLOSS:	be aware of/pay attention to/be paid attention to+you

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P44W9
      OFFSETS:	43-44
       TOKENS:	P44W15-P44W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	تنسب
     IS_TRANS:	tnsb
        INDEX:	P44W10
      OFFSETS:	44-48
       TOKENS:	P44W16-P44W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tnsb)
          POS:	TYPO
          VOC:	tnsb
        GLOSS:	nogloss

 INPUT STRING:	تنسي
     IS_TRANS:	tnsy
        INDEX:	P45W1
      OFFSETS:	0-4
       TOKENS:	P45W1-P45W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(tinosiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+nos+iy
        GLOSS:	you+forget/forgot+you

