 INPUT STRING:	الووو
      OFFSETS:	5-10
       TOKENS:	P69W2-P69W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	acting+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P69W3
      OFFSETS:	11-14
       TOKENS:	P69W3-P69W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P69W4
      OFFSETS:	15-17
       TOKENS:	P69W4-P69W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الصيام
     IS_TRANS:	AlSyAm
        INDEX:	P69W5
      OFFSETS:	18-24
       TOKENS:	P69W5-P69W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiyAm_1]
   UNSPLITVOC:	(AlSiyAm)
          POS:	DET+NOUN
          VOC:	Al+SiyAm
        GLOSS:	the+fasting/abstinence

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P70W1
      OFFSETS:	0-4
       TOKENS:	P70W1-P70W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	NOUN
          VOC:	tamAm
        GLOSS:	exact/complete/exactly/completely

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P71W1
      OFFSETS:	0-3
       TOKENS:	P71W1-P71W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P71W2
      OFFSETS:	4-7
       TOKENS:	P71W2-P71W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>iyh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P72W1
      OFFSETS:	0-3
       TOKENS:	P72W1-P72W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	بعتله
     IS_TRANS:	bEtlh
        INDEX:	P72W2
      OFFSETS:	4-9
       TOKENS:	P72W2-P72W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(bEtlh)
          POS:	NO_FUNC
          VOC:	bEtlh
        GLOSS:	nogloss

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P73W1
      OFFSETS:	0-2
       TOKENS:	P73W1-P73W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P73W2
      OFFSETS:	3-6
       TOKENS:	P73W2-P73W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	NOUN
          VOC:	Tay~ib
        GLOSS:	pleasant/good things

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P73W3
      OFFSETS:	7-10
       TOKENS:	P73W3-P73W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	seriousness/earnestness/very/much+[acc.indef.]

 INPUT STRING:	بعتيلو
     IS_TRANS:	bEtylw
        INDEX:	P74W1
      OFFSETS:	0-6
       TOKENS:	P74W1-P74W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAE_1]
   UNSPLITVOC:	(biEtiy_luh)
          POS:	PV+PVSUFF_SUBJ:2FS+PREP+PRON_3MS
          VOC:	biE+tiy+li+uh
        GLOSS:	sell+you+to/for+him

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P74W2
      OFFSETS:	7-10
       TOKENS:	P74W4-P74W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>iyh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P75W1
      OFFSETS:	0-4
       TOKENS:	P75W1-P75W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	التونز
     IS_TRANS:	Altwnz
        INDEX:	P75W2
      OFFSETS:	5-11
       TOKENS:	P75W3-P75W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Altwnz)
          POS:	FOREIGN
          VOC:	Altwnz
        GLOSS:	nogloss

 INPUT STRING:	محدش
     IS_TRANS:	mHd$
        INDEX:	P76W1
      OFFSETS:	0-4
       TOKENS:	P76W1-P76W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(mAHad~i$)
          POS:	VERB+NOUN+NEG_PART
          VOC:	mA+Had~+$
        GLOSS:	not+stop/halt/end/extent/limit/level/border/frontier+not

 INPUT STRING:	قالي
     IS_TRANS:	qAly
        INDEX:	P76W2
      OFFSETS:	5-9
       TOKENS:	P76W4-P76W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl~iy)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_1S
          VOC:	qAl+(null)+li+iy
        GLOSS:	said/say/be said/(for example)+he/it+to/for+me

 INPUT STRING:	فيكم
     IS_TRANS:	fykm
        INDEX:	P76W3
      OFFSETS:	10-14
       TOKENS:	P76W7-P76W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiykum)
          POS:	PREP+PRON_2P
          VOC:	fiy+kum
        GLOSS:	in+you

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P77W1
      OFFSETS:	0-3
       TOKENS:	P77W1-P77W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness/very/much

 INPUT STRING:	قولتي
     IS_TRANS:	qwlty
        INDEX:	P78W1
      OFFSETS:	0-5
       TOKENS:	P78W1-P78W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwltiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	quwl+tiy
        GLOSS:	said/say/be said/(for example)+you

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P78W2
      OFFSETS:	6-9
       TOKENS:	P78W2-P78W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>iyh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	وقالك
     IS_TRANS:	wqAlk
        INDEX:	P78W3
      OFFSETS:	10-15
       TOKENS:	P78W3-P78W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAl~ik)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS+PREP+PRON_2FS
          VOC:	wi+qAl+(null)+li+ik
        GLOSS:	and+said/say/be said/(for example)+he/it+to/for+you

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P78W4
      OFFSETS:	16-19
       TOKENS:	P78W7-P78W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	امتى
     IS_TRANS:	AmtY
        INDEX:	P79W1
      OFFSETS:	0-4
       TOKENS:	P79W1-P79W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P79W2
      OFFSETS:	5-6
       TOKENS:	P79W2-P79W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	الساعة
     IS_TRANS:	AlsAEp
        INDEX:	P79W3
      OFFSETS:	7-13
       TOKENS:	P79W3-P79W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(AlsAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sAE+ap
        GLOSS:	the+hour/time/hours/clock/watch/timepiece/clocks/watches+[fem.sg.]

 INPUT STRING:	كام
     IS_TRANS:	kAm
        INDEX:	P79W4
      OFFSETS:	14-17
       TOKENS:	P79W4-P79W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAm_1]
   UNSPLITVOC:	(kAm)
          POS:	INTERROG_PRON
          VOC:	kAm
        GLOSS:	how many

 INPUT STRING:	قرا
     IS_TRANS:	qrA
        INDEX:	P79W5
      OFFSETS:	18-21
       TOKENS:	P79W5-P79W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qara_1]
   UNSPLITVOC:	(qara)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qara+(null)
        GLOSS:	read+he/it

 INPUT STRING:	قولي
     IS_TRANS:	qwly
        INDEX:	P80W1
      OFFSETS:	0-4
       TOKENS:	P80W1-P80W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	quwl+iy
        GLOSS:	said/say/be said/(for example)+you

 INPUT STRING:	اعترفي
     IS_TRANS:	AEtrfy
        INDEX:	P80W2
      OFFSETS:	5-11
       TOKENS:	P80W2-P80W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiEotaraf_1]
   UNSPLITVOC:	(AiEotirfiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AiEotirf+iy
        GLOSS:	confess/admit/recognize/acknowledge+you

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P81W1
      OFFSETS:	0-5
       TOKENS:	P81W1-P81W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with/by+Allah/God

 INPUT STRING:	انسان
     IS_TRANS:	AnsAn
        INDEX:	P81W2
      OFFSETS:	6-11
       TOKENS:	P81W3-P81W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inosAn_1]
   UNSPLITVOC:	(<inosAn)
          POS:	NOUN
          VOC:	<inosAn
        GLOSS:	human being/human beings

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P81W3
      OFFSETS:	12-15
       TOKENS:	P81W4-P81W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	NOUN
          VOC:	Tay~ib
        GLOSS:	pleasant/good things

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P81W4
      OFFSETS:	16-19
       TOKENS:	P81W5-P81W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	seriousness/earnestness/very/much+[acc.indef.]

 INPUT STRING:	وشويه
     IS_TRANS:	w$wyh
        INDEX:	P81W5
      OFFSETS:	20-25
       TOKENS:	P81W6-P81W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iway~ap_1]
   UNSPLITVOC:	(wi$iway~ap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+$iway~+ap
        GLOSS:	and+little/small+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P81W6
      OFFSETS:	26-28
       TOKENS:	P81W8-P81W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ذكي
     IS_TRANS:	*ky
        INDEX:	P81W7
      OFFSETS:	29-32
       TOKENS:	P81W9-P81W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*akiy_1]
   UNSPLITVOC:	(*akiy)
          POS:	ADJ
          VOC:	*akiy
        GLOSS:	smart/clever/intelligent

 INPUT STRING:	وقالك
     IS_TRANS:	wqAlk
        INDEX:	P82W1
      OFFSETS:	0-5
       TOKENS:	P82W1-P82W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAl~ik)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS+PREP+PRON_2FS
          VOC:	wi+qAl+(null)+li+ik
        GLOSS:	and+said/say/be said/(for example)+he/it+to/for+you

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P82W2
      OFFSETS:	6-9
       TOKENS:	P82W5-P82W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	وقولتيلة
     IS_TRANS:	wqwltylp
        INDEX:	P82W3
      OFFSETS:	10-18
       TOKENS:	P82W6-P82W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiquwltiy_luh)
          POS:	CONJ+PV+PVSUFF_SUBJ:2FS+PREP+PRON_3MS
          VOC:	wi+quwl+tiy+li+uh
        GLOSS:	and+said/say/be said/(for example)+you+to/for+him

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P82W4
      OFFSETS:	19-22
       TOKENS:	P82W10-P82W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(Aayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	خشي
     IS_TRANS:	x$y
        INDEX:	P83W1
      OFFSETS:	0-3
       TOKENS:	P83W1-P83W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xa$~_1]
   UNSPLITVOC:	(xu$~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	xu$~+iy
        GLOSS:	enter+you

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P83W2
      OFFSETS:	4-7
       TOKENS:	P83W2-P83W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الفيس
     IS_TRANS:	Alfys
        INDEX:	P83W3
      OFFSETS:	8-13
       TOKENS:	P83W3-P83W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiys_1]
   UNSPLITVOC:	(Alfiys)
          POS:	DET+NOUN
          VOC:	Al+fiys
        GLOSS:	the+facebook/face

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P84W1
      OFFSETS:	0-3
       TOKENS:	P84W1-P84W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~A_1]
   UNSPLITVOC:	(>am~A)
          POS:	SUB_CONJ
          VOC:	>am~A
        GLOSS:	as/when/if

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P84W2
      OFFSETS:	4-9
       TOKENS:	P84W2-P84W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	ابص
     IS_TRANS:	AbS
        INDEX:	P84W3
      OFFSETS:	10-13
       TOKENS:	P84W3-P84W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(AabuS~)
          POS:	IV1S+IV
          VOC:	Aa+buS~
        GLOSS:	I+look/glow/sparkle

 INPUT STRING:	اشوف
     IS_TRANS:	A$wf
        INDEX:	P84W4
      OFFSETS:	14-18
       TOKENS:	P84W4-P84W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(Aa$uwf)
          POS:	IV1S+IV
          VOC:	Aa+$uwf
        GLOSS:	I+look

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P84W5
      OFFSETS:	19-23
       TOKENS:	P84W5-P84W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	Eanod+ik
        GLOSS:	at/have/possession/with+your

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P85W1
      OFFSETS:	0-2
       TOKENS:	P85W1-P85W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P85W2
      OFFSETS:	3-5
       TOKENS:	P85W2-P85W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	عبيط
     IS_TRANS:	EbyT
        INDEX:	P85W3
      OFFSETS:	6-10
       TOKENS:	P85W3-P85W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EabiyT_1]
   UNSPLITVOC:	(EabiyT)
          POS:	ADJ
          VOC:	EabiyT
        GLOSS:	fool/fools/prematurely dead/fresh

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P85W4
      OFFSETS:	11-13
       TOKENS:	P85W4-P85W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بيعرف
     IS_TRANS:	byErf
        INDEX:	P85W5
      OFFSETS:	14-19
       TOKENS:	P85W5-P85W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(biyiEoraf)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+Eoraf
        GLOSS:	[present-tense]+he/it+know

 INPUT STRING:	يتصرف
     IS_TRANS:	ytSrf
        INDEX:	P85W6
      OFFSETS:	20-25
       TOKENS:	P85W7-P85W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoSar~af_1]
   UNSPLITVOC:	(yitoSar~af)
          POS:	IV3MS+IV
          VOC:	yi+toSar~af
        GLOSS:	he/it+behave/act/do/make/manufacture/create/form/be reformed

 INPUT STRING:	امتى
     IS_TRANS:	AmtY
        INDEX:	P86W1
      OFFSETS:	0-4
       TOKENS:	P86W1-P86W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	رد
     IS_TRANS:	rd
        INDEX:	P86W2
      OFFSETS:	5-7
       TOKENS:	P86W2-P86W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(rad~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	rad~+(null)
        GLOSS:	answer/reply/return/be returned/be given back+he/it

 INPUT STRING:	عليكي
     IS_TRANS:	Elyky
        INDEX:	P86W3
      OFFSETS:	8-13
       TOKENS:	P86W3-P86W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealiyki)
          POS:	PREP+PRON_2FS
          VOC:	EalaY+ik
        GLOSS:	on/above+you

 INPUT STRING:	الصبح
     IS_TRANS:	AlSbH
        INDEX:	P87W1
      OFFSETS:	0-5
       TOKENS:	P87W1-P87W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuboH_1]
   UNSPLITVOC:	(AlSuboH)
          POS:	DET+NOUN
          VOC:	Al+SuboH
        GLOSS:	the+morning/daybreak/mornings

 INPUT STRING:	عندكو
     IS_TRANS:	Endkw
        INDEX:	P87W2
      OFFSETS:	6-11
       TOKENS:	P87W2-P87W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodukuw)
          POS:	NOUN+POSS_PRON_2P
          VOC:	Eanod+kuw
        GLOSS:	at/have/possession/with+your

 INPUT STRING:	الشاعه
     IS_TRANS:	Al$AEh
        INDEX:	P88W1
      OFFSETS:	0-6
       TOKENS:	P88W1-P88W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Al$AEh)
          POS:	TYPO
          VOC:	Al$AEh
        GLOSS:	nogloss

 INPUT STRING:	٩
     IS_TRANS:	&#x669;
        INDEX:	P88W2
      OFFSETS:	7-8
       TOKENS:	P88W2-P88W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(9)
          POS:	NOUN_NUM
          VOC:	9
        GLOSS:	9

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P89W1
      OFFSETS:	0-2
       TOKENS:	P89W1-P89W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

