 INPUT STRING:	مع
        GLOSS:	what

 INPUT STRING:	شفتي
     IS_TRANS:	$fty
        INDEX:	P171W2
      OFFSETS:	4-8
       TOKENS:	P171W2-P171W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uftiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	$uf+tiy
        GLOSS:	look+you

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P171W3
      OFFSETS:	9-11
       TOKENS:	P171W3-P171W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	one

 INPUT STRING:	شبهي
     IS_TRANS:	$bhy
        INDEX:	P171W4
      OFFSETS:	12-16
       TOKENS:	P171W4-P171W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$abah_1]
   UNSPLITVOC:	($abahiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	$abah+iy
        GLOSS:	resemblance/resemblances+my

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P171W5
      OFFSETS:	17-20
       TOKENS:	P171W6-P171W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiyn_1]
   UNSPLITVOC:	(fiyn)
          POS:	REL_ADV
          VOC:	fiyn
        GLOSS:	where

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P171W6
      OFFSETS:	20-21
       TOKENS:	P171W7-P171W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	قدام
     IS_TRANS:	qdAm
        INDEX:	P172W1
      OFFSETS:	0-4
       TOKENS:	P172W1-P172W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qud~Am_1]
   UNSPLITVOC:	(qud~Am)
          POS:	NOUN
          VOC:	qud~Am
        GLOSS:	front/in front of

 INPUT STRING:	نادي
     IS_TRANS:	nAdy
        INDEX:	P172W2
      OFFSETS:	5-9
       TOKENS:	P172W2-P172W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdiy_1]
   UNSPLITVOC:	(nAdiy)
          POS:	NOUN
          VOC:	nAdiy
        GLOSS:	club/association/clubs/associations

 INPUT STRING:	أهلي
     IS_TRANS:	>hly
        INDEX:	P172W3
      OFFSETS:	10-14
       TOKENS:	P172W3-P172W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>aholiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>ahol+iy
        GLOSS:	family/people/families/folk/indigenous people/qualified/welcome!+my

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P173W1
      OFFSETS:	0-2
       TOKENS:	P173W1-P173W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(ly)
          POS:	TYPO
          VOC:	ly
        GLOSS:	nogloss

 INPUT STRING:	*
     IS_TRANS:	*
        INDEX:	P173W2
      OFFSETS:	3-4
       TOKENS:	P173W2-P173W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(*)
          POS:	PUNC
          VOC:	*
        GLOSS:	*

 INPUT STRING:	ممن
     IS_TRANS:	mmn
        INDEX:	P174W1
      OFFSETS:	0-3
       TOKENS:	P174W1-P174W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mmn)
          POS:	TYPO
          VOC:	mmn
        GLOSS:	nogloss

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P174W2
      OFFSETS:	4-7
       TOKENS:	P174W2-P174W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P175W1
      OFFSETS:	0-4
       TOKENS:	P175W1-P175W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P175W2
      OFFSETS:	5-7
       TOKENS:	P175W2-P175W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حننزل
     IS_TRANS:	Hnnzl
        INDEX:	P175W3
      OFFSETS:	8-13
       TOKENS:	P175W3-P175W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(Haninozil)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+nozil
        GLOSS:	will+we+descend/come/desend/stay

 INPUT STRING:	صحيح
     IS_TRANS:	SHyH
        INDEX:	P175W4
      OFFSETS:	14-18
       TOKENS:	P175W5-P175W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiyH_1]
   UNSPLITVOC:	(SaHiyH)
          POS:	ADJ
          VOC:	SaHiyH
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P175W5
      OFFSETS:	19-20
       TOKENS:	P175W6-P175W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P176W1
      OFFSETS:	0-2
       TOKENS:	P176W1-P176W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P176W2
      OFFSETS:	3-8
       TOKENS:	P176W2-P176W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P176W3
      OFFSETS:	9-12
       TOKENS:	P176W3-P176W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P176W4
      OFFSETS:	13-16
       TOKENS:	P176W4-P176W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	اليومين
     IS_TRANS:	Alywmyn
        INDEX:	P176W5
      OFFSETS:	17-24
       TOKENS:	P176W5-P176W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(Alyuwmiyn)
          POS:	DET+NOUN+NSUFF_MASC_DU
          VOC:	Al+yuwm+iyn
        GLOSS:	the+today/day/some day/ever/days+two

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P176W6
      OFFSETS:	25-28
       TOKENS:	P176W6-P176W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwl_1]
   UNSPLITVOC:	(duwl)
          POS:	DEM_PRON_P
          VOC:	duwl
        GLOSS:	those

 INPUT STRING:	صعب
     IS_TRANS:	SEb
        INDEX:	P176W7
      OFFSETS:	29-32
       TOKENS:	P176W7-P176W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaEob_1]
   UNSPLITVOC:	(SaEob)
          POS:	ADJ
          VOC:	SaEob
        GLOSS:	difficult/hard/arduous

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P177W1
      OFFSETS:	0-3
       TOKENS:	P177W1-P177W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P177W2
      OFFSETS:	4-6
       TOKENS:	P177W2-P177W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P177W3
      OFFSETS:	7-10
       TOKENS:	P177W3-P177W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P177W4
      OFFSETS:	11-15
       TOKENS:	P177W4-P177W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	قريب
     IS_TRANS:	qryb
        INDEX:	P177W5
      OFFSETS:	16-20
       TOKENS:	P177W5-P177W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quray~ib_1]
   UNSPLITVOC:	(quray~ib)
          POS:	ADJ
          VOC:	quray~ib
        GLOSS:	close

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P177W6
      OFFSETS:	21-24
       TOKENS:	P177W6-P177W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P177W7
      OFFSETS:	25-27
       TOKENS:	P177W7-P177W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	أسافر
     IS_TRANS:	>sAfr
        INDEX:	P177W8
      OFFSETS:	28-33
       TOKENS:	P177W8-P177W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAfir_1]
   UNSPLITVOC:	(AasAfir)
          POS:	IV1S+IV
          VOC:	Aa+sAfir
        GLOSS:	I+travel

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P177W9
      OFFSETS:	34-36
       TOKENS:	P177W9-P177W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	enough/only

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P178W1
      OFFSETS:	0-2
       TOKENS:	P178W1-P178W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	أكيد
     IS_TRANS:	>kyd
        INDEX:	P178W2
      OFFSETS:	3-7
       TOKENS:	P178W2-P178W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite/certainly/surely/definitely

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P178W3
      OFFSETS:	8-11
       TOKENS:	P178W3-P178W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P178W4
      OFFSETS:	12-14
       TOKENS:	P178W4-P178W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	تسافر
     IS_TRANS:	tsAfr
        INDEX:	P178W5
      OFFSETS:	15-20
       TOKENS:	P178W5-P178W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAfir_1]
   UNSPLITVOC:	(tisAfir)
          POS:	IV2MS+IV
          VOC:	ti+sAfir
        GLOSS:	you+travel

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P178W6
      OFFSETS:	21-23
       TOKENS:	P178W6-P178W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P178W7
      OFFSETS:	24-27
       TOKENS:	P178W7-P178W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P178W8
      OFFSETS:	28-32
       TOKENS:	P178W8-P178W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P179W1
      OFFSETS:	0-4
       TOKENS:	P179W1-P179W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite/certainly/surely/definitely

 INPUT STRING:	*
     IS_TRANS:	*
        INDEX:	P179W2
      OFFSETS:	5-6
       TOKENS:	P179W2-P179W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(*)
          POS:	PUNC
          VOC:	*
        GLOSS:	*

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P180W1
      OFFSETS:	0-1
       TOKENS:	P180W1-P180W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	دب
     IS_TRANS:	db
        INDEX:	P181W1
      OFFSETS:	0-2
       TOKENS:	P181W1-P181W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(db)
          POS:	FOREIGN
          VOC:	db
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P181W2
      OFFSETS:	3-4
       TOKENS:	P181W2-P181W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	بتتريق
     IS_TRANS:	bttryq
        INDEX:	P182W1
      OFFSETS:	0-6
       TOKENS:	P182W1-P182W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aroyaq_1]
   UNSPLITVOC:	(bitit~aroyaq)
          POS:	PROG_PART+IV2FS+IV
          VOC:	bi+ti+t~aroyaq
        GLOSS:	[present-tense]+you+ridicule/scoff at/exploit/subjugate/make fun/mock/laugh/behave scornfully

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P182W2
      OFFSETS:	7-8
       TOKENS:	P182W3-P182W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P183W1
      OFFSETS:	0-2
       TOKENS:	P183W1-P183W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P183W2
      OFFSETS:	3-4
       TOKENS:	P183W2-P183W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	عجبني
     IS_TRANS:	Ejbny
        INDEX:	P184W1
      OFFSETS:	0-5
       TOKENS:	P184W1-P184W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eajab_1]
   UNSPLITVOC:	(Eajabniy)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1S
          VOC:	Eajab+(null)+niy
        GLOSS:	delight/admire/like/be amazed/liked/arouse admiration/please+he/it+me

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P184W2
      OFFSETS:	6-7
       TOKENS:	P184W3-P184W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P185W1
      OFFSETS:	0-2
       TOKENS:	P185W1-P185W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فرق
     IS_TRANS:	frq
        INDEX:	P185W2
      OFFSETS:	3-6
       TOKENS:	P185W2-P185W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroq_1]
   UNSPLITVOC:	(faroq)
          POS:	NOUN
          VOC:	faroq
        GLOSS:	difference/discrepancy/differences/discrepancies

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P185W3
      OFFSETS:	7-9
       TOKENS:	P185W3-P185W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	one

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P185W4
      OFFSETS:	10-11
       TOKENS:	P185W4-P185W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	حلوة
     IS_TRANS:	Hlwp
        INDEX:	P186W1
      OFFSETS:	0-4
       TOKENS:	P186W1-P186W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hilow+ap
        GLOSS:	sweet/pleasant+[fem.sg.]

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P187W1
      OFFSETS:	0-5
       TOKENS:	P187W1-P187W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P187W2
      OFFSETS:	6-7
       TOKENS:	P187W3-P187W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P188W1
      OFFSETS:	0-2
       TOKENS:	P188W1-P188W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P188W2
      OFFSETS:	3-6
       TOKENS:	P188W2-P188W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فكره
     IS_TRANS:	fkrh
        INDEX:	P188W3
      OFFSETS:	7-11
       TOKENS:	P188W3-P188W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P188W4
      OFFSETS:	12-13
       TOKENS:	P188W4-P188W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P189W1
      OFFSETS:	0-4
       TOKENS:	P189W1-P189W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	laugh

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P189W2
      OFFSETS:	5-8
       TOKENS:	P189W2-P189W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after/if/unless/whether/as long as/as soon as/which

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P189W3
      OFFSETS:	9-11
       TOKENS:	P189W3-P189W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	إتريقت
     IS_TRANS:	<tryqt
        INDEX:	P189W4
      OFFSETS:	12-18
       TOKENS:	P189W4-P189W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<it~aryaq_1]
   UNSPLITVOC:	(<it~aryaq)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	<it~aryaq+t
        GLOSS:	mock+I

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P189W5
      OFFSETS:	19-23
