 INPUT STRING:	اديني

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P198W3
      OFFSETS:	11-15
       TOKENS:	P198W3-P198W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+her/it/them

 INPUT STRING:	أوي
     IS_TRANS:	>wy
        INDEX:	P198W4
      OFFSETS:	16-19
       TOKENS:	P198W5-P198W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	شريرة
     IS_TRANS:	$ryrp
        INDEX:	P198W5
      OFFSETS:	20-25
       TOKENS:	P198W6-P198W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iriyr_1]
   UNSPLITVOC:	($iriyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$iriyr+ap
        GLOSS:	wicked/evil/bad guy (film)+[fem.sg.]

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P198W6
      OFFSETS:	26-29
       TOKENS:	P198W7-P198W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	فرحانه
     IS_TRANS:	frHAnh
        INDEX:	P199W1
      OFFSETS:	0-6
       TOKENS:	P199W1-P199W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroHAn_1]
   UNSPLITVOC:	(faroHAnap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	faroHAn+ap
        GLOSS:	cheerful/delighted+[fem.sg.]

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P199W2
      OFFSETS:	7-11
       TOKENS:	P199W2-P199W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+her/it/them

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P199W3
      OFFSETS:	12-15
       TOKENS:	P199W4-P199W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	حرام
     IS_TRANS:	HrAm
        INDEX:	P199W4
      OFFSETS:	16-20
       TOKENS:	P199W5-P199W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	عليكي
     IS_TRANS:	Elyky
        INDEX:	P199W5
      OFFSETS:	21-26
       TOKENS:	P199W6-P199W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealiyiy)
          POS:	PREP+PRON_2FS
          VOC:	EalaY+ik
        GLOSS:	on/above+you

 INPUT STRING:	دانا
     IS_TRANS:	dAnA
        INDEX:	P199W6
      OFFSETS:	27-31
       TOKENS:	P199W8-P199W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(dAnA)
          POS:	NO_FUNC
          VOC:	dAnA
        GLOSS:	nogloss

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P199W7
      OFFSETS:	32-35
       TOKENS:	P199W9-P199W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	فرحانه
     IS_TRANS:	frHAnh
        INDEX:	P199W8
      OFFSETS:	36-42
       TOKENS:	P199W10-P199W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroHAn_1]
   UNSPLITVOC:	(faroHAnap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	faroHAn+ap
        GLOSS:	cheerful/delighted+[fem.sg.]

 INPUT STRING:	لنور
     IS_TRANS:	lnwr
        INDEX:	P199W9
      OFFSETS:	43-47
       TOKENS:	P199W11-P199W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwr_1]
   UNSPLITVOC:	(linuwr)
          POS:	PREP+NOUN_PROP
          VOC:	li+nuwr
        GLOSS:	for/to+Nour/Noor

 INPUT STRING:	اهي
     IS_TRANS:	Ahy
        INDEX:	P199W10
      OFFSETS:	48-51
       TOKENS:	P199W13-P199W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(>ahiy)
          POS:	DEM_PRON+PRON_3FS
          VOC:	>a+hiy~a
        GLOSS:	this+she/it/they

 INPUT STRING:	بدل
     IS_TRANS:	bdl
        INDEX:	P199W11
      OFFSETS:	52-55
       TOKENS:	P199W15-P199W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badal_1]
   UNSPLITVOC:	(badal)
          POS:	NOUN
          VOC:	badal
        GLOSS:	substitute/substitutes/instead of/in lieu of

 INPUT STRING:	ماهي
     IS_TRANS:	mAhy
        INDEX:	P199W12
      OFFSETS:	56-60
       TOKENS:	P199W16-P199W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(mAhiy~a)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	mA+hiy~a
        GLOSS:	that+she/it/they

 INPUT STRING:	عماله
     IS_TRANS:	EmAlh
        INDEX:	P199W13
      OFFSETS:	61-66
       TOKENS:	P199W18-P199W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~Al_1]
   UNSPLITVOC:	(Eam~Alap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	Eam~Al+ap
        GLOSS:	continue+[fem.sg.]

 INPUT STRING:	تقول
     IS_TRANS:	tqwl
        INDEX:	P199W14
      OFFSETS:	67-71
       TOKENS:	P199W19-P199W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwl)
          POS:	IV2FS+IV
          VOC:	ti+quwl
        GLOSS:	you+said/say/be said/(for example)

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P199W15
      OFFSETS:	72-75
       TOKENS:	P199W20-P199W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	العياب
     IS_TRANS:	AlEyAb
        INDEX:	P199W16
      OFFSETS:	76-82
       TOKENS:	P199W21-P199W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlEyAb)
          POS:	TYPO
          VOC:	AlEyAb
        GLOSS:	nogloss

 INPUT STRING:	كلهم
     IS_TRANS:	klhm
        INDEX:	P199W17
      OFFSETS:	83-87
       TOKENS:	P199W22-P199W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uhum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	kul~+hum
        GLOSS:	all/entire/every/whole+their

 INPUT STRING:	اخويا
     IS_TRANS:	AxwyA
        INDEX:	P199W18
      OFFSETS:	88-93
       TOKENS:	P199W24-P199W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(>axuwyA)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>axuw+iy
        GLOSS:	brothers/fraternity/brotherhood+my

 INPUT STRING:	وأختي
     IS_TRANS:	w>xty
        INDEX:	P199W19
      OFFSETS:	94-99
       TOKENS:	P199W26-P199W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxot_1]
   UNSPLITVOC:	(wi>uxotiy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wi+>uxot+iy
        GLOSS:	and+sister/counterpart/sisters+my

 INPUT STRING:	العيال
     IS_TRANS:	AlEyAl
        INDEX:	P200W1
      OFFSETS:	0-6
       TOKENS:	P200W1-P200W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~il_1]
   UNSPLITVOC:	(AlEiyAl)
          POS:	DET+NOUN
          VOC:	Al+EiyAl
        GLOSS:	the+family/household

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P201W1
      OFFSETS:	0-5
       TOKENS:	P201W1-P201W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Eala$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P201W2
      OFFSETS:	6-10
       TOKENS:	P201W3-P201W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be/was/were+it/they/she

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P201W3
      OFFSETS:	11-13
       TOKENS:	P201W4-P201W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	شوية
     IS_TRANS:	$wyp
        INDEX:	P201W4
      OFFSETS:	14-18
       TOKENS:	P201W5-P201W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iway~ap_1]
   UNSPLITVOC:	($iway~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	$iway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	تقول
     IS_TRANS:	tqwl
        INDEX:	P201W5
      OFFSETS:	19-23
       TOKENS:	P201W6-P201W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwl)
          POS:	IV3FS+IV
          VOC:	ti+quwl
        GLOSS:	it/they/she+said/say/be said/(for example)

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P201W6
      OFFSETS:	24-26
       TOKENS:	P201W7-P201W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P201W7
      OFFSETS:	27-29
       TOKENS:	P201W8-P201W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	اهو
     IS_TRANS:	Ahw
        INDEX:	P202W1
      OFFSETS:	0-3
       TOKENS:	P202W1-P202W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(>ahuw)
          POS:	DEM_PRON+PRON_3MS
          VOC:	>a+huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix+he/it

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P202W2
      OFFSETS:	4-7
       TOKENS:	P202W3-P202W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	بأمر
     IS_TRANS:	b>mr
        INDEX:	P202W3
      OFFSETS:	8-12
       TOKENS:	P202W5-P202W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(bi>amor)
          POS:	PREP+NOUN
          VOC:	bi+>amor
        GLOSS:	with/by+matter/issue/matters/issues/order/command/orders/commands

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P202W4
      OFFSETS:	13-17
       TOKENS:	P202W7-P202W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P202W5
      OFFSETS:	18-20
       TOKENS:	P202W9-P202W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بمزاجنا
     IS_TRANS:	bmzAjnA
        INDEX:	P202W6
      OFFSETS:	21-28
       TOKENS:	P202W10-P202W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mazAj_1]
   UNSPLITVOC:	(bimazAjnA)
          POS:	PREP+NOUN+POSS_PRON_1P
          VOC:	bi+mazAj+nA
        GLOSS:	with/by+mixture/mixtures/temperament/mood/feeling/moods/temperaments/mod+our

 INPUT STRING:	اهو
     IS_TRANS:	Ahw
        INDEX:	P203W1
      OFFSETS:	0-3
       TOKENS:	P203W1-P203W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(>ahuw)
          POS:	DEM_PRON+PRON_3MS
          VOC:	>a+huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix+he/it

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P203W2
      OFFSETS:	4-8
       TOKENS:	P203W3-P203W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	اداها
     IS_TRANS:	AdAhA
        INDEX:	P203W3
      OFFSETS:	9-14
       TOKENS:	P203W5-P203W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aid~aY_1]
   UNSPLITVOC:	(Aid~AhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	Aid~A+(null)+hA
        GLOSS:	give/provide/hand over/be given/be provided/carry out/perform/lead+he/it+it/them/her

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P203W4
      OFFSETS:	15-18
       TOKENS:	P203W7-P203W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	دماغها
     IS_TRANS:	dmAghA
        INDEX:	P203W5
      OFFSETS:	19-25
       TOKENS:	P203W8-P203W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dimAg_1]
   UNSPLITVOC:	(dimAghA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	dimAg+hA
        GLOSS:	brain/brains+its/their/her

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P203W6
      OFFSETS:	26-28
       TOKENS:	P203W10-P203W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P203W7
      OFFSETS:	29-34
       TOKENS:	P203W11-P203W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	صعبانة
     IS_TRANS:	SEbAnp
        INDEX:	P203W8
      OFFSETS:	35-41
       TOKENS:	P203W13-P203W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaEobAn_1]
   UNSPLITVOC:	(SaEobAnap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	SaEobAn+ap
        GLOSS:	compassionate/sympathetic+[fem.sg.]

 INPUT STRING:	عليا
     IS_TRANS:	ElyA
        INDEX:	P203W9
      OFFSETS:	42-46
       TOKENS:	P203W14-P203W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(Ealay~A)
          POS:	PREP+PRON_1S
          VOC:	EalaY+iy
        GLOSS:	on/above+I/me

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P204W1
      OFFSETS:	0-3
       TOKENS:	P204W1-P204W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P204W2
      OFFSETS:	4-9
       TOKENS:	P204W2-P204W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P204W3
      OFFSETS:	10-12
       TOKENS:	P204W3-P204W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	نيللي
     IS_TRANS:	nylly
        INDEX:	P204W4
      OFFSETS:	13-18
       TOKENS:	P204W4-P204W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niylliy_1]
   UNSPLITVOC:	(niylliy)
          POS:	NOUN_PROP
          VOC:	niylliy
        GLOSS:	Nelly

 INPUT STRING:	صحتها
     IS_TRANS:	SHthA
        INDEX:	P204W5
      OFFSETS:	19-24
       TOKENS:	P204W5-P204W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiH~ap_1]
   UNSPLITVOC:	(SiH~ithA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	SiH~+ap+hA
        GLOSS:	health/authenticity/truth/correctness+[fem.sg.]+its/their/her

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P204W6
      OFFSETS:	25-28
       TOKENS:	P204W7-P204W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	أدها
     IS_TRANS:	>dhA
        INDEX:	P204W7
      OFFSETS:	29-33
       TOKENS:	P204W8-P204W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~_1]
   UNSPLITVOC:	(>ad~ahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	qad~+hA
        GLOSS:	size/physique+its/their/her

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P205W1
      OFFSETS:	0-2
       TOKENS:	P205W1-P205W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P205W2
      OFFSETS:	3-5
       TOKENS:	P205W2-P205W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	بنتي
     IS_TRANS:	bnty
        INDEX:	P205W3
      OFFSETS:	6-10
       TOKENS:	P205W3-P205W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binotiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	binot+iy
        GLOSS:	daughter/girl/daughters/girls+my

 INPUT STRING:	العنف
     IS_TRANS:	AlEnf
        INDEX:	P205W4
      OFFSETS:	11-16
       TOKENS:	P205W5-P205W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eunof_1]
   UNSPLITVOC:	(AlEunof)
          POS:	DET+NOUN
          VOC:	Al+Eunof
        GLOSS:	the+violence/force

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P205W5
      OFFSETS:	17-21
       TOKENS:	P205W6-P205W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P205W6
      OFFSETS:	22-26
       TOKENS:	P205W7-P205W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P205W7
      OFFSETS:	27-30
       TOKENS:	P205W8-P205W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P205W8
      OFFSETS:	31-33
       TOKENS:	P205W10-P205W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P205W9
      OFFSETS:	34-37
       TOKENS:	P205W11-P205W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P205W10
      OFFSETS:	38-40
       TOKENS:	P205W12-P205W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P205W11
      OFFSETS:	41-44
       TOKENS:	P205W13-P205W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
