 INPUT STRING:	الستودينت
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	maEa+hA
        GLOSS:	with+its/their/her

 INPUT STRING:	فلوس
     IS_TRANS:	flws
        INDEX:	P143W7
      OFFSETS:	31-35
       TOKENS:	P143W9-P143W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filos_1]
   UNSPLITVOC:	(filuws)
          POS:	NOUN
          VOC:	filuws
        GLOSS:	fils (small coin)/fils (small coins)/money

 INPUT STRING:	فاللي
     IS_TRANS:	fAlly
        INDEX:	P143W8
      OFFSETS:	36-41
       TOKENS:	P143W10-P143W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(faAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	fa+Aill~iy
        GLOSS:	so/and+who/which/that

 INPUT STRING:	حأكسب
     IS_TRANS:	H>ksb
        INDEX:	P143W9
      OFFSETS:	42-47
       TOKENS:	P143W12-P143W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kisb_1]
   UNSPLITVOC:	(HaAakosab)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+kosab
        GLOSS:	will+I+win

 INPUT STRING:	أكتر
     IS_TRANS:	>ktr
        INDEX:	P143W10
      OFFSETS:	48-52
       TOKENS:	P143W14-P143W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	more

 INPUT STRING:	فاهم
     IS_TRANS:	fAhm
        INDEX:	P143W11
      OFFSETS:	53-57
       TOKENS:	P143W15-P143W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAhim_1]
   UNSPLITVOC:	(fAhim)
          POS:	ADJ
          VOC:	fAhim
        GLOSS:	understanding

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P144W1
      OFFSETS:	0-3
       TOKENS:	P144W1-P144W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P144W2
      OFFSETS:	4-7
       TOKENS:	P144W2-P144W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	ADV
          VOC:	Hat~aY
        GLOSS:	even/including/and/and even/so that/lest/until/up to

 INPUT STRING:	موزة
     IS_TRANS:	mwzp
        INDEX:	P144W3
      OFFSETS:	8-12
       TOKENS:	P144W3-P144W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwz~_1]
   UNSPLITVOC:	(muwz~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muwz~+ap
        GLOSS:	beautiful+[fem.sg.]

 INPUT STRING:	ورفيعة
     IS_TRANS:	wrfyEp
        INDEX:	P144W4
      OFFSETS:	13-19
       TOKENS:	P144W4-P144W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rufay~aE_1]
   UNSPLITVOC:	(wirufay~aEap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+rufay~aE+ap
        GLOSS:	and+high-ranking/top-level/thin/fine/delicate/high rank/high+[fem.sg.]

 INPUT STRING:	وشعري
     IS_TRANS:	w$Ery
        INDEX:	P144W5
      OFFSETS:	20-25
       TOKENS:	P144W6-P144W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEorap_1]
   UNSPLITVOC:	(wi$aEoriy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wi+$aEor+iy
        GLOSS:	and+hair/hairs/hair-piece+my

 INPUT STRING:	ناعم
     IS_TRANS:	nAEm
        INDEX:	P144W6
      OFFSETS:	26-30
       TOKENS:	P144W9-P144W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAEim_1]
   UNSPLITVOC:	(nAEim)
          POS:	ADJ
          VOC:	nAEim
        GLOSS:	smooth/soft

 INPUT STRING:	وملون
     IS_TRANS:	wmlwn
        INDEX:	P144W7
      OFFSETS:	31-36
       TOKENS:	P144W10-P144W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[milaw~in_1]
   UNSPLITVOC:	(wimilaw~in)
          POS:	CONJ+ADJ
          VOC:	wi+milaw~in
        GLOSS:	and+colored/multicolored/kaleidoscopic/multi colored/not white

 INPUT STRING:	رباني
     IS_TRANS:	rbAny
        INDEX:	P144W8
      OFFSETS:	37-42
       TOKENS:	P144W12-P144W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~Aniy_1]
   UNSPLITVOC:	(rab~Aniy)
          POS:	ADJ
          VOC:	rab~Aniy
        GLOSS:	divine

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P144W9
      OFFSETS:	43-44
       TOKENS:	P144W13-P144W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	آخر
     IS_TRANS:	|xr
        INDEX:	P145W1
      OFFSETS:	0-3
       TOKENS:	P145W1-P145W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|axir_1]
   UNSPLITVOC:	(|axir)
          POS:	NOUN
          VOC:	|axir
        GLOSS:	end/later part

 INPUT STRING:	حفلة
     IS_TRANS:	Hflp
        INDEX:	P145W2
      OFFSETS:	4-8
       TOKENS:	P145W2-P145W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hafolap_1]
   UNSPLITVOC:	(Hafolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hafol+ap
        GLOSS:	celebration/party/ceremony/celebrations/parties/ceremonies+[fem.sg.]

 INPUT STRING:	عزف
     IS_TRANS:	Ezf
        INDEX:	P145W3
      OFFSETS:	9-12
       TOKENS:	P145W3-P145W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eazaf_1]
   UNSPLITVOC:	(Eazaf)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Eazaf+(null)
        GLOSS:	play (instrument)/make music/be played (music/musical instrument)/turn away/abstain+he/it

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P145W4
      OFFSETS:	13-18
       TOKENS:	P145W4-P145W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EaliyhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+her/it

 INPUT STRING:	سبت
     IS_TRANS:	sbt
        INDEX:	P145W5
      OFFSETS:	19-22
       TOKENS:	P145W6-P145W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(sibt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	sib+t
        GLOSS:	flow/neglect+I

 INPUT STRING:	الجيتار
     IS_TRANS:	AljytAr
        INDEX:	P145W6
      OFFSETS:	23-30
       TOKENS:	P145W7-P145W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiytAr_1]
   UNSPLITVOC:	(AljiytAr)
          POS:	DET+NOUN
          VOC:	Al+jiytAr
        GLOSS:	the+guitar

 INPUT STRING:	ووقفت
     IS_TRANS:	wwqft
        INDEX:	P145W7
      OFFSETS:	31-36
       TOKENS:	P145W8-P145W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiqif_1]
   UNSPLITVOC:	(wiwiqift)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+wiqif+t
        GLOSS:	and+stand+I

 INPUT STRING:	أرقص
     IS_TRANS:	>rqS
        INDEX:	P145W8
      OFFSETS:	37-41
       TOKENS:	P145W10-P145W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqaS_1]
   UNSPLITVOC:	(AaroquS)
          POS:	IV1S+IV
          VOC:	Aa+roquS
        GLOSS:	I+dance

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P145W9
      OFFSETS:	42-43
       TOKENS:	P145W11-P145W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P146W1
      OFFSETS:	0-2
       TOKENS:	P146W1-P146W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P146W2
      OFFSETS:	3-7
       TOKENS:	P146W2-P146W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	NOUN
          VOC:	>akiyd
        GLOSS:	certain/definite

 INPUT STRING:	وقفت
     IS_TRANS:	wqft
        INDEX:	P146W3
      OFFSETS:	8-12
       TOKENS:	P146W3-P146W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiqif_1]
   UNSPLITVOC:	(wiqift)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	wiqif+t
        GLOSS:	stand+I

 INPUT STRING:	أرقص
     IS_TRANS:	>rqS
        INDEX:	P146W4
      OFFSETS:	13-17
       TOKENS:	P146W4-P146W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqaS_1]
   UNSPLITVOC:	(AaroquS)
          POS:	IV1S+IV
          VOC:	Aa+roquS
        GLOSS:	I+dance

 INPUT STRING:	شعبي
     IS_TRANS:	$Eby
        INDEX:	P146W5
      OFFSETS:	18-22
       TOKENS:	P146W5-P146W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEobiy_1]
   UNSPLITVOC:	($aEobiy)
          POS:	ADJ
          VOC:	$aEobiy
        GLOSS:	public/popular/national

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P146W6
      OFFSETS:	23-25
       TOKENS:	P146W6-P146W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بلدي
     IS_TRANS:	bldy
        INDEX:	P146W7
      OFFSETS:	26-30
       TOKENS:	P146W7-P146W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baladiy_1]
   UNSPLITVOC:	(baladiy)
          POS:	ADJ
          VOC:	baladiy
        GLOSS:	popular/national/domestic/mass/throng/public/liked/well-spread

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P146W8
      OFFSETS:	31-32
       TOKENS:	P146W8-P146W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	لول
     IS_TRANS:	lwl
        INDEX:	P146W9
      OFFSETS:	33-36
       TOKENS:	P146W9-P146W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lwl)
          POS:	FOREIGN
          VOC:	lwl
        GLOSS:	nogloss

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P146W10
      OFFSETS:	37-40
       TOKENS:	P146W10-P146W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	فرق
     IS_TRANS:	frq
        INDEX:	P146W11
      OFFSETS:	41-44
       TOKENS:	P146W12-P146W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroq_1]
   UNSPLITVOC:	(faroq)
          POS:	NOUN
          VOC:	faroq
        GLOSS:	difference/discrepancy/differences/discrepancies

 INPUT STRING:	بأمارة
     IS_TRANS:	b>mArp
        INDEX:	P147W1
      OFFSETS:	0-6
       TOKENS:	P147W1-P147W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AimArap_1]
   UNSPLITVOC:	(biAimArap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+AimAr+ap
        GLOSS:	with/by+Emirate/Emirates+[fem.sg.]

 INPUT STRING:	أني
     IS_TRANS:	>ny
        INDEX:	P147W2
      OFFSETS:	7-10
       TOKENS:	P147W3-P147W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	>an~+iy
        GLOSS:	that+i

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P147W3
      OFFSETS:	11-14
       TOKENS:	P147W5-P147W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	لابسة
     IS_TRANS:	lAbsp
        INDEX:	P147W4
      OFFSETS:	15-20
       TOKENS:	P147W6-P147W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAbis_1]
   UNSPLITVOC:	(lAbosap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	lAbos+ap
        GLOSS:	wearing+[fem.sg.]

 INPUT STRING:	فستان
     IS_TRANS:	fstAn
        INDEX:	P147W5
      OFFSETS:	21-26
       TOKENS:	P147W7-P147W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fusotAn_1]
   UNSPLITVOC:	(fusotAn)
          POS:	NOUN
          VOC:	fusotAn
        GLOSS:	dress/gown/dresses/gowns

 INPUT STRING:	اسود
     IS_TRANS:	Aswd
        INDEX:	P147W6
      OFFSETS:	27-31
       TOKENS:	P147W8-P147W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isowid_1]
   UNSPLITVOC:	(<isowid)
          POS:	ADJ
          VOC:	<isowid
        GLOSS:	black

 INPUT STRING:	قصير
     IS_TRANS:	qSyr
        INDEX:	P147W7
      OFFSETS:	32-36
       TOKENS:	P147W9-P147W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quSay~ar_1]
   UNSPLITVOC:	(quSay~ar)
          POS:	ADJ
          VOC:	quSay~ar
        GLOSS:	short

 INPUT STRING:	وهه
     IS_TRANS:	whh
        INDEX:	P147W8
      OFFSETS:	37-40
       TOKENS:	P147W10-P147W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(whh)
          POS:	FOREIGN
          VOC:	whh
        GLOSS:	nogloss

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P147W9
      OFFSETS:	41-43
       TOKENS:	P147W11-P147W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(hl)
          POS:	FOREIGN
          VOC:	hl
        GLOSS:	nogloss

 INPUT STRING:	15
     IS_TRANS:	15
        INDEX:	P147W10
      OFFSETS:	44-46
       TOKENS:	P147W12-P147W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[15_1]
   UNSPLITVOC:	(15)
          POS:	NOUN_NUM
          VOC:	15
        GLOSS:	15

 INPUT STRING:	سم
     IS_TRANS:	sm
        INDEX:	P147W11
      OFFSETS:	47-49
       TOKENS:	P147W13-P147W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sm_1]
   UNSPLITVOC:	(sm)
          POS:	ABBREV
          VOC:	sm
        GLOSS:	centimeter

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P147W12
      OFFSETS:	50-51
       TOKENS:	P147W14-P147W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P147W13
      OFFSETS:	52-55
       TOKENS:	P147W15-P147W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	تحفة
     IS_TRANS:	tHfp
        INDEX:	P147W14
      OFFSETS:	56-60
       TOKENS:	P147W16-P147W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuHofap_1]
   UNSPLITVOC:	(tuHofap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	tuHof+ap
        GLOSS:	gift/museum article/gifts/museum articles+[fem.sg.]

 INPUT STRING:	تحت
     IS_TRANS:	tHt
        INDEX:	P148W1
      OFFSETS:	0-3
       TOKENS:	P148W1-P148W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(tHt)
          POS:	FOREIGN
          VOC:	tHt
        GLOSS:	nogloss

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P148W2
      OFFSETS:	4-6
       TOKENS:	P148W2-P148W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dy)
          POS:	FOREIGN
          VOC:	dy
        GLOSS:	nogloss

 INPUT STRING:	ولد
     IS_TRANS:	wld
        INDEX:	P148W3
      OFFSETS:	7-10
       TOKENS:	P148W3-P148W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(walad)
          POS:	NOUN
          VOC:	walad
        GLOSS:	child/son/children

 INPUT STRING:	مالآيجي
     IS_TRANS:	mAl|yjy
        INDEX:	P148W4
      OFFSETS:	11-18
       TOKENS:	P148W4-P148W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mAl|yjy)
          POS:	TYPO
          VOC:	mAl|yjy
        GLOSS:	nogloss

 INPUT STRING:	جا
     IS_TRANS:	jA
        INDEX:	P148W5
      OFFSETS:	19-21
       TOKENS:	P148W5-P148W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(jA)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	jA+(null)
        GLOSS:	occur/came/come/reach/arrive+he/it

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P148W6
      OFFSETS:	22-24
       TOKENS:	P148W6-P148W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+me

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P148W7
      OFFSETS:	25-28
       TOKENS:	P148W8-P148W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanod)
          POS:	NOUN
          VOC:	Eanod
        GLOSS:	at/have/possession/with

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P148W8
      OFFSETS:	29-31
       TOKENS:	P148W9-P148W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	كبت
     IS_TRANS:	kbt
        INDEX:	P148W9
      OFFSETS:	32-35
       TOKENS:	P148W10-P148W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kbt)
          POS:	FOREIGN
          VOC:	kbt
        GLOSS:	nogloss

 INPUT STRING:	فليرتين
     IS_TRANS:	flyrtyn
        INDEX:	P148W10
      OFFSETS:	36-43
       TOKENS:	P148W11-P148W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(flyrtyn)
          POS:	FOREIGN
          VOC:	flyrtyn
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P148W11
      OFFSETS:	44-45
       TOKENS:	P148W12-P148W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P148W12
      OFFSETS:	46-49
       TOKENS:	P148W13-P148W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	ابن
     IS_TRANS:	Abn
        INDEX:	P148W13
      OFFSETS:	50-53
       TOKENS:	P148W14-P148W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ibon_1]
   UNSPLITVOC:	(<ibon)
          POS:	NOUN
          VOC:	<ibon
        GLOSS:	son/children/sons

 INPUT STRING:	موزة
     IS_TRANS:	mwzp
        INDEX:	P148W14
      OFFSETS:	54-58
       TOKENS:	P148W15-P148W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwz~_1]
   UNSPLITVOC:	(muwz~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muwz~+ap
        GLOSS:	beautiful+[fem.sg.]

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P149W1
      OFFSETS:	0-4
       TOKENS:	P149W1-P149W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	*
     IS_TRANS:	*
        INDEX:	P149W2
      OFFSETS:	4-5
       TOKENS:	P149W2-P149W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(*)
          POS:	PUNC
          VOC:	*
        GLOSS:	*

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P150W1
      OFFSETS:	0-2
       TOKENS:	P150W1-P150W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	طوال
     IS_TRANS:	TwAl
        INDEX:	P150W2
      OFFSETS:	3-7
       TOKENS:	P150W2-P150W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TuwAl_1]
   UNSPLITVOC:	(TuwAl)
