 INPUT STRING:	نوايا
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P13W5
      OFFSETS:	21-24
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P13W6
      OFFSETS:	25-29
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P14W2
      OFFSETS:	6-9
       TOKENS:	P14W2-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P14W3
      OFFSETS:	10-11
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	)
     IS_TRANS:	)
        INDEX:	P14W4
      OFFSETS:	11-12
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	())
          POS:	PUNC
          VOC:	)
        GLOSS:	)

 INPUT STRING:	وكنزي
     IS_TRANS:	wknzy
        INDEX:	P15W1
      OFFSETS:	0-5
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kinoziy_1]
   UNSPLITVOC:	(wikinoziy)
          POS:	CONJ+NOUN_PROP
          VOC:	wa+kanoziy~
        GLOSS:	and+Kanzi

 INPUT STRING:	حبيبتي
     IS_TRANS:	Hbybty
        INDEX:	P15W2
      OFFSETS:	6-12
       TOKENS:	P15W3-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	beloved/lover/darling/dear/sweet heart/sweatheart/sweetheart+[fem.sg.]+my

 INPUT STRING:	عاملة
     IS_TRANS:	EAmlp
        INDEX:	P15W3
      OFFSETS:	13-18
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmolap_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	working+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P15W4
      OFFSETS:	19-22
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P15W5
      OFFSETS:	22-23
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yA_rab~)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab~
        GLOSS:	O/oh+lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	دايما
     IS_TRANS:	dAymA
        INDEX:	P16W2
      OFFSETS:	5-10
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAyom_1]
   UNSPLITVOC:	(dAyomAF)
          POS:	ADV+CASE_INDEF_ACC
          VOC:	dAyom+AF
        GLOSS:	always+[acc.indef.]

 INPUT STRING:	فرحانة
     IS_TRANS:	frHAnp
        INDEX:	P16W3
      OFFSETS:	11-17
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroHAn_1]
   UNSPLITVOC:	(faroHAnap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	faroHAn+ap
        GLOSS:	cheerful/delighted+[fem.sg.]

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P16W4
      OFFSETS:	18-22
       TOKENS:	P16W5-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by/him/them/her+it/them/her

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P17W1
      OFFSETS:	0-5
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P17W2
      OFFSETS:	6-9
       TOKENS:	P17W2-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	حبة
     IS_TRANS:	Hbp
        INDEX:	P17W3
      OFFSETS:	10-13
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~ap_1]
   UNSPLITVOC:	(Hab~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	Hab~+ap
        GLOSS:	seed+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P17W4
      OFFSETS:	14-17
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	وحبة
     IS_TRANS:	wHbp
        INDEX:	P17W5
      OFFSETS:	18-22
       TOKENS:	P17W6-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~ap_1]
   UNSPLITVOC:	(wiHab~ap)
          POS:	CONJ+NOUN_QUANT+NSUFF_FEM_SG
          VOC:	wi+Hab~+ap
        GLOSS:	and+seed+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P17W6
      OFFSETS:	23-26
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P18W1
      OFFSETS:	0-3
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P18W2
      OFFSETS:	4-6
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	صايمة
     IS_TRANS:	SAymp
        INDEX:	P18W3
      OFFSETS:	7-12
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAyim_1]
   UNSPLITVOC:	(SAyomap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	SAyom+ap
        GLOSS:	fasting+[fem.sg.]

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P18W4
      OFFSETS:	13-17
       TOKENS:	P18W4-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	الرضاعة
     IS_TRANS:	AlrDAEp
        INDEX:	P18W5
      OFFSETS:	18-25
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raDAEap_1]
   UNSPLITVOC:	(AlraDAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+raDAE+ap
        GLOSS:	the+breast-feeding/sucking+[fem.sg.]

 INPUT STRING:	بسمة
     IS_TRANS:	bsmp
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basomap_1]
   UNSPLITVOC:	(basomap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	basom+ap
        GLOSS:	Basma+[fem.sg.]

 INPUT STRING:	بتعيد
     IS_TRANS:	btEyd
        INDEX:	P19W2
      OFFSETS:	5-10
       TOKENS:	P19W2-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eay~id_1]
   UNSPLITVOC:	(bitiEay~id)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+Eay~id
        GLOSS:	[present-tense]+it/they/she+celebrate

 INPUT STRING:	عليكي
     IS_TRANS:	Elyky
        INDEX:	P19W3
      OFFSETS:	11-16
       TOKENS:	P19W4-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaYik)
          POS:	PREP+PRON_2FS
          VOC:	EalaY+ik
        GLOSS:	on/above+you

 INPUT STRING:	ممن
     IS_TRANS:	mmn
        INDEX:	P20W1
      OFFSETS:	0-3
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mmn)
          POS:	TYPO
          VOC:	mmn
        GLOSS:	nogloss

 INPUT STRING:	ابعت
     IS_TRANS:	AbEt
        INDEX:	P20W2
      OFFSETS:	4-8
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEat_1]
   UNSPLITVOC:	(AaboEat)
          POS:	IV1S+IV
          VOC:	Aa+boEat
        GLOSS:	I+send

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P20W3
      OFFSETS:	9-12
       TOKENS:	P20W3-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+it/them/her

 INPUT STRING:	صورة
     IS_TRANS:	Swrp
        INDEX:	P20W4
      OFFSETS:	13-17
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Suwr+ap
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos+[fem.sg.]

 INPUT STRING:	كنزي
     IS_TRANS:	knzy
        INDEX:	P20W5
      OFFSETS:	18-22
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kinoziy_1]
   UNSPLITVOC:	(kinoziy)
          POS:	NOUN_PROP
          VOC:	kinoziy
        GLOSS:	Kanzi

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P20W6
      OFFSETS:	22-23
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	الصيام
     IS_TRANS:	AlSyAm
        INDEX:	P21W1
      OFFSETS:	0-6
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiyAm_1]
   UNSPLITVOC:	(AlSiyAm)
          POS:	DET+NOUN
          VOC:	Al+SiyAm
        GLOSS:	the+fasting/abstinence

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P21W2
      OFFSETS:	7-10
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here/from now on/somewhere

 INPUT STRING:	١٩
     IS_TRANS:	&#x661;&#x669;
        INDEX:	P21W3
      OFFSETS:	11-13
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(19)
          POS:	NOUN_NUM
          VOC:	19
        GLOSS:	19

 INPUT STRING:	ساعة
     IS_TRANS:	sAEp
        INDEX:	P21W4
      OFFSETS:	14-18
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(sAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	sAE+ap
        GLOSS:	hour/time/hours/clock/watch/timepiece/clocks/watches+[fem.sg.]

 INPUT STRING:	المغرب
     IS_TRANS:	Almgrb
        INDEX:	P22W1
      OFFSETS:	0-6
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[magorib_1]
   UNSPLITVOC:	(Almagorib)
          POS:	DET+NOUN
          VOC:	Al+magorib
        GLOSS:	the+western areas/sunset

 INPUT STRING:	الساعة
     IS_TRANS:	AlsAEp
        INDEX:	P22W2
      OFFSETS:	7-13
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(AlsAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sAE+ap
        GLOSS:	the+hour/time/hours/clock/watch/timepiece/clocks/watches+[fem.sg.]

 INPUT STRING:	١٠
     IS_TRANS:	&#x661;&#x660;
        INDEX:	P22W3
      OFFSETS:	14-16
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(10)
          POS:	NOUN_NUM
          VOC:	10
        GLOSS:	10

 INPUT STRING:	باليل
     IS_TRANS:	bAlyl
        INDEX:	P22W4
      OFFSETS:	17-22
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bAlyl)
          POS:	TYPO
          VOC:	bAlyl
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P23W1
      OFFSETS:	0-2
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	رب
     IS_TRANS:	rb
        INDEX:	P23W2
      OFFSETS:	3-5
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P24W1
      OFFSETS:	0-2
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	شيخة
     IS_TRANS:	$yxp
        INDEX:	P24W2
      OFFSETS:	3-7
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$iyxap_1]
   UNSPLITVOC:	($iyxap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$ayx+ap
        GLOSS:	matron/elderly woman+[fem.sg.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P25W1
      OFFSETS:	0-4
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يستر
     IS_TRANS:	ystr
        INDEX:	P25W2
      OFFSETS:	5-9
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[satar_1]
   UNSPLITVOC:	(yusotur)
          POS:	IV3MS+IV
          VOC:	yu+sotur
        GLOSS:	he/it+cover/hide

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P25W3
      OFFSETS:	10-12
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	احلامك
     IS_TRANS:	AHlAmk
        INDEX:	P25W4
      OFFSETS:	13-19
       TOKENS:	P25W5-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilom_1]
   UNSPLITVOC:	(>aHolAmik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	>aHolAm+ik
        GLOSS:	benevolence/patience/gentleness/intelligence+your

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P25W5
      OFFSETS:	20-22
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	إنشاء
     IS_TRANS:	<n$A'
        INDEX:	P26W1
      OFFSETS:	0-5
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	(<in~$A')
          POS:	SUB_CONJ+PV
          VOC:	<in~+$A'
        GLOSS:	that+want

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P26W2
      OFFSETS:	6-10
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P27W1
      OFFSETS:	0-2
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	سنة
     IS_TRANS:	snp
        INDEX:	P27W2
      OFFSETS:	3-6
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year/years+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P27W3
      OFFSETS:	7-8
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P27W4
      OFFSETS:	9-12
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anoti_1]
   UNSPLITVOC:	(>anoti)
          POS:	PRON_2FS
          VOC:	>anoti
        GLOSS:	you [fem.sg.]

 INPUT STRING:	طيبة
     IS_TRANS:	Tybp
        INDEX:	P27W5
      OFFSETS:	13-17
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ibap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Tay~ib+ap
        GLOSS:	good/pleasant+[fem.sg.]

 INPUT STRING:	عاملة
     IS_TRANS:	EAmlp
        INDEX:	P28W1
      OFFSETS:	0-5
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmolap_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	working+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P28W2
      OFFSETS:	6-9
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P28W3
      OFFSETS:	10-12
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	يحيي
     IS_TRANS:	yHyy
        INDEX:	P28W4
      OFFSETS:	13-17
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yaHoyaY_1]
   UNSPLITVOC:	(yaHoyaY)
          POS:	NOUN_PROP
          VOC:	yaHoyaY
        GLOSS:	Yahya/Yahia/Yehiyeh

 INPUT STRING:	جميلة
     IS_TRANS:	jmylp
        INDEX:	P29W1
      OFFSETS:	0-5
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
