 INPUT STRING:	اميرة
   UNSPLITVOC:	(biyitAs~if)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+tAs~if
        GLOSS:	[present-tense]+he/it+be sorry/regret

 INPUT STRING:	قالي
     IS_TRANS:	qAly
        INDEX:	P739W1
      OFFSETS:	0-4
       TOKENS:	P739W1-P739W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl~iy)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_1S
          VOC:	qAl+(null)+li+iy
        GLOSS:	say/tell+he/it+to/for+I

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P739W2
      OFFSETS:	5-8
       TOKENS:	P739W4-P739W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	اسف
     IS_TRANS:	Asf
        INDEX:	P739W3
      OFFSETS:	9-12
       TOKENS:	P739W5-P739W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|asif_1]
   UNSPLITVOC:	(|asif)
          POS:	NOUN
          VOC:	|asif
        GLOSS:	sorry/regretful

 INPUT STRING:	اسف
     IS_TRANS:	Asf
        INDEX:	P739W4
      OFFSETS:	13-16
       TOKENS:	P739W6-P739W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|asif_1]
   UNSPLITVOC:	(|asif)
          POS:	NOUN
          VOC:	|asif
        GLOSS:	sorry/regretful

 INPUT STRING:	وقفل
     IS_TRANS:	wqfl
        INDEX:	P740W1
      OFFSETS:	0-4
       TOKENS:	P740W1-P740W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qafal_1]
   UNSPLITVOC:	(wiqafal)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+qafal+(null)
        GLOSS:	and+return/lock+he/it

 INPUT STRING:	السكة
     IS_TRANS:	Alskp
        INDEX:	P740W2
      OFFSETS:	5-10
       TOKENS:	P740W3-P740W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sik~ap_1]
   UNSPLITVOC:	(Alsik~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sik~+ap
        GLOSS:	the+road/roads+[fem.sg.]

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P741W1
      OFFSETS:	0-4
       TOKENS:	P741W1-P741W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P741W2
      OFFSETS:	5-7
       TOKENS:	P741W2-P741W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مشكله
     IS_TRANS:	m$klh
        INDEX:	P741W3
      OFFSETS:	8-13
       TOKENS:	P741W3-P741W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(mu$okilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mu$okil+ap
        GLOSS:	problem/issue/problems/issues/inconveniences+[fem.sg.]

 INPUT STRING:	ابعدي
     IS_TRANS:	AbEdy
        INDEX:	P742W1
      OFFSETS:	0-5
       TOKENS:	P742W1-P742W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biEid_1]
   UNSPLITVOC:	(AiboEidiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AiboEid+iy
        GLOSS:	be distant/stay away/remove oneself/go far away+you

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P742W2
      OFFSETS:	6-8
       TOKENS:	P742W2-P742W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	الغم
     IS_TRANS:	Algm
        INDEX:	P742W3
      OFFSETS:	9-13
       TOKENS:	P742W3-P742W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gam~_1]
   UNSPLITVOC:	(Algam~)
          POS:	DET+NOUN
          VOC:	Al+gam~
        GLOSS:	the+affliction/distress

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P742W4
      OFFSETS:	14-16
       TOKENS:	P742W4-P742W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	وغيري
     IS_TRANS:	wgyry
        INDEX:	P742W5
      OFFSETS:	17-22
       TOKENS:	P742W5-P742W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(wigay~ariy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+gay~ar+iy
        GLOSS:	and+change+you

 INPUT STRING:	رقمك
     IS_TRANS:	rqmk
        INDEX:	P742W6
      OFFSETS:	23-27
       TOKENS:	P742W7-P742W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqam_1]
   UNSPLITVOC:	(raqamik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	raqam+ik
        GLOSS:	numerals/number/numbers/numeral+your

 INPUT STRING:	معرفش
     IS_TRANS:	mErf$
        INDEX:	P743W1
      OFFSETS:	0-5
       TOKENS:	P743W1-P743W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(mA_AaEoraf$)
          POS:	NEG_PART+IV1S+IV+NEG_PART
          VOC:	mA+Aa+Eoraf+$
        GLOSS:	not+I+know+not

 INPUT STRING:	الموبيل
     IS_TRANS:	Almwbyl
        INDEX:	P743W2
      OFFSETS:	6-13
       TOKENS:	P743W4-P743W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwbiyl_1]
   UNSPLITVOC:	(Almuwbiyl)
          POS:	DET+ADJ
          VOC:	Al+muwbiyl
        GLOSS:	the+mobile

 INPUT STRING:	اتصل
     IS_TRANS:	AtSl
        INDEX:	P743W3
      OFFSETS:	14-18
       TOKENS:	P743W5-P743W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aSal_1]
   UNSPLITVOC:	(Ait~aSal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Ait~aSal+(null)
        GLOSS:	contact/get in touch (with)+he/it

 INPUT STRING:	غصب
     IS_TRANS:	gSb
        INDEX:	P743W4
      OFFSETS:	19-22
       TOKENS:	P743W6-P743W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaSob_1]
   UNSPLITVOC:	(gaSob)
          POS:	NOUN
          VOC:	gaSob
        GLOSS:	extortion/coercion/usurpation/forcibly/by force

 INPUT STRING:	عنه
     IS_TRANS:	Enh
        INDEX:	P743W5
      OFFSETS:	23-26
       TOKENS:	P743W7-P743W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Ean~_1]
   UNSPLITVOC:	(Ean~uh)
          POS:	PREP+PRON_3MS
          VOC:	Ean~+uh
        GLOSS:	away from+he/it

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P743W6
      OFFSETS:	27-31
       TOKENS:	P743W9-P743W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/(actually/in effect)/acts+[acc.indef.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P743W7
      OFFSETS:	32-35
       TOKENS:	P743W10-P743W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[wal~A_]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P743W8
      OFFSETS:	36-38
       TOKENS:	P743W11-P743W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P743W9
      OFFSETS:	39-43
       TOKENS:	P743W12-P743W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	اتصل
     IS_TRANS:	AtSl
        INDEX:	P743W10
      OFFSETS:	44-48
       TOKENS:	P743W13-P743W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aSal_1]
   UNSPLITVOC:	(Aat~iSil)
          POS:	IV1S+IV
          VOC:	Aa+t~iSil
        GLOSS:	I+contact/get in touch (with)

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P744W1
      OFFSETS:	0-2
       TOKENS:	P744W1-P744W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P744W2
      OFFSETS:	3-5
       TOKENS:	P744W2-P744W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P744W3
      OFFSETS:	6-9
       TOKENS:	P744W3-P744W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	مرتبك
     IS_TRANS:	mrtbk
        INDEX:	P744W4
      OFFSETS:	10-15
       TOKENS:	P744W4-P744W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[murotabik_1]
   UNSPLITVOC:	(murotabik)
          POS:	ADJ
          VOC:	murotabik
        GLOSS:	embarrassed

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P745W1
      OFFSETS:	0-1
       TOKENS:	P745W1-P745W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	SUB_CONJ
          VOC:	wi
        GLOSS:	while

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P745W2
      OFFSETS:	2-4
       TOKENS:	P745W2-P745W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	بيكلمني
     IS_TRANS:	byklmny
        INDEX:	P745W3
      OFFSETS:	5-12
       TOKENS:	P745W3-P745W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(biyikal~imniy)
          POS:	PROG_PART+IV3MS+IV+IVSUFF_DO:1S
          VOC:	bi+yi+kal~im+niy
        GLOSS:	[present-tense]+he/it+talk/speak/talk to+me

 INPUT STRING:	وقفل
     IS_TRANS:	wqfl
        INDEX:	P746W1
      OFFSETS:	0-4
       TOKENS:	P746W1-P746W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qafal_1]
   UNSPLITVOC:	(wiqafal)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+qafal+(null)
        GLOSS:	and+return/lock+he/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P746W2
      OFFSETS:	5-7
       TOKENS:	P746W3-P746W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P746W3
      OFFSETS:	8-11
       TOKENS:	P746W4-P746W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayr_1]
   UNSPLITVOC:	(gayr)
          POS:	NOUN
          VOC:	gayr
        GLOSS:	not/other

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P746W4
      OFFSETS:	12-14
       TOKENS:	P746W5-P746W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	يقول
     IS_TRANS:	yqwl
        INDEX:	P746W5
      OFFSETS:	15-19
       TOKENS:	P746W6-P746W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwl)
          POS:	IV3MS+IV
          VOC:	yi+quwl
        GLOSS:	he/it+said/say/be said/(for example)

 INPUT STRING:	سلام
     IS_TRANS:	slAm
        INDEX:	P746W6
      OFFSETS:	20-24
       TOKENS:	P746W7-P746W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAm_1]
   UNSPLITVOC:	(salAm)
          POS:	NOUN
          VOC:	salAm
        GLOSS:	peace/greeting/salute/salutation/greetings/salutations/anthem/song

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P747W1
      OFFSETS:	0-3
       TOKENS:	P747W1-P747W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/(for example)+he/it

 INPUT STRING:	اسف
     IS_TRANS:	Asf
        INDEX:	P747W2
      OFFSETS:	4-7
       TOKENS:	P747W2-P747W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|asif_1]
   UNSPLITVOC:	(|asif)
          POS:	NOUN
          VOC:	|asif
        GLOSS:	sorry/regretful

 INPUT STRING:	اسف
     IS_TRANS:	Asf
        INDEX:	P747W3
      OFFSETS:	8-11
       TOKENS:	P747W3-P747W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|asif_1]
   UNSPLITVOC:	(|asif)
          POS:	NOUN
          VOC:	|asif
        GLOSS:	sorry/regretful

 INPUT STRING:	وقفل
     IS_TRANS:	wqfl
        INDEX:	P748W1
      OFFSETS:	0-4
       TOKENS:	P748W1-P748W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qafal_1]
   UNSPLITVOC:	(wiqafal)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+qafal+(null)
        GLOSS:	and+return/lock+he/it

 INPUT STRING:	صدقيني
     IS_TRANS:	Sdqyny
        INDEX:	P749W1
      OFFSETS:	0-6
       TOKENS:	P749W1-P749W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(Sad~aqiyniy)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:1S
          VOC:	Sad~aq+iy+niy
        GLOSS:	believe/give credence to/confirm/be believed/ratify/adopt+you+me

 INPUT STRING:	تحليلي
     IS_TRANS:	tHlyly
        INDEX:	P749W2
      OFFSETS:	7-13
       TOKENS:	P749W3-P749W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoliyl_1]
   UNSPLITVOC:	(taHoliyliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	taHoliyl+iy
        GLOSS:	analysis/dissolution/analyses+my

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P749W3
      OFFSETS:	14-16
       TOKENS:	P749W5-P749W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P749W4
      OFFSETS:	17-19
       TOKENS:	P749W6-P749W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	راجع
     IS_TRANS:	rAjE
        INDEX:	P749W5
      OFFSETS:	20-24
       TOKENS:	P749W7-P749W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjiE_1]
   UNSPLITVOC:	(rAjiE)
          POS:	ADJ
          VOC:	rAjiE
        GLOSS:	returning/reverting/attributed

 INPUT STRING:	عشانك
     IS_TRANS:	E$Ank
        INDEX:	P749W6
      OFFSETS:	25-30
       TOKENS:	P749W8-P749W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$Anik)
          POS:	PREP+NOUN+POSS_PRON_2FS
          VOC:	Ea+$An+ik
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of+your

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P749W7
      OFFSETS:	31-33
       TOKENS:	P749W11-P749W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	عشانه
     IS_TRANS:	E$Anh
        INDEX:	P749W8
      OFFSETS:	34-39
       TOKENS:	P749W12-P749W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$Anuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	Ea+$An+uh
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of+his/its

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P750W1
      OFFSETS:	0-4
       TOKENS:	P750W1-P750W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P750W2
      OFFSETS:	5-8
       TOKENS:	P750W2-P750W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(Aayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	الفرق
     IS_TRANS:	Alfrq
        INDEX:	P750W3
      OFFSETS:	9-14
       TOKENS:	P750W3-P750W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroq_1]
   UNSPLITVOC:	(Alfaroq)
          POS:	DET+NOUN
          VOC:	Al+faroq
        GLOSS:	the+difference/discrepancy/differences/discrepancies

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P751W1
      OFFSETS:	0-2
       TOKENS:	P751W1-P751W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	شيطان
     IS_TRANS:	$yTAn
        INDEX:	P751W2
      OFFSETS:	3-8
       TOKENS:	P751W2-P751W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iyTAn_1]
   UNSPLITVOC:	($iyTAn)
          POS:	NOUN
          VOC:	$iyTAn
        GLOSS:	devil/she-devil/shrew/devils/demons/satan/devilish

 INPUT STRING:	الانسان
     IS_TRANS:	AlAnsAn
        INDEX:	P751W3
      OFFSETS:	9-16
       TOKENS:	P751W3-P751W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inosAn_1]
   UNSPLITVOC:	(Al<inosAn)
          POS:	DET+NOUN
          VOC:	Al+<inosAn
        GLOSS:	the+human being/human beings

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P752W1
      OFFSETS:	0-3
       TOKENS:	P752W1-P752W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[wal~A_]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P752W2
      OFFSETS:	4-7
       TOKENS:	P752W2-P752W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(Aayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P753W1
      OFFSETS:	0-2
       TOKENS:	P753W1-P753W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	عشانك
     IS_TRANS:	E$Ank
        INDEX:	P753W2
      OFFSETS:	3-8
       TOKENS:	P753W2-P753W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$Anik)
          POS:	PREP+NOUN+POSS_PRON_2FS
          VOC:	Ea+$An+ik
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of+your

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P753W3
      OFFSETS:	9-12
       TOKENS:	P753W5-P753W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P753W4
      OFFSETS:	13-15
       TOKENS:	P753W6-P753W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	زمان
     IS_TRANS:	zmAn
        INDEX:	P753W5
      OFFSETS:	16-20
       TOKENS:	P753W7-P753W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAn_1]
   UNSPLITVOC:	(zamAn)
          POS:	NOUN
          VOC:	zamAn
        GLOSS:	time/duration/times/durations

 INPUT STRING:	كلمك
     IS_TRANS:	klmk
        INDEX:	P753W6
      OFFSETS:	21-25
       TOKENS:	P753W8-P753W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
