 INPUT STRING:	نقول
       TOKENS:	P948W6-P948W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ik)
          POS:	SUB_CONJ+PRON_2FS
          VOC:	<in~+ik
        GLOSS:	that+you

 INPUT STRING:	عملتي
     IS_TRANS:	Emlty
        INDEX:	P948W6
      OFFSETS:	25-30
       TOKENS:	P948W8-P948W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamaltiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	Eamal+tiy
        GLOSS:	function/make/act/do+you

 INPUT STRING:	رد
     IS_TRANS:	rd
        INDEX:	P948W7
      OFFSETS:	31-33
       TOKENS:	P948W9-P948W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(rad~)
          POS:	NOUN
          VOC:	rad~
        GLOSS:	reply/response/replies/responses/return/repulsion/in reply to/in answer to

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P948W8
      OFFSETS:	34-37
       TOKENS:	P948W10-P948W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(wamA)
          POS:	CONJ+NEG_PART
          VOC:	wa+mA
        GLOSS:	and+not

 INPUT STRING:	ردتيش
     IS_TRANS:	rdty$
        INDEX:	P948W9
      OFFSETS:	38-43
       TOKENS:	P948W12-P948W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rad_1]
   UNSPLITVOC:	(rdtiy$)
          POS:	PV+PVSUFF_SUBJ:2FS+NEG_PART
          VOC:	rad+tiy+$
        GLOSS:	replay+you+not

 INPUT STRING:	بيبقوا
     IS_TRANS:	bybqwA
        INDEX:	P948W10
      OFFSETS:	44-50
       TOKENS:	P948W14-P948W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(biyiboquwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+boq+uwA
        GLOSS:	[present-tense]+they+become/begin/start/be/begin a new day+we

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P948W11
      OFFSETS:	51-54
       TOKENS:	P948W16-P948W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P949W1
      OFFSETS:	0-4
       TOKENS:	P949W1-P949W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	laugh

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P949W2
      OFFSETS:	5-7
       TOKENS:	P949W2-P949W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	CONJ
          VOC:	lA
        GLOSS:	nor/neither

 INPUT STRING:	بييجوا
     IS_TRANS:	byyjwA
        INDEX:	P949W3
      OFFSETS:	8-14
       TOKENS:	P949W3-P949W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(biyiyojuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+yoj+uwA
        GLOSS:	[present-tense]+they+occur/came/come/reach/arrive+[masc.pl.]

 INPUT STRING:	يتكلموا
     IS_TRANS:	ytklmwA
        INDEX:	P949W4
      OFFSETS:	15-22
       TOKENS:	P949W5-P949W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(yitokal~imuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+tokal~im+uwA
        GLOSS:	they+speak/talk/discuss+[masc.pl.]

 INPUT STRING:	ثاني
     IS_TRANS:	vAny
        INDEX:	P949W5
      OFFSETS:	23-27
       TOKENS:	P949W6-P949W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(vAniy)
          POS:	ADJ
          VOC:	vAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P949W6
      OFFSETS:	28-31
       TOKENS:	P949W7-P949W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P949W7
      OFFSETS:	32-33
       TOKENS:	P949W8-P949W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P950W1
      OFFSETS:	0-2
       TOKENS:	P950W1-P950W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	بتوصلهمش
     IS_TRANS:	btwSlhm$
        INDEX:	P950W2
      OFFSETS:	3-11
       TOKENS:	P950W2-P950W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waSal_1]
   UNSPLITVOC:	(bitiwoSalhum$)
          POS:	PROG_PART+IV3FS+IV+IVSUFF_DO:3P+NEG_PART
          VOC:	bi+ti+woSal+hum+$
        GLOSS:	[present-tense]+it/they/she+arrive at/reach/connect/be arrived at/be reached/be connected+them+not

 INPUT STRING:	الرسالة
     IS_TRANS:	AlrsAlp
        INDEX:	P950W3
      OFFSETS:	12-19
       TOKENS:	P950W6-P950W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[risAlap_1]
   UNSPLITVOC:	(AlrisAlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+risAl+ap
        GLOSS:	the+letter/communication/dissertation/letters/messages/mission/task+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P950W4
      OFFSETS:	19-20
       TOKENS:	P950W7-P950W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P950W5
      OFFSETS:	21-22
       TOKENS:	P950W8-P950W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P951W1
      OFFSETS:	0-2
       TOKENS:	P951W1-P951W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zay_1]
   UNSPLITVOC:	(zay)
          POS:	NOUN
          VOC:	zay
        GLOSS:	like/as

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P951W2
      OFFSETS:	3-5
       TOKENS:	P951W2-P951W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P951W3
      OFFSETS:	6-9
       TOKENS:	P951W3-P951W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	عملت
     IS_TRANS:	Emlt
        INDEX:	P951W4
      OFFSETS:	10-14
       TOKENS:	P951W4-P951W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamalt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Eamal+t
        GLOSS:	function/make/act/do+I

 INPUT STRING:	بعثت
     IS_TRANS:	bEvt
        INDEX:	P951W5
      OFFSETS:	15-19
       TOKENS:	P951W5-P951W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baEav-a_1]
   UNSPLITVOC:	(baEavotu)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	baEav+tu
        GLOSS:	send/emit+I [verb]

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P951W6
      OFFSETS:	20-22
       TOKENS:	P951W6-P951W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	for/to+you

 INPUT STRING:	وعملتي
     IS_TRANS:	wEmlty
        INDEX:	P951W7
      OFFSETS:	23-29
       TOKENS:	P951W8-P951W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(wiEamaltiy)
          POS:	CONJ+PV+PVSUFF_SUBJ:2FS
          VOC:	wi+Eamal+tiy
        GLOSS:	and+function/make/act/do+you

 INPUT STRING:	رد
     IS_TRANS:	rd
        INDEX:	P951W8
      OFFSETS:	30-32
       TOKENS:	P951W10-P951W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(rad~)
          POS:	NOUN
          VOC:	rad~
        GLOSS:	reply/response/replies/responses/return/repulsion/in reply to/in answer to

 INPUT STRING:	وبرضه
     IS_TRANS:	wbrDh
        INDEX:	P951W9
      OFFSETS:	33-38
       TOKENS:	P951W11-P951W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(wibaroDuh)
          POS:	CONJ+ADV
          VOC:	wi+baroDuh
        GLOSS:	and+also

 INPUT STRING:	بعثت
     IS_TRANS:	bEvt
        INDEX:	P951W10
      OFFSETS:	39-43
       TOKENS:	P951W13-P951W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baEav-a_1]
   UNSPLITVOC:	(baEavotu)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	baEav+tu
        GLOSS:	send/emit+I [verb]

 INPUT STRING:	ثاني
     IS_TRANS:	vAny
        INDEX:	P951W11
      OFFSETS:	44-48
       TOKENS:	P951W14-P951W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(vAniy)
          POS:	ADJ
          VOC:	vAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P951W12
      OFFSETS:	49-52
       TOKENS:	P951W15-P951W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P951W13
      OFFSETS:	53-54
       TOKENS:	P951W16-P951W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P951W14
      OFFSETS:	55-57
       TOKENS:	P951W17-P951W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P951W15
      OFFSETS:	58-61
       TOKENS:	P951W18-P951W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	رخم
     IS_TRANS:	rxm
        INDEX:	P951W16
      OFFSETS:	62-65
       TOKENS:	P951W19-P951W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rixim_1]
   UNSPLITVOC:	(rixim)
          POS:	ADJ
          VOC:	rixim
        GLOSS:	thick/impudent/blunt/thick-skinned/bold/courageous/audacious/courage

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P951W17
      OFFSETS:	66-67
       TOKENS:	P951W20-P951W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P952W1
      OFFSETS:	0-4
       TOKENS:	P952W1-P952W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(haha)
          POS:	INTERJ
          VOC:	haha
        GLOSS:	laugh

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P952W2
      OFFSETS:	5-7
       TOKENS:	P952W2-P952W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P952W3
      OFFSETS:	8-11
       TOKENS:	P952W3-P952W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	نمت
     IS_TRANS:	nmt
        INDEX:	P952W4
      OFFSETS:	12-15
       TOKENS:	P952W4-P952W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(nimt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	nim+t
        GLOSS:	sleep/lie down+I

 INPUT STRING:	امبارح
     IS_TRANS:	AmbArH
        INDEX:	P952W5
      OFFSETS:	16-22
       TOKENS:	P952W5-P952W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imobAriH_1]
   UNSPLITVOC:	(<imobAriH)
          POS:	NOUN
          VOC:	<imobAriH
        GLOSS:	yesterday

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P952W6
      OFFSETS:	23-28
       TOKENS:	P952W6-P952W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P952W7
      OFFSETS:	29-31
       TOKENS:	P952W8-P952W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	enough

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P952W8
      OFFSETS:	32-33
       TOKENS:	P952W9-P952W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P953W1
      OFFSETS:	0-3
       TOKENS:	P953W1-P953W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	عدتها
     IS_TRANS:	EdthA
        INDEX:	P953W2
      OFFSETS:	4-9
       TOKENS:	P953W2-P953W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ead~aY_1]
   UNSPLITVOC:	(Ead~ithA)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS
          VOC:	Ead~+it+hA
        GLOSS:	traverse/cross/be traversed/be crossed+I+it/them/her

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P953W3
      OFFSETS:	10-12
       TOKENS:	P953W4-P953W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	enough

 INPUT STRING:	المرة
     IS_TRANS:	Almrp
        INDEX:	P953W4
      OFFSETS:	13-18
       TOKENS:	P953W5-P953W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(Almar~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mar~+ap
        GLOSS:	the+occasion/time/moment/occasions/times/moments/once/one time+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P953W5
      OFFSETS:	19-21
       TOKENS:	P953W6-P953W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[dA_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P953W6
      OFFSETS:	22-23
       TOKENS:	P953W7-P953W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P954W1
      OFFSETS:	0-5
       TOKENS:	P954W1-P954W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P954W2
      OFFSETS:	6-9
       TOKENS:	P954W3-P954W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	شخصيا
     IS_TRANS:	$xSyA
        INDEX:	P954W3
      OFFSETS:	10-15
       TOKENS:	P954W4-P954W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoSiy~_1]
   UNSPLITVOC:	($axoSiy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	$axoSiy~+AF
        GLOSS:	private/personal/in person/personally+[acc.indef.]

 INPUT STRING:	بأنام
     IS_TRANS:	b>nAm
        INDEX:	P954W4
      OFFSETS:	16-21
       TOKENS:	P954W5-P954W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(bAanAm)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+nAm
        GLOSS:	[present-tense]+I+sleep/lie down

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P954W5
      OFFSETS:	22-25
       TOKENS:	P954W7-P954W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	نفسي
     IS_TRANS:	nfsy
        INDEX:	P954W6
      OFFSETS:	26-30
       TOKENS:	P954W8-P954W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nafos+iy
        GLOSS:	same/self/selves/soul/souls+my

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P954W7
      OFFSETS:	31-32
       TOKENS:	P954W10-P954W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P955W1
      OFFSETS:	0-3
       TOKENS:	P955W1-P955W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فكرة
     IS_TRANS:	fkrp
        INDEX:	P955W2
      OFFSETS:	4-8
       TOKENS:	P955W2-P955W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P955W3
      OFFSETS:	9-12
       TOKENS:	P955W3-P955W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P955W4
      OFFSETS:	13-16
       TOKENS:	P955W4-P955W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P955W5
      OFFSETS:	17-21
       TOKENS:	P955W5-P955W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P956W1
      OFFSETS:	0-3
       TOKENS:	P956W1-P956W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	عاملة
     IS_TRANS:	EAmlp
        INDEX:	P956W2
      OFFSETS:	4-9
       TOKENS:	P956W2-P956W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	active+[fem.sg.]

 INPUT STRING:	أوف
     IS_TRANS:	>wf
        INDEX:	P956W3
      OFFSETS:	10-13
       TOKENS:	P956W3-P956W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>wf)
          POS:	FOREIGN
          VOC:	>wf
        GLOSS:	nogloss

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P956W4
      OFFSETS:	14-17
       TOKENS:	P956W4-P956W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
