 INPUT STRING:	حمدالله
      OFFSETS:	0-2
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P29W2
      OFFSETS:	3-5
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_2]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	[emphasis]

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P29W3
      OFFSETS:	6-8
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	الواحد
     IS_TRANS:	AlwAHd
        INDEX:	P29W4
      OFFSETS:	9-15
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(AlwAHid)
          POS:	DET+NOUN_NUM
          VOC:	Al+wAHid
        GLOSS:	the+one

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P29W5
      OFFSETS:	16-19
       TOKENS:	P29W5-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	متوقع
     IS_TRANS:	mtwqE
        INDEX:	P29W6
      OFFSETS:	20-25
       TOKENS:	P29W6-P29W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutawaq~iE_1]
   UNSPLITVOC:	(mutawaq~iE)
          POS:	ADJ
          VOC:	mutawaq~iE
        GLOSS:	expecting/anticipating

 INPUT STRING:	مقاومة
     IS_TRANS:	mqAwmp
        INDEX:	P29W7
      OFFSETS:	26-32
       TOKENS:	P29W7-P29W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqAwomap_1]
   UNSPLITVOC:	(muqAwomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muqAwom+ap
        GLOSS:	resistance+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P30W1
      OFFSETS:	0-2
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	معقول
     IS_TRANS:	mEqwl
        INDEX:	P30W2
      OFFSETS:	3-8
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoquwl_1]
   UNSPLITVOC:	(maEoquwl)
          POS:	ADJ
          VOC:	maEoquwl
        GLOSS:	plausible/logical/reasonable

 INPUT STRING:	يستسلموا
     IS_TRANS:	ystslmwA
        INDEX:	P30W3
      OFFSETS:	9-17
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aisotasolim_1]
   UNSPLITVOC:	(yisotasolimuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+sotasolim+uwA
        GLOSS:	they+surrender/capitulate+[pl.]

 INPUT STRING:	بسهولة
     IS_TRANS:	bshwlp
        INDEX:	P30W4
      OFFSETS:	18-24
       TOKENS:	P30W4-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suhuwlap_1]
   UNSPLITVOC:	(bisuhuwlap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+suhuwl+ap
        GLOSS:	with/by+ease/facility+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P30W5
      OFFSETS:	25-28
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

