 INPUT STRING:	يمكن
          POS:	NOUN+POSS_PRON_1S
          VOC:	>um~+iy
        GLOSS:	mother/maternal/mothers+my

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P290W4
      OFFSETS:	12-15
       TOKENS:	P290W5-P290W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P291W1
      OFFSETS:	0-3
       TOKENS:	P291W1-P291W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	look/glow/sparkle+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P292W1
      OFFSETS:	0-2
       TOKENS:	P292W1-P292W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yA_3]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	توتي
     IS_TRANS:	twty
        INDEX:	P292W2
      OFFSETS:	3-7
       TOKENS:	P292W2-P292W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuwtiy_1]
   UNSPLITVOC:	(tuwtiy)
          POS:	NOUN_PROP
          VOC:	tuwtiy
        GLOSS:	Totti

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P293W1
      OFFSETS:	0-3
       TOKENS:	P293W1-P293W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P293W2
      OFFSETS:	4-9
       TOKENS:	P293W2-P293W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P293W3
      OFFSETS:	10-12
       TOKENS:	P293W4-P293W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	سجن
     IS_TRANS:	sjn
        INDEX:	P293W4
      OFFSETS:	13-16
       TOKENS:	P293W5-P293W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sjn)
          POS:	FOREIGN
          VOC:	sjn
        GLOSS:	nogloss

 INPUT STRING:	حلوة
     IS_TRANS:	Hlwp
        INDEX:	P293W5
      OFFSETS:	17-21
       TOKENS:	P293W6-P293W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hilow+ap
        GLOSS:	sweet/pleasant+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P294W1
      OFFSETS:	0-2
       TOKENS:	P294W1-P294W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bs)
          POS:	FOREIGN
          VOC:	bs
        GLOSS:	nogloss

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P294W2
      OFFSETS:	3-5
       TOKENS:	P294W2-P294W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(hy)
          POS:	FOREIGN
          VOC:	hy
        GLOSS:	nogloss

 INPUT STRING:	وند
     IS_TRANS:	wnd
        INDEX:	P294W3
      OFFSETS:	6-9
       TOKENS:	P294W3-P294W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wnd)
          POS:	FOREIGN
          VOC:	wnd
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P294W4
      OFFSETS:	10-11
       TOKENS:	P294W4-P294W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(w)
          POS:	FOREIGN
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P295W1
      OFFSETS:	0-2
       TOKENS:	P295W1-P295W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P295W2
      OFFSETS:	3-7
       TOKENS:	P295W2-P295W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	تبسطك
     IS_TRANS:	tbsTk
        INDEX:	P295W3
      OFFSETS:	8-13
       TOKENS:	P295W3-P295W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[basaT_1]
   UNSPLITVOC:	(tibosiTik)
          POS:	IV3FS+IV+IVSUFF_DO:2FS
          VOC:	ti+bosiT+ik
        GLOSS:	it/they/she+make happy+you

 INPUT STRING:	بطلي
     IS_TRANS:	bTly
        INDEX:	P296W1
      OFFSETS:	0-4
       TOKENS:	P296W1-P296W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baT~al_1]
   UNSPLITVOC:	(baT~aliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	baT~al+iy
        GLOSS:	thwart/abolish/be thwarted/be abolished+you

 INPUT STRING:	تعتذري
     IS_TRANS:	tEt*ry
        INDEX:	P296W2
      OFFSETS:	5-11
       TOKENS:	P296W2-P296W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEota*ar_1]
   UNSPLITVOC:	(tiEoti*oriy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+Eoti*or+iy
        GLOSS:	you+allege a pretext/excuse/excuse oneself/apologize+you

 INPUT STRING:	كثير
     IS_TRANS:	kvyr
        INDEX:	P296W3
      OFFSETS:	12-16
       TOKENS:	P296W3-P296W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiviyr_1]
   UNSPLITVOC:	(kiviyr)
          POS:	ADJ
          VOC:	kiviyr
        GLOSS:	very/much/numerous/so much/a lot/more/alot/many

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P297W1
      OFFSETS:	0-3
       TOKENS:	P297W1-P297W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P297W2
      OFFSETS:	4-8
       TOKENS:	P297W2-P297W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P298W1
      OFFSETS:	0-2
       TOKENS:	P298W1-P298W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P298W2
      OFFSETS:	3-5
       TOKENS:	P298W2-P298W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P298W3
      OFFSETS:	6-8
       TOKENS:	P298W3-P298W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the/for

 INPUT STRING:	"
     IS_TRANS:	"
        INDEX:	P298W4
      OFFSETS:	9-10
       TOKENS:	P298W4-P298W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(")
          POS:	PUNC
          VOC:	"
        GLOSS:	"

 INPUT STRING:	ابود
     IS_TRANS:	Abwd
        INDEX:	P298W5
      OFFSETS:	10-14
       TOKENS:	P298W5-P298W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Abwd)
          POS:	FOREIGN
          VOC:	Abwd
        GLOSS:	nogloss

 INPUT STRING:	بنت
     IS_TRANS:	bnt
        INDEX:	P298W6
      OFFSETS:	15-18
       TOKENS:	P298W6-P298W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bnt)
          POS:	FOREIGN
          VOC:	bnt
        GLOSS:	nogloss

 INPUT STRING:	"
     IS_TRANS:	"
        INDEX:	P298W7
      OFFSETS:	18-19
       TOKENS:	P298W7-P298W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(")
          POS:	PUNC
          VOC:	"
        GLOSS:	"

 INPUT STRING:	وكملي
     IS_TRANS:	wkmly
        INDEX:	P299W1
      OFFSETS:	0-5
       TOKENS:	P299W1-P299W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kam~il_1]
   UNSPLITVOC:	(wikam~iliy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+kam~il+iy
        GLOSS:	and+complete/finish+you

 INPUT STRING:	عادي
     IS_TRANS:	EAdy
        INDEX:	P299W2
      OFFSETS:	6-10
       TOKENS:	P299W3-P299W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(EAdiy)
          POS:	ADJ
          VOC:	EAdiy
        GLOSS:	aggressive/hostile/ordinary/normal

 INPUT STRING:	أم
     IS_TRANS:	>m
        INDEX:	P300W1
      OFFSETS:	0-2
       TOKENS:	P300W1-P300W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um_1]
   UNSPLITVOC:	(>um)
          POS:	INTERJ
          VOC:	>um
        GLOSS:	um (filled pause)

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P301W1
      OFFSETS:	0-2
       TOKENS:	P301W1-P301W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P301W2
      OFFSETS:	3-6
       TOKENS:	P301W2-P301W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	آخر
     IS_TRANS:	|xr
        INDEX:	P301W3
      OFFSETS:	7-10
       TOKENS:	P301W3-P301W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xir_1]
   UNSPLITVOC:	(|xir)
          POS:	ADJ_COMP
          VOC:	|xir
        GLOSS:	last/end

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P301W4
      OFFSETS:	11-15
       TOKENS:	P301W4-P301W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	كوت
     IS_TRANS:	kwt
        INDEX:	P301W5
      OFFSETS:	16-19
       TOKENS:	P301W5-P301W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwt)
          POS:	FOREIGN
          VOC:	kwt
        GLOSS:	nogloss

 INPUT STRING:	عملها
     IS_TRANS:	EmlhA
        INDEX:	P301W6
      OFFSETS:	20-25
       TOKENS:	P301W6-P301W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(EamalhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	Eamal+(null)+hA
        GLOSS:	function/make/act/do+he/it+it/them/her

 INPUT STRING:	فور
     IS_TRANS:	fwr
        INDEX:	P301W7
      OFFSETS:	26-29
       TOKENS:	P301W8-P301W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fwr)
          POS:	FOREIGN
          VOC:	fwr
        GLOSS:	nogloss

 INPUT STRING:	وسو
     IS_TRANS:	wsw
        INDEX:	P301W8
      OFFSETS:	30-33
       TOKENS:	P301W9-P301W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wsw)
          POS:	FOREIGN
          VOC:	wsw
        GLOSS:	nogloss

 INPUT STRING:	وكود
     IS_TRANS:	wkwd
        INDEX:	P301W9
      OFFSETS:	34-38
       TOKENS:	P301W10-P301W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wkwd)
          POS:	FOREIGN
          VOC:	wkwd
        GLOSS:	nogloss

 INPUT STRING:	رور
     IS_TRANS:	rwr
        INDEX:	P301W10
      OFFSETS:	39-42
       TOKENS:	P301W11-P301W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(rwr)
          POS:	FOREIGN
          VOC:	rwr
        GLOSS:	nogloss

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P301W11
      OFFSETS:	43-45
       TOKENS:	P301W12-P301W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(hm)
          POS:	FOREIGN
          VOC:	hm
        GLOSS:	nogloss

 INPUT STRING:	فيت
     IS_TRANS:	fyt
        INDEX:	P301W12
      OFFSETS:	46-49
       TOKENS:	P301W13-P301W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fyt)
          POS:	FOREIGN
          VOC:	fyt
        GLOSS:	nogloss

 INPUT STRING:	تحس
     IS_TRANS:	tHs
        INDEX:	P301W13
      OFFSETS:	50-53
       TOKENS:	P301W14-P301W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(tHs)
          POS:	FOREIGN
          VOC:	tHs
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P301W14
      OFFSETS:	53-54
       TOKENS:	P301W15-P301W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	حأحكي
     IS_TRANS:	H>Hky
        INDEX:	P302W1
      OFFSETS:	0-5
       TOKENS:	P302W1-P302W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HakaY_1]
   UNSPLITVOC:	(HaAaHokiy)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+Hokiy
        GLOSS:	will+I+relate/report/tell/be related/be reported/be told

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P302W2
      OFFSETS:	6-8
       TOKENS:	P302W3-P302W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+you

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P302W3
      OFFSETS:	9-11
       TOKENS:	P302W5-P302W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	برب
     IS_TRANS:	brb
        INDEX:	P302W4
      OFFSETS:	12-15
       TOKENS:	P302W6-P302W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(brb)
          POS:	FOREIGN
          VOC:	brb
        GLOSS:	nogloss

 INPUT STRING:	حلوة
     IS_TRANS:	Hlwp
        INDEX:	P303W1
      OFFSETS:	0-4
       TOKENS:	P303W1-P303W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hilow+ap
        GLOSS:	sweet/pleasant+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P303W2
      OFFSETS:	5-7
       TOKENS:	P303W2-P303W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P304W1
      OFFSETS:	0-2
       TOKENS:	P304W1-P304W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	لعبة
     IS_TRANS:	lEbp
        INDEX:	P304W2
      OFFSETS:	3-7
       TOKENS:	P304W2-P304W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEobap_1]
   UNSPLITVOC:	(liEobap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	liEob+ap
        GLOSS:	sport/sports/games/playing+[fem.sg.]

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P304W3
      OFFSETS:	8-10
       TOKENS:	P304W3-P304W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	حلوة
     IS_TRANS:	Hlwp
        INDEX:	P305W1
      OFFSETS:	0-4
       TOKENS:	P305W1-P305W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hilow+ap
        GLOSS:	sweet/pleasant+[fem.sg.]

 INPUT STRING:	لعبة
     IS_TRANS:	lEbp
        INDEX:	P306W1
      OFFSETS:	0-4
       TOKENS:	P306W1-P306W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEobap_1]
   UNSPLITVOC:	(liEobap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	liEob+ap
        GLOSS:	sport/sports/games/playing+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P306W2
      OFFSETS:	5-7
       TOKENS:	P306W2-P306W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yA_3]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	كلبة
     IS_TRANS:	klbp
        INDEX:	P306W3
      OFFSETS:	8-12
       TOKENS:	P306W3-P306W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalobap_1]
   UNSPLITVOC:	(kalobap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kalob+ap
        GLOSS:	bitch (dog)/bitches (dogs)+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P307W1
      OFFSETS:	0-2
       TOKENS:	P307W1-P307W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P307W2
      OFFSETS:	3-5
       TOKENS:	P307W2-P307W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yA_3]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	أختي
     IS_TRANS:	>xty
        INDEX:	P307W3
      OFFSETS:	6-10
       TOKENS:	P307W3-P307W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxot_1]
   UNSPLITVOC:	(>uxotiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>uxot+iy
        GLOSS:	sister/counterpart/sisters+my

 INPUT STRING:	أصل
     IS_TRANS:	>Sl
        INDEX:	P308W1
      OFFSETS:	0-3
       TOKENS:	P308W1-P308W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSol)
          POS:	NOUN
          VOC:	>aSol
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P308W2
      OFFSETS:	4-6
       TOKENS:	P308W2-P308W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	صورة
     IS_TRANS:	Swrp
        INDEX:	P308W3
      OFFSETS:	7-11
       TOKENS:	P308W3-P308W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Suwr+ap
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos+[fem.sg.]

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P309W1
      OFFSETS:	0-3
       TOKENS:	P309W1-P309W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P309W2
      OFFSETS:	4-6
       TOKENS:	P309W2-P309W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	يعني
     IS_TRANS:	yEny
