 INPUT STRING:	لل
     IS_TRANS:	zmAny
        INDEX:	P102W6
      OFFSETS:	22-27
       TOKENS:	P102W7-P102W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAn_1]
   UNSPLITVOC:	(zamAniy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	zamAn+iy
        GLOSS:	time/duration/times/durations+my

 INPUT STRING:	ذبحت
     IS_TRANS:	*bHt
        INDEX:	P102W7
      OFFSETS:	28-32
       TOKENS:	P102W9-P102W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*abaH-a_1]
   UNSPLITVOC:	(*abaHotu)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	*abaH+tu
        GLOSS:	slaughter/massacre/sacrifice+I [verb]

 INPUT STRING:	ولاد
     IS_TRANS:	wlAd
        INDEX:	P102W8
      OFFSETS:	33-37
       TOKENS:	P102W10-P102W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(wilAd)
          POS:	NOUN
          VOC:	wilAd
        GLOSS:	child/son/children

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P102W9
      OFFSETS:	38-41
       TOKENS:	P102W11-P102W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P103W1
      OFFSETS:	0-4
       TOKENS:	P103W1-P103W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hh_1]
   UNSPLITVOC:	(hh)
          POS:	INTERJ
          VOC:	hh
        GLOSS:	laughing

 INPUT STRING:	جداوي
     IS_TRANS:	jdAwy
        INDEX:	P104W1
      OFFSETS:	0-5
       TOKENS:	P104W1-P104W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jdAwiy_1]
   UNSPLITVOC:	(jdAwiy)
          POS:	NOUN_PROP
          VOC:	jdAwiy
        GLOSS:	jdAwy

 INPUT STRING:	وسي
     IS_TRANS:	wsy
        INDEX:	P104W2
      OFFSETS:	6-9
       TOKENS:	P104W2-P104W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wsy)
          POS:	TYPO
          VOC:	wsy
        GLOSS:	nogloss

 INPUT STRING:	بتاع
     IS_TRANS:	btAE
        INDEX:	P104W3
      OFFSETS:	10-14
       TOKENS:	P104W3-P104W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAE)
          POS:	NOUN
          VOC:	bitAE
        GLOSS:	owners/something/belongings

 INPUT STRING:	الثاني
     IS_TRANS:	AlvAny
        INDEX:	P104W4
      OFFSETS:	15-21
       TOKENS:	P104W4-P104W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(AlvAniy)
          POS:	DET+ADJ
          VOC:	Al+vAniy
        GLOSS:	the+second/next/II/secondly

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P105W1
      OFFSETS:	0-4
       TOKENS:	P105W1-P105W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	مامتي
     IS_TRANS:	mAmty
        INDEX:	P105W2
      OFFSETS:	5-10
       TOKENS:	P105W2-P105W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmotiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	mAmot+iy
        GLOSS:	mama+my

 INPUT STRING:	أصلا
     IS_TRANS:	>SlA
        INDEX:	P105W3
      OFFSETS:	11-15
       TOKENS:	P105W4-P105W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	رجب
     IS_TRANS:	rjb
        INDEX:	P106W1
      OFFSETS:	0-3
       TOKENS:	P106W1-P106W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rajab_1]
   UNSPLITVOC:	(rajab)
          POS:	NOUN_PROP
          VOC:	rajab
        GLOSS:	Rajab (month)

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P106W2
      OFFSETS:	4-8
       TOKENS:	P106W2-P106W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	OR

 INPUT STRING:	همامي
     IS_TRANS:	hmAmy
        INDEX:	P106W3
      OFFSETS:	9-14
       TOKENS:	P106W3-P106W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hamAmiy_1]
   UNSPLITVOC:	(hamAmiy)
          POS:	NOUN_PROP
          VOC:	hamAmiy
        GLOSS:	hmAmy

 INPUT STRING:	جود
     IS_TRANS:	jwd
        INDEX:	P107W1
      OFFSETS:	0-3
       TOKENS:	P107W1-P107W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(jwd)
          POS:	FOREIGN
          VOC:	jwd
        GLOSS:	nogloss

 INPUT STRING:	شلل
     IS_TRANS:	$ll
        INDEX:	P107W2
      OFFSETS:	4-7
       TOKENS:	P107W2-P107W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$alal_1]
   UNSPLITVOC:	($alal)
          POS:	NOUN
          VOC:	$alal
        GLOSS:	paralysis/impotence/inertia

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P108W1
      OFFSETS:	0-3
       TOKENS:	P108W1-P108W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	العيال
     IS_TRANS:	AlEyAl
        INDEX:	P108W2
      OFFSETS:	4-10
       TOKENS:	P108W2-P108W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~il_1]
   UNSPLITVOC:	(AlEiyAl)
          POS:	DET+NOUN
          VOC:	Al+EiyAl
        GLOSS:	the+BOYS

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P108W3
      OFFSETS:	11-14
       TOKENS:	P108W3-P108W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these

 INPUT STRING:	بت
     IS_TRANS:	bt
        INDEX:	P109W1
      OFFSETS:	0-2
       TOKENS:	P109W1-P109W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bit~_1]
   UNSPLITVOC:	(bit~)
          POS:	NOUN
          VOC:	bit~
        GLOSS:	girle

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P109W2
      OFFSETS:	3-7
       TOKENS:	P109W2-P109W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P110W1
      OFFSETS:	0-4
       TOKENS:	P110W1-P110W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	شكلك
     IS_TRANS:	$klk
        INDEX:	P110W2
      OFFSETS:	5-9
       TOKENS:	P110W2-P110W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	($akolik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	$akol+ik
        GLOSS:	manner/form/configuration/manners/types/forms/configurations+your

 INPUT STRING:	خايفة
     IS_TRANS:	xAyfp
        INDEX:	P110W3
      OFFSETS:	10-15
       TOKENS:	P110W4-P110W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAyif_1]
   UNSPLITVOC:	(xAyofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	xAyof+ap
        GLOSS:	frightened/fearful/afraid+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P110W4
      OFFSETS:	16-18
       TOKENS:	P110W5-P110W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الخطوبة
     IS_TRANS:	AlxTwbp
        INDEX:	P110W5
      OFFSETS:	19-26
       TOKENS:	P110W6-P110W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuTuwbap_1]
   UNSPLITVOC:	(AlxuTuwbap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+xuTuwb+ap
        GLOSS:	the+courtship/engagement+[fem.sg.]

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P110W6
      OFFSETS:	27-31
       TOKENS:	P110W7-P110W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	OR

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P110W7
      OFFSETS:	32-35
       TOKENS:	P110W8-P110W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	فاهمة
     IS_TRANS:	fAhmp
        INDEX:	P111W1
      OFFSETS:	0-5
       TOKENS:	P111W1-P111W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAhim_1]
   UNSPLITVOC:	(fAhomap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fAhom+ap
        GLOSS:	understanding+[fem.sg.]

 INPUT STRING:	هيهيهي
     IS_TRANS:	hyhyhy
        INDEX:	P112W1
      OFFSETS:	0-6
       TOKENS:	P112W1-P112W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hyhy_1]
   UNSPLITVOC:	(hyhy)
          POS:	INTERJ
          VOC:	hyhy
        GLOSS:	laughing

 INPUT STRING:	كلهم
     IS_TRANS:	klhm
        INDEX:	P113W1
      OFFSETS:	0-4
       TOKENS:	P113W1-P113W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uhum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	kul~+hum
        GLOSS:	all/entire/every/whole+their

 INPUT STRING:	خايفين
     IS_TRANS:	xAyfyn
        INDEX:	P113W2
      OFFSETS:	5-11
       TOKENS:	P113W3-P113W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAyif_1]
   UNSPLITVOC:	(xAyofiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	xAyof+iyn
        GLOSS:	frightened/fearful/afraid+two

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P113W3
      OFFSETS:	12-14
       TOKENS:	P113W4-P113W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الارتباط
     IS_TRANS:	AlArtbAT
        INDEX:	P113W4
      OFFSETS:	15-23
       TOKENS:	P113W5-P113W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AirotibAT_1]
   UNSPLITVOC:	(AlAirotibAT)
          POS:	DET+NOUN
          VOC:	Al+AirotibAT
        GLOSS:	the+link/tie

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P114W1
      OFFSETS:	0-3
       TOKENS:	P114W1-P114W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	بصي
     IS_TRANS:	bSy
        INDEX:	P114W2
      OFFSETS:	4-7
       TOKENS:	P114W2-P114W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	look/glow/sparkle+you

 INPUT STRING:	نو
     IS_TRANS:	nw
        INDEX:	P114W3
      OFFSETS:	8-10
       TOKENS:	P114W3-P114W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(nw)
          POS:	FOREIGN
          VOC:	nw
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P114W4
      OFFSETS:	11-14
       TOKENS:	P114W4-P114W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	عندي
     IS_TRANS:	Endy
        INDEX:	P114W5
      OFFSETS:	15-19
       TOKENS:	P114W5-P114W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	at/have/possession/with+my

 INPUT STRING:	مشكلتين
     IS_TRANS:	m$kltyn
        INDEX:	P114W6
      OFFSETS:	20-27
       TOKENS:	P114W7-P114W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(m$kltyn)
          POS:	NO_FUNC
          VOC:	m$kltyn
        GLOSS:	nogloss

 INPUT STRING:	أمال
     IS_TRANS:	>mAl
        INDEX:	P115W1
      OFFSETS:	0-4
       TOKENS:	P115W1-P115W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~Al_1]
   UNSPLITVOC:	(>um~Al)
          POS:	ADV
          VOC:	>um~Al
        GLOSS:	why

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P115W2
      OFFSETS:	5-9
       TOKENS:	P115W2-P115W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~nA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	موجود
     IS_TRANS:	mwjwd
        INDEX:	P115W3
      OFFSETS:	10-15
       TOKENS:	P115W4-P115W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwd)
          POS:	ADJ
          VOC:	mawjuwd
        GLOSS:	present/existing/found

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P115W4
      OFFSETS:	16-19
       TOKENS:	P115W5-P115W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P115W5
      OFFSETS:	20-22
       TOKENS:	P115W6-P115W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	قلبي
     IS_TRANS:	qlby
        INDEX:	P115W6
      OFFSETS:	23-27
       TOKENS:	P115W7-P115W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(qalobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	qalob+iy
        GLOSS:	overthrowing/toppling/reversal/inversion/heart/center/essence/hearts+my

 INPUT STRING:	قولي
     IS_TRANS:	qwly
        INDEX:	P116W1
      OFFSETS:	0-4
       TOKENS:	P116W1-P116W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	quwl+iy
        GLOSS:	said/say/be said/(for example)+you

 INPUT STRING:	لي
     IS_TRANS:	ly
        INDEX:	P116W2
      OFFSETS:	5-7
       TOKENS:	P116W2-P116W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liiy)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+me

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P117W1
      OFFSETS:	0-2
       TOKENS:	P117W1-P117W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	حلاوتك
     IS_TRANS:	HlAwtk
        INDEX:	P117W2
      OFFSETS:	3-9
       TOKENS:	P117W2-P117W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HalAwap_1]
   UNSPLITVOC:	(HalAwtik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	HalAwt+ik
        GLOSS:	nice+you

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P118W1
      OFFSETS:	0-2
       TOKENS:	P118W1-P118W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	ينفعش
     IS_TRANS:	ynfE$
        INDEX:	P118W2
      OFFSETS:	3-8
       TOKENS:	P118W2-P118W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafaE_1]
   UNSPLITVOC:	(yinofaE$)
          POS:	IV3MS+IV+NEG_PART
          VOC:	yi+nofaE+$
        GLOSS:	he/it+be useful to/be advantageous to+not

 INPUT STRING:	أكنفس
     IS_TRANS:	>knfs
        INDEX:	P118W3
      OFFSETS:	9-14
       TOKENS:	P118W4-P118W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>knfs)
          POS:	FOREIGN
          VOC:	>knfs
        GLOSS:	nogloss

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P118W4
      OFFSETS:	15-17
       TOKENS:	P118W5-P118W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P118W5
      OFFSETS:	18-20
       TOKENS:	P118W6-P118W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ay)
          POS:	FOREIGN
          VOC:	Ay
        GLOSS:	nogloss

 INPUT STRING:	لكي
     IS_TRANS:	lky
        INDEX:	P118W6
      OFFSETS:	21-24
       TOKENS:	P118W7-P118W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(lky)
          POS:	FOREIGN
          VOC:	lky
        GLOSS:	nogloss

 INPUT STRING:	همه
     IS_TRANS:	hmh
        INDEX:	P118W7
      OFFSETS:	25-28
       TOKENS:	P118W8-P118W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(hmh)
          POS:	FOREIGN
          VOC:	hmh
        GLOSS:	nogloss

 INPUT STRING:	أبطل
     IS_TRANS:	>bTl
        INDEX:	P118W8
      OFFSETS:	29-33
       TOKENS:	P118W9-P118W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baT~al_1]
   UNSPLITVOC:	(AabaT~al)
          POS:	IV1S+IV
          VOC:	Aa+baT~al
        GLOSS:	I+thwart/abolish/be thwarted/be abolished/stop

 INPUT STRING:	أكلمه
     IS_TRANS:	>klmh
        INDEX:	P118W9
      OFFSETS:	34-39
       TOKENS:	P118W10-P118W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(Aakal~imuh)
          POS:	IV1S+IV+IVSUFF_DO:3MS
          VOC:	Aa+kal~im+uh
        GLOSS:	I+talk/speak/talk to+it/him

 INPUT STRING:	أصل
     IS_TRANS:	>Sl
        INDEX:	P119W1
      OFFSETS:	0-3
       TOKENS:	P119W1-P119W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSol)
          POS:	NOUN
          VOC:	>aSol
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily

 INPUT STRING:	حنطول
     IS_TRANS:	HnTwl
        INDEX:	P119W2
      OFFSETS:	4-9
       TOKENS:	P119W2-P119W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taw~il_1]
   UNSPLITVOC:	(HaniTaw~il)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+Taw~il
        GLOSS:	will+we+not be lengthy

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P119W3
      OFFSETS:	10-13
       TOKENS:	P119W4-P119W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P119W4
      OFFSETS:	14-17
       TOKENS:	P119W5-P119W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P119W5
      OFFSETS:	18-20
       TOKENS:	P119W6-P119W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P119W6
      OFFSETS:	21-23
       TOKENS:	P119W7-P119W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
