 INPUT STRING:	انزل
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	عيب
     IS_TRANS:	Eyb
        INDEX:	P1591W2
      OFFSETS:	4-7
       TOKENS:	P1591W2-P1591W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eiyb_1]
   UNSPLITVOC:	(Eiyb)
          POS:	NOUN
          VOC:	Eiyb
        GLOSS:	shame/fault/faults/weaknesses

 INPUT STRING:	تقولي
     IS_TRANS:	tqwly
        INDEX:	P1591W3
      OFFSETS:	8-13
       TOKENS:	P1591W3-P1591W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwliy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+quwl+iy
        GLOSS:	you+said/say/be said/(for example)+you

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P1591W4
      OFFSETS:	14-17
       TOKENS:	P1591W4-P1591W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P1592W1
      OFFSETS:	0-4
       TOKENS:	P1592W1-P1592W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	ADJ
          VOC:	mA$iy
        GLOSS:	going/walking/on foot

 INPUT STRING:	ابوه
     IS_TRANS:	Abwh
        INDEX:	P1593W1
      OFFSETS:	0-4
       TOKENS:	P1593W1-P1593W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ab~_1]
   UNSPLITVOC:	(>abuwh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>abuw+uh
        GLOSS:	father/fathers/ancestors+his/its

 INPUT STRING:	وات
     IS_TRANS:	wAt
        INDEX:	P1593W2
      OFFSETS:	5-8
       TOKENS:	P1593W3-P1593W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wAt)
          POS:	FOREIGN
          VOC:	wAt
        GLOSS:	nogloss

 INPUT STRING:	عرفي
     IS_TRANS:	Erfy
        INDEX:	P1594W1
      OFFSETS:	0-4
       TOKENS:	P1594W1-P1594W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eurofiy_1]
   UNSPLITVOC:	(Eurofiy)
          POS:	ADJ
          VOC:	Eurofiy
        GLOSS:	martial/secular/traditional/conventional

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P1595W1
      OFFSETS:	0-3
       TOKENS:	P1595W1-P1595W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P1595W2
      OFFSETS:	4-6
       TOKENS:	P1595W2-P1595W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P1595W3
      OFFSETS:	6-7
       TOKENS:	P1595W3-P1595W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	دهانا
     IS_TRANS:	dhAnA
        INDEX:	P1595W4
      OFFSETS:	8-13
       TOKENS:	P1595W4-P1595W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(dhAnA)
          POS:	NO_FUNC
          VOC:	dhAnA
        GLOSS:	nogloss

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P1595W5
      OFFSETS:	14-17
       TOKENS:	P1595W5-P1595W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	حأغوزك
     IS_TRANS:	H>gwzk
        INDEX:	P1595W6
      OFFSETS:	18-24
       TOKENS:	P1595W6-P1595W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(H>gwzk)
          POS:	TYPO
          VOC:	H>gwzk
        GLOSS:	nogloss

 INPUT STRING:	وأستتك
     IS_TRANS:	w>sttk
        INDEX:	P1595W7
      OFFSETS:	25-31
       TOKENS:	P1595W7-P1595W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sat~it_1]
   UNSPLITVOC:	(wiAasat~itik)
          POS:	CONJ+IV1S+IV+IVSUFF_DO:2FS
          VOC:	wi+Aa+sat~it+ik
        GLOSS:	and+I+make a lady+you

 INPUT STRING:	خليتيني
     IS_TRANS:	xlytyny
        INDEX:	P1596W1
      OFFSETS:	0-7
       TOKENS:	P1596W1-P1596W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~iytiyniy)
          POS:	PV+PVSUFF_SUBJ:2FS+PVSUFF_DO:1S
          VOC:	xal~+iytiy+niy
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+you+me

 INPUT STRING:	أعيط
     IS_TRANS:	>EyT
        INDEX:	P1596W2
      OFFSETS:	8-12
       TOKENS:	P1596W3-P1596W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~aT_1]
   UNSPLITVOC:	(AaEay~aT)
          POS:	IV1S+IV
          VOC:	Aa+Eay~aT
        GLOSS:	I+scream/shout

 INPUT STRING:	هههه
     IS_TRANS:	hhhh
        INDEX:	P1597W1
      OFFSETS:	0-4
       TOKENS:	P1597W1-P1597W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haha_1]
   UNSPLITVOC:	(hahahah)
          POS:	INTERJ
          VOC:	hahahah
        GLOSS:	laughing

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P1598W1
      OFFSETS:	0-1
       TOKENS:	P1598W1-P1598W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P1599W1
      OFFSETS:	0-2
       TOKENS:	P1599W1-P1599W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ايام
     IS_TRANS:	AyAm
        INDEX:	P1599W2
      OFFSETS:	3-7
       TOKENS:	P1599W2-P1599W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AyAm)
          POS:	FOREIGN
          VOC:	AyAm
        GLOSS:	nogloss

 INPUT STRING:	ضمن
     IS_TRANS:	Dmn
        INDEX:	P1599W3
      OFFSETS:	8-11
       TOKENS:	P1599W3-P1599W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Dmn)
          POS:	FOREIGN
          VOC:	Dmn
        GLOSS:	nogloss

 INPUT STRING:	سيريوس
     IS_TRANS:	syryws
        INDEX:	P1599W4
      OFFSETS:	12-18
       TOKENS:	P1599W4-P1599W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(syryws)
          POS:	FOREIGN
          VOC:	syryws
        GLOSS:	nogloss

 INPUT STRING:	ابوه
     IS_TRANS:	Abwh
        INDEX:	P1599W5
      OFFSETS:	19-23
       TOKENS:	P1599W5-P1599W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Abwh)
          POS:	FOREIGN
          VOC:	Abwh
        GLOSS:	nogloss

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P1599W6
      OFFSETS:	24-27
       TOKENS:	P1599W6-P1599W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(byn)
          POS:	FOREIGN
          VOC:	byn
        GLOSS:	nogloss

 INPUT STRING:	فيثفل
     IS_TRANS:	fyvfl
        INDEX:	P1599W7
      OFFSETS:	28-33
       TOKENS:	P1599W7-P1599W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fyvfl)
          POS:	FOREIGN
          VOC:	fyvfl
        GLOSS:	nogloss

 INPUT STRING:	بره
     IS_TRANS:	brh
        INDEX:	P1599W8
      OFFSETS:	34-37
       TOKENS:	P1599W8-P1599W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bar~ah_1]
   UNSPLITVOC:	(bar~ah)
          POS:	NOUN
          VOC:	bar~ah
        GLOSS:	outside/outer part/overseas/exterior/out of play/leaving/departing/exiting

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P1599W9
      OFFSETS:	38-41
       TOKENS:	P1599W9-P1599W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	ادبست
     IS_TRANS:	Adbst
        INDEX:	P1599W10
      OFFSETS:	42-47
       TOKENS:	P1599W10-P1599W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aid~ab~is_1]
   UNSPLITVOC:	(Aid~ab~ist)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	Aid~ab~is+t
        GLOSS:	get stuck+I

 INPUT STRING:	نيك
     IS_TRANS:	nyk
        INDEX:	P1599W11
      OFFSETS:	48-51
       TOKENS:	P1599W11-P1599W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niyk_1]
   UNSPLITVOC:	(niyk)
          POS:	NOUN
          VOC:	niyk
        GLOSS:	sexual intercourse

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P1599W12
      OFFSETS:	52-53
       TOKENS:	P1599W12-P1599W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P1600W1
      OFFSETS:	0-2
       TOKENS:	P1600W1-P1600W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	مهو
     IS_TRANS:	mhw
        INDEX:	P1601W1
      OFFSETS:	0-3
       TOKENS:	P1601W1-P1601W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mhw)
          POS:	NO_FUNC
          VOC:	mhw
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P1601W2
      OFFSETS:	4-6
       TOKENS:	P1601W2-P1601W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حتخليني
     IS_TRANS:	Htxlyny
        INDEX:	P1601W3
      OFFSETS:	7-14
       TOKENS:	P1601W3-P1601W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(Hatixal~iyniy)
          POS:	FUT_PART+IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:1S
          VOC:	Ha+ti+xal~+iy+niy
        GLOSS:	will+you+release/evacuate/allow/be released/be evacuated/be allowed+you+me

 INPUT STRING:	فيثفل
     IS_TRANS:	fyvfl
        INDEX:	P1601W4
      OFFSETS:	15-20
       TOKENS:	P1601W6-P1601W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fyvfl)
          POS:	FOREIGN
          VOC:	fyvfl
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P1601W5
      OFFSETS:	21-23
       TOKENS:	P1601W7-P1601W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P1601W6
      OFFSETS:	24-27
       TOKENS:	P1601W8-P1601W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	سبب
     IS_TRANS:	sbb
        INDEX:	P1601W7
      OFFSETS:	28-31
       TOKENS:	P1601W9-P1601W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(sabab)
          POS:	NOUN
          VOC:	sabab
        GLOSS:	reason/cause/because of/due to/reasons/causes/circumstances

 INPUT STRING:	قلبي
     IS_TRANS:	qlby
        INDEX:	P1602W1
      OFFSETS:	0-4
       TOKENS:	P1602W1-P1602W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(qalobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	qalob+iy
        GLOSS:	overthrowing/toppling/reversal/inversion/heart/center/essence/hearts+my

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P1603W1
      OFFSETS:	0-4
       TOKENS:	P1603W1-P1603W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P1603W2
      OFFSETS:	5-8
       TOKENS:	P1603W2-P1603W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P1603W3
      OFFSETS:	9-15
       TOKENS:	P1603W3-P1603W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P1603W4
      OFFSETS:	16-18
       TOKENS:	P1603W4-P1603W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P1604W1
      OFFSETS:	0-4
       TOKENS:	P1604W1-P1604W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1604W2
      OFFSETS:	5-7
       TOKENS:	P1604W2-P1604W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	مريم
     IS_TRANS:	mrym
        INDEX:	P1604W3
      OFFSETS:	8-12
       TOKENS:	P1604W3-P1604W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maroyam_1]
   UNSPLITVOC:	(maroyam)
          POS:	NOUN_PROP
          VOC:	maroyam
        GLOSS:	Mariam/Miriam/Mary

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P1605W1
      OFFSETS:	0-4
       TOKENS:	P1605W1-P1605W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P1605W2
      OFFSETS:	5-7
       TOKENS:	P1605W2-P1605W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حينفع
     IS_TRANS:	HynfE
        INDEX:	P1605W3
      OFFSETS:	8-13
       TOKENS:	P1605W3-P1605W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifiE_1]
   UNSPLITVOC:	(HayinofaE)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+nofaE
        GLOSS:	will+he/it+be of use

 INPUT STRING:	نكمل
     IS_TRANS:	nkml
        INDEX:	P1605W4
      OFFSETS:	14-18
       TOKENS:	P1605W5-P1605W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kam~il_1]
   UNSPLITVOC:	(nikam~il)
          POS:	IV1P+IV
          VOC:	ni+kam~il
        GLOSS:	we+complete/finish

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P1605W5
      OFFSETS:	19-21
       TOKENS:	P1605W6-P1605W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P1605W6
      OFFSETS:	22-25
       TOKENS:	P1605W7-P1605W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some/a few/little/part

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P1605W7
      OFFSETS:	26-28
       TOKENS:	P1605W8-P1605W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	بنت
     IS_TRANS:	bnt
        INDEX:	P1605W8
      OFFSETS:	29-32
       TOKENS:	P1605W9-P1605W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binot)
          POS:	NOUN
          VOC:	binot
        GLOSS:	daughter/girl/daughters/girls

 INPUT STRING:	الحلال
     IS_TRANS:	AlHlAl
        INDEX:	P1605W9
      OFFSETS:	33-39
       TOKENS:	P1605W10-P1605W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HalAl_1]
   UNSPLITVOC:	(AlHalAl)
          POS:	DET+NOUN
          VOC:	Al+HalAl
        GLOSS:	the+permissible/legitimate

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P1606W1
      OFFSETS:	0-3
       TOKENS:	P1606W1-P1606W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P1606W2
      OFFSETS:	4-7
       TOKENS:	P1606W2-P1606W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	ناوي
     IS_TRANS:	nAwy
        INDEX:	P1606W3
      OFFSETS:	8-12
       TOKENS:	P1606W3-P1606W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAwiy_1]
   UNSPLITVOC:	(nAwiy)
          POS:	ADJ.VN
          VOC:	nAwiy
        GLOSS:	intending

 INPUT STRING:	أتجوزك
     IS_TRANS:	>tjwzk
        INDEX:	P1606W4
      OFFSETS:	13-19
       TOKENS:	P1606W4-P1606W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitojaw~iz_1]
   UNSPLITVOC:	(Aatojaw~izik)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	Aa+tojaw~iz+ik
        GLOSS:	I+get married/take/begin/be taken/convey/treat/chose/receive and gain+you

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P1607W1
      OFFSETS:	0-2
       TOKENS:	P1607W1-P1607W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P1607W2
      OFFSETS:	3-7
       TOKENS:	P1607W2-P1607W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P1607W3
      OFFSETS:	8-10
       TOKENS:	P1607W3-P1607W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P1607W4
      OFFSETS:	11-16
       TOKENS:	P1607W4-P1607W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	needing/liking/requiring/wanting/desiring+[fem.sg.]

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P1607W5
      OFFSETS:	17-21
       TOKENS:	P1607W5-P1607W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P1607W6
      OFFSETS:	22-24
       TOKENS:	P1607W6-P1607W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
