 INPUT STRING:	الوو
          VOC:	fiytAmiyn
        GLOSS:	vitamin/vitamins

 INPUT STRING:	سي
     IS_TRANS:	sy
        INDEX:	P492W7
      OFFSETS:	43-45
       TOKENS:	P492W9-P492W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sy)
          POS:	FOREIGN
          VOC:	sy
        GLOSS:	nogloss

 INPUT STRING:	للبشرة
     IS_TRANS:	llb$rp
        INDEX:	P492W8
      OFFSETS:	46-52
       TOKENS:	P492W10-P492W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ba$arap_1]
   UNSPLITVOC:	(lilba$arap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+ba$ar+ap
        GLOSS:	for/to+the+skin/epidermis+[fem.sg.]

 INPUT STRING:	بي
     IS_TRANS:	by
        INDEX:	P492W9
      OFFSETS:	53-55
       TOKENS:	P492W12-P492W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biy_1]
   UNSPLITVOC:	(biy)
          POS:	PREP
          VOC:	biy
        GLOSS:	with

 INPUT STRING:	295
     IS_TRANS:	295
        INDEX:	P492W10
      OFFSETS:	56-59
       TOKENS:	P492W13-P492W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(295)
          POS:	NOUN_NUM
          VOC:	295
        GLOSS:	295

 INPUT STRING:	جنية
     IS_TRANS:	jnyp
        INDEX:	P492W11
      OFFSETS:	60-64
       TOKENS:	P492W14-P492W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinayh_1]
   UNSPLITVOC:	(jinayh)
          POS:	NOUN
          VOC:	jinayh
        GLOSS:	pound (currency)/pounds (currency)/pound/one pound/golden pound/a pound/touched in the head/stolen

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P493W1
      OFFSETS:	0-3
       TOKENS:	P493W1-P493W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	بلاش
     IS_TRANS:	blA$
        INDEX:	P493W2
      OFFSETS:	4-8
       TOKENS:	P493W2-P493W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balA$_1]
   UNSPLITVOC:	(balA$)
          POS:	NEG_PART
          VOC:	balA$
        GLOSS:	no/not/non-/except for/except/rhetorical question/do not/is

 INPUT STRING:	مفيش
     IS_TRANS:	mfy$
        INDEX:	P494W1
      OFFSETS:	0-4
       TOKENS:	P494W1-P494W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(mafiy$)
          POS:	VERB+PREP+PRON_3MS+NEG_PART
          VOC:	ma+fiy+uh+$
        GLOSS:	dont+there+it+not

 INPUT STRING:	امبولات
     IS_TRANS:	AmbwlAt
        INDEX:	P494W2
      OFFSETS:	5-12
       TOKENS:	P494W5-P494W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ambwlap-1]
   UNSPLITVOC:	(AmbwlAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Ambwl+At
        GLOSS:	tubes+[fem.pl.]

 INPUT STRING:	لنضارة
     IS_TRANS:	lnDArp
        INDEX:	P494W3
      OFFSETS:	13-19
       TOKENS:	P494W6-P494W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naD~Arap_1]
   UNSPLITVOC:	(linaD~Arap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+naD~Ar+ap
        GLOSS:	for/to+eyeglasses/binoculars/attendees/glasses+[fem.sg.]

 INPUT STRING:	البشرة
     IS_TRANS:	Alb$rp
        INDEX:	P494W4
      OFFSETS:	20-26
       TOKENS:	P494W8-P494W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ba$arap_1]
   UNSPLITVOC:	(Alba$arap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+ba$ar+ap
        GLOSS:	the+skin/epidermis+[fem.sg.]

 INPUT STRING:	فيتامين
     IS_TRANS:	fytAmyn
        INDEX:	P495W1
      OFFSETS:	0-7
       TOKENS:	P495W1-P495W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiytAmiyn_1]
   UNSPLITVOC:	(fiytAmiyn)
          POS:	NOUN
          VOC:	fiytAmiyn
        GLOSS:	vitamin/vitamins

 INPUT STRING:	سي
     IS_TRANS:	sy
        INDEX:	P495W2
      OFFSETS:	8-10
       TOKENS:	P495W2-P495W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sy)
          POS:	FOREIGN
          VOC:	sy
        GLOSS:	nogloss

 INPUT STRING:	جميل
     IS_TRANS:	jmyl
        INDEX:	P495W3
      OFFSETS:	11-15
       TOKENS:	P495W3-P495W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiyl)
          POS:	ADJ
          VOC:	jamiyl
        GLOSS:	beautiful/nice/fine (arts)

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P496W1
      OFFSETS:	0-2
       TOKENS:	P496W1-P496W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P497W1
      OFFSETS:	0-4
       TOKENS:	P497W1-P497W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P497W2
      OFFSETS:	5-7
       TOKENS:	P497W2-P497W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P497W3
      OFFSETS:	8-12
       TOKENS:	P497W3-P497W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	Eanod+ik
        GLOSS:	at/have/possession/with+your

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P497W4
      OFFSETS:	13-16
       TOKENS:	P497W5-P497W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+PSEUDO_VERB
          VOC:	wa+lA
        GLOSS:	and+no

 INPUT STRING:	فيتامين
     IS_TRANS:	fytAmyn
        INDEX:	P497W5
      OFFSETS:	17-24
       TOKENS:	P497W7-P497W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiytAmiyn_1]
   UNSPLITVOC:	(fiytAmiyn)
          POS:	NOUN
          VOC:	fiytAmiyn
        GLOSS:	vitamin/vitamins

 INPUT STRING:	أ
     IS_TRANS:	>
        INDEX:	P497W6
      OFFSETS:	25-26
       TOKENS:	P497W8-P497W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(>)
          POS:	NO_FUNC
          VOC:	>
        GLOSS:	nogloss

 INPUT STRING:	عندي
     IS_TRANS:	Endy
        INDEX:	P498W1
      OFFSETS:	0-4
       TOKENS:	P498W1-P498W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	at/have/possession/with+my

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P498W2
      OFFSETS:	5-7
       TOKENS:	P498W3-P498W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	فوار
     IS_TRANS:	fwAr
        INDEX:	P498W3
      OFFSETS:	8-12
       TOKENS:	P498W4-P498W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faw~Ar_1]
   UNSPLITVOC:	(faw~Ar)
          POS:	NOUN
          VOC:	faw~Ar
        GLOSS:	boiling/bubbling/irascible

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P499W1
      OFFSETS:	0-3
       TOKENS:	P499W1-P499W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	ماتسالي
     IS_TRANS:	mAtsAly
        INDEX:	P499W2
      OFFSETS:	4-11
       TOKENS:	P499W2-P499W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAtsAly)
          POS:	NO_FUNC
          VOC:	mAtsAly
        GLOSS:	nogloss

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P499W3
      OFFSETS:	12-15
       TOKENS:	P499W3-P499W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الامبولات
     IS_TRANS:	AlAmbwlAt
        INDEX:	P499W4
      OFFSETS:	16-25
       TOKENS:	P499W4-P499W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ambuwl_1]
   UNSPLITVOC:	(AlAmbwlAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+Ambwl+At
        GLOSS:	the+tubes+[fem.pl.]

 INPUT STRING:	لنضارة
     IS_TRANS:	lnDArp
        INDEX:	P499W5
      OFFSETS:	26-32
       TOKENS:	P499W5-P499W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naD~Arap_1]
   UNSPLITVOC:	(linaD~Arap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+naD~Ar+ap
        GLOSS:	for/to+eyeglasses/binoculars/attendees/glasses+[fem.sg.]

 INPUT STRING:	البشرة
     IS_TRANS:	Alb$rp
        INDEX:	P499W6
      OFFSETS:	33-39
       TOKENS:	P499W7-P499W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ba$arap_1]
   UNSPLITVOC:	(Alba$arap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+ba$ar+ap
        GLOSS:	the+skin/epidermis+[fem.sg.]

 INPUT STRING:	اشوفلك
     IS_TRANS:	A$wflk
        INDEX:	P500W1
      OFFSETS:	0-6
       TOKENS:	P500W1-P500W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(Aa$uwf_lik)
          POS:	IV1S+IV+PREP+PRON_2FS
          VOC:	Aa+$uwf+li+ik
        GLOSS:	I+look+to/for+you

 INPUT STRING:	وتجديد
     IS_TRANS:	wtjdyd
        INDEX:	P501W1
      OFFSETS:	0-6
       TOKENS:	P501W1-P501W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tajodiyd_1]
   UNSPLITVOC:	(witajodiyd)
          POS:	CONJ+NOUN
          VOC:	wi+tajodiyd
        GLOSS:	and+renovation/renewal/renovations/renewals

 INPUT STRING:	الخلايه
     IS_TRANS:	AlxlAyh
        INDEX:	P501W2
      OFFSETS:	7-14
       TOKENS:	P501W3-P501W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xaliy~ap]
   UNSPLITVOC:	(AlxalAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+xalAy+ap
        GLOSS:	the+cell+[fem.sg.]

 INPUT STRING:	والحاجات
     IS_TRANS:	wAlHAjAt
        INDEX:	P501W3
      OFFSETS:	15-23
       TOKENS:	P501W4-P501W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(wiAlHAjAt)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wi+Al+HAj+At
        GLOSS:	and+the+need/needs/thing/belongings+[fem.pl.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P501W4
      OFFSETS:	24-26
       TOKENS:	P501W6-P501W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	اصل
     IS_TRANS:	ASl
        INDEX:	P502W1
      OFFSETS:	0-3
       TOKENS:	P502W1-P502W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSol)
          POS:	NOUN
          VOC:	>aSol
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P502W2
      OFFSETS:	4-7
       TOKENS:	P502W2-P502W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here/from now on/somewhere

 INPUT STRING:	بشرتهم
     IS_TRANS:	b$rthm
        INDEX:	P502W3
      OFFSETS:	8-14
       TOKENS:	P502W3-P502W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ba$arap_1]
   UNSPLITVOC:	(ba$arithum)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	ba$ar+ap+hum
        GLOSS:	skin/epidermis+[fem.sg.]+their

 INPUT STRING:	جميله
     IS_TRANS:	jmylh
        INDEX:	P502W4
      OFFSETS:	15-20
       TOKENS:	P502W5-P502W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiylap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jamiyl+ap
        GLOSS:	beautiful/nice/fine (arts)+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P503W1
      OFFSETS:	0-1
       TOKENS:	P503W1-P503W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	توحيد
     IS_TRANS:	twHyd
        INDEX:	P503W2
      OFFSETS:	2-7
       TOKENS:	P503W2-P503W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawHiyd_1]
   UNSPLITVOC:	(tawHiyd)
          POS:	NOUN
          VOC:	tawHiyd
        GLOSS:	unification/standardization/monotheism

 INPUT STRING:	اللون
     IS_TRANS:	Allwn
        INDEX:	P503W3
      OFFSETS:	8-13
       TOKENS:	P503W3-P503W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lawn_1]
   UNSPLITVOC:	(Allawn)
          POS:	DET+NOUN
          VOC:	Al+lawn
        GLOSS:	the+color/tint/colors/tints/type/sort/types/sorts

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P503W4
      OFFSETS:	14-15
       TOKENS:	P503W4-P503W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	شدها
     IS_TRANS:	$dhA
        INDEX:	P503W5
      OFFSETS:	16-20
       TOKENS:	P503W5-P503W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ad~_1]
   UNSPLITVOC:	($ad~ahA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	$ad~+(null)+hA
        GLOSS:	make tight/make strong+he/it+it/them/her

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P503W6
      OFFSETS:	21-22
       TOKENS:	P503W7-P503W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	لتاخر
     IS_TRANS:	ltAxr
        INDEX:	P503W7
      OFFSETS:	23-28
       TOKENS:	P503W8-P503W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ta>ax~ur_1]
   UNSPLITVOC:	(lata>ax~ur)
          POS:	PREP+NOUN
          VOC:	la+ta>ax~ur
        GLOSS:	for/to+delay/underdevelopment

 INPUT STRING:	التجاعيد
     IS_TRANS:	AltjAEyd
        INDEX:	P503W8
      OFFSETS:	29-37
       TOKENS:	P503W10-P503W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tajAEiyd_1]
   UNSPLITVOC:	(AltajAEiyd)
          POS:	DET+NOUN
          VOC:	Al+tajAEiyd
        GLOSS:	the+wrinkles

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P504W1
      OFFSETS:	0-2
       TOKENS:	P504W1-P504W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P504W2
      OFFSETS:	3-5
       TOKENS:	P504W2-P504W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	هههههه
     IS_TRANS:	hhhhhh
        INDEX:	P505W1
      OFFSETS:	0-6
       TOKENS:	P505W1-P505W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	to express happiness

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P506W1
      OFFSETS:	0-2
       TOKENS:	P506W1-P506W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	الفيتامين
     IS_TRANS:	AlfytAmyn
        INDEX:	P506W2
      OFFSETS:	3-12
       TOKENS:	P506W2-P506W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiytAmiyn_1]
   UNSPLITVOC:	(AlfiytAmiyn)
          POS:	DET+NOUN
          VOC:	Al+fiytAmiyn
        GLOSS:	the+vitamin/vitamins

 INPUT STRING:	احسن
     IS_TRANS:	AHsn
        INDEX:	P506W3
      OFFSETS:	13-17
       TOKENS:	P506W3-P506W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(>aHosan)
          POS:	ADJ_COMP
          VOC:	>aHosan
        GLOSS:	better/best

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P506W4
      OFFSETS:	18-22
       TOKENS:	P506W4-P506W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	معم
     IS_TRANS:	mEm
        INDEX:	P507W1
      OFFSETS:	0-3
       TOKENS:	P507W1-P507W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mEm)
          POS:	TYPO
          VOC:	mEm
        GLOSS:	nogloss

 INPUT STRING:	المبولات
     IS_TRANS:	AlmbwlAt
        INDEX:	P507W2
      OFFSETS:	4-12
       TOKENS:	P507W2-P507W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlmbwlAt)
          POS:	TYPO
          VOC:	AlmbwlAt
        GLOSS:	nogloss

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P507W3
      OFFSETS:	13-15
       TOKENS:	P507W3-P507W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	صناعة
     IS_TRANS:	SnAEp
        INDEX:	P507W4
      OFFSETS:	16-21
       TOKENS:	P507W4-P507W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SinAEap_1]
   UNSPLITVOC:	(SinAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SinAE+ap
        GLOSS:	manufacture/industry/trade/craft/industries/trades/crafts+[fem.sg.]

 INPUT STRING:	فرنسي
     IS_TRANS:	frnsy
        INDEX:	P507W5
      OFFSETS:	22-27
       TOKENS:	P507W5-P507W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[firinosiy_1]
   UNSPLITVOC:	(firinosiy)
          POS:	ADJ
          VOC:	firinosiy
        GLOSS:	French

 INPUT STRING:	شوفي
     IS_TRANS:	$wfy
        INDEX:	P507W6
      OFFSETS:	28-32
       TOKENS:	P507W6-P507W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uwfiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	$uwf+iy
        GLOSS:	look+you

 INPUT STRING:	اساليلي
     IS_TRANS:	AsAlyly
        INDEX:	P507W7
      OFFSETS:	33-40
       TOKENS:	P507W7-P507W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(Aiso>aliy_liy)
          POS:	CV+CVSUFF_SUBJ:2FS+PREP+PRON_1S
          VOC:	Aiso>al+iy+li+iy
        GLOSS:	ask/inquire/request/be asked+you+to/for+I

 INPUT STRING:	خدي
     IS_TRANS:	xdy
        INDEX:	P508W1
      OFFSETS:	0-3
       TOKENS:	P508W1-P508W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(xudiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	xud+iy
        GLOSS:	I/take+you

 INPUT STRING:	فيتامين
     IS_TRANS:	fytAmyn
        INDEX:	P508W2
      OFFSETS:	4-11
       TOKENS:	P508W2-P508W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiytAmiyn_1]
   UNSPLITVOC:	(fiytAmiyn)
          POS:	NOUN
          VOC:	fiytAmiyn
        GLOSS:	vitamin/vitamins

 INPUT STRING:	سي
     IS_TRANS:	sy
        INDEX:	P508W3
