 INPUT STRING:	اهلا
          VOC:	>awiy
        GLOSS:	very/much/so much

 INPUT STRING:	طلعتي
     IS_TRANS:	TlEty
        INDEX:	P59W8
      OFFSETS:	24-29
       TOKENS:	P59W8-P59W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(TiliEtiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	TiliE+tiy
        GLOSS:	ascend/begin to/rise/start/seems/come out/get out/turn be+you

 INPUT STRING:	بره
     IS_TRANS:	brh
        INDEX:	P59W9
      OFFSETS:	30-33
       TOKENS:	P59W9-P59W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bar~ah_1]
   UNSPLITVOC:	(bar~ah)
          POS:	NOUN
          VOC:	bar~ah
        GLOSS:	outside/outer part/overseas/exterior/out of play/leaving/departing/exiting

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P59W10
      OFFSETS:	34-35
       TOKENS:	P59W10-P59W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	اعت
     IS_TRANS:	AEt
        INDEX:	P59W11
      OFFSETS:	36-39
       TOKENS:	P59W11-P59W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AEt)
          POS:	TYPO
          VOC:	AEt
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P59W12
      OFFSETS:	40-42
       TOKENS:	P59W12-P59W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P59W13
      OFFSETS:	43-45
       TOKENS:	P59W13-P59W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the

 INPUT STRING:	بلكونه
     IS_TRANS:	blkwnh
        INDEX:	P59W14
      OFFSETS:	46-52
       TOKENS:	P59W14-P59W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[balakuwnap_1]
   UNSPLITVOC:	(balakuwnap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	balakuwn+ap
        GLOSS:	balcony+[fem.sg.]

 INPUT STRING:	شويه
     IS_TRANS:	$wyh
        INDEX:	P59W15
      OFFSETS:	53-57
       TOKENS:	P59W15-P59W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$uway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P59W16
      OFFSETS:	58-61
       TOKENS:	P59W16-P59W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV
          VOC:	kAn
        GLOSS:	be/was/were

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P59W17
      OFFSETS:	62-64
       TOKENS:	P59W17-P59W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the

 INPUT STRING:	جو
     IS_TRANS:	jw
        INDEX:	P59W18
      OFFSETS:	65-67
       TOKENS:	P59W18-P59W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaw~_1]
   UNSPLITVOC:	(jaw~)
          POS:	NOUN
          VOC:	jaw~
        GLOSS:	climate/atmosphere/by air/by plane/air

 INPUT STRING:	حلو
     IS_TRANS:	Hlw
        INDEX:	P59W19
      OFFSETS:	68-71
       TOKENS:	P59W19-P59W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilow)
          POS:	ADJ
          VOC:	Hilow
        GLOSS:	nice

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P59W20
      OFFSETS:	72-75
       TOKENS:	P59W20-P59W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>awiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	NOUN
          VOC:	>awiy
        GLOSS:	very/much/so much

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P59W21
      OFFSETS:	76-78
       TOKENS:	P59W21-P59W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	no/not

 INPUT STRING:	حر
     IS_TRANS:	Hr
        INDEX:	P59W22
      OFFSETS:	79-81
       TOKENS:	P59W22-P59W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Har~_1]
   UNSPLITVOC:	(Har~)
          POS:	NOUN
          VOC:	Har~
        GLOSS:	warmth/heat

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P59W23
      OFFSETS:	82-86
       TOKENS:	P59W23-P59W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	NOUN
          VOC:	xAliS
        GLOSS:	pure/clear/sincere/very/absolutely

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P59W24
      OFFSETS:	87-90
       TOKENS:	P59W24-P59W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P59W25
      OFFSETS:	91-93
       TOKENS:	P59W25-P59W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	رطوبه
     IS_TRANS:	rTwbh
        INDEX:	P59W26
      OFFSETS:	94-99
       TOKENS:	P59W26-P59W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruTuwbap_1]
   UNSPLITVOC:	(ruTuwbap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ruTuwb+ap
        GLOSS:	moistness/humidity+[fem.sg.]

 INPUT STRING:	معرفش
     IS_TRANS:	mErf$
        INDEX:	P60W1
      OFFSETS:	0-5
       TOKENS:	P60W1-P60W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(mA_AaEoraf$)
          POS:	NEG_PART+IV1S+IV+NEG_PART
          VOC:	mA+Aa+Eoraf+$
        GLOSS:	not+I+know+not

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P60W2
      OFFSETS:	6-7
       TOKENS:	P60W4-P60W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P60W3
      OFFSETS:	8-11
       TOKENS:	P60W5-P60W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	مشيت
     IS_TRANS:	m$yt
        INDEX:	P60W4
      OFFSETS:	12-16
       TOKENS:	P60W6-P60W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$iy_1]
   UNSPLITVOC:	(mi$iyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	mi$iy+t
        GLOSS:	go/walk+I

 INPUT STRING:	شويه
     IS_TRANS:	$wyh
        INDEX:	P60W5
      OFFSETS:	17-21
       TOKENS:	P60W7-P60W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$uway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P60W6
      OFFSETS:	22-24
       TOKENS:	P60W8-P60W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	CONJ
          VOC:	lA
        GLOSS:	nor/neither

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P60W7
      OFFSETS:	25-27
       TOKENS:	P60W9-P60W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	stop/halt/end/extent/limit/level/border/frontier

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P60W8
      OFFSETS:	28-30
       TOKENS:	P60W10-P60W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the

 INPUT STRING:	subway
     IS_TRANS:	subway
        INDEX:	P60W9
      OFFSETS:	31-37
       TOKENS:	P60W11-P60W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(subway)
          POS:	TRANSLIT_ERR
          VOC:	subway
        GLOSS:	subway

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P60W10
      OFFSETS:	38-39
       TOKENS:	P60W12-P60W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P60W11
      OFFSETS:	40-43
       TOKENS:	P60W13-P60W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be/was/were+I

 INPUT STRING:	حاسه
     IS_TRANS:	HAsh
        INDEX:	P60W12
      OFFSETS:	44-48
       TOKENS:	P60W14-P60W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAsis_1]
   UNSPLITVOC:	(HAs~ap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	HAs~+ap
        GLOSS:	feeling+[fem.sg.]

 INPUT STRING:	اني
     IS_TRANS:	Any
        INDEX:	P60W13
      OFFSETS:	49-52
       TOKENS:	P60W15-P60W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~iy]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+i

 INPUT STRING:	هافطس
     IS_TRANS:	hAfTs
        INDEX:	P60W14
      OFFSETS:	53-58
       TOKENS:	P60W17-P60W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faTas_1]
   UNSPLITVOC:	(HaAafTs)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+fTs
        GLOSS:	will+I+die

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P60W15
      OFFSETS:	59-63
       TOKENS:	P60W19-P60W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	pure/clear/sincere

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P60W16
      OFFSETS:	64-65
       TOKENS:	P60W20-P60W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	مانتي
     IS_TRANS:	mAnty
        INDEX:	P60W17
      OFFSETS:	66-71
       TOKENS:	P60W21-P60W21
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAnty)
          POS:	NO_FUNC
          VOC:	mAnty
        GLOSS:	nogloss

 INPUT STRING:	عارفه
     IS_TRANS:	EArfh
        INDEX:	P60W18
      OFFSETS:	72-77
       TOKENS:	P60W22-P60W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P60W19
      OFFSETS:	78-81
       TOKENS:	P60W23-P60W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	mabst7msh
     IS_TRANS:	mabst7msh
        INDEX:	P60W20
      OFFSETS:	82-91
       TOKENS:	P60W24-P60W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(mabst7msh)
          POS:	TRANSLIT_ERR
          VOC:	mabst7msh
        GLOSS:	mabst7msh

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P60W21
      OFFSETS:	92-94
       TOKENS:	P60W25-P60W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the

 INPUT STRING:	حر
     IS_TRANS:	Hr
        INDEX:	P60W22
      OFFSETS:	95-97
       TOKENS:	P60W26-P60W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Har~_1]
   UNSPLITVOC:	(Har~)
          POS:	NOUN
          VOC:	Har~
        GLOSS:	warmth/heat

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P60W23
      OFFSETS:	98-102
       TOKENS:	P60W27-P60W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	pure/clear/sincere

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P60W24
      OFFSETS:	103-104
       TOKENS:	P60W28-P60W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	اصل
     IS_TRANS:	ASl
        INDEX:	P61W1
      OFFSETS:	0-3
       TOKENS:	P61W1-P61W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSol)
          POS:	NOUN
          VOC:	>aSol
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P61W2
      OFFSETS:	4-6
       TOKENS:	P61W2-P61W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P61W3
      OFFSETS:	7-9
       TOKENS:	P61W3-P61W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the

 INPUT STRING:	باه
     IS_TRANS:	bAh
        INDEX:	P61W4
      OFFSETS:	10-13
       TOKENS:	P61W4-P61W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bAh)
          POS:	TYPO
          VOC:	bAh
        GLOSS:	nogloss

 INPUT STRING:	عندي
     IS_TRANS:	Endy
        INDEX:	P61W5
      OFFSETS:	14-18
       TOKENS:	P61W5-P61W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	at/have/possession/with+my

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P61W6
      OFFSETS:	19-21
       TOKENS:	P61W7-P61W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the

 INPUT STRING:	بلكونه
     IS_TRANS:	blkwnh
        INDEX:	P61W7
      OFFSETS:	22-28
       TOKENS:	P61W8-P61W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[balakuwnap_1]
   UNSPLITVOC:	(balakuwnap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	balakuwn+ap
        GLOSS:	balcony+[fem.sg.]

 INPUT STRING:	تملي
     IS_TRANS:	tmly
        INDEX:	P61W8
      OFFSETS:	29-33
       TOKENS:	P61W9-P61W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamal~iy_1]
   UNSPLITVOC:	(tamal~iy)
          POS:	NOUN
          VOC:	tamal~iy
        GLOSS:	always/continually

 INPUT STRING:	جوها
     IS_TRANS:	jwhA
        INDEX:	P61W9
      OFFSETS:	34-38
       TOKENS:	P61W10-P61W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaw~_1]
   UNSPLITVOC:	(jaw~ahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	jaw~+hA
        GLOSS:	climate/atmosphere/by air/by plane/air+its/their/her

 INPUT STRING:	حلو
     IS_TRANS:	Hlw
        INDEX:	P61W10
      OFFSETS:	39-42
       TOKENS:	P61W12-P61W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilow)
          POS:	ADJ
          VOC:	Hilow
        GLOSS:	nice

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P61W11
      OFFSETS:	43-46
       TOKENS:	P61W13-P61W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>awiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	NOUN
          VOC:	>awiy
        GLOSS:	very/much/so much

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P61W12
      OFFSETS:	47-48
       TOKENS:	P61W14-P61W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P61W13
      OFFSETS:	49-53
       TOKENS:	P61W15-P61W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P61W14
      OFFSETS:	54-58
       TOKENS:	P61W16-P61W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be/was/were

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P61W15
      OFFSETS:	59-63
       TOKENS:	P61W17-P61W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	Eanod+ik
        GLOSS:	at/have/possession/with+your

 INPUT STRING:	حر
     IS_TRANS:	Hr
        INDEX:	P61W16
      OFFSETS:	64-66
       TOKENS:	P61W19-P61W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Har~_1]
   UNSPLITVOC:	(Har~)
          POS:	NOUN
          VOC:	Har~
        GLOSS:	warmth/heat

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P61W17
      OFFSETS:	67-71
       TOKENS:	P61W20-P61W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	عايشه
     IS_TRANS:	EAy$h
        INDEX:	P61W18
      OFFSETS:	72-77
       TOKENS:	P61W22-P61W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyi$_1]
   UNSPLITVOC:	(EAyo$ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAyo$+ap
        GLOSS:	living/alive+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P61W19
      OFFSETS:	78-80
       TOKENS:	P61W23-P61W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P61W20
      OFFSETS:	81-83
       TOKENS:	P61W24-P61W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the

 INPUT STRING:	مدينه
     IS_TRANS:	mdynh
        INDEX:	P61W21
      OFFSETS:	84-89
       TOKENS:	P61W25-P61W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madiynap_1]
   UNSPLITVOC:	(madiynap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	madiyn+ap
        GLOSS:	city/cities+[fem.sg.]

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P62W1
      OFFSETS:	0-4
       TOKENS:	P62W1-P62W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P62W2
      OFFSETS:	5-7
       TOKENS:	P62W2-P62W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	Ah!

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P62W3
      OFFSETS:	8-9
       TOKENS:	P62W3-P62W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P62W4
      OFFSETS:	10-12
       TOKENS:	P62W4-P62W4
