 INPUT STRING:	ازاي
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مثلا
     IS_TRANS:	mvlA
        INDEX:	P816W3
      OFFSETS:	9-13
       TOKENS:	P816W4-P816W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maval_1]
   UNSPLITVOC:	(mavalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maval+AF
        GLOSS:	example/proverb/for example/proverbs/examples+[acc.indef.]

 INPUT STRING:	10
     IS_TRANS:	10
        INDEX:	P816W4
      OFFSETS:	14-16
       TOKENS:	P816W5-P816W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[10_1]
   UNSPLITVOC:	(10)
          POS:	NOUN_NUM
          VOC:	10
        GLOSS:	10

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P816W5
      OFFSETS:	17-19
       TOKENS:	P816W6-P816W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P816W6
      OFFSETS:	20-22
       TOKENS:	P816W7-P816W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	أكثر
     IS_TRANS:	>kvr
        INDEX:	P816W7
      OFFSETS:	23-27
       TOKENS:	P816W8-P816W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_2]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more, most, majority

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P816W8
      OFFSETS:	28-30
       TOKENS:	P816W9-P816W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P816W9
      OFFSETS:	31-34
       TOKENS:	P816W10-P816W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P817W1
      OFFSETS:	0-4
       TOKENS:	P817W1-P817W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	برضه
     IS_TRANS:	brDh
        INDEX:	P817W2
      OFFSETS:	5-9
       TOKENS:	P817W2-P817W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P817W3
      OFFSETS:	10-12
       TOKENS:	P817W3-P817W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	قولتي
     IS_TRANS:	qwlty
        INDEX:	P817W4
      OFFSETS:	13-18
       TOKENS:	P817W4-P817W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwltiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	quwl+tiy
        GLOSS:	said/say/be said/(for example)+you

 INPUT STRING:	ليش
     IS_TRANS:	ly$
        INDEX:	P817W5
      OFFSETS:	19-22
       TOKENS:	P817W5-P817W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ly$)
          POS:	NO_FUNC
          VOC:	ly$
        GLOSS:	nogloss

 INPUT STRING:	بتعملي
     IS_TRANS:	btEmly
        INDEX:	P817W6
      OFFSETS:	23-29
       TOKENS:	P817W6-P817W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(bitiEomiliy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+Eomil+iy
        GLOSS:	[present-tense]+you+function/make/act/do+you

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P817W7
      OFFSETS:	30-33
       TOKENS:	P817W8-P817W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	REL_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P817W8
      OFFSETS:	34-35
       TOKENS:	P817W9-P817W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P818W1
      OFFSETS:	0-4
       TOKENS:	P818W1-P818W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P818W2
      OFFSETS:	5-7
       TOKENS:	P818W2-P818W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P818W3
      OFFSETS:	8-11
       TOKENS:	P818W3-P818W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P818W4
      OFFSETS:	12-13
       TOKENS:	P818W4-P818W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P819W1
      OFFSETS:	0-3
       TOKENS:	P819W1-P819W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_3]
   UNSPLITVOC:	(walA)
          POS:	CONJ+PSEUDO_VERB
          VOC:	wa+lA
        GLOSS:	and+no

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P819W2
      OFFSETS:	4-8
       TOKENS:	P819W3-P819W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	تف
     IS_TRANS:	tf
        INDEX:	P819W3
      OFFSETS:	9-11
       TOKENS:	P819W4-P819W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tf)
          POS:	TYPO
          VOC:	tf
        GLOSS:	nogloss

 INPUT STRING:	وشوية
     IS_TRANS:	w$wyp
        INDEX:	P819W4
      OFFSETS:	12-17
       TOKENS:	P819W5-P819W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	(wi$uway~ap)
          POS:	CONJ+NOUN_QUANT+NSUFF_FEM_SG
          VOC:	wi+$uway~+ap
        GLOSS:	and+a little bit+[fem.sg.]

 INPUT STRING:	ونازلة
     IS_TRANS:	wnAzlp
        INDEX:	P819W5
      OFFSETS:	18-24
       TOKENS:	P819W7-P819W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAzil_1]
   UNSPLITVOC:	(winAzolap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+nAzol+ap
        GLOSS:	and+descending/staying+[fem.sg.]

 INPUT STRING:	لمي
     IS_TRANS:	lmy
        INDEX:	P819W6
      OFFSETS:	25-28
       TOKENS:	P819W9-P819W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[may~_1]
   UNSPLITVOC:	(limay~)
          POS:	PREP+NOUN_PROP
          VOC:	li+may~
        GLOSS:	for/to+Mayy

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P819W7
      OFFSETS:	29-32
       TOKENS:	P819W11-P819W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	حر
     IS_TRANS:	Hr
        INDEX:	P819W8
      OFFSETS:	33-35
       TOKENS:	P819W12-P819W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Hr)
          POS:	FOREIGN
          VOC:	Hr
        GLOSS:	nogloss

 INPUT STRING:	بد
     IS_TRANS:	bd
        INDEX:	P819W9
      OFFSETS:	36-38
       TOKENS:	P819W13-P819W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bd)
          POS:	FOREIGN
          VOC:	bd
        GLOSS:	nogloss

 INPUT STRING:	وآه
     IS_TRANS:	w|h
        INDEX:	P820W1
      OFFSETS:	0-3
       TOKENS:	P820W1-P820W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(wa|ah)
          POS:	CONJ+INTERJ
          VOC:	wa+|ah
        GLOSS:	and+yes

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P820W2
      OFFSETS:	4-6
       TOKENS:	P820W3-P820W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	خايف
     IS_TRANS:	xAyf
        INDEX:	P820W3
      OFFSETS:	7-11
       TOKENS:	P820W4-P820W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAyif_1]
   UNSPLITVOC:	(xAyif)
          POS:	ADJ
          VOC:	xAyif
        GLOSS:	frightened/fearful/afraid

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P820W4
      OFFSETS:	12-15
       TOKENS:	P820W5-P820W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lam~A]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	when

 INPUT STRING:	تيجي
     IS_TRANS:	tyjy
        INDEX:	P820W5
      OFFSETS:	16-20
       TOKENS:	P820W6-P820W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(tiyojiy)
          POS:	IV3FS+IV
          VOC:	ti+yojiy
        GLOSS:	it/they/she+occur/came/come/reach/arrive

 INPUT STRING:	تتضايق
     IS_TRANS:	ttDAyq
        INDEX:	P820W6
      OFFSETS:	21-27
       TOKENS:	P820W7-P820W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitodAyiq_1]
   UNSPLITVOC:	(titoDAyiq)
          POS:	IV3FS+IV
          VOC:	ti+toDAyiq
        GLOSS:	it/they/she+be inconvenienced/be annoyed

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P820W7
      OFFSETS:	28-31
       TOKENS:	P820W8-P820W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	مني
     IS_TRANS:	mny
        INDEX:	P820W8
      OFFSETS:	32-35
       TOKENS:	P820W9-P820W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~iy)
          POS:	PREP+PRON_1S
          VOC:	min~+iy
        GLOSS:	from+me

 INPUT STRING:	تروح
     IS_TRANS:	trwH
        INDEX:	P820W9
      OFFSETS:	36-40
       TOKENS:	P820W11-P820W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(turuwH)
          POS:	IV3FS+IV
          VOC:	tu+ruwH
        GLOSS:	it/they/she+begin/go

 INPUT STRING:	مزوداها
     IS_TRANS:	mzwdAhA
        INDEX:	P820W10
      OFFSETS:	41-48
       TOKENS:	P820W12-P820W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mazaw~id_1]
   UNSPLITVOC:	(mazaw~idAhA)
          POS:	ADJ.VN+NSUFF_FEM_SG+PRON_3FS
          VOC:	mazaw~id+ap+hA
        GLOSS:	increasing+[fem.sg.]+it/them/her

 INPUT STRING:	وتقلب
     IS_TRANS:	wtqlb
        INDEX:	P820W11
      OFFSETS:	49-54
       TOKENS:	P820W14-P820W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalab_1]
   UNSPLITVOC:	(witiqolib)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+qolib
        GLOSS:	and+it/they/she+turn around/reverse/overthrow/topple

 INPUT STRING:	بعند
     IS_TRANS:	bEnd
        INDEX:	P820W12
      OFFSETS:	55-59
       TOKENS:	P820W16-P820W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(biEanod)
          POS:	PREP+NOUN
          VOC:	bi+Eanod
        GLOSS:	with/by+stubborn/opinionated

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P820W13
      OFFSETS:	59-60
       TOKENS:	P820W18-P820W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P820W14
      OFFSETS:	61-63
       TOKENS:	P820W19-P820W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	تحس
     IS_TRANS:	tHs
        INDEX:	P820W15
      OFFSETS:	64-67
       TOKENS:	P820W20-P820W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Has~_1]
   UNSPLITVOC:	(tiHis~)
          POS:	IV3FS+IV
          VOC:	ti+His~
        GLOSS:	it/they/she+feel

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P820W16
      OFFSETS:	68-71
       TOKENS:	P820W21-P820W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	دمها
     IS_TRANS:	dmhA
        INDEX:	P820W17
      OFFSETS:	72-76
       TOKENS:	P820W22-P820W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~_1]
   UNSPLITVOC:	(dam~ahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	dam~+hA
        GLOSS:	ointment/paint/dye+its/their/her

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P820W18
      OFFSETS:	77-78
       TOKENS:	P820W24-P820W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P821W1
      OFFSETS:	0-2
       TOKENS:	P821W1-P821W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	حتحس
     IS_TRANS:	HtHs
        INDEX:	P821W2
      OFFSETS:	3-7
       TOKENS:	P821W2-P821W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Has~_1]
   UNSPLITVOC:	(HatiHis~)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+His~
        GLOSS:	will+it/they/she+feel

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P821W3
      OFFSETS:	8-9
       TOKENS:	P821W4-P821W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P821W4
      OFFSETS:	10-12
       TOKENS:	P821W5-P821W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	معقول
     IS_TRANS:	mEqwl
        INDEX:	P821W5
      OFFSETS:	13-18
       TOKENS:	P821W6-P821W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoquwl_1]
   UNSPLITVOC:	(maEoquwl)
          POS:	ADJ
          VOC:	maEoquwl
        GLOSS:	plausible/logical/reasonable

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P821W6
      OFFSETS:	19-23
       TOKENS:	P821W7-P821W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P822W1
      OFFSETS:	0-4
       TOKENS:	P822W1-P822W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P822W2
      OFFSETS:	5-7
       TOKENS:	P822W2-P822W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true/correct/really/truly/yes/right/healthy/in good health

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P822W3
      OFFSETS:	8-9
       TOKENS:	P822W3-P822W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P823W1
      OFFSETS:	0-2
       TOKENS:	P823W1-P823W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_9]
   UNSPLITVOC:	(mA)
          POS:	VERB
          VOC:	mA
        GLOSS:	is not

 INPUT STRING:	ليش
     IS_TRANS:	ly$
        INDEX:	P823W2
      OFFSETS:	3-6
       TOKENS:	P823W2-P823W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ly$)
          POS:	NO_FUNC
          VOC:	ly$
        GLOSS:	nogloss

 INPUT STRING:	دعوة
     IS_TRANS:	dEwp
        INDEX:	P823W3
      OFFSETS:	7-11
       TOKENS:	P823W3-P823W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEowap_1]
   UNSPLITVOC:	(daEowap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	daEow+ap
        GLOSS:	call/invitation/supplication/calls/invitations/supplications/(Islamic) missionary work/propaganda+[fem.sg.]

 INPUT STRING:	14
     IS_TRANS:	14
        INDEX:	P823W4
      OFFSETS:	12-14
       TOKENS:	P823W4-P823W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[14_1]
   UNSPLITVOC:	(14)
          POS:	NOUN_NUM
          VOC:	14
        GLOSS:	14

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P823W5
      OFFSETS:	14-15
       TOKENS:	P823W5-P823W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P823W6
      OFFSETS:	15-16
       TOKENS:	P823W6-P823W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[2_1]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P823W7
      OFFSETS:	17-18
       TOKENS:	P823W7-P823W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P824W1
      OFFSETS:	0-4
       TOKENS:	P824W1-P824W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P824W2
      OFFSETS:	4-5
       TOKENS:	P824W2-P824W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P824W3
      OFFSETS:	6-8
       TOKENS:	P824W3-P824W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	حيبقى
     IS_TRANS:	HybqY
        INDEX:	P824W4
      OFFSETS:	9-14
       TOKENS:	P824W4-P824W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(HayiboqaY)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+boqaY
        GLOSS:	will+he/it+become/begin/start/be/begin a new day

 INPUT STRING:	فالنتين
     IS_TRANS:	fAlntyn
        INDEX:	P824W5
      OFFSETS:	15-22
       TOKENS:	P824W6-P824W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
